location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2026-05-01,18,2026-05-18,2026-05-17,0.43,0.00,0.03,0.21,0.43
Umiat,Colville River,2026-05-01,26,2026-05-26,2026-05-24,0.37,0.00,0.00,0.04,0.18
Colville Village,Colville River,2026-05-01,33,2026-06-02,2026-06-01,0.37,0.00,0.00,0.00,0.03
Kobuk,Kobuk River,2026-05-01,17,2026-05-17,2026-05-16,0.48,0.00,0.02,0.22,0.49
Shungnak,Kobuk River,2026-05-01,17,2026-05-17,2026-05-17,0.53,0.00,0.01,0.20,0.54
Ambler,Kobuk River,2026-05-01,17,2026-05-17,2026-05-18,0.45,0.00,0.03,0.23,0.46
Allakaket,Koyukuk River,2026-05-01,13,2026-05-13,2026-05-10,0.49,0.01,0.08,0.42,0.41
Bettles,Koyukuk River,2026-05-01,12,2026-05-12,2026-05-10,0.48,0.01,0.11,0.45,0.36
Hughes,Koyukuk River,2026-05-01,12,2026-05-12,2026-05-11,0.50,0.01,0.10,0.47,0.36
Nikolai,Kuskokwim River,2026-05-01,-2,2026-04-28,2026-04-23,1.26,0.51,0.46,0.03,0.00
Sleetmute,Kuskokwim River,2026-05-01,8,2026-05-08,2026-05-04,0.63,0.03,0.31,0.58,0.08
Red Devil,Kuskokwim River,2026-05-01,8,2026-05-08,2026-05-05,0.67,0.03,0.32,0.60,0.05
Stony River,Kuskokwim River,2026-05-01,7,2026-05-07,2026-05-05,0.63,0.05,0.37,0.54,0.05
Crooked Creek,Kuskokwim River,2026-05-01,9,2026-05-09,2026-05-06,0.63,0.02,0.25,0.62,0.11
McGrath,Kuskokwim River,2026-05-01,10,2026-05-10,2026-05-06,0.67,0.01,0.18,0.68,0.14
Aniak,Kuskokwim River,2026-05-01,11,2026-05-11,2026-05-07,0.59,0.01,0.11,0.59,0.28
Kalskag,Kuskokwim River,2026-05-01,12,2026-05-12,2026-05-07,0.73,0.00,0.03,0.65,0.32
Tuluksak,Kuskokwim River,2026-05-01,12,2026-05-12,2026-05-08,0.73,0.00,0.04,0.66,0.30
Akiak,Kuskokwim River,2026-05-01,14,2026-05-14,2026-05-09,0.65,0.00,0.03,0.47,0.47
Bethel,Kuskokwim River,2026-05-01,14,2026-05-14,2026-05-10,0.54,0.00,0.05,0.41,0.46
Napakiak,Kuskokwim River,2026-05-01,15,2026-05-15,2026-05-10,0.49,0.00,0.04,0.31,0.48
Sunshine,Susitna River,2026-05-01,7,2026-05-07,2026-05-02,0.66,0.05,0.41,0.50,0.03
Fairbanks D-S of Chena R,Tanana River,2026-05-01,5,2026-05-05,2026-04-30,0.80,0.08,0.63,0.29,0.00
Nenana,Tanana River,2026-05-01,5,2026-05-05,2026-05-01,0.79,0.11,0.63,0.26,0.00
Manley Hot Springs,Tanana River,2026-05-01,7,2026-05-07,2026-05-04,0.63,0.07,0.40,0.48,0.05
Dawson,Yukon River,2026-05-01,7,2026-05-07,2026-05-05,0.79,0.02,0.44,0.53,0.01
Eagle,Yukon River,2026-05-01,7,2026-05-07,2026-05-05,0.69,0.02,0.35,0.60,0.03
Circle,Yukon River,2026-05-01,11,2026-05-11,2026-05-09,0.57,0.01,0.12,0.57,0.29
Fort Yukon,Yukon River,2026-05-01,12,2026-05-12,2026-05-10,0.57,0.00,0.08,0.53,0.36
Tanana,Yukon River,2026-05-01,11,2026-05-11,2026-05-10,0.60,0.00,0.09,0.60,0.29
Beaver,Yukon River,2026-05-01,13,2026-05-13,2026-05-11,0.66,0.00,0.02,0.50,0.46
Ruby,Yukon River,2026-05-01,12,2026-05-12,2026-05-11,0.61,0.00,0.06,0.56,0.37
Galena,Yukon River,2026-05-01,15,2026-05-15,2026-05-12,0.67,0.00,0.01,0.36,0.58
Rampart,Yukon River,2026-05-01,15,2026-05-15,2026-05-12,0.64,0.00,0.01,0.32,0.60
Stevens Village,Yukon River,2026-05-01,14,2026-05-14,2026-05-12,0.69,0.00,0.01,0.40,0.57
Nulato,Yukon River,2026-05-01,14,2026-05-14,2026-05-13,0.56,0.00,0.04,0.41,0.47
Holy Cross,Yukon River,2026-05-01,17,2026-05-17,2026-05-14,0.67,0.00,0.00,0.16,0.68
Kaltag,Yukon River,2026-05-01,16,2026-05-16,2026-05-14,0.57,0.00,0.01,0.26,0.58
Marshall,Yukon River,2026-05-01,18,2026-05-18,2026-05-15,0.70,0.00,0.00,0.09,0.70
Pilot Station,Yukon River,2026-05-01,18,2026-05-18,2026-05-15,0.62,0.00,0.00,0.13,0.62
Russian Mission,Yukon River,2026-05-01,19,2026-05-19,2026-05-15,0.60,0.00,0.00,0.11,0.57
Anvik,Yukon River,2026-05-01,18,2026-05-18,2026-05-16,0.60,0.00,0.00,0.14,0.60
Mountain Village,Yukon River,2026-05-01,21,2026-05-21,2026-05-17,0.54,0.00,0.00,0.04,0.39
Emmonak,Yukon River,2026-05-01,23,2026-05-23,2026-05-21,0.55,0.00,0.00,0.02,0.26
Alakanuk,Yukon River,2026-05-01,24,2026-05-24,2026-05-22,0.52,0.00,0.00,0.01,0.19
