location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2026-04-20,30,2026-05-19,2026-05-17,0.37,0.00,0.00,0.01,0.09
Umiat,Colville River,2026-04-20,37,2026-05-26,2026-05-24,0.37,0.00,0.00,0.00,0.01
Colville Village,Colville River,2026-04-20,44,2026-06-02,2026-06-01,0.37,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2026-04-20,28,2026-05-17,2026-05-16,0.43,0.00,0.00,0.01,0.10
Shungnak,Kobuk River,2026-04-20,30,2026-05-19,2026-05-17,0.45,0.00,0.00,0.00,0.06
Ambler,Kobuk River,2026-04-20,30,2026-05-19,2026-05-18,0.42,0.00,0.00,0.00,0.06
Allakaket,Koyukuk River,2026-04-20,24,2026-05-13,2026-05-10,0.44,0.00,0.00,0.04,0.25
Bettles,Koyukuk River,2026-04-20,23,2026-05-12,2026-05-10,0.43,0.00,0.00,0.06,0.29
Hughes,Koyukuk River,2026-04-20,23,2026-05-12,2026-05-11,0.43,0.00,0.00,0.06,0.29
Nikolai,Kuskokwim River,2026-04-20,9,2026-04-28,2026-04-23,0.61,0.03,0.26,0.59,0.11
Sleetmute,Kuskokwim River,2026-04-20,18,2026-05-07,2026-05-04,0.50,0.00,0.01,0.16,0.50
Red Devil,Kuskokwim River,2026-04-20,19,2026-05-08,2026-05-05,0.50,0.00,0.01,0.15,0.48
Stony River,Kuskokwim River,2026-04-20,18,2026-05-07,2026-05-05,0.50,0.00,0.01,0.18,0.50
Crooked Creek,Kuskokwim River,2026-04-20,20,2026-05-09,2026-05-06,0.48,0.00,0.01,0.11,0.43
McGrath,Kuskokwim River,2026-04-20,20,2026-05-09,2026-05-06,0.51,0.00,0.00,0.09,0.45
Aniak,Kuskokwim River,2026-04-20,22,2026-05-11,2026-05-07,0.47,0.00,0.00,0.06,0.33
Kalskag,Kuskokwim River,2026-04-20,22,2026-05-11,2026-05-07,0.54,0.00,0.00,0.03,0.32
Tuluksak,Kuskokwim River,2026-04-20,23,2026-05-12,2026-05-08,0.51,0.00,0.00,0.02,0.26
Akiak,Kuskokwim River,2026-04-20,24,2026-05-13,2026-05-09,0.48,0.00,0.00,0.02,0.21
Bethel,Kuskokwim River,2026-04-20,25,2026-05-14,2026-05-10,0.43,0.00,0.00,0.02,0.18
Napakiak,Kuskokwim River,2026-04-20,27,2026-05-16,2026-05-10,0.44,0.00,0.00,0.01,0.13
Sunshine,Susitna River,2026-04-20,18,2026-05-07,2026-05-02,0.63,0.00,0.00,0.14,0.63
Fairbanks D-S of Chena R,Tanana River,2026-04-20,15,2026-05-04,2026-04-30,0.66,0.00,0.00,0.28,0.65
Nenana,Tanana River,2026-04-20,15,2026-05-04,2026-05-01,0.61,0.00,0.01,0.32,0.58
Manley Hot Springs,Tanana River,2026-04-20,17,2026-05-06,2026-05-04,0.51,0.00,0.01,0.21,0.52
Dawson,Yukon River,2026-04-20,18,2026-05-07,2026-05-05,0.66,0.00,0.00,0.12,0.66
Eagle,Yukon River,2026-04-20,18,2026-05-07,2026-05-05,0.57,0.00,0.00,0.14,0.57
Circle,Yukon River,2026-04-20,22,2026-05-11,2026-05-09,0.50,0.00,0.00,0.05,0.35
Fort Yukon,Yukon River,2026-04-20,23,2026-05-12,2026-05-10,0.50,0.00,0.00,0.03,0.28
Tanana,Yukon River,2026-04-20,23,2026-05-12,2026-05-10,0.54,0.00,0.00,0.03,0.30
Beaver,Yukon River,2026-04-20,24,2026-05-13,2026-05-11,0.60,0.00,0.00,0.01,0.20
Ruby,Yukon River,2026-04-20,24,2026-05-13,2026-05-11,0.50,0.00,0.00,0.02,0.24
Galena,Yukon River,2026-04-20,25,2026-05-14,2026-05-12,0.52,0.00,0.00,0.01,0.16
Rampart,Yukon River,2026-04-20,26,2026-05-15,2026-05-12,0.60,0.00,0.00,0.00,0.10
Stevens Village,Yukon River,2026-04-20,25,2026-05-14,2026-05-12,0.60,0.00,0.00,0.00,0.11
Nulato,Yukon River,2026-04-20,25,2026-05-14,2026-05-13,0.48,0.00,0.00,0.02,0.20
Holy Cross,Yukon River,2026-04-20,28,2026-05-17,2026-05-14,0.52,0.00,0.00,0.00,0.06
Kaltag,Yukon River,2026-04-20,27,2026-05-16,2026-05-14,0.48,0.00,0.00,0.01,0.12
Marshall,Yukon River,2026-04-20,30,2026-05-19,2026-05-15,0.51,0.00,0.00,0.00,0.02
Pilot Station,Yukon River,2026-04-20,30,2026-05-19,2026-05-15,0.45,0.00,0.00,0.00,0.05
Russian Mission,Yukon River,2026-04-20,30,2026-05-19,2026-05-15,0.50,0.00,0.00,0.00,0.04
Anvik,Yukon River,2026-04-20,29,2026-05-18,2026-05-16,0.50,0.00,0.00,0.00,0.06
Mountain Village,Yukon River,2026-04-20,33,2026-05-22,2026-05-17,0.45,0.00,0.00,0.00,0.02
Emmonak,Yukon River,2026-04-20,35,2026-05-24,2026-05-21,0.42,0.00,0.00,0.00,0.01
Alakanuk,Yukon River,2026-04-20,36,2026-05-25,2026-05-22,0.42,0.00,0.00,0.00,0.01
