location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2026-04-06,44,2026-05-19,2026-05-17,0.35,0.00,0.00,0.00,0.00
Umiat,Colville River,2026-04-06,51,2026-05-26,2026-05-24,0.37,0.00,0.00,0.00,0.00
Colville Village,Colville River,2026-04-06,59,2026-06-03,2026-06-01,0.37,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2026-04-06,42,2026-05-17,2026-05-16,0.40,0.00,0.00,0.00,0.00
Shungnak,Kobuk River,2026-04-06,43,2026-05-18,2026-05-17,0.39,0.00,0.00,0.00,0.00
Ambler,Kobuk River,2026-04-06,45,2026-05-20,2026-05-18,0.42,0.00,0.00,0.00,0.00
Allakaket,Koyukuk River,2026-04-06,37,2026-05-12,2026-05-10,0.42,0.00,0.00,0.00,0.00
Bettles,Koyukuk River,2026-04-06,36,2026-05-11,2026-05-10,0.41,0.00,0.00,0.00,0.01
Hughes,Koyukuk River,2026-04-06,37,2026-05-12,2026-05-11,0.41,0.00,0.00,0.00,0.01
Nikolai,Kuskokwim River,2026-04-06,23,2026-04-28,2026-04-23,0.44,0.00,0.00,0.06,0.30
Sleetmute,Kuskokwim River,2026-04-06,32,2026-05-07,2026-05-04,0.40,0.00,0.00,0.00,0.04
Red Devil,Kuskokwim River,2026-04-06,33,2026-05-08,2026-05-05,0.40,0.00,0.00,0.00,0.03
Stony River,Kuskokwim River,2026-04-06,31,2026-05-06,2026-05-05,0.42,0.00,0.00,0.00,0.04
Crooked Creek,Kuskokwim River,2026-04-06,33,2026-05-08,2026-05-06,0.40,0.00,0.00,0.00,0.03
McGrath,Kuskokwim River,2026-04-06,34,2026-05-09,2026-05-06,0.41,0.00,0.00,0.00,0.02
Aniak,Kuskokwim River,2026-04-06,35,2026-05-10,2026-05-07,0.38,0.00,0.00,0.00,0.02
Kalskag,Kuskokwim River,2026-04-06,36,2026-05-11,2026-05-07,0.42,0.00,0.00,0.00,0.01
Tuluksak,Kuskokwim River,2026-04-06,37,2026-05-12,2026-05-08,0.40,0.00,0.00,0.00,0.01
Akiak,Kuskokwim River,2026-04-06,38,2026-05-13,2026-05-09,0.39,0.00,0.00,0.00,0.01
Bethel,Kuskokwim River,2026-04-06,39,2026-05-14,2026-05-10,0.35,0.00,0.00,0.00,0.01
Napakiak,Kuskokwim River,2026-04-06,41,2026-05-16,2026-05-10,0.36,0.00,0.00,0.00,0.00
Sunshine,Susitna River,2026-04-06,30,2026-05-05,2026-05-02,0.49,0.00,0.00,0.00,0.03
Fairbanks D-S of Chena R,Tanana River,2026-04-06,28,2026-05-03,2026-04-30,0.49,0.00,0.00,0.00,0.09
Nenana,Tanana River,2026-04-06,29,2026-05-04,2026-05-01,0.45,0.00,0.00,0.00,0.07
Manley Hot Springs,Tanana River,2026-04-06,32,2026-05-07,2026-05-04,0.40,0.00,0.00,0.00,0.04
Dawson,Yukon River,2026-04-06,32,2026-05-07,2026-05-05,0.56,0.00,0.00,0.00,0.00
Eagle,Yukon River,2026-04-06,32,2026-05-07,2026-05-05,0.48,0.00,0.00,0.00,0.02
Circle,Yukon River,2026-04-06,35,2026-05-10,2026-05-09,0.46,0.00,0.00,0.00,0.00
Fort Yukon,Yukon River,2026-04-06,36,2026-05-11,2026-05-10,0.46,0.00,0.00,0.00,0.00
Tanana,Yukon River,2026-04-06,36,2026-05-11,2026-05-10,0.47,0.00,0.00,0.00,0.00
Beaver,Yukon River,2026-04-06,37,2026-05-12,2026-05-11,0.56,0.00,0.00,0.00,0.00
Ruby,Yukon River,2026-04-06,37,2026-05-12,2026-05-11,0.44,0.00,0.00,0.00,0.00
Galena,Yukon River,2026-04-06,39,2026-05-14,2026-05-12,0.46,0.00,0.00,0.00,0.00
Rampart,Yukon River,2026-04-06,39,2026-05-14,2026-05-12,0.55,0.00,0.00,0.00,0.00
Stevens Village,Yukon River,2026-04-06,39,2026-05-14,2026-05-12,0.56,0.00,0.00,0.00,0.00
Nulato,Yukon River,2026-04-06,39,2026-05-14,2026-05-13,0.42,0.00,0.00,0.00,0.00
Holy Cross,Yukon River,2026-04-06,42,2026-05-17,2026-05-14,0.42,0.00,0.00,0.00,0.00
Kaltag,Yukon River,2026-04-06,40,2026-05-15,2026-05-14,0.42,0.00,0.00,0.00,0.00
Marshall,Yukon River,2026-04-06,43,2026-05-18,2026-05-15,0.41,0.00,0.00,0.00,0.00
Pilot Station,Yukon River,2026-04-06,43,2026-05-18,2026-05-15,0.36,0.00,0.00,0.00,0.00
Russian Mission,Yukon River,2026-04-06,42,2026-05-17,2026-05-15,0.40,0.00,0.00,0.00,0.00
Anvik,Yukon River,2026-04-06,43,2026-05-18,2026-05-16,0.41,0.00,0.00,0.00,0.00
Mountain Village,Yukon River,2026-04-06,46,2026-05-21,2026-05-17,0.38,0.00,0.00,0.00,0.00
Emmonak,Yukon River,2026-04-06,47,2026-05-22,2026-05-21,0.36,0.00,0.00,0.00,0.00
Alakanuk,Yukon River,2026-04-06,49,2026-05-24,2026-05-22,0.37,0.00,0.00,0.00,0.00
