location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2026-04-14,35,2026-05-18,2026-05-17,0.35,0.00,0.00,0.00,0.02
Umiat,Colville River,2026-04-14,43,2026-05-26,2026-05-24,0.37,0.00,0.00,0.00,0.00
Colville Village,Colville River,2026-04-14,50,2026-06-02,2026-06-01,0.38,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2026-04-14,33,2026-05-16,2026-05-16,0.41,0.00,0.00,0.00,0.02
Shungnak,Kobuk River,2026-04-14,35,2026-05-18,2026-05-17,0.42,0.00,0.00,0.00,0.01
Ambler,Kobuk River,2026-04-14,35,2026-05-18,2026-05-18,0.41,0.00,0.00,0.00,0.01
Allakaket,Koyukuk River,2026-04-14,29,2026-05-12,2026-05-10,0.43,0.00,0.00,0.00,0.07
Bettles,Koyukuk River,2026-04-14,28,2026-05-11,2026-05-10,0.42,0.00,0.00,0.01,0.10
Hughes,Koyukuk River,2026-04-14,28,2026-05-11,2026-05-11,0.41,0.00,0.00,0.01,0.10
Nikolai,Kuskokwim River,2026-04-14,14,2026-04-27,2026-04-23,0.55,0.00,0.05,0.43,0.45
Sleetmute,Kuskokwim River,2026-04-14,23,2026-05-06,2026-05-04,0.45,0.00,0.00,0.04,0.26
Red Devil,Kuskokwim River,2026-04-14,24,2026-05-07,2026-05-05,0.45,0.00,0.00,0.03,0.23
Stony River,Kuskokwim River,2026-04-14,23,2026-05-06,2026-05-05,0.46,0.00,0.00,0.04,0.27
Crooked Creek,Kuskokwim River,2026-04-14,25,2026-05-08,2026-05-06,0.43,0.00,0.00,0.03,0.20
McGrath,Kuskokwim River,2026-04-14,25,2026-05-08,2026-05-06,0.45,0.00,0.00,0.02,0.18
Aniak,Kuskokwim River,2026-04-14,27,2026-05-10,2026-05-07,0.42,0.00,0.00,0.01,0.13
Kalskag,Kuskokwim River,2026-04-14,28,2026-05-11,2026-05-07,0.50,0.00,0.00,0.00,0.08
Tuluksak,Kuskokwim River,2026-04-14,28,2026-05-11,2026-05-08,0.45,0.00,0.00,0.00,0.08
Akiak,Kuskokwim River,2026-04-14,30,2026-05-13,2026-05-09,0.46,0.00,0.00,0.00,0.05
Bethel,Kuskokwim River,2026-04-14,31,2026-05-14,2026-05-10,0.40,0.00,0.00,0.00,0.06
Napakiak,Kuskokwim River,2026-04-14,32,2026-05-15,2026-05-10,0.43,0.00,0.00,0.00,0.02
Sunshine,Susitna River,2026-04-14,22,2026-05-05,2026-05-02,0.54,0.00,0.00,0.02,0.31
Fairbanks D-S of Chena R,Tanana River,2026-04-14,20,2026-05-03,2026-04-30,0.57,0.00,0.00,0.07,0.48
Nenana,Tanana River,2026-04-14,20,2026-05-03,2026-05-01,0.51,0.00,0.00,0.08,0.43
Manley Hot Springs,Tanana River,2026-04-14,22,2026-05-05,2026-05-04,0.46,0.00,0.00,0.06,0.34
Dawson,Yukon River,2026-04-14,23,2026-05-06,2026-05-05,0.59,0.00,0.00,0.01,0.24
Eagle,Yukon River,2026-04-14,23,2026-05-06,2026-05-05,0.51,0.00,0.00,0.02,0.26
Circle,Yukon River,2026-04-14,27,2026-05-10,2026-05-09,0.48,0.00,0.00,0.01,0.11
Fort Yukon,Yukon River,2026-04-14,28,2026-05-11,2026-05-10,0.48,0.00,0.00,0.00,0.07
Tanana,Yukon River,2026-04-14,28,2026-05-11,2026-05-10,0.50,0.00,0.00,0.00,0.08
Beaver,Yukon River,2026-04-14,29,2026-05-12,2026-05-11,0.57,0.00,0.00,0.00,0.02
Ruby,Yukon River,2026-04-14,29,2026-05-12,2026-05-11,0.47,0.00,0.00,0.00,0.06
Galena,Yukon River,2026-04-14,31,2026-05-14,2026-05-12,0.49,0.00,0.00,0.00,0.03
Rampart,Yukon River,2026-04-14,31,2026-05-14,2026-05-12,0.57,0.00,0.00,0.00,0.01
Stevens Village,Yukon River,2026-04-14,31,2026-05-14,2026-05-12,0.59,0.00,0.00,0.00,0.01
Nulato,Yukon River,2026-04-14,30,2026-05-13,2026-05-13,0.46,0.00,0.00,0.00,0.04
Holy Cross,Yukon River,2026-04-14,33,2026-05-16,2026-05-14,0.46,0.00,0.00,0.00,0.01
Kaltag,Yukon River,2026-04-14,32,2026-05-15,2026-05-14,0.45,0.00,0.00,0.00,0.03
Marshall,Yukon River,2026-04-14,34,2026-05-17,2026-05-15,0.44,0.00,0.00,0.00,0.01
Pilot Station,Yukon River,2026-04-14,35,2026-05-18,2026-05-15,0.40,0.00,0.00,0.00,0.02
Russian Mission,Yukon River,2026-04-14,35,2026-05-18,2026-05-15,0.46,0.00,0.00,0.00,0.01
Anvik,Yukon River,2026-04-14,34,2026-05-17,2026-05-16,0.45,0.00,0.00,0.00,0.01
Mountain Village,Yukon River,2026-04-14,38,2026-05-21,2026-05-17,0.42,0.00,0.00,0.00,0.00
Emmonak,Yukon River,2026-04-14,40,2026-05-23,2026-05-21,0.39,0.00,0.00,0.00,0.00
Alakanuk,Yukon River,2026-04-14,42,2026-05-25,2026-05-22,0.41,0.00,0.00,0.00,0.00
