location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2026-04-18,31,2026-05-18,2026-05-17,0.36,0.00,0.00,0.01,0.06
Umiat,Colville River,2026-04-18,39,2026-05-26,2026-05-24,0.37,0.00,0.00,0.00,0.01
Colville Village,Colville River,2026-04-18,46,2026-06-02,2026-06-01,0.37,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2026-04-18,30,2026-05-17,2026-05-16,0.43,0.00,0.00,0.00,0.06
Shungnak,Kobuk River,2026-04-18,31,2026-05-18,2026-05-17,0.43,0.00,0.00,0.00,0.03
Ambler,Kobuk River,2026-04-18,32,2026-05-19,2026-05-18,0.42,0.00,0.00,0.00,0.04
Allakaket,Koyukuk River,2026-04-18,25,2026-05-12,2026-05-10,0.43,0.00,0.00,0.02,0.18
Bettles,Koyukuk River,2026-04-18,24,2026-05-11,2026-05-10,0.42,0.00,0.00,0.04,0.23
Hughes,Koyukuk River,2026-04-18,25,2026-05-12,2026-05-11,0.43,0.00,0.00,0.04,0.22
Nikolai,Kuskokwim River,2026-04-18,10,2026-04-27,2026-04-23,0.59,0.01,0.18,0.60,0.20
Sleetmute,Kuskokwim River,2026-04-18,20,2026-05-07,2026-05-04,0.50,0.00,0.00,0.10,0.44
Red Devil,Kuskokwim River,2026-04-18,21,2026-05-08,2026-05-05,0.49,0.00,0.00,0.09,0.40
Stony River,Kuskokwim River,2026-04-18,20,2026-05-07,2026-05-05,0.49,0.00,0.01,0.11,0.44
Crooked Creek,Kuskokwim River,2026-04-18,22,2026-05-09,2026-05-06,0.47,0.00,0.00,0.06,0.34
McGrath,Kuskokwim River,2026-04-18,22,2026-05-09,2026-05-06,0.49,0.00,0.00,0.06,0.35
Aniak,Kuskokwim River,2026-04-18,24,2026-05-11,2026-05-07,0.45,0.00,0.00,0.03,0.24
Kalskag,Kuskokwim River,2026-04-18,24,2026-05-11,2026-05-07,0.53,0.00,0.00,0.01,0.21
Tuluksak,Kuskokwim River,2026-04-18,25,2026-05-12,2026-05-08,0.49,0.00,0.00,0.01,0.18
Akiak,Kuskokwim River,2026-04-18,27,2026-05-14,2026-05-09,0.49,0.00,0.00,0.01,0.12
Bethel,Kuskokwim River,2026-04-18,27,2026-05-14,2026-05-10,0.43,0.00,0.00,0.01,0.12
Napakiak,Kuskokwim River,2026-04-18,28,2026-05-15,2026-05-10,0.44,0.00,0.00,0.01,0.08
Sunshine,Susitna River,2026-04-18,19,2026-05-06,2026-05-02,0.59,0.00,0.00,0.07,0.55
Fairbanks D-S of Chena R,Tanana River,2026-04-18,17,2026-05-04,2026-04-30,0.64,0.00,0.00,0.17,0.66
Nenana,Tanana River,2026-04-18,17,2026-05-04,2026-05-01,0.58,0.00,0.01,0.22,0.59
Manley Hot Springs,Tanana River,2026-04-18,18,2026-05-05,2026-05-04,0.50,0.00,0.01,0.16,0.50
Dawson,Yukon River,2026-04-18,20,2026-05-07,2026-05-05,0.64,0.00,0.00,0.05,0.54
Eagle,Yukon River,2026-04-18,20,2026-05-07,2026-05-05,0.56,0.00,0.00,0.08,0.49
Circle,Yukon River,2026-04-18,23,2026-05-10,2026-05-09,0.49,0.00,0.00,0.03,0.26
Fort Yukon,Yukon River,2026-04-18,25,2026-05-12,2026-05-10,0.50,0.00,0.00,0.01,0.19
Tanana,Yukon River,2026-04-18,24,2026-05-11,2026-05-10,0.51,0.00,0.00,0.01,0.21
Beaver,Yukon River,2026-04-18,26,2026-05-13,2026-05-11,0.60,0.00,0.00,0.00,0.10
Ruby,Yukon River,2026-04-18,25,2026-05-12,2026-05-11,0.48,0.00,0.00,0.01,0.16
Galena,Yukon River,2026-04-18,27,2026-05-14,2026-05-12,0.51,0.00,0.00,0.00,0.09
Rampart,Yukon River,2026-04-18,27,2026-05-14,2026-05-12,0.57,0.00,0.00,0.00,0.05
Stevens Village,Yukon River,2026-04-18,27,2026-05-14,2026-05-12,0.60,0.00,0.00,0.00,0.05
Nulato,Yukon River,2026-04-18,26,2026-05-13,2026-05-13,0.46,0.00,0.00,0.01,0.13
Holy Cross,Yukon River,2026-04-18,30,2026-05-17,2026-05-14,0.50,0.00,0.00,0.00,0.03
Kaltag,Yukon River,2026-04-18,28,2026-05-15,2026-05-14,0.46,0.00,0.00,0.00,0.07
Marshall,Yukon River,2026-04-18,32,2026-05-19,2026-05-15,0.49,0.00,0.00,0.00,0.02
Pilot Station,Yukon River,2026-04-18,32,2026-05-19,2026-05-15,0.44,0.00,0.00,0.00,0.03
Russian Mission,Yukon River,2026-04-18,31,2026-05-18,2026-05-15,0.47,0.00,0.00,0.00,0.02
Anvik,Yukon River,2026-04-18,31,2026-05-18,2026-05-16,0.49,0.00,0.00,0.00,0.03
Mountain Village,Yukon River,2026-04-18,34,2026-05-21,2026-05-17,0.43,0.00,0.00,0.00,0.01
Emmonak,Yukon River,2026-04-18,37,2026-05-24,2026-05-21,0.41,0.00,0.00,0.00,0.01
Alakanuk,Yukon River,2026-04-18,38,2026-05-25,2026-05-22,0.42,0.00,0.00,0.00,0.00
