location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2026-04-25,25,2026-05-19,2026-05-17,0.38,0.00,0.00,0.04,0.20
Umiat,Colville River,2026-04-25,32,2026-05-26,2026-05-24,0.37,0.00,0.00,0.00,0.05
Colville Village,Colville River,2026-04-25,39,2026-06-02,2026-06-01,0.37,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2026-04-25,24,2026-05-18,2026-05-16,0.45,0.00,0.00,0.04,0.26
Shungnak,Kobuk River,2026-04-25,25,2026-05-19,2026-05-17,0.46,0.00,0.00,0.02,0.19
Ambler,Kobuk River,2026-04-25,25,2026-05-19,2026-05-18,0.43,0.00,0.00,0.03,0.20
Allakaket,Koyukuk River,2026-04-25,19,2026-05-13,2026-05-10,0.45,0.00,0.01,0.15,0.43
Bettles,Koyukuk River,2026-04-25,18,2026-05-12,2026-05-10,0.44,0.00,0.02,0.18,0.44
Hughes,Koyukuk River,2026-04-25,19,2026-05-13,2026-05-11,0.45,0.00,0.01,0.16,0.43
Nikolai,Kuskokwim River,2026-04-25,5,2026-04-29,2026-04-23,0.68,0.12,0.52,0.35,0.01
Sleetmute,Kuskokwim River,2026-04-25,14,2026-05-08,2026-05-04,0.53,0.00,0.04,0.38,0.48
Red Devil,Kuskokwim River,2026-04-25,15,2026-05-09,2026-05-05,0.57,0.00,0.03,0.38,0.50
Stony River,Kuskokwim River,2026-04-25,14,2026-05-08,2026-05-05,0.54,0.00,0.06,0.42,0.44
Crooked Creek,Kuskokwim River,2026-04-25,16,2026-05-10,2026-05-06,0.54,0.00,0.02,0.28,0.53
McGrath,Kuskokwim River,2026-04-25,16,2026-05-10,2026-05-06,0.55,0.00,0.02,0.27,0.55
Aniak,Kuskokwim River,2026-04-25,18,2026-05-12,2026-05-07,0.51,0.00,0.01,0.17,0.51
Kalskag,Kuskokwim River,2026-04-25,19,2026-05-13,2026-05-07,0.62,0.00,0.00,0.10,0.59
Tuluksak,Kuskokwim River,2026-04-25,20,2026-05-14,2026-05-08,0.60,0.00,0.00,0.07,0.52
Akiak,Kuskokwim River,2026-04-25,20,2026-05-14,2026-05-09,0.53,0.00,0.00,0.07,0.44
Bethel,Kuskokwim River,2026-04-25,21,2026-05-15,2026-05-10,0.46,0.00,0.00,0.07,0.36
Napakiak,Kuskokwim River,2026-04-25,23,2026-05-17,2026-05-10,0.45,0.00,0.00,0.05,0.29
Sunshine,Susitna River,2026-04-25,13,2026-05-07,2026-05-02,0.63,0.00,0.03,0.49,0.45
Fairbanks D-S of Chena R,Tanana River,2026-04-25,12,2026-05-06,2026-04-30,0.75,0.00,0.05,0.69,0.26
Nenana,Tanana River,2026-04-25,11,2026-05-05,2026-05-01,0.64,0.00,0.09,0.64,0.26
Manley Hot Springs,Tanana River,2026-04-25,14,2026-05-08,2026-05-04,0.54,0.00,0.06,0.43,0.43
Dawson,Yukon River,2026-04-25,13,2026-05-07,2026-05-05,0.69,0.00,0.02,0.53,0.44
Eagle,Yukon River,2026-04-25,14,2026-05-08,2026-05-05,0.60,0.00,0.02,0.40,0.52
Circle,Yukon River,2026-04-25,18,2026-05-12,2026-05-09,0.53,0.00,0.01,0.19,0.53
Fort Yukon,Yukon River,2026-04-25,19,2026-05-13,2026-05-10,0.52,0.00,0.01,0.13,0.50
Tanana,Yukon River,2026-04-25,18,2026-05-12,2026-05-10,0.54,0.00,0.00,0.13,0.54
Beaver,Yukon River,2026-04-25,19,2026-05-13,2026-05-11,0.61,0.00,0.00,0.07,0.55
Ruby,Yukon River,2026-04-25,19,2026-05-13,2026-05-11,0.52,0.00,0.00,0.11,0.49
Galena,Yukon River,2026-04-25,21,2026-05-15,2026-05-12,0.56,0.00,0.00,0.04,0.41
Rampart,Yukon River,2026-04-25,21,2026-05-15,2026-05-12,0.61,0.00,0.00,0.03,0.42
Stevens Village,Yukon River,2026-04-25,21,2026-05-15,2026-05-12,0.65,0.00,0.00,0.03,0.47
Nulato,Yukon River,2026-04-25,21,2026-05-15,2026-05-13,0.49,0.00,0.00,0.09,0.40
Holy Cross,Yukon River,2026-04-25,24,2026-05-18,2026-05-14,0.58,0.00,0.00,0.01,0.23
Kaltag,Yukon River,2026-04-25,23,2026-05-17,2026-05-14,0.50,0.00,0.00,0.04,0.30
Marshall,Yukon River,2026-04-25,26,2026-05-20,2026-05-15,0.60,0.00,0.00,0.00,0.09
Pilot Station,Yukon River,2026-04-25,25,2026-05-19,2026-05-15,0.50,0.00,0.00,0.01,0.16
Russian Mission,Yukon River,2026-04-25,25,2026-05-19,2026-05-15,0.52,0.00,0.00,0.01,0.15
Anvik,Yukon River,2026-04-25,24,2026-05-18,2026-05-16,0.52,0.00,0.00,0.01,0.21
Mountain Village,Yukon River,2026-04-25,28,2026-05-22,2026-05-17,0.48,0.00,0.00,0.00,0.06
Emmonak,Yukon River,2026-04-25,31,2026-05-25,2026-05-21,0.46,0.00,0.00,0.00,0.03
Alakanuk,Yukon River,2026-04-25,32,2026-05-26,2026-05-22,0.46,0.00,0.00,0.00,0.02
