# ANCHORAGE_MERRILL_FIELD
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997
#
d_since_march1,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1,0.00,0.00,0.00,0.00,0.00,3.00,0.50,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,1.50,0.00,0.00,12.00,2.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,2.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00
3,0.00,0.00,5.00,0.00,0.00,13.00,2.00,0.00,0.00,0.00,8.00,0.00,4.00,0.00,0.00,0.00,1.00,6.00,2.50,0.00,0.00,0.00,0.00,0.00,6.50
4,0.00,0.00,5.00,4.50,0.00,13.00,2.00,0.00,0.00,0.00,14.50,0.00,4.00,0.00,0.00,0.00,1.00,10.00,2.50,0.00,0.00,0.00,0.00,0.00,6.50
5,0.00,0.00,5.00,4.50,0.00,13.00,2.00,0.00,0.00,0.00,20.00,0.00,4.00,0.00,0.00,0.00,1.00,16.00,3.00,0.00,0.00,0.00,0.00,0.00,6.50
6,0.00,0.00,5.00,9.00,0.00,13.00,2.00,2.50,0.00,0.00,24.50,0.00,4.00,0.00,0.00,0.00,1.00,23.00,3.00,0.00,0.00,0.00,0.00,0.00,6.50
7,0.00,0.00,5.00,11.50,0.00,13.00,2.00,7.50,0.00,0.00,31.00,0.00,4.00,0.00,0.00,5.00,1.00,23.00,3.00,0.00,0.00,0.00,0.00,0.00,6.50
8,0.00,0.00,5.00,15.50,0.00,13.00,2.00,15.00,0.00,0.00,40.00,0.00,4.00,0.00,0.00,10.00,1.00,23.00,4.00,0.00,0.00,4.50,0.00,0.00,6.50
9,0.00,0.00,5.00,22.00,0.00,13.00,4.50,20.00,0.00,0.00,44.50,0.00,4.00,0.00,0.00,10.50,1.00,23.00,4.00,0.00,0.00,10.50,0.00,0.00,8.00
10,0.00,0.00,5.00,28.50,0.00,13.00,4.50,29.50,0.00,0.00,44.50,0.50,4.00,0.00,0.00,10.50,4.50,23.00,4.00,0.00,0.00,16.00,0.00,0.00,12.00
11,0.00,0.00,5.50,36.00,0.00,13.00,4.50,37.50,0.00,0.00,44.50,0.50,4.00,0.00,0.00,10.50,5.50,23.00,8.50,0.00,0.00,16.00,0.00,0.00,14.50
12,0.00,0.50,7.50,39.50,0.00,13.00,4.50,42.50,0.00,0.00,44.50,0.50,4.00,0.00,0.00,10.50,7.00,23.00,10.50,0.00,2.00,18.00,0.00,0.00,14.50
13,2.00,1.50,10.50,42.00,0.00,13.00,6.50,46.00,0.00,0.00,44.50,0.50,4.00,0.00,0.00,10.50,7.50,23.00,10.50,0.00,2.00,23.50,0.00,0.00,14.50
