# SKAGWAY_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1987, 1990, 1992, 1993, 1994, 1995, 1996, 1997
#
d_since_march1,1982,1983,1984,1985,1986,1988,1989,1991,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
19,31.00,96.50,162.50,74.00,61.00,91.50,49.50,41.50,80.50,35.50,58.00,96.50,23.00,49.50,59.50,127.50,10.00,1.00,69.00,10.00,83.50,9.00,41.00,22.00,66.50,102.00,168.50,7.50,61.00,112.50,61.50,43.50,75.50
20,40.50,99.00,167.50,78.00,67.50,98.50,58.00,41.50,92.00,41.00,63.50,96.50,28.50,58.00,61.00,127.50,18.50,3.50,72.00,10.00,84.50,9.50,41.00,22.00,67.00,110.00,186.00,15.50,61.00,126.50,66.00,43.50,80.50
21,52.00,101.00,171.00,83.00,76.50,105.50,64.00,41.50,104.50,49.50,68.00,96.50,33.50,63.00,64.50,128.50,32.00,8.00,76.50,10.00,85.50,9.50,41.00,22.00,67.00,116.50,200.50,23.00,62.50,141.00,74.00,43.50,86.00
22,58.00,102.00,178.50,86.00,82.00,109.00,72.50,41.50,111.00,57.00,74.50,96.50,42.00,69.00,67.00,134.50,41.50,12.50,83.00,14.50,87.50,15.00,41.00,22.00,70.00,124.50,216.00,28.00,66.50,153.50,75.50,43.50,95.50
23,63.00,102.00,187.00,94.00,85.50,116.00,78.00,41.50,115.50,63.50,80.50,96.50,45.50,71.50,71.00,139.00,49.00,17.00,84.00,17.50,91.00,21.50,43.50,23.00,71.50,129.50,228.50,34.00,66.50,163.00,76.00,44.50,106.00
24,69.00,102.00,194.50,100.50,91.50,119.50,82.00,43.50,125.50,70.00,88.50,100.00,49.50,76.50,82.50,142.50,54.50,19.00,88.00,22.00,97.50,31.00,47.00,28.00,75.50,137.00,241.50,40.00,66.50,170.50,76.00,44.50,114.50
25,73.50,103.00,205.00,102.00,97.50,126.00,86.50,49.50,134.50,73.50,92.00,105.50,54.50,82.50,89.50,153.50,61.50,20.00,91.00,26.50,100.00,39.50,49.50,32.50,78.50,147.00,253.00,46.50,66.50,184.00,81.00,52.00,121.50
26,75.50,108.50,217.00,108.00,103.50,131.00,86.50,58.00,140.00,76.00,97.00,113.00,61.50,87.50,99.00,161.00,69.00,20.00,94.00,32.50,106.00,47.50,54.00,34.00,80.00,157.50,264.50,52.50,66.50,194.00,81.00,56.50,127.00
27,79.00,117.50,227.50,111.50,109.50,136.50,86.50,64.00,145.50,79.00,101.50,118.00,67.00,95.00,106.00,166.00,75.50,22.50,94.50,37.00,113.00,56.00,64.50,35.00,83.00,169.00,279.00,62.00,71.50,203.50,81.00,56.50,133.50
28,83.00,126.50,236.50,113.00,117.00,141.50,86.50,68.50,151.00,83.00,105.00,123.00,71.50,104.50,112.50,170.00,80.00,24.50,94.50,40.00,121.00,62.50,76.00,37.50,90.50,179.00,296.00,70.50,79.00,213.00,81.00,56.50,140.50
29,84.00,135.50,244.00,117.50,121.00,149.00,94.00,75.00,160.50,90.00,113.00,127.50,75.00,115.00,116.00,176.00,82.50,25.50,94.50,44.00,126.00,70.00,83.50,44.00,97.00,194.00,311.50,81.00,83.50,226.50,81.00,63.00,147.00
30,85.50,142.50,255.00,123.00,122.50,157.00,103.00,78.50,170.00,95.00,117.50,132.00,75.00,115.50,120.50,180.00,85.50,28.00,98.00,47.50,134.00,79.50,88.00,51.00,99.50,204.50,328.00,90.50,89.00,241.00,81.00,69.50,156.00
31,85.50,149.00,261.00,129.00,122.50,164.50,112.00,83.50,179.50,102.50,124.50,134.50,75.00,115.50,125.00,182.50,91.50,30.00,103.50,51.00,142.50,87.00,92.00,54.00,101.50,215.00,342.00,102.50,94.50,256.50,81.00,73.00,163.50
32,85.50,156.50,270.50,131.50,122.50,170.50,122.50,88.50,187.00,109.00,130.50,134.50,75.00,115.50,131.00,186.00,99.00,30.00,111.50,51.00,154.00,94.00,96.50,60.00,109.00,228.50,358.00,111.50,97.50,268.50,83.00,77.00,173.00
33,85.50,164.00,281.00,134.50,128.50,179.50,131.50,94.50,196.00,113.50,138.00,138.00,75.00,115.50,137.50,195.00,108.00,30.00,120.00,51.00,162.50,100.50,106.00,63.50,115.00,243.00,374.00,120.00,98.00,280.50,83.00,77.50,178.00
34,86.00,170.50,291.00,144.00,138.50,186.00,140.00,100.00,205.00,118.50,144.00,147.00,75.00,115.50,145.50,201.00,116.00,32.00,129.00,54.00,169.00,107.00,114.00,64.00,117.50,253.00,390.00,135.50,99.50,286.00,84.50,86.00,185.50
35,89.50,178.00,300.50,152.50,148.00,191.00,149.00,105.00,213.00,118.50,149.50,151.50,75.00,115.50,154.00,212.50,125.50,37.00,137.50,58.50,176.00,111.50,120.00,64.00,123.50,260.00,403.00,150.50,107.50,294.00,86.00,95.50,193.00
36,99.00,182.50,308.50,160.00,156.50,195.00,154.00,110.00,220.50,123.00,156.00,158.00,79.50,119.00,164.50,219.50,133.50,48.00,144.00,66.00,182.50,114.50,124.50,64.00,134.00,269.50,417.00,159.50,116.50,306.00,92.50,98.50,205.50
37,107.00,186.00,317.00,166.50,159.50,198.50,159.00,116.00,230.00,128.50,163.00,162.50,82.00,125.50,175.50,226.00,147.00,56.00,147.00,73.50,185.00,120.00,129.50,73.00,143.00,283.00,429.50,171.00,134.50,318.50,95.00,98.50,214.50
38,115.00,188.50,323.50,177.50,159.50,206.50,162.50,124.00,239.50,134.00,170.00,165.50,83.00,137.00,185.00,230.50,162.00,62.00,149.50,78.50,188.00,127.00,135.50,80.50,151.50,293.50,443.00,182.00,153.00,327.00,100.00,98.50,222.50
39,126.50,192.00,336.00,185.00,159.50,212.50,170.00,132.00,248.00,139.00,175.00,173.50,83.00,143.00,192.00,238.00,173.00,71.00,152.00,86.00,191.50,134.00,141.00,87.00,158.50,304.00,454.50,194.00,164.50,338.50,105.00,98.50,230.50
40,136.00,195.50,354.50,190.00,159.50,220.00,184.00,142.00,254.50,144.00,181.00,179.00,86.00,153.50,202.00,245.00,182.50,80.50,158.00,91.50,196.50,139.50,154.50,90.50,163.50,311.00,465.00,210.00,181.50,347.50,109.50,98.50,235.00
41,142.50,197.00,368.50,191.00,159.50,227.00,195.00,149.00,261.00,150.00,188.50,186.50,89.50,167.50,213.50,258.50,192.50,88.00,165.50,97.50,203.50,144.50,171.00,93.50,170.00,317.00,478.50,222.50,197.00,355.50,116.50,98.50,235.00
