# MCGRATH_AP
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
13,0.00,6.50,0.00,0.00,9.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,3.50,3.00,3.50,0.00,0.00,0.00,0.50,0.00,0.00,1.50
14,0.00,6.50,0.00,0.00,9.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,3.50,3.00,3.50,0.00,0.00,0.00,0.50,0.00,0.00,1.50
15,0.00,6.50,0.00,0.00,9.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,3.50,3.00,3.50,0.00,0.00,0.00,2.50,0.00,0.00,1.50
16,0.00,10.00,0.00,0.00,9.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,2.00,0.00,12.00,0.00,0.00,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,3.50,3.00,3.50,0.00,0.00,0.00,2.50,0.00,0.00,1.50
17,0.00,21.50,4.00,0.00,9.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,2.00,0.00,19.00,0.00,0.00,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,3.50,3.00,3.50,0.00,0.00,2.00,2.50,0.00,0.00,1.50
18,0.00,23.50,9.50,0.00,9.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,4.50,3.50,0.00,0.00,2.00,0.00,26.00,0.00,0.00,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,3.50,3.00,3.50,0.00,0.00,2.00,2.50,0.00,0.00,1.50
19,0.00,23.50,14.50,0.00,9.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,4.50,3.50,0.00,0.00,2.00,0.00,35.50,0.00,0.00,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,3.50,3.00,3.50,0.00,0.00,2.00,2.50,2.00,0.00,1.50
20,0.00,23.50,19.50,0.00,9.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,4.50,3.50,0.00,0.00,2.00,0.00,41.50,0.00,0.00,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,2.00,0.00,3.50,3.00,3.50,0.00,0.00,2.00,2.50,2.00,0.00,1.50
21,0.00,23.50,19.50,0.00,9.00,0.00,0.00,8.50,19.00,0.00,0.00,0.00,4.50,3.50,0.00,0.00,2.00,0.00,43.00,0.00,2.50,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,2.00,0.00,3.50,3.00,3.50,0.00,0.00,2.00,7.50,2.00,0.00,1.50
22,0.00,23.50,19.50,0.00,9.00,0.00,0.00,11.50,19.00,0.00,0.00,1.50,6.50,3.50,0.00,0.00,2.00,0.00,43.00,0.00,5.50,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,2.00,0.00,3.50,3.00,3.50,0.00,0.00,2.00,8.00,2.00,0.00,1.50
