# YAKUTAT_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
17,45.00,121.00,12.00,66.00,104.00,38.50,34.00,5.00,63.00,2.50,49.00,19.00,67.00,33.00,61.50,13.00,44.50,5.50,52.00,18.50,45.50,60.00,6.50,41.00,31.50,116.00,4.00,2.00,48.00,2.50,47.00,19.00,5.00,9.50,30.00,59.50,89.50,0.00,63.50,80.00,15.50,6.50,52.00
18,47.50,127.50,16.00,67.00,110.00,41.00,38.00,7.50,69.00,5.00,49.00,19.00,71.50,33.00,61.50,13.00,44.50,9.00,60.00,19.50,46.50,60.00,6.50,45.00,31.50,116.00,4.50,2.00,48.00,2.50,51.50,19.00,5.00,9.50,32.00,65.00,97.50,0.00,68.50,95.50,18.50,6.50,57.00
19,47.50,132.50,19.50,67.00,113.00,41.50,42.50,7.50,73.00,7.50,49.00,19.00,78.00,33.00,62.00,13.00,44.50,12.00,69.50,23.50,51.00,60.00,6.50,47.50,31.50,116.00,9.00,2.00,48.00,2.50,54.00,19.00,5.00,9.50,32.00,69.00,107.00,3.50,70.00,110.00,24.50,6.50,60.50
20,54.00,144.50,23.00,67.00,114.50,47.00,48.00,12.00,76.50,8.50,50.00,19.00,83.50,37.50,62.00,13.00,44.50,16.00,77.00,28.00,55.50,60.00,6.50,51.50,34.50,116.00,17.00,3.50,48.00,2.50,54.50,19.00,5.00,9.50,32.00,75.50,116.00,7.00,71.00,125.50,29.00,6.50,65.00
21,55.50,156.00,26.50,67.00,117.50,54.00,53.00,23.50,78.00,12.00,55.00,19.00,87.50,44.50,62.00,13.00,46.00,17.50,86.50,35.00,58.50,60.00,6.50,51.50,38.00,118.50,26.50,6.00,52.50,2.50,55.00,19.00,5.00,9.50,32.00,80.50,125.50,7.50,79.00,141.00,34.00,6.50,69.50
22,60.50,165.00,29.50,67.00,124.50,54.00,57.00,28.50,79.00,14.50,57.00,19.00,91.00,48.00,62.00,13.00,50.00,19.50,91.50,42.00,60.50,60.00,6.50,51.50,39.00,126.50,29.50,8.00,58.50,4.00,60.00,25.00,5.00,9.50,32.00,84.50,135.50,9.00,85.00,152.50,35.50,8.50,74.50
23,67.00,178.00,33.50,69.00,128.50,54.00,60.00,35.00,80.00,17.00,58.00,19.00,93.50,51.50,67.50,13.00,52.50,23.00,99.00,47.00,66.50,64.50,6.50,52.50,40.00,130.50,30.00,8.00,60.50,4.00,64.00,28.50,5.00,12.50,32.00,88.00,147.00,11.50,85.00,162.00,36.50,10.00,81.50
24,72.00,191.00,34.50,75.50,134.50,54.00,68.50,40.50,80.00,20.50,64.00,19.00,100.00,51.50,74.00,13.00,55.00,24.50,103.50,51.50,71.00,76.00,9.50,55.00,44.00,135.00,32.50,8.00,60.50,4.00,67.00,33.00,5.00,13.50,33.50,93.50,155.00,11.50,85.00,168.00,36.50,10.00,86.50
25,77.50,201.50,35.00,84.50,143.00,54.00,74.50,46.00,81.00,21.00,71.00,23.50,103.00,51.50,79.00,15.00,56.50,26.50,104.50,52.00,77.50,82.00,13.50,56.00,46.50,143.50,35.50,8.00,60.50,6.50,67.00,39.50,5.00,13.50,33.50,103.00,163.50,16.00,85.00,182.00,38.50,15.00,91.50
26,84.00,207.50,35.50,90.50,149.00,54.00,78.00,49.50,82.50,21.00,78.50,27.00,104.50,51.50,82.50,24.50,58.50,32.00,108.00,52.00,77.50,83.50,13.50,58.50,50.00,149.00,36.50,8.00,60.50,8.00,73.00,47.50,10.00,13.50,33.50,110.50,173.50,19.00,87.50,190.50,39.00,15.00,95.00
