# KETCHIKAN_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1981, 1982, 1985, 1986, 1987, 1988
#
d_since_march1,1980,1983,1984,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
17,88.77,142.00,176.00,50.50,128.50,56.00,139.50,89.00,147.50,95.50,124.50,50.50,110.00,61.50,123.00,120.50,26.00,88.50,100.50,182.00,28.00,78.50,104.50,49.50,110.50,79.00,53.50,78.00,100.50,176.50,177.00,28.01,132.50,96.50,75.00,86.50,132.00
18,95.77,151.00,186.00,54.50,136.50,60.00,146.50,92.50,152.00,99.00,135.50,60.00,124.00,69.50,128.00,126.00,26.00,92.50,104.00,182.00,30.00,81.00,110.00,52.00,118.50,88.00,55.00,82.50,105.50,191.00,191.50,28.01,142.00,111.50,84.00,90.00,136.50
19,104.27,159.50,195.00,62.00,142.00,63.50,158.50,101.00,158.50,103.50,146.50,66.00,134.50,77.50,135.50,126.00,26.00,101.50,113.00,182.00,36.50,84.50,115.50,54.00,128.00,95.50,61.00,84.00,110.00,205.00,207.50,32.51,147.50,130.50,92.50,92.00,141.00
20,114.77,168.50,205.50,72.50,152.00,66.00,168.00,110.50,163.50,107.50,154.00,74.50,148.00,87.00,145.50,126.00,28.50,109.50,126.00,184.50,44.50,91.50,119.50,54.00,136.50,101.50,66.00,87.00,116.50,216.00,223.00,35.51,152.50,146.50,101.50,98.00,152.00
21,122.54,175.00,217.00,79.00,155.00,67.50,177.50,122.50,171.50,112.00,160.50,83.50,165.50,96.00,153.00,126.00,34.50,118.50,134.50,192.00,53.50,101.00,127.50,57.50,149.00,106.50,70.50,89.00,122.50,225.00,238.00,39.51,164.50,162.00,106.50,103.50,162.50
22,131.04,181.50,230.50,84.50,160.50,72.00,184.00,131.50,179.50,113.00,167.50,87.50,180.00,105.00,160.00,128.00,38.50,123.00,146.50,197.50,63.00,112.00,130.50,61.50,160.00,117.50,72.00,93.50,126.00,234.50,250.50,43.51,170.50,171.50,117.50,112.00,170.50
23,138.04,188.50,242.50,90.00,167.50,77.50,192.50,136.50,185.50,114.50,172.50,96.00,191.50,114.50,168.00,137.50,44.50,131.50,155.50,202.50,70.50,119.50,133.00,64.00,171.50,126.00,72.00,104.50,131.00,248.50,263.50,49.01,177.00,181.50,125.50,121.00,182.00
24,143.04,195.50,256.00,99.00,180.00,84.50,203.00,139.50,195.00,121.50,180.00,105.50,198.00,120.00,179.00,150.00,49.00,140.00,165.00,211.00,76.00,127.00,136.00,65.50,181.50,135.50,74.50,114.00,141.50,262.00,276.00,53.51,184.50,195.00,129.00,129.50,190.00
25,148.04,207.00,269.00,107.50,191.50,92.50,208.50,144.50,208.00,133.00,191.00,114.00,203.00,125.50,188.00,158.50,56.50,148.00,174.50,220.50,83.50,130.00,138.50,71.00,191.00,147.00,81.50,121.00,148.00,275.50,286.50,63.01,194.00,204.00,136.00,136.50,200.00
26,156.04,218.50,280.00,115.50,199.32,101.50,211.00,148.00,220.00,146.00,198.00,118.00,206.50,130.00,193.00,165.00,62.00,157.50,187.00,227.50,91.00,131.50,141.00,77.00,204.00,155.00,92.50,128.00,153.00,287.50,300.00,71.01,205.00,217.00,146.50,143.50,212.00
