# HAINES_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1987, 1991, 1993, 1994, 1995, 1997, 1998
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1988,1989,1990,1992,1996,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,0.00,4.00,0.00,1.50,2.50,1.50,1.00,5.50,0.00,2.50,0.00,0.00,0.00,3.00,4.00,3.50,7.00,0.00,5.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,4.50,0.00,6.50,3.00,0.00,0.00,2.50,5.00,3.00,5.50
1,0.00,9.00,0.00,1.50,5.50,3.00,1.00,12.50,0.50,4.50,0.00,8.50,1.50,6.50,7.50,9.50,10.00,0.00,14.00,0.00,0.00,0.00,0.00,15.50,0.00,3.00,7.00,0.00,10.50,4.00,0.00,0.00,2.50,10.00,7.50,10.00
2,0.00,10.50,0.00,1.50,10.00,4.50,1.00,17.50,0.50,9.50,2.00,14.00,1.50,11.50,7.50,11.50,15.00,0.00,21.00,0.00,0.00,0.00,0.00,19.50,0.00,4.50,7.00,0.00,14.50,4.00,0.00,0.00,2.50,13.50,9.50,13.50
3,0.00,10.50,0.00,1.50,14.00,4.50,1.00,21.00,0.50,18.00,2.00,15.50,1.50,13.00,7.50,11.50,19.50,0.00,26.50,0.00,0.00,3.00,0.00,24.50,0.00,4.50,7.00,0.00,18.50,5.50,0.00,0.00,2.50,13.50,11.50,13.50
4,0.00,10.50,0.00,1.50,21.00,4.50,1.00,26.50,0.50,25.50,2.00,15.50,1.50,13.00,7.50,11.50,19.50,0.00,37.00,2.50,0.00,7.00,0.00,26.00,0.00,4.50,7.00,0.00,24.00,11.00,0.00,0.00,2.50,13.50,13.00,18.00
5,0.00,11.50,0.00,1.50,26.00,4.50,1.00,30.50,0.50,32.00,2.00,15.50,1.50,13.00,12.50,11.50,19.50,3.00,42.50,4.00,0.00,14.00,0.00,30.50,0.00,4.50,7.00,0.00,31.50,18.00,0.00,0.00,2.50,13.50,18.00,25.00
6,1.00,11.50,0.00,1.50,32.00,4.50,1.00,36.00,0.50,38.00,2.00,15.50,1.50,13.00,20.00,11.50,19.50,9.00,49.50,6.50,2.50,22.00,0.00,30.50,0.00,4.50,7.00,0.00,41.00,25.00,0.00,0.00,2.50,13.50,21.50,28.50
7,4.50,12.00,0.00,1.50,39.50,6.00,1.00,43.50,0.50,38.00,3.00,15.50,1.50,13.00,26.50,11.50,19.50,14.00,59.00,10.00,3.00,27.50,0.00,30.50,0.00,6.00,7.00,0.00,49.50,29.50,0.00,0.00,2.50,13.50,21.50,28.50
8,12.00,17.50,0.00,1.50,47.00,12.00,1.00,51.50,0.50,38.00,9.50,15.50,1.50,13.00,33.00,11.50,19.50,17.00,70.00,10.00,3.00,32.00,0.00,35.00,0.00,9.50,10.50,0.00,53.00,32.50,0.00,3.00,3.00,17.00,21.50,28.50
9,18.00,25.50,2.00,3.00,54.50,16.50,1.00,58.50,0.50,38.00,16.00,19.00,7.00,13.00,40.00,11.50,19.50,21.00,79.00,10.00,3.00,35.00,0.00,35.00,0.00,10.00,16.00,6.50,53.00,39.00,0.00,5.00,6.00,19.00,21.50,28.50
10,19.50,33.50,2.00,12.00,63.00,20.50,7.00,67.00,0.50,38.00,26.00,27.50,11.00,13.00,49.00,11.50,19.50,25.50,89.00,10.00,3.00,38.00,0.00,35.00,0.00,11.00,17.00,11.50,53.00,47.00,0.00,9.00,13.00,19.00,25.00,30.50
11,19.50,41.50,3.50,19.50,72.50,27.00,15.00,74.00,0.50,42.00,32.00,32.50,17.50,13.50,57.50,11.50,19.50,28.00,102.00,10.00,3.50,38.00,0.00,35.00,0.00,11.00,17.00,17.50,53.00,52.00,0.00,12.00,19.00,19.00,25.00,36.00
12,19.50,47.50,3.50,27.50,85.00,30.00,22.50,76.00,6.50,47.50,37.00,41.50,21.50,17.00,63.00,11.50,19.50,30.00,111.50,10.00,3.50,39.50,3.00,36.50,0.00,11.00,17.00,22.00,56.00,59.00,0.00,22.00,24.50,19.00,25.00,36.00
13,19.50,52.50,3.50,35.50,93.50,33.50,31.00,81.00,18.50,55.50,46.50,49.50,23.50,19.50,68.00,11.50,19.50,30.00,120.50,10.00,3.50,39.50,3.00,41.00,0.00,11.00,17.00,26.00,56.00,64.50,0.00,28.50,30.00,19.00,25.00,36.00
14,19.50,58.50,3.50,45.00,96.00,37.00,38.50,86.00,29.00,63.50,53.50,56.50,26.00,22.50,73.50,11.50,19.50,33.50,127.50,10.00,3.50,39.50,3.00,45.50,0.00,11.00,17.00,30.50,56.00,67.50,0.00,33.50,35.00,24.00,25.00,36.00
15,19.50,67.50,3.50,51.50,100.00,42.00,44.00,90.00,37.50,72.00,62.00,62.50,28.50,28.00,79.00,11.50,19.50,38.50,132.50,10.00,3.50,39.50,3.00,52.00,0.00,12.50,17.00,32.50,58.00,74.50,0.00,39.00,41.50,24.50,27.00,43.50
