# JUNEAU_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
17,27.50,111.50,16.00,65.00,118.00,64.50,64.50,28.00,99.00,12.00,79.00,31.50,82.00,55.50,88.00,22.50,54.00,6.50,58.00,28.50,65.00,87.50,13.00,30.50,44.00,124.00,4.00,7.00,70.00,3.00,70.00,2.50,36.00,14.50,44.50,68.50,97.50,1.00,50.00,83.00,23.00,44.00,67.50
18,33.00,116.50,22.00,70.00,126.50,71.50,69.50,33.00,107.50,17.00,79.00,33.00,90.00,60.00,88.00,22.50,58.00,14.00,64.00,29.00,70.50,87.50,13.00,35.00,44.00,124.00,4.00,7.00,72.50,3.50,72.00,2.50,36.00,14.50,45.00,75.00,107.50,1.00,54.00,96.50,29.00,44.00,76.50
19,39.00,125.50,27.00,71.00,133.50,77.00,77.00,38.00,113.00,24.00,79.00,33.50,101.00,64.50,91.00,22.50,58.00,19.50,68.50,34.50,76.50,87.50,13.00,40.50,44.00,124.00,8.50,7.00,75.50,3.50,76.00,2.50,36.00,14.50,46.50,82.00,118.00,2.00,56.50,106.00,32.50,44.00,83.00
20,46.00,132.50,32.50,71.00,139.50,81.00,83.00,43.00,119.00,30.00,79.00,35.50,107.00,73.50,91.00,23.00,58.00,23.50,78.50,40.00,83.00,87.50,17.50,46.00,46.00,124.00,13.50,9.50,78.50,3.50,78.50,2.50,36.00,14.50,46.50,89.50,129.00,3.00,57.50,117.50,34.50,44.50,88.50
21,54.50,138.50,38.50,71.00,145.00,84.50,86.50,51.50,126.00,34.50,83.50,35.50,111.00,84.00,91.00,23.00,58.50,31.00,87.00,49.50,88.50,87.50,20.50,51.00,47.50,132.00,20.00,14.00,84.00,3.50,81.50,3.50,36.00,14.50,46.50,95.00,140.00,7.00,61.00,129.00,43.00,45.00,97.50
22,60.00,150.50,43.00,71.00,153.50,91.00,90.00,63.00,132.00,38.50,89.50,35.50,115.00,92.00,91.00,23.00,59.50,37.00,91.50,58.00,95.00,87.50,26.00,54.50,49.00,135.00,28.00,18.00,87.50,6.50,87.00,5.00,36.00,14.50,46.50,100.50,151.00,7.50,62.00,141.50,43.00,47.00,104.00
23,63.50,162.00,46.00,71.00,163.50,95.00,91.50,72.00,137.00,43.00,91.00,35.50,119.50,97.00,95.50,23.00,61.50,43.00,95.50,63.00,101.50,87.50,28.50,57.50,55.50,137.00,34.00,20.00,92.50,8.50,93.50,9.00,36.50,18.50,48.00,105.50,161.00,8.50,62.00,151.50,43.00,48.00,112.50
24,68.50,171.00,51.00,71.00,175.50,96.50,96.00,82.00,141.00,49.50,97.50,37.00,127.00,101.00,105.00,23.00,64.50,43.00,103.00,70.00,110.50,95.00,30.50,60.50,63.50,139.50,36.50,22.00,95.50,8.50,98.00,15.00,38.50,25.00,53.00,111.50,173.50,12.00,62.00,159.00,43.00,48.00,119.50
25,75.50,181.00,53.50,75.00,185.00,97.50,104.50,90.50,146.50,54.50,106.00,43.00,133.50,104.50,116.50,23.00,68.00,43.00,107.00,76.00,117.50,101.00,36.00,64.50,70.50,150.00,43.00,22.00,98.00,12.00,101.00,21.00,41.50,30.00,55.50,122.00,183.00,16.50,62.00,170.50,50.00,53.50,125.50
26,81.50,191.00,55.50,79.00,195.50,101.50,111.00,98.00,151.50,54.50,114.50,49.00,137.50,106.50,123.00,24.50,73.00,47.00,111.50,76.00,122.50,104.50,42.00,68.50,77.00,158.00,49.50,23.00,99.00,15.50,109.00,27.50,47.00,31.50,55.50,131.00,193.50,21.50,62.50,180.00,50.00,57.00,130.50
