ALYESKA
1980-01-01,2,-8,-3.0,38,M
1980-01-02,-2,-10,-6.0,38,M
1980-01-03,15,-6,4.5,38,M
1980-01-04,13,-4,4.5,37,M
1980-01-05,28,-2,13.0,38,M
1980-01-06,32,22,27.0,38,M
1980-01-07,25,21,23.0,38,M
1980-01-08,22,10,16.0,37,M
1980-01-09,17,4,10.5,36,M
1980-01-10,18,3,10.5,36,M
1980-01-11,11,-10,0.5,35,M
1980-01-12,-2,-13,-7.5,35,M
1980-01-13,-5,-13,-9.0,35,M
1980-01-14,5,-7,-1.0,42,M
1980-01-15,15,-2,6.5,48,M
1980-01-16,14,5,9.5,50,M
1980-01-17,20,2,11.0,50,M
1980-01-18,40,5,22.5,42,M
1980-01-19,40,35,37.5,40,M
1980-01-20,39,29,34.0,38,M
1980-01-21,45,32,38.5,36,M
1980-01-22,41,32,36.5,34,M
1980-01-23,40,10,25.0,36,M
1980-01-24,15,5,10.0,36,M
1980-01-25,15,7,11.0,36,M
1980-01-26,26,9,17.5,36,M
1980-01-27,25,10,17.5,35,M
1980-01-28,24,18,21.0,35,M
1980-01-29,23,12,17.5,35,M
1980-01-30,19,7,13.0,35,M
1980-01-31,17,5,11.0,35,M
1980-02-01,19,8,13.5,42,M
1980-02-02,40,18,29.0,43,M
1980-02-03,38,31,34.5,44,M
1980-02-04,34,26,30.0,50,M
1980-02-05,38,29,33.5,48,M
1980-02-06,41,35,38.0,48,M
1980-02-07,41,28,34.5,46,M
1980-02-08,33,21,27.0,46,M
1980-02-09,35,31,33.0,52,M
1980-02-10,40,31,35.5,48,M
1980-02-11,47,36,41.5,48,M
1980-02-12,46,37,41.5,46,M
1980-02-13,46,27,36.5,44,M
1980-02-14,35,19,27.0,43,M
1980-02-15,38,18,28.0,42,M
1980-02-16,32,18,25.0,42,M
1980-02-17,29,12,20.5,42,M
1980-02-18,25,10,17.5,42,M
1980-02-19,23,11,17.0,42,M
1980-02-20,22,12,17.0,42,M
1980-02-21,28,11,19.5,43,M
1980-02-22,35,18,26.5,48,M
1980-02-23,39,31,35.0,44,M
1980-02-24,42,29,35.5,42,M
1980-02-25,36,23,29.5,42,M
1980-02-26,33,22,27.5,42,M
1980-02-27,30,20,25.0,42,M
1980-02-28,36,25,30.5,42,M
1980-02-29,43,18,30.5,42,M
1980-03-01,43,21,32.0,42,M
1980-03-02,37,21,29.0,42,M
1980-03-03,40,29,34.5,42,M
1980-03-04,37,29,33.0,42,M
1980-03-05,38,32,35.0,40,M
1980-03-06,38,30,34.0,40,M
1980-03-07,40,31,35.5,40,M
1980-03-08,36,30,33.0,40,M
1980-03-09,35,27,31.0,40,M
1980-03-10,36,16,26.0,40,M
1980-03-11,32,17,24.5,40,M
1980-03-12,22,15,18.5,40,M
1980-03-13,29,11,20.0,40,M
1980-03-14,24,6,15.0,40,M
1980-03-15,19,4,11.5,42,M
1980-03-16,24,6,15.0,42,M
1980-03-17,21,7,14.0,42,M
1980-03-18,28,11,19.5,44,M
1980-03-19,35,13,24.0,44,M
1980-03-20,35,13,24.0,44,M
1980-03-21,35,26,30.5,48,M
1980-03-22,43,20,31.5,46,M
1980-03-23,42,26,34.0,46,M
