# All climatologies for cumulative TDD, 1991-2020
# Cumulative thawing degree days starting March 1 from ACIS
#
d_since_march1,GULKANA_AIRPORT,TANANA_AIRPORT,KETCHIKAN_AIRPORT,COLLEGE_OBSERVATORY,AUKE_BAY,BETHEL_AIRPORT,ANCHORAGE_MERRILL_FIELD,SKAGWAY_AIRPORT,EAGLE,BIG_DELTA_AIRPORT,BARROW_AIRPORT,KOTZEBUE_AIRPORT,JUNEAU_AIRPORT,KODIAK_AIRPORT,ILIAMNA_AIRPORT,HAINES_AIRPORT,KING_SALMON_AIRPORT,CORDOVA_AIRPORT,SITKA_AIRPORT,MCGRATH_AP,COLD_BAY_AIRPORT,TALKEETNA_AIRPORT,SAINT_PAUL_ISLAND_AIRPORT,KENAI_AIRPORT,NORTH_POLE,NOME_AIRPORT,BETTLES_AIRPORT,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,YAKUTAT_AIRPORT,ALYESKA,NENANA_MUN_AP,HOMER_AIRPORT,NORTHWAY_AIRPORT,CHICKEN,FAIRBANKS_INTL_AP,DUTCH_HARBOR,MCKINLEY_PARK
11,0.00,0.00,46.24,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.02,0.00,0.00,0.00,0.00,47.89,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.01,0.00
12,0.00,0.00,53.16,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,2.02,0.00,0.00,0.00,0.00,53.45,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.33,0.00
13,0.00,0.00,59.31,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,2.02,0.00,0.00,0.00,0.00,58.06,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.53,0.00
14,0.00,0.00,64.29,0.00,2.06,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.77,2.02,0.00,0.00,0.00,0.00,62.80,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.67,0.00
15,0.00,0.00,68.91,0.00,3.32,0.00,0.00,1.19,0.00,0.00,0.00,0.00,1.34,2.02,0.00,0.00,0.00,0.00,67.75,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.60,0.00
16,0.00,0.00,74.26,0.00,5.11,0.00,0.00,3.21,0.00,0.00,0.00,0.00,2.46,2.62,0.00,0.04,0.00,0.00,73.27,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.78,0.00
17,0.00,0.00,79.78,0.00,7.08,0.00,0.00,4.44,0.00,0.00,0.00,0.00,3.21,2.99,0.00,0.04,0.00,0.00,78.32,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.85,0.00
18,0.00,0.00,85.75,0.00,9.26,0.00,0.00,5.48,0.00,0.00,0.00,0.00,4.36,2.99,0.00,0.19,0.00,0.00,84.52,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.03,0.00
19,0.00,0.00,92.42,0.00,11.35,0.00,0.00,7.75,0.00,0.00,0.00,0.00,5.58,3.07,0.00,0.73,0.00,0.00,91.39,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,40.34,0.00
20,0.00,0.00,99.24,0.00,14.67,0.00,0.00,10.60,0.00,0.00,0.00,0.00,7.65,3.70,0.00,1.82,0.00,0.00,98.01,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,40.91,0.00
21,0.00,0.00,107.01,0.00,17.86,0.00,0.00,13.85,0.00,0.00,0.00,0.00,10.58,5.70,0.00,3.36,0.00,0.00,105.39,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,0.00,0.00,0.00,0.00,0.00,0.00,41.96,0.00
22,0.00,0.00,114.01,0.00,21.27,0.00,0.00,18.27,0.00,0.00,0.00,0.00,13.05,7.27,0.00,6.40,0.00,1.00,112.29,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.11,0.00,0.00,0.00,0.00,0.00,0.00,44.96,0.00
23,0.00,0.00,121.34,0.00,25.05,0.00,0.00,22.00,0.00,0.00,0.00,0.00,16.15,10.19,0.00,9.42,0.00,3.18,119.09,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,48.47,0.00
24,0.00,0.00,129.17,0.00,29.66,0.00,0.00,27.31,0.00,0.00,0.00,0.00,20.00,12.99,0.00,13.59,0.00,4.75,127.06,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.71,0.00,0.00,0.16,0.00,0.00,0.00,50.74,0.00
25,0.00,0.00,137.30,0.00,35.04,0.00,0.00,32.89,0.00,0.00,0.00,0.00,24.90,15.07,0.00,18.00,0.00,6.40,134.81,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.14,0.00,0.00,0.52,0.00,0.00,0.00,52.60,0.00
26,0.00,0.00,145.12,0.00,40.23,0.00,0.00,38.31,0.00,0.00,0.00,0.00,29.35,16.64,0.00,22.02,0.00,8.48,142.01,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.77,0.00,0.00,0.52,0.00,0.00,0.00,54.85,0.00
27,0.00,0.00,153.04,0.00,45.48,0.00,0.00,43.96,0.00,0.00,0.00,0.00,34.28,19.01,0.00,26.00,0.00,10.50,150.06,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.24,0.00,0.00,1.26,0.00,0.00,0.00,58.08,0.00
28,0.00,0.00,161.67,0.00,50.56,0.00,0.00,49.54,0.00,0.00,0.00,0.00,39.08,21.08,0.00,30.74,0.00,13.03,158.49,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.77,0.00,0.00,1.88,0.00,0.00,0.00,60.54,0.00
29,0.00,0.00,170.25,0.00,56.13,0.00,0.00,55.62,0.00,0.00,0.00,0.00,44.33,22.76,0.00,35.63,0.00,14.66,166.27,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.92,0.00,0.00,1.88,0.00,0.00,0.00,62.93,0.00
30,0.00,0.00,178.98,0.00,61.80,0.00,0.00,60.85,0.00,0.00,0.00,0.00,49.20,24.49,0.00,40.15,0.00,16.59,173.45,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.44,0.00,0.00,2.78,0.00,0.00,0.00,64.88,0.00
31,0.00,0.00,186.85,0.00,66.50,0.00,0.00,66.14,0.00,0.00,0.00,0.00,52.93,27.19,0.00,44.72,0.00,18.19,181.17,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.02,0.30,0.00,4.16,0.00,0.00,0.00,66.99,0.00
32,0.00,0.00,194.57,0.00,71.47,0.00,0.91,71.68,0.00,0.00,0.00,0.00,57.26,30.86,0.00,48.92,0.00,20.26,188.44,0.00,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.57,23.84,1.32,0.00,6.35,0.00,0.00,0.00,69.66,0.00
33,0.00,0.00,202.05,0.00,76.61,0.00,2.41,77.53,0.00,0.00,0.00,0.00,61.64,35.66,0.00,53.18,0.00,23.34,196.12,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,1.14,26.52,2.77,0.00,9.14,0.00,0.00,0.00,72.89,0.00
34,0.00,0.00,210.27,0.00,82.25,0.00,4.82,83.32,0.00,0.00,0.00,0.00,66.79,40.18,0.00,57.55,0.00,26.89,204.65,0.00,5.03,0.50,0.00,0.10,0.00,0.00,0.00,2.99,29.49,5.31,0.00,12.36,0.00,0.00,0.00,77.14,0.00
35,0.00,0.00,219.62,0.00,88.87,0.00,7.60,89.09,0.00,0.00,0.00,0.00,72.57,45.40,0.00,61.85,0.00,31.46,213.97,0.00,6.10,2.48,0.00,1.92,0.00,0.00,0.00,5.37,33.62,8.36,0.00,16.15,0.00,0.00,0.00,80.78,0.00
36,0.00,0.00,229.55,0.00,95.49,0.00,9.95,96.26,0.00,0.00,0.00,0.00,78.94,49.53,0.00,67.85,0.00,35.61,223.17,0.00,7.28,3.51,0.00,2.49,0.00,0.00,0.00,7.12,38.12,11.74,0.00,18.93,0.00,0.00,0.00,83.83,0.00
37,0.00,0.00,239.52,0.00,103.02,0.00,12.65,104.28,0.00,0.00,0.00,0.00,86.57,53.36,0.00,74.96,0.00,39.68,232.21,0.00,7.81,3.96,0.00,3.02,0.00,0.00,0.00,9.02,42.90,14.55,0.00,21.84,0.00,0.00,0.00,87.44,0.00
38,0.00,0.00,248.82,0.00,111.47,0.00,14.85,112.07,0.00,0.00,0.00,0.00,93.55,57.08,0.00,82.53,0.00,43.58,240.99,0.00,8.49,4.08,0.00,3.17,0.00,0.00,0.00,10.89,46.85,17.07,0.00,24.96,0.00,0.00,0.00,90.85,0.00
39,0.00,0.00,258.32,0.00,119.42,0.00,17.84,119.38,0.00,0.00,0.00,0.00,100.40,61.26,0.00,89.51,1.05,47.56,249.91,0.00,9.71,5.16,0.00,4.72,0.00,0.00,0.00,13.36,50.80,19.75,0.00,28.27,0.00,0.00,0.00,94.05,0.00
40,0.00,0.00,268.04,0.00,127.82,0.00,21.06,127.32,0.00,0.00,0.00,0.00,107.42,66.13,0.80,96.92,2.65,51.16,259.21,0.00,11.14,6.24,0.00,6.14,0.00,0.00,0.00,16.43,54.92,22.68,0.00,32.72,0.00,0.00,0.00,98.30,0.00
41,0.00,0.00,278.06,0.00,135.99,0.00,24.60,136.01,0.00,0.00,0.00,0.00,114.59,70.31,1.32,105.35,3.08,55.63,268.68,0.00,12.42,7.24,0.00,7.82,0.00,0.00,0.00,19.35,60.04,25.54,0.00,36.41,0.00,0.00,0.00,102.96,0.00
42,0.00,0.00,288.53,0.00,145.03,0.00,28.75,144.41,0.00,0.00,0.00,0.00,122.71,75.36,1.82,113.92,3.11,60.13,278.63,0.00,14.44,9.11,0.00,9.60,0.00,0.00,0.00,22.53,65.74,29.18,0.00,40.82,0.00,0.00,0.00,107.14,0.00
43,0.00,0.00,299.05,0.00,154.65,0.00,33.45,154.66,0.00,0.00,0.00,0.00,131.31,81.19,3.09,123.42,4.16,64.80,288.43,0.00,17.19,11.24,0.00,11.53,0.00,0.00,0.00,26.66,71.59,33.39,0.00,44.89,0.00,0.00,0.00,110.73,0.00
44,0.00,0.00,310.47,0.00,164.17,0.00,39.06,164.54,0.00,0.42,0.00,0.00,139.43,88.39,5.27,132.31,7.39,70.20,299.00,0.00,20.14,14.66,0.00,15.01,0.59,0.00,0.00,31.39,77.32,37.46,0.00,50.30,0.00,0.00,0.45,115.68,0.00
45,0.76,0.00,322.15,0.54,173.67,0.00,45.13,173.66,0.00,1.52,0.00,0.00,148.28,94.57,7.97,141.20,10.62,76.55,309.92,0.00,22.84,18.76,0.00,19.28,1.13,0.00,0.00,36.71,84.00,42.67,0.00,55.89,0.00,0.00,0.90,120.66,0.00
46,1.33,0.00,334.40,0.54,184.08,0.00,51.54,183.01,0.00,1.85,0.00,0.00,157.41,100.40,9.88,150.83,13.50,82.42,321.40,0.00,26.47,22.54,0.00,23.20,1.70,0.00,0.00,41.98,90.43,47.19,0.00,61.48,0.00,0.00,1.63,125.77,0.00
47,2.54,0.00,345.48,0.81,194.51,0.00,59.02,192.30,0.00,3.39,0.00,0.00,166.69,106.73,12.50,160.68,17.67,88.87,332.18,0.22,30.09,27.04,0.00,27.90,3.63,0.00,0.00,47.61,96.33,51.58,0.71,67.82,0.00,0.00,3.96,131.25,0.00
48,5.97,0.00,356.40,3.37,204.75,0.00,67.09,202.11,0.00,8.16,0.00,0.00,175.94,114.01,16.54,170.27,23.20,95.49,342.85,2.32,33.11,32.94,0.00,33.75,7.46,0.00,0.00,54.31,102.73,57.08,2.52,75.32,0.67,0.00,8.19,136.09,0.00
49,9.37,0.00,367.65,7.41,215.47,0.00,75.76,212.63,0.00,13.20,0.00,0.00,185.96,121.03,20.92,180.53,27.88,101.64,354.67,4.84,35.91,39.74,0.00,40.05,11.57,0.00,0.00,61.83,109.90,63.04,5.48,82.75,3.20,0.00,12.86,140.64,0.00
50,13.47,1.03,379.42,12.49,226.81,0.00,84.89,224.11,2.60,20.16,0.00,0.00,196.48,128.13,25.08,191.66,33.85,108.54,366.22,8.22,39.11,46.02,0.00,46.25,17.14,0.00,0.00,70.18,117.27,69.31,10.31,90.16,6.12,0.00,19.51,145.69,1.21
51,17.75,2.96,391.67,18.36,238.45,1.60,94.22,235.34,5.94,26.66,0.00,0.00,207.38,135.45,29.96,202.68,39.80,116.06,378.05,12.94,42.64,53.34,0.00,52.72,22.91,0.00,0.00,78.21,125.10,75.65,14.93,97.69,9.20,0.00,26.74,151.03,2.38
52,22.47,5.99,404.22,25.60,251.02,3.93,103.50,247.17,10.78,34.43,0.00,0.00,218.75,143.30,36.30,213.72,47.02,124.41,390.73,18.54,47.71,60.97,0.00,60.52,30.61,0.00,0.00,86.79,133.75,82.19,21.62,106.29,13.02,1.48,35.41,156.30,4.43
53,28.04,9.85,417.35,35.22,263.24,5.81,112.89,259.82,17.07,42.56,0.00,0.00,229.95,151.98,43.05,225.35,54.80,133.01,404.00,24.47,52.51,68.80,0.00,68.68,38.32,0.00,0.00,95.47,142.80,89.90,28.29,114.34,18.04,3.65,44.43,162.32,7.38
54,33.71,14.16,430.70,44.22,276.10,8.36,123.04,272.15,23.30,50.27,0.00,0.00,241.73,161.40,50.17,237.42,62.52,141.71,417.20,30.62,57.38,77.33,0.03,76.56,44.57,0.00,0.05,105.04,152.00,98.31,34.62,122.84,22.94,6.17,52.78,168.05,10.71
55,40.31,17.40,444.48,52.09,289.63,11.71,133.84,285.67,28.26,57.42,0.00,0.00,254.38,170.63,57.56,250.42,70.99,150.91,430.73,37.09,62.63,86.06,0.03,85.59,52.05,0.00,0.50,114.86,162.02,106.97,40.19,131.58,28.77,8.27,60.95,173.57,13.54
56,47.15,22.12,458.88,60.13,303.05,15.56,144.99,299.34,34.05,65.61,0.00,0.00,267.00,180.63,65.61,263.27,79.24,160.81,443.75,43.76,67.38,95.66,0.19,95.02,60.10,0.00,1.55,125.16,171.65,115.17,47.12,140.98,35.64,9.77,70.45,180.00,15.11
57,54.77,27.79,473.21,69.98,316.39,18.36,157.58,312.63,40.57,74.92,0.00,0.00,279.40,189.96,73.49,276.60,86.99,170.49,456.80,50.99,72.65,105.01,1.16,104.09,69.51,0.00,3.30,136.48,181.02,124.65,54.17,150.48,43.44,12.10,80.35,187.02,18.70
58,61.77,33.39,486.63,78.96,329.99,21.86,169.56,325.63,46.77,83.27,0.00,0.00,291.85,199.91,80.95,289.01,95.42,179.96,469.97,57.94,77.37,114.23,2.87,113.69,78.26,0.00,5.32,146.85,190.15,134.10,61.60,160.15,50.66,16.08,89.58,193.66,21.73
59,69.18,40.36,500.08,88.27,342.92,26.73,182.86,339.07,52.78,92.89,0.00,0.00,304.05,209.38,89.45,302.01,103.94,189.36,482.92,65.77,83.27,123.18,4.08,123.61,87.81,0.00,8.15,158.33,199.17,143.15,70.84,169.89,58.06,21.12,100.23,201.34,25.73
60,76.73,47.88,513.60,98.73,356.16,32.23,196.12,352.90,59.48,102.47,0.00,0.00,316.57,218.30,97.27,315.40,112.71,199.29,495.94,74.00,88.94,133.28,4.89,133.46,97.92,0.00,11.27,170.16,208.72,152.58,80.36,179.58,65.49,26.02,111.15,209.59,30.54
61,84.61,54.26,528.25,108.33,369.94,36.38,208.55,367.59,68.30,111.84,0.00,0.00,329.52,227.70,105.61,329.25,121.08,209.67,509.84,81.72,94.86,143.73,5.39,143.43,107.27,0.00,13.92,181.34,219.20,162.56,89.67,188.84,72.67,31.21,121.62,217.48,35.47
62,92.28,60.12,543.27,117.96,384.41,40.88,220.94,382.94,76.05,120.51,0.00,0.00,343.37,237.75,113.41,343.49,129.58,219.60,524.36,89.54,101.16,153.31,7.15,152.80,115.16,0.00,16.67,192.51,229.98,172.18,98.22,198.48,79.62,37.16,132.14,225.09,40.04
63,101.07,66.19,557.42,128.15,399.01,44.18,233.98,397.61,83.28,130.20,0.00,0.00,356.39,248.67,121.87,357.20,138.48,230.37,538.03,97.47,106.79,163.71,8.63,162.36,123.87,0.00,19.32,203.94,240.38,182.57,108.05,208.05,87.34,42.52,143.04,232.64,45.03
64,109.31,72.07,571.97,137.15,412.80,47.55,247.39,411.84,91.16,139.80,0.00,0.00,369.34,259.65,131.07,370.73,146.13,240.60,551.85,105.49,112.24,174.29,9.77,172.16,132.16,0.00,22.29,215.52,249.90,192.73,118.12,217.96,95.17,48.65,153.82,240.14,49.62
65,117.88,79.45,586.50,146.80,426.71,53.52,260.26,426.34,98.62,149.51,0.00,0.00,381.99,270.55,139.87,385.08,155.20,250.33,565.38,114.81,118.02,184.86,10.58,182.56,141.96,0.00,25.84,226.64,259.37,203.52,127.56,228.03,104.15,54.34,165.05,247.69,54.36
66,127.10,88.50,600.88,156.72,441.38,60.30,274.65,440.92,107.32,160.80,0.00,0.00,395.52,281.55,149.87,399.51,165.22,260.56,578.88,125.21,124.32,196.08,11.80,193.31,152.51,0.13,31.64,239.61,269.62,214.13,138.41,238.67,113.32,61.29,177.17,255.37,59.72
67,137.53,98.62,615.61,169.02,456.33,66.33,289.78,455.67,117.44,173.18,0.00,0.00,409.22,292.18,159.89,414.55,174.99,271.69,592.60,136.41,131.12,208.53,13.78,204.51,164.19,0.60,38.21,253.24,280.60,225.13,149.96,249.34,123.55,68.86,190.10,263.61,66.88
68,148.19,108.78,631.56,181.40,471.40,72.00,303.96,472.09,127.64,186.70,0.00,0.00,423.75,303.25,169.55,430.72,184.81,282.71,607.23,147.03,138.24,220.45,16.52,215.68,176.70,1.77,46.23,265.96,292.03,236.55,163.20,259.75,134.30,77.15,204.42,272.54,74.48
69,158.90,120.71,647.36,195.71,487.54,79.63,319.68,489.14,140.03,200.62,0.00,0.00,438.72,314.43,180.14,447.68,194.66,295.18,622.56,159.38,145.01,233.93,19.74,228.01,190.41,4.69,55.33,280.34,303.85,248.94,176.46,271.77,145.83,85.94,219.59,281.24,82.58
70,170.33,133.64,664.03,211.52,504.61,88.70,335.22,506.54,153.84,215.77,0.00,0.17,454.67,326.30,191.34,465.59,205.76,307.31,637.78,172.93,152.23,247.83,23.77,240.09,205.43,8.24,64.96,294.66,315.63,261.53,191.41,283.67,158.06,95.44,235.66,289.88,91.79
71,181.69,146.54,680.83,227.40,522.11,97.90,351.79,524.37,168.63,230.79,0.00,0.76,470.89,339.13,203.29,483.81,217.63,319.54,654.03,186.70,159.78,261.61,27.60,252.91,220.29,12.02,76.53,309.63,328.05,274.26,206.58,295.69,170.23,105.58,252.29,299.27,102.46
72,194.57,160.28,697.88,244.15,539.27,107.45,368.79,542.40,182.42,246.35,0.00,1.93,487.02,351.88,215.00,501.48,229.98,332.39,669.75,202.05,168.48,276.79,31.19,266.22,235.84,16.17,88.40,325.46,340.13,288.14,222.58,307.55,184.16,115.72,269.06,308.75,112.98
73,206.41,173.23,714.80,260.90,557.13,117.68,385.53,560.32,197.15,261.52,0.00,3.46,503.89,364.03,227.38,519.83,241.90,344.97,685.82,216.42,177.40,291.81,34.90,278.72,251.18,20.57,99.28,340.81,352.63,301.82,238.03,319.64,197.49,125.89,285.68,318.42,123.31
74,219.12,186.66,732.12,276.11,575.53,128.56,402.96,577.80,211.26,277.19,0.00,4.15,520.57,377.18,240.09,537.42,254.52,358.47,701.44,231.87,186.23,307.14,39.04,291.65,266.63,25.04,110.81,356.88,365.63,316.28,255.22,332.69,211.64,135.44,303.08,328.51,133.78
75,232.05,201.68,749.95,292.36,593.12,140.46,421.00,595.74,224.85,293.29,0.00,5.81,537.45,390.31,252.29,555.75,267.17,371.42,716.72,247.87,195.31,322.29,43.18,305.10,282.81,31.01,123.93,373.25,378.33,330.58,273.46,345.28,226.06,146.20,321.18,338.18,145.37
76,244.62,216.90,768.33,309.05,611.14,152.66,439.11,613.51,239.40,309.73,0.00,7.74,554.80,402.64,265.38,573.84,280.85,383.85,732.84,264.77,204.73,337.77,47.70,318.50,298.97,37.21,136.80,389.25,390.76,344.62,291.89,358.19,240.81,158.58,339.95,348.48,156.71
77,257.98,232.14,786.31,325.01,629.91,164.73,457.52,632.59,254.76,325.42,0.00,10.14,572.77,415.87,278.08,592.36,294.10,396.28,748.82,281.40,214.28,353.19,52.29,331.63,315.13,43.26,149.62,405.18,403.79,359.10,309.20,370.88,255.21,170.64,357.73,358.87,168.14
78,272.17,247.71,805.03,341.51,648.98,175.81,475.76,651.88,269.65,342.07,0.00,13.02,590.29,429.52,290.58,611.40,306.70,410.13,765.34,298.27,223.61,368.82,56.93,345.81,332.04,49.29,163.35,421.38,417.61,373.74,326.39,383.67,269.59,181.85,376.31,368.87,179.61
79,286.86,264.95,824.23,358.59,668.48,187.69,494.17,670.86,285.38,360.57,0.00,17.05,608.12,443.32,303.51,631.03,320.10,424.01,781.97,315.74,232.78,385.60,62.14,359.73,349.86,56.67,178.27,438.23,431.38,388.33,345.72,396.98,285.36,194.78,396.11,379.46,191.35
80,302.33,282.57,843.63,377.40,688.43,200.22,513.41,690.30,302.18,379.84,0.00,20.72,626.95,456.79,317.71,651.07,334.60,438.54,799.65,333.81,242.45,402.60,67.33,374.78,368.76,65.14,194.77,456.26,445.53,403.67,366.24,410.72,302.24,208.14,417.01,389.91,204.87
81,318.30,301.66,862.88,396.48,708.48,214.14,532.84,709.86,319.14,399.63,0.00,24.93,646.23,470.27,332.41,670.54,349.42,453.44,817.73,352.49,252.37,421.30,72.49,389.90,387.65,72.72,211.02,473.84,460.63,419.47,387.34,424.69,320.29,222.33,438.11,400.27,218.03
82,335.56,320.52,882.18,416.25,728.88,227.89,553.23,728.94,338.44,420.00,0.00,29.27,665.16,484.27,347.57,690.50,364.15,468.59,835.11,371.67,263.00,440.73,77.47,405.45,407.97,80.74,229.15,492.49,475.41,435.51,409.15,439.79,339.44,238.97,460.09,411.29,233.01
83,352.22,340.97,902.33,436.52,749.16,242.14,573.30,748.88,356.94,440.38,0.00,34.08,684.08,499.54,362.78,710.61,380.12,484.27,852.53,391.54,273.67,459.83,83.23,421.78,429.01,88.61,248.55,511.56,490.51,452.69,431.39,455.32,358.56,254.42,482.89,422.56,248.08
84,369.70,360.94,922.70,457.77,770.33,256.89,593.54,769.57,376.96,462.44,0.00,39.01,703.61,515.12,378.07,731.22,395.92,500.19,870.73,411.82,283.55,479.11,89.71,438.00,449.85,96.89,268.27,530.69,506.83,469.23,454.32,470.54,378.28,271.23,505.97,434.06,264.25
