# JUNEAU_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,31.32,0.00
1,31.07,0.00
2,30.27,0.00
3,28.92,0.00
4,28.83,0.00
5,29.50,0.00
6,29.72,0.00
7,30.68,0.00
8,31.47,0.00
9,31.75,0.00
10,31.53,0.00
11,31.57,0.00
12,32.47,0.47
13,31.87,0.00
14,32.30,0.30
15,32.57,0.57
16,33.12,1.12
17,32.75,0.75
18,33.15,1.15
19,33.22,1.22
20,34.07,2.07
21,34.93,2.93
22,34.47,2.47
23,35.10,3.10
24,35.85,3.85
25,36.90,4.90
26,36.45,4.45
27,36.93,4.93
28,36.80,4.80
29,37.25,5.25
30,36.87,4.87
31,35.73,3.73
32,36.33,4.33
33,36.38,4.38
34,37.15,5.15
35,37.78,5.78
36,38.37,6.37
37,39.63,7.63
38,38.98,6.98
39,38.85,6.85
40,39.02,7.02
41,39.17,7.17
42,40.12,8.12
43,40.60,8.60
44,40.12,8.12
45,40.85,8.85
46,41.13,9.13
47,41.28,9.28
48,41.25,9.25
49,42.02,10.02
50,42.52,10.52
51,42.90,10.90
52,43.37,11.37
53,43.20,11.20
54,43.78,11.78
55,44.65,12.65
56,44.62,12.62
57,44.40,12.40
58,44.45,12.45
59,44.20,12.20
60,44.52,12.52
61,44.95,12.95
62,45.85,13.85
63,45.02,13.02
64,44.95,12.95
65,44.65,12.65
66,45.53,13.53
67,45.70,13.70
68,46.53,14.53
69,46.97,14.97
70,47.95,15.95
71,48.22,16.22
72,48.13,16.13
73,48.87,16.87
74,48.68,16.68
75,48.88,16.88
76,49.35,17.35
77,49.97,17.97
78,49.52,17.52
79,49.83,17.83
80,50.83,18.83
81,51.28,19.28
82,50.93,18.93
83,50.92,18.92
84,51.53,19.53
85,51.80,19.80
86,52.00,20.00
87,52.42,20.42
88,52.93,20.93
89,52.88,20.88
90,52.55,20.55
91,52.10,20.10
92,52.12,20.12
93,52.33,20.33
94,52.37,20.37
95,52.80,20.80
96,52.80,20.80
97,53.22,21.22
98,53.25,21.25
99,53.38,21.38
100,53.90,21.90
101,54.27,22.27
102,53.83,21.83
103,54.35,22.35
104,54.08,22.08
105,54.05,22.05
106,55.45,23.45
107,55.42,23.42
108,55.02,23.02
109,55.48,23.48
110,55.63,23.63
111,56.10,24.10
112,55.62,23.62
113,56.45,24.45
114,56.58,24.58
115,56.70,24.70
116,56.12,24.12
117,55.95,23.95
118,56.60,24.60
119,56.55,24.55
120,56.53,24.53
121,56.18,24.18
