# KOTZEBUE_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 2019
#
d_since_march1,Tavg_F,tdd
0,-3.55,0.00
1,-0.88,0.00
2,2.53,0.00
3,1.64,0.00
4,1.67,0.00
5,1.16,0.00
6,0.71,0.00
7,-0.33,0.00
8,0.17,0.00
9,-0.76,0.00
10,-1.29,0.00
11,-1.31,0.00
12,-0.98,0.00
13,-1.45,0.00
14,-1.07,0.00
15,-0.84,0.00
16,-0.41,0.00
17,0.22,0.00
18,1.62,0.00
19,2.07,0.00
20,0.36,0.00
21,0.79,0.00
22,4.05,0.00
23,4.60,0.00
24,2.86,0.00
25,-0.91,0.00
26,-0.33,0.00
27,1.34,0.00
28,2.79,0.00
29,3.10,0.00
30,5.41,0.00
31,7.81,0.00
32,7.16,0.00
33,9.19,0.00
34,11.26,0.00
35,10.24,0.00
36,9.00,0.00
37,10.52,0.00
38,9.84,0.00
39,10.53,0.00
40,13.74,0.00
41,13.86,0.00
42,14.83,0.00
43,13.78,0.00
44,13.72,0.00
45,14.72,0.00
46,15.93,0.00
47,16.69,0.00
48,17.21,0.00
49,17.00,0.00
50,17.88,0.00
51,18.72,0.00
52,21.34,0.00
53,22.31,0.00
54,21.98,0.00
55,22.00,0.00
56,22.88,0.00
57,22.78,0.00
58,22.93,0.00
59,24.16,0.00
60,23.69,0.00
61,23.43,0.00
62,23.16,0.00
63,23.59,0.00
64,24.16,0.00
65,24.66,0.00
66,25.97,0.00
67,27.17,0.00
68,28.43,0.00
69,30.62,0.00
70,32.17,0.17
71,32.59,0.59
72,33.17,1.17
73,33.53,1.53
74,32.69,0.69
75,33.66,1.66
76,33.93,1.93
77,34.40,2.40
78,34.88,2.88
79,36.03,4.03
80,35.67,3.67
81,36.21,4.21
82,36.34,4.34
83,36.81,4.81
84,36.93,4.93
85,38.28,6.28
86,38.21,6.21
87,37.79,5.79
88,37.50,5.50
89,38.52,6.52
90,39.09,7.09
91,39.12,7.12
92,38.91,6.91
93,38.38,6.38
94,39.48,7.48
95,41.83,9.83
96,42.95,10.95
97,41.97,9.97
98,42.95,10.95
99,42.45,10.45
100,43.02,11.02
101,44.03,12.03
102,44.36,12.36
103,43.95,11.95
104,44.57,12.57
105,45.50,13.50
106,46.50,14.50
107,48.62,16.62
108,49.95,17.95
109,51.33,19.33
110,51.69,19.69
111,50.81,18.81
112,52.64,20.64
113,52.05,20.05
114,51.59,19.59
115,50.53,18.53
116,50.78,18.78
117,51.31,19.31
118,51.31,19.31
119,53.66,21.66
120,55.03,23.03
121,54.59,22.59
