# CORDOVA_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,29.33,0.00
1,27.82,0.00
2,27.88,0.00
3,27.23,0.00
4,28.70,0.00
5,28.88,0.00
6,28.60,0.00
7,28.45,0.00
8,29.12,0.00
9,28.67,0.00
10,28.65,0.00
11,28.80,0.00
12,28.67,0.00
13,29.78,0.00
14,30.32,0.00
15,31.55,0.00
16,30.32,0.00
17,31.32,0.00
18,31.67,0.00
19,30.37,0.00
20,31.07,0.00
21,31.82,0.00
22,33.00,1.00
23,34.18,2.18
24,33.57,1.57
25,33.65,1.65
26,34.08,2.08
27,34.02,2.02
28,34.53,2.53
29,33.63,1.63
30,33.93,1.93
31,33.60,1.60
32,34.07,2.07
33,35.08,3.08
34,35.55,3.55
35,36.57,4.57
36,36.15,4.15
37,36.07,4.07
38,35.90,3.90
39,35.98,3.98
40,35.60,3.60
41,36.47,4.47
42,36.50,4.50
43,36.67,4.67
44,37.40,5.40
45,38.35,6.35
46,37.87,5.87
47,38.45,6.45
48,38.62,6.62
49,38.15,6.15
50,38.90,6.90
51,39.52,7.52
52,40.35,8.35
53,40.60,8.60
54,40.70,8.70
55,41.20,9.20
56,41.90,9.90
57,41.68,9.68
58,41.47,9.47
59,41.40,9.40
60,41.93,9.93
61,42.38,10.38
62,41.93,9.93
63,42.77,10.77
64,42.23,10.23
65,41.73,9.73
66,42.23,10.23
67,43.13,11.13
68,43.02,11.02
69,44.47,12.47
70,44.13,12.13
71,44.23,12.23
72,44.85,12.85
73,44.58,12.58
74,45.50,13.50
75,44.95,12.95
76,44.43,12.43
77,44.43,12.43
78,45.85,13.85
79,45.88,13.88
80,46.53,14.53
81,46.90,14.90
82,47.15,15.15
83,47.68,15.68
84,47.92,15.92
85,48.15,16.15
86,48.20,16.20
87,48.67,16.67
88,49.67,17.67
89,49.05,17.05
90,48.51,16.51
91,48.12,16.12
92,48.35,16.35
93,48.65,16.65
94,49.93,17.93
95,49.87,17.87
96,49.37,17.37
97,49.80,17.80
98,49.05,17.05
99,49.87,17.87
100,51.13,19.13
101,50.87,18.87
102,50.02,18.02
103,50.32,18.32
104,50.63,18.63
105,51.50,19.50
106,52.77,20.77
107,52.78,20.78
108,52.40,20.40
109,51.28,19.28
110,51.32,19.32
111,52.23,20.23
112,52.58,20.58
113,52.68,20.68
114,52.68,20.68
115,52.73,20.73
116,53.03,21.03
117,52.97,20.97
118,53.17,21.17
119,53.97,21.97
120,53.27,21.27
121,53.93,21.93
