# HAINES_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 1991, 1993, 1994, 1995, 1996, 1997, 1998
#
d_since_march1,Tavg_F,tdd
0,30.09,0.00
1,29.99,0.00
2,29.05,0.00
3,28.11,0.00
4,26.48,0.00
5,27.83,0.00
6,28.17,0.00
7,28.61,0.00
8,30.52,0.00
9,30.33,0.00
10,29.93,0.00
11,29.52,0.00
12,29.63,0.00
13,29.35,0.00
14,29.85,0.00
15,31.13,0.00
16,32.04,0.04
17,31.26,0.00
18,32.15,0.15
19,32.54,0.54
20,33.09,1.09
21,33.54,1.54
22,35.04,3.04
23,35.02,3.02
24,36.17,4.17
25,36.41,4.41
26,36.02,4.02
27,35.98,3.98
28,36.74,4.74
29,36.89,4.89
30,36.52,4.52
31,36.57,4.57
32,36.20,4.20
33,36.26,4.26
34,36.37,4.37
35,36.30,4.30
36,38.00,6.00
37,39.11,7.11
38,39.57,7.57
39,38.98,6.98
40,39.41,7.41
41,40.43,8.43
42,40.57,8.57
43,41.50,9.50
44,40.89,8.89
45,40.89,8.89
46,41.63,9.63
47,41.85,9.85
48,41.59,9.59
49,42.26,10.26
50,43.13,11.13
51,43.02,11.02
52,43.04,11.04
53,43.63,11.63
54,44.07,12.07
55,45.00,13.00
56,44.85,12.85
57,45.33,13.33
58,44.41,12.41
59,45.00,13.00
60,45.39,13.39
61,45.85,13.85
62,46.24,14.24
63,45.71,13.71
64,45.53,13.53
65,46.35,14.35
66,46.43,14.43
67,47.04,15.04
68,48.17,16.17
69,48.96,16.96
70,49.91,17.91
71,50.22,18.22
72,49.67,17.67
73,50.35,18.35
74,49.59,17.59
75,50.33,18.33
76,50.09,18.09
77,50.52,18.52
78,51.04,19.04
79,51.63,19.63
80,52.04,20.04
81,51.47,19.47
82,51.96,19.96
83,52.11,20.11
84,52.61,20.61
85,52.52,20.52
86,52.37,20.37
87,53.13,21.13
88,54.54,22.54
89,54.09,22.09
90,53.33,21.33
91,52.98,20.98
92,53.04,21.04
93,53.80,21.80
94,53.24,21.24
95,53.67,21.67
96,54.24,22.24
97,55.87,23.87
98,53.96,21.96
99,55.21,23.21
100,56.00,24.00
101,55.02,23.02
102,55.65,23.65
103,56.00,24.00
104,55.46,23.46
105,56.48,24.48
106,58.17,26.17
107,57.41,25.41
108,56.59,24.59
109,56.00,24.00
110,56.98,24.98
111,56.98,24.98
112,56.80,24.80
113,56.59,24.59
114,57.02,25.02
115,57.78,25.78
116,56.85,24.85
117,57.41,25.41
118,58.37,26.37
119,57.70,25.70
120,57.22,25.22
121,57.24,25.24
