# BIG_DELTA_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 1992, 1993, 1997, 1991
#
d_since_march1,Tavg_F,tdd
0,7.92,0.00
1,9.06,0.00
2,8.40,0.00
3,9.58,0.00
4,10.08,0.00
5,9.98,0.00
6,10.37,0.00
7,10.19,0.00
8,11.12,0.00
9,10.21,0.00
10,11.00,0.00
11,11.00,0.00
12,10.19,0.00
13,10.79,0.00
14,11.10,0.00
15,13.00,0.00
16,12.06,0.00
17,13.12,0.00
18,12.56,0.00
19,14.92,0.00
20,15.31,0.00
21,15.98,0.00
22,19.31,0.00
23,20.48,0.00
24,21.15,0.00
25,19.81,0.00
26,17.56,0.00
27,20.44,0.00
28,21.37,0.00
29,21.90,0.00
30,22.56,0.00
31,24.90,0.00
32,24.40,0.00
33,25.37,0.00
34,26.44,0.00
35,28.63,0.00
36,27.62,0.00
37,27.06,0.00
38,27.17,0.00
39,28.85,0.00
40,29.92,0.00
41,30.63,0.00
42,30.85,0.00
43,31.08,0.00
44,32.42,0.42
45,33.10,1.10
46,32.33,0.33
47,33.54,1.54
48,36.77,4.77
49,37.04,5.04
50,38.96,6.96
51,38.50,6.50
52,39.77,7.77
53,40.13,8.13
54,39.71,7.71
55,39.15,7.15
56,40.19,8.19
57,41.31,9.31
58,40.35,8.35
59,41.62,9.62
60,41.58,9.58
61,41.37,9.37
62,40.67,8.67
63,41.69,9.69
64,41.60,9.60
65,41.71,9.71
66,43.29,11.29
67,44.38,12.38
68,45.52,13.52
69,45.92,13.92
70,47.15,15.15
71,47.02,15.02
72,47.56,15.56
73,47.17,15.17
74,47.67,15.67
75,48.10,16.10
76,48.44,16.44
77,47.69,15.69
78,48.65,16.65
79,50.50,18.50
80,51.27,19.27
81,51.79,19.79
82,52.37,20.37
83,52.38,20.38
84,54.06,22.06
85,53.71,21.71
86,54.58,22.58
87,53.38,21.38
88,53.25,21.25
89,54.75,22.75
90,55.37,23.37
91,54.63,22.63
92,53.62,21.62
93,53.69,21.69
94,54.15,22.15
95,54.42,22.42
96,55.54,23.54
97,56.15,24.15
98,57.10,25.10
99,57.94,25.94
100,58.27,26.27
101,58.35,26.35
102,57.17,25.17
103,55.92,23.92
104,56.56,24.56
105,58.13,26.13
106,59.38,27.38
107,59.52,27.52
108,60.27,28.27
109,59.98,27.98
110,59.92,27.92
111,60.42,28.42
112,60.06,28.06
113,59.56,27.56
114,59.10,27.10
115,60.75,28.75
116,60.81,28.81
117,59.08,27.08
118,59.21,27.21
119,60.12,28.12
120,61.06,29.06
121,60.83,28.83
