# KETCHIKAN_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,36.30,4.30
1,36.35,4.35
2,36.68,4.68
3,34.51,2.51
4,34.58,2.58
5,35.08,3.08
6,34.95,2.95
7,34.82,2.82
8,35.07,3.07
9,36.17,4.17
10,37.70,5.70
11,38.03,6.03
12,38.92,6.92
13,38.15,6.15
14,36.98,4.98
15,36.62,4.62
16,37.35,5.35
17,37.52,5.52
18,37.97,5.97
19,38.67,6.67
20,38.82,6.82
21,39.77,7.77
22,39.00,7.00
23,39.33,7.33
24,39.83,7.83
25,40.13,8.13
26,39.82,7.82
27,39.92,7.92
28,40.63,8.63
29,40.58,8.58
30,40.73,8.73
31,39.87,7.87
32,39.72,7.72
33,39.48,7.48
34,40.22,8.22
35,41.35,9.35
36,41.93,9.93
37,41.97,9.97
38,41.30,9.30
39,41.50,9.50
40,41.72,9.72
41,42.02,10.02
42,42.47,10.47
43,42.52,10.52
44,43.42,11.42
45,43.68,11.68
46,44.25,12.25
47,43.08,11.08
48,42.92,10.92
49,43.25,11.25
50,43.77,11.77
51,44.25,12.25
52,44.55,12.55
53,45.13,13.13
54,45.35,13.35
55,45.78,13.78
56,46.40,14.40
57,46.33,14.33
58,45.42,13.42
59,45.45,13.45
60,45.52,13.52
61,46.65,14.65
62,47.02,15.02
63,46.15,14.15
64,46.55,14.55
65,46.53,14.53
66,46.38,14.38
67,46.73,14.73
68,47.95,15.95
69,47.80,15.80
70,48.67,16.67
71,48.80,16.80
72,49.05,17.05
73,48.92,16.92
74,49.32,17.32
75,49.83,17.83
76,50.38,18.38
77,49.98,17.98
78,50.72,18.72
79,51.20,19.20
80,51.40,19.40
81,51.25,19.25
82,51.30,19.30
83,52.15,20.15
84,52.37,20.37
85,52.97,20.97
86,52.45,20.45
87,52.05,20.05
88,52.72,20.72
89,51.92,19.92
90,51.95,19.95
91,52.90,20.90
92,52.97,20.97
93,52.72,20.72
94,53.37,21.37
95,52.67,20.67
96,53.72,21.72
97,54.23,22.23
98,54.07,22.07
99,53.58,21.58
100,53.88,21.88
101,54.22,22.22
102,54.10,22.10
103,54.18,22.18
104,54.13,22.13
105,55.02,23.02
106,54.88,22.88
107,55.37,23.37
108,55.12,23.12
109,55.77,23.77
110,55.40,23.40
111,56.48,24.48
112,55.93,23.93
113,55.95,23.95
114,56.50,24.50
115,55.92,23.92
116,56.03,24.03
117,56.15,24.15
118,57.08,25.08
119,57.38,25.38
120,56.48,24.48
121,56.67,24.67
