# KODIAK_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,30.75,0.00
1,31.25,0.00
2,31.18,0.00
3,31.45,0.00
4,32.78,0.78
5,32.97,0.97
6,32.10,0.10
7,32.05,0.05
8,31.47,0.00
9,31.88,0.00
10,32.12,0.12
11,31.48,0.00
12,31.18,0.00
13,30.65,0.00
14,30.35,0.00
15,31.53,0.00
16,32.60,0.60
17,32.37,0.37
18,31.87,0.00
19,32.08,0.08
20,32.63,0.63
21,34.00,2.00
22,33.57,1.57
23,34.92,2.92
24,34.80,2.80
25,34.08,2.08
26,33.57,1.57
27,34.37,2.37
28,34.07,2.07
29,33.68,1.68
30,33.73,1.73
31,34.70,2.70
32,35.67,3.67
33,36.80,4.80
34,36.52,4.52
35,37.22,5.22
36,36.13,4.13
37,35.83,3.83
38,35.72,3.72
39,36.18,4.18
40,36.87,4.87
41,36.18,4.18
42,37.05,5.05
43,37.83,5.83
44,39.20,7.20
45,38.18,6.18
46,37.83,5.83
47,38.33,6.33
48,39.28,7.28
49,39.02,7.02
50,39.10,7.10
51,39.32,7.32
52,39.85,7.85
53,40.68,8.68
54,41.42,9.42
55,41.23,9.23
56,42.00,10.00
57,41.33,9.33
58,41.95,9.95
59,41.47,9.47
60,40.92,8.92
61,41.40,9.40
62,42.05,10.05
63,42.92,10.92
64,42.98,10.98
65,42.90,10.90
66,43.00,11.00
67,42.63,10.63
68,43.07,11.07
69,43.18,11.18
70,43.87,11.87
71,44.83,12.83
72,44.75,12.75
73,44.15,12.15
74,45.15,13.15
75,45.13,13.13
76,44.33,12.33
77,45.23,13.23
78,45.65,13.65
79,45.80,13.80
80,45.47,13.47
81,45.48,13.48
82,46.00,14.00
83,47.27,15.27
84,47.58,15.58
85,46.18,14.18
86,46.90,14.90
87,47.68,15.68
88,48.83,16.83
89,48.48,16.48
90,47.67,15.67
91,48.12,16.12
92,48.65,16.65
93,48.07,16.07
94,48.07,16.07
95,48.67,16.67
96,48.40,16.40
97,48.42,16.42
98,48.43,16.43
99,48.93,16.93
100,49.28,17.28
101,49.65,17.65
102,49.83,17.83
103,49.42,17.42
104,50.45,18.45
105,51.55,19.55
106,51.22,19.22
107,52.18,20.18
108,51.42,19.42
109,51.20,19.20
110,50.83,18.83
111,51.43,19.43
112,52.25,20.25
113,51.75,19.75
114,51.77,19.77
115,52.02,20.02
116,51.72,19.72
117,52.90,20.90
118,52.72,20.72
119,53.57,21.57
120,53.43,21.43
121,53.38,21.38
