# TALKEETNA_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,19.53,0.00
1,19.72,0.00
2,18.17,0.00
3,17.33,0.00
4,19.77,0.00
5,20.13,0.00
6,21.75,0.00
7,22.58,0.00
8,21.48,0.00
9,21.63,0.00
10,21.75,0.00
11,21.93,0.00
12,21.45,0.00
13,21.67,0.00
14,21.80,0.00
15,22.60,0.00
16,23.12,0.00
17,23.38,0.00
18,24.85,0.00
19,24.28,0.00
20,24.53,0.00
21,25.75,0.00
22,26.10,0.00
23,27.60,0.00
24,28.03,0.00
25,27.62,0.00
26,27.58,0.00
27,28.32,0.00
28,29.62,0.00
29,29.07,0.00
30,29.90,0.00
31,30.67,0.00
32,30.20,0.00
33,31.02,0.00
34,32.50,0.50
35,33.98,1.98
36,33.03,1.03
37,32.45,0.45
38,32.12,0.12
39,33.08,1.08
40,33.08,1.08
41,33.00,1.00
42,33.87,1.87
43,34.13,2.13
44,35.42,3.42
45,36.10,4.10
46,35.78,3.78
47,36.50,4.50
48,37.90,5.90
49,38.80,6.80
50,38.28,6.28
51,39.32,7.32
52,39.63,7.63
53,39.83,7.83
54,40.53,8.53
55,40.73,8.73
56,41.60,9.60
57,41.35,9.35
58,41.22,9.22
59,40.95,8.95
60,42.10,10.10
61,42.45,10.45
62,41.58,9.58
63,42.40,10.40
64,42.58,10.58
65,42.57,10.57
66,43.22,11.22
67,44.45,12.45
68,43.92,11.92
69,45.48,13.48
70,45.90,13.90
71,45.78,13.78
72,47.18,15.18
73,47.02,15.02
74,47.33,15.33
75,47.15,15.15
76,47.48,15.48
77,47.42,15.42
78,47.63,15.63
79,48.78,16.78
80,49.00,17.00
81,50.70,18.70
82,51.43,19.43
83,51.10,19.10
84,51.28,19.28
85,51.60,19.60
86,51.62,19.62
87,52.22,20.22
88,53.47,21.47
89,53.98,21.98
90,52.67,20.67
91,52.35,20.35
92,52.68,20.68
93,53.62,21.62
94,54.48,22.48
95,54.13,22.13
96,54.65,22.65
97,53.93,21.93
98,54.73,22.73
99,54.25,22.25
100,55.90,23.90
101,55.53,23.53
102,55.78,23.78
103,55.72,23.72
104,57.25,25.25
105,57.95,25.95
106,58.67,26.67
107,58.32,26.32
108,59.07,27.07
109,59.07,27.07
110,58.03,26.03
111,57.60,25.60
112,58.35,26.35
113,58.25,26.25
114,59.23,27.23
115,59.05,27.05
116,58.82,26.82
117,58.98,26.98
118,58.98,26.98
119,60.22,28.22
120,60.13,28.13
121,60.78,28.78
