# COLD_BAY_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,29.18,0.00
1,30.60,0.00
2,30.38,0.00
3,30.80,0.00
4,31.45,0.00
5,32.10,0.10
6,31.50,0.00
7,30.80,0.00
8,30.22,0.00
9,28.65,0.00
10,27.77,0.00
11,28.12,0.00
12,29.07,0.00
13,28.98,0.00
14,28.40,0.00
15,29.20,0.00
16,29.02,0.00
17,29.25,0.00
18,29.12,0.00
19,28.46,0.00
20,28.13,0.00
21,29.43,0.00
22,30.80,0.00
23,30.20,0.00
24,30.37,0.00
25,31.12,0.00
26,31.50,0.00
27,30.75,0.00
28,29.68,0.00
29,30.13,0.00
30,31.35,0.00
31,32.12,0.12
32,33.53,1.53
33,33.48,1.48
34,33.80,1.80
35,33.07,1.07
36,33.18,1.18
37,32.53,0.53
38,32.68,0.68
39,33.22,1.22
40,33.43,1.43
41,33.28,1.28
42,34.02,2.02
43,34.75,2.75
44,34.95,2.95
45,34.70,2.70
46,35.63,3.63
47,35.62,3.62
48,35.02,3.02
49,34.80,2.80
50,35.20,3.20
51,35.53,3.53
52,37.07,5.07
53,36.80,4.80
54,36.87,4.87
55,37.25,5.25
56,36.75,4.75
57,37.27,5.27
58,36.72,4.72
59,37.90,5.90
60,37.67,5.67
61,37.92,5.92
62,38.30,6.30
63,37.63,5.63
64,37.45,5.45
65,37.78,5.78
66,38.30,6.30
67,38.80,6.80
68,39.12,7.12
69,38.77,6.77
70,39.22,7.22
71,39.55,7.55
72,40.70,8.70
73,40.92,8.92
74,40.83,8.83
75,41.08,9.08
76,41.42,9.42
77,41.55,9.55
78,41.33,9.33
79,41.17,9.17
80,41.67,9.67
81,41.92,9.92
82,42.63,10.63
83,42.67,10.67
84,41.88,9.88
85,42.93,10.93
86,43.48,11.48
87,43.97,11.97
88,44.38,12.38
89,44.57,12.57
90,44.92,12.92
91,44.40,12.40
92,44.88,12.88
93,45.18,13.18
94,45.58,13.58
95,45.17,13.17
96,45.68,13.68
97,46.07,14.07
98,45.40,13.40
99,45.90,13.90
100,45.43,13.43
101,45.28,13.28
102,45.52,13.52
103,46.65,14.65
104,46.47,14.47
105,46.83,14.83
106,47.45,15.45
107,47.65,15.65
108,47.62,15.62
109,47.40,15.40
110,47.58,15.58
111,47.07,15.07
112,48.15,16.15
113,47.93,15.93
114,48.35,16.35
115,48.53,16.53
116,48.60,16.60
117,48.80,16.80
118,48.70,16.70
119,49.08,17.08
120,49.17,17.17
121,49.77,17.77
