# KENAI_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,19.98,0.00
1,19.77,0.00
2,19.68,0.00
3,18.48,0.00
4,20.40,0.00
5,22.23,0.00
6,22.70,0.00
7,22.82,0.00
8,22.13,0.00
9,21.62,0.00
10,21.98,0.00
11,21.32,0.00
12,21.78,0.00
13,21.87,0.00
14,21.83,0.00
15,23.12,0.00
16,22.78,0.00
17,23.43,0.00
18,24.55,0.00
19,23.17,0.00
20,23.88,0.00
21,24.70,0.00
22,26.18,0.00
23,27.72,0.00
24,28.60,0.00
25,28.38,0.00
26,27.98,0.00
27,27.78,0.00
28,29.00,0.00
29,28.15,0.00
30,29.40,0.00
31,29.95,0.00
32,31.88,0.00
33,30.83,0.00
34,32.10,0.10
35,33.82,1.82
36,32.57,0.57
37,32.53,0.53
38,32.15,0.15
39,33.55,1.55
40,33.42,1.42
41,33.68,1.68
42,33.78,1.78
43,33.93,1.93
44,35.48,3.48
45,36.27,4.27
46,35.92,3.92
47,36.70,4.70
48,37.85,5.85
49,38.30,6.30
50,38.20,6.20
51,38.47,6.47
52,39.80,7.80
53,40.16,8.16
54,39.88,7.88
55,41.03,9.03
56,41.43,9.43
57,41.07,9.07
58,41.60,9.60
59,41.92,9.92
60,41.85,9.85
61,41.97,9.97
62,41.37,9.37
63,41.56,9.56
64,41.80,9.80
65,42.40,10.40
66,42.75,10.75
67,43.20,11.20
68,43.17,11.17
69,44.33,12.33
70,44.08,12.08
71,44.82,12.82
72,45.31,13.31
73,44.50,12.50
74,44.93,12.93
75,45.45,13.45
76,45.40,13.40
77,45.13,13.13
78,46.18,14.18
79,45.92,13.92
80,47.05,15.05
81,47.12,15.12
82,47.55,15.55
83,48.33,16.33
84,48.22,16.22
85,48.03,16.03
86,48.12,16.12
87,49.38,17.38
88,49.98,17.98
89,50.28,18.28
90,49.85,17.85
91,49.55,17.55
92,49.93,17.93
93,49.58,17.58
94,50.37,18.37
95,51.45,19.45
96,51.07,19.07
97,50.88,18.88
98,50.95,18.95
99,50.42,18.42
100,51.12,19.12
101,51.67,19.67
102,51.32,19.32
103,51.52,19.52
104,51.22,19.22
105,52.22,20.22
106,52.23,20.23
107,52.83,20.83
108,53.33,21.33
109,53.38,21.38
110,53.22,21.22
111,53.12,21.12
112,52.98,20.98
113,53.18,21.18
114,52.98,20.98
115,53.53,21.53
116,54.40,22.40
117,54.15,22.15
118,54.23,22.23
119,55.17,23.17
120,54.83,22.83
121,54.65,22.65
