# ALYESKA
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 1992, 2012
#
d_since_march1,Tavg_F,tdd
0,26.11,0.00
1,25.23,0.00
2,25.02,0.00
3,25.05,0.00
4,25.05,0.00
5,26.04,0.00
6,25.61,0.00
7,26.62,0.00
8,26.18,0.00
9,24.77,0.00
10,25.66,0.00
11,25.44,0.00
12,26.07,0.00
13,25.64,0.00
14,25.18,0.00
15,25.74,0.00
16,27.36,0.00
17,27.57,0.00
18,27.73,0.00
19,27.98,0.00
20,28.08,0.00
21,28.52,0.00
22,29.50,0.00
23,30.52,0.00
24,30.43,0.00
25,31.20,0.00
26,31.32,0.00
27,31.11,0.00
28,31.71,0.00
29,31.80,0.00
30,31.57,0.00
31,32.30,0.30
32,33.02,1.02
33,33.45,1.45
34,34.54,2.54
35,35.05,3.05
36,35.38,3.38
37,34.81,2.81
38,34.52,2.52
39,34.68,2.68
40,34.93,2.93
41,34.86,2.86
42,35.64,3.64
43,36.21,4.21
44,36.07,4.07
45,37.21,5.21
46,36.52,4.52
47,36.39,4.39
48,37.50,5.50
49,37.96,5.96
50,38.27,6.27
51,38.34,6.34
52,38.54,6.54
53,39.71,7.71
54,40.41,8.41
55,40.66,8.66
56,40.20,8.20
57,41.48,9.48
58,41.45,9.45
59,41.05,9.05
60,41.43,9.43
61,41.98,9.98
62,41.62,9.62
63,42.39,10.39
64,42.16,10.16
65,42.79,10.79
66,42.61,10.61
67,43.00,11.00
68,43.42,11.42
69,44.39,12.39
70,44.59,12.59
71,44.73,12.73
72,45.88,13.88
73,45.68,13.68
74,46.46,14.46
75,46.30,14.30
76,46.04,14.04
77,46.48,14.48
78,46.64,14.64
79,46.59,14.59
80,47.34,15.34
81,47.80,15.80
82,48.04,16.04
83,49.18,17.18
84,48.54,16.54
85,49.55,17.55
86,50.04,18.04
87,49.45,17.45
88,49.88,17.88
89,50.68,18.68
90,51.95,19.95
91,50.84,18.84
92,51.07,19.07
93,50.52,18.52
94,51.46,19.46
95,51.86,19.86
96,52.39,20.39
97,52.18,20.18
98,51.59,19.59
99,51.96,19.96
100,51.36,19.36
101,53.20,21.20
102,53.46,21.46
103,52.55,20.55
104,53.43,21.43
105,54.77,22.77
106,55.02,23.02
107,55.54,23.54
108,55.82,23.82
109,56.34,24.34
110,55.43,23.43
111,54.88,22.88
112,55.12,23.12
113,55.11,23.11
114,56.09,24.09
115,55.66,23.66
116,56.19,24.19
117,55.62,23.62
118,56.19,24.19
119,55.82,23.82
120,56.36,24.36
121,57.16,25.16
