# Cumulative DD25 averaged for Kuskokwim River at Red Devil
# Sites: MCGRATH_AP, NORTHWAY_AP, BETHEL_AP, NENANA_MUN_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16,12.67,40.83,14.83,2.33,35.25,18.00,9.67,8.33,17.67,3.50,0.67,7.67,13.50,3.33,4.83,9.38,29.50,0.00,36.67,0.38,16.88,8.00,11.25,21.50,10.88,26.25,0.00,0.00,11.50,7.38,0.00,0.00,0.00,12.38,8.12,17.62,3.88,0.00,10.88,53.00,6.75,2.00,16.50,14.17,0.50
17,12.67,50.83,21.67,3.17,35.25,18.00,10.67,8.33,17.67,3.50,0.67,7.67,14.88,7.17,4.83,9.38,29.50,0.00,44.83,0.38,17.12,8.00,14.12,21.50,10.88,27.75,0.00,0.00,11.50,7.38,0.00,0.00,0.00,12.38,8.12,21.38,3.88,0.00,14.62,57.88,9.50,2.00,16.50,14.17,1.75
18,13.67,57.67,29.33,4.33,35.25,21.75,10.67,8.33,17.67,3.50,0.67,7.67,21.75,14.00,4.83,9.38,29.50,0.00,54.67,2.12,17.88,8.00,17.00,21.50,10.88,28.50,0.00,0.00,11.50,7.38,1.12,2.25,0.00,12.38,8.12,23.88,3.88,0.00,16.38,61.75,13.88,2.00,16.50,14.17,3.88
19,16.00,62.83,35.50,6.50,35.25,21.75,10.67,8.33,17.67,3.50,0.67,7.67,24.50,19.00,4.83,9.38,30.00,0.00,64.00,4.50,20.00,8.00,19.12,21.50,10.88,28.50,0.00,0.00,11.50,7.38,1.12,5.38,0.00,12.38,8.12,29.25,3.88,0.00,16.75,62.50,20.50,2.00,16.50,15.33,7.12
20,19.50,67.00,42.67,9.33,35.25,21.75,10.67,10.17,17.67,3.50,0.67,7.67,24.50,20.67,4.83,9.38,33.00,0.00,69.50,4.62,21.25,8.00,21.62,21.50,10.88,28.50,0.00,0.00,11.50,7.38,1.12,9.25,0.00,12.38,8.12,29.62,3.88,0.00,17.25,69.00,23.50,2.00,16.50,16.33,13.88
21,21.33,68.00,42.67,12.33,35.25,21.75,10.67,17.67,17.67,3.50,2.00,9.50,24.50,20.67,4.83,9.38,35.00,0.00,73.17,6.25,24.25,8.00,22.38,21.50,10.88,28.50,0.00,0.00,11.50,7.38,1.12,11.62,0.00,12.38,8.12,29.62,6.00,0.00,17.25,80.00,23.62,2.00,16.50,16.33,21.38
22,23.17,68.00,42.67,13.83,35.25,21.75,10.67,22.17,17.67,3.50,3.17,15.17,31.00,21.17,4.83,9.38,37.17,0.00,77.33,10.12,28.00,8.00,24.00,21.50,10.88,28.50,0.00,0.00,11.50,7.38,1.12,12.88,0.00,12.38,9.50,30.62,7.88,0.00,17.25,89.25,27.12,2.00,16.50,16.33,27.50
23,27.83,69.33,42.67,14.67,35.25,21.75,10.67,28.17,17.67,5.67,3.17,22.00,38.62,21.17,6.83,9.38,38.50,0.00,86.50,16.00,28.00,8.00,26.62,21.50,10.88,29.12,0.25,0.00,11.50,7.38,1.12,14.88,0.00,12.38,11.38,32.62,10.38,0.00,17.25,102.12,35.50,3.38,16.50,16.33,38.25
24,31.67,70.50,42.67,14.67,35.25,21.75,10.67,34.83,17.67,6.67,6.67,30.67,42.38,21.17,6.83,9.38,45.00,0.00,90.83,24.12,28.00,8.00,30.12,21.50,10.88,30.25,0.25,0.00,11.50,7.38,1.62,14.88,0.00,12.38,13.00,35.75,18.25,0.00,17.50,115.25,44.38,4.62,17.12,16.33,45.38
25,32.50,73.00,42.67,14.67,35.25,21.75,10.67,39.00,17.67,7.33,15.00,36.50,42.75,22.17,8.67,9.38,51.67,0.00,93.17,25.25,28.00,8.00,31.25,21.50,10.88,30.25,0.25,0.00,11.50,8.25,1.62,14.88,0.00,12.38,14.50,40.50,23.00,0.00,19.75,126.88,45.25,4.62,17.12,21.17,52.00
26,33.50,79.33,42.67,14.67,37.00,21.75,10.67,44.83,17.67,7.33,21.67,40.33,42.75,27.67,10.00,9.38,54.17,0.00,93.17,25.25,28.00,8.00,31.50,21.50,10.88,30.25,0.25,0.00,11.50,8.25,1.62,14.88,1.12,12.38,14.50,50.88,28.00,0.00,21.75,134.12,46.50,4.62,18.25,23.17,55.75
27,34.83,85.50,44.17,14.67,41.12,21.75,10.67,47.83,17.67,7.33,29.33,42.67,42.75,33.67,16.50,9.38,57.50,0.00,93.33,25.25,28.00,8.00,31.50,21.50,10.88,30.25,0.25,0.00,11.50,8.25,1.62,14.88,2.25,12.88,14.50,58.00,33.38,0.00,22.00,144.50,46.50,4.62,21.38,23.17,59.88
28,35.17,92.67,44.17,14.67,46.12,21.75,10.67,52.67,17.67,7.33,38.50,42.67,42.75,40.33,21.50,12.38,60.50,0.00,93.33,25.25,28.00,8.25,31.50,21.50,10.88,30.25,0.25,0.00,11.50,8.75,1.62,16.75,2.25,14.00,14.50,63.75,41.25,0.00,22.00,155.38,46.50,9.50,24.25,25.00,64.50
29,43.00,96.83,44.17,14.67,48.50,21.75,10.67,59.67,17.67,7.33,43.50,42.67,42.75,46.00,29.17,15.50,63.33,0.00,93.33,25.25,30.38,8.38,31.50,21.50,10.88,30.25,2.00,0.12,14.88,8.75,1.62,16.75,2.25,17.25,14.50,68.88,48.00,0.00,22.38,165.88,46.50,11.50,27.50,26.67,70.88
30,51.00,101.17,44.17,14.67,54.50,21.75,10.67,64.17,20.00,7.33,46.50,42.67,42.75,54.67,37.33,22.00,64.83,0.00,95.00,25.25,31.00,8.38,31.50,21.50,10.88,30.25,5.00,1.12,24.50,8.75,2.50,16.75,2.88,20.62,14.50,72.50,57.38,1.25,22.62,178.50,46.50,11.50,30.12,26.67,76.12
31,61.67,105.83,44.17,14.67,60.62,21.75,10.67,67.67,20.17,9.50,47.83,44.00,42.75,64.33,51.17,29.38,65.00,0.00,96.83,26.12,32.88,8.38,31.50,24.00,10.88,30.25,5.50,3.62,35.25,8.75,3.25,16.75,5.00,23.50,14.50,77.62,67.00,8.12,27.62,190.88,46.75,11.50,30.25,26.67,76.62
32,73.00,109.33,44.17,16.67,66.25,21.75,10.67,74.00,20.17,9.50,50.83,44.83,42.75,73.00,65.17,34.12,65.00,0.00,101.00,26.75,33.62,10.00,31.50,25.33,10.88,30.25,5.50,7.88,43.50,8.75,4.12,16.75,5.00,23.50,15.50,80.12,74.12,13.50,28.62,200.25,49.75,11.50,31.00,26.67,76.62
33,82.50,111.67,44.17,18.67,74.12,21.75,10.67,79.00,20.17,9.50,59.17,44.83,42.75,79.00,73.50,38.25,65.00,2.33,110.67,27.50,35.12,18.75,31.50,26.50,11.62,30.25,5.50,10.38,53.50,8.75,5.75,21.38,5.00,25.62,18.50,81.88,84.62,17.25,28.62,203.00,54.00,14.38,31.62,27.17,77.50
34,93.50,112.17,45.50,27.67,80.38,21.75,10.67,80.33,20.17,10.67,65.00,45.83,43.50,83.50,83.67,46.62,65.00,7.83,115.00,27.88,37.50,20.00,31.50,28.33,13.25,30.25,7.12,14.88,61.25,8.75,6.56,24.12,5.00,25.62,22.12,84.88,95.38,26.88,28.62,204.00,60.25,16.38,31.62,28.00,80.93
35,99.67,114.50,55.50,34.50,89.62,21.75,10.67,83.50,20.17,13.83,66.33,45.83,45.88,87.17,92.33,53.38,65.50,14.00,119.50,30.88,38.38,20.75,31.62,30.67,17.75,30.25,8.38,22.00,62.88,8.75,8.81,26.00,11.25,25.62,24.12,89.88,104.62,34.75,28.62,205.75,64.38,16.38,31.62,28.17,81.12
36,102.67,118.33,65.17,37.50,94.75,21.75,10.67,86.67,20.17,15.33,76.17,46.33,51.00,90.33,99.67,58.12,67.67,22.83,124.17,30.88,38.38,25.38,32.88,30.67,31.00,32.12,8.38,33.25,62.88,10.50,10.43,26.00,14.75,25.62,25.75,98.12,115.50,43.50,29.25,209.88,64.38,16.88,32.38,28.17,
37,110.67,120.83,73.67,38.00,94.75,21.75,10.67,90.83,20.17,20.83,85.50,47.83,53.75,94.17,101.33,61.33,67.67,34.00,127.83,30.88,38.38,31.88,34.00,30.67,44.12,36.00,8.38,47.62,62.88,12.88,11.06,29.00,17.88,25.62,25.75,109.12,125.25,48.88,29.25,218.00,64.38,16.88,32.38,28.17,
38,119.33,124.33,80.50,38.00,94.75,21.75,10.67,94.17,20.17,30.17,92.50,49.83,58.62,99.17,103.50,63.58,67.67,44.83,131.00,31.12,38.38,37.25,34.75,30.67,58.88,38.38,11.38,61.12,62.88,14.12,11.06,35.25,21.12,25.62,25.75,117.50,136.12,52.50,31.50,228.88,64.38,16.88,32.38,28.17,
39,128.33,129.67,85.00,38.00,94.75,21.75,10.67,96.00,20.17,35.00,98.33,50.17,62.75,104.33,105.83,71.83,70.00,54.83,139.67,32.12,39.38,40.50,34.75,31.67,72.50,41.12,17.50,76.12,62.88,16.75,11.06,37.00,26.12,25.62,25.75,127.38,148.62,56.12,36.50,239.38,65.50,16.88,32.38,28.17,
40,132.00,135.00,85.00,39.33,94.75,21.75,12.50,98.33,20.83,42.00,106.50,50.17,63.12,109.83,106.33,79.08,73.33,68.50,147.67,36.12,40.25,47.88,34.75,34.83,83.00,43.62,21.12,88.12,62.88,22.00,14.43,37.38,31.50,25.62,25.75,133.38,163.62,62.88,42.38,252.50,70.50,16.88,34.25,28.17,
41,133.83,139.50,85.00,39.33,94.75,21.75,16.67,99.83,28.33,48.83,115.50,50.17,63.12,118.67,108.17,86.58,76.17,80.00,156.83,39.00,46.38,56.75,34.75,40.67,93.38,45.88,22.50,97.38,62.88,26.50,22.06,37.38,36.00,25.62,26.12,138.50,178.25,72.88,52.62,267.12,73.75,19.00,36.50,28.17,
42,136.33,141.50,85.00,39.33,96.62,21.75,23.00,101.00,39.00,54.33,123.17,52.50,63.12,128.83,110.33,94.08,79.83,90.83,163.83,41.50,54.50,61.12,34.75,53.67,104.00,47.00,23.00,107.00,62.88,30.00,29.93,37.38,43.00,25.62,30.62,143.12,191.12,84.38,66.12,281.50,83.88,25.88,44.38,29.19,
43,141.67,142.17,85.00,43.17,98.87,21.75,27.50,103.00,48.33,63.83,133.17,58.00,63.12,138.83,112.17,103.33,85.17,100.17,174.33,43.50,65.50,62.62,37.62,65.33,111.88,47.62,23.62,114.38,65.12,32.75,36.56,37.38,50.25,25.62,42.50,147.25,201.25,96.50,77.38,292.88,94.38,34.12,52.00,29.79,
44,147.17,142.17,85.00,49.17,102.50,21.75,33.33,107.67,58.67,71.33,144.50,68.83,63.50,149.83,112.17,113.08,94.67,101.00,186.33,49.38,76.75,64.50,41.75,75.17,122.75,48.75,23.62,122.38,67.50,35.12,39.18,37.38,59.25,25.62,55.12,152.88,212.75,108.00,84.75,305.12,105.75,41.25,58.75,29.79,
45,150.83,142.17,85.17,58.33,104.25,23.50,38.50,112.00,70.67,80.83,153.83,79.67,69.75,161.17,112.50,125.45,103.50,101.83,199.00,56.12,84.38,69.00,42.62,85.00,134.62,50.62,24.29,131.50,67.75,38.38,42.81,37.38,72.00,25.62,66.38,158.88,222.75,118.50,89.62,316.62,120.00,50.12,65.50,29.79,
46,156.00,142.83,85.17,63.50,107.25,26.00,43.83,115.17,84.17,89.00,165.00,89.50,80.62,173.17,112.50,138.95,107.33,102.00,213.67,65.25,90.25,77.88,43.38,91.50,145.62,51.50,25.13,138.25,67.75,41.75,49.81,39.62,86.25,25.62,79.62,166.00,232.50,127.38,96.75,322.62,135.62,58.12,70.88,32.63,
47,160.83,145.33,85.83,68.33,108.62,26.00,47.50,115.83,96.00,98.00,178.17,99.33,88.75,184.83,112.83,151.20,112.67,103.00,228.67,80.12,94.38,86.38,49.25,98.17,156.75,52.62,26.26,147.00,70.00,44.62,60.93,41.50,97.75,25.62,92.00,175.50,246.50,134.88,104.50,327.00,151.75,67.50,75.75,33.63,
48,165.17,153.50,87.17,75.50,108.62,26.00,54.83,116.83,105.83,106.50,192.67,109.17,98.38,199.33,121.83,164.58,116.83,107.17,241.17,98.38,96.88,91.12,53.12,107.33,168.38,53.38,26.51,159.00,75.62,48.50,76.81,46.38,110.88,25.62,106.25,192.88,260.38,139.62,116.00,332.12,170.50,82.88,82.00,34.46,
49,170.17,164.00,88.50,81.33,111.00,26.00,58.17,120.67,116.50,115.83,206.33,121.00,108.75,211.50,134.17,177.83,131.50,110.50,251.33,114.12,102.50,96.50,56.25,116.50,179.62,53.62,28.26,169.75,85.88,53.00,93.68,51.38,123.75,26.50,120.50,209.25,276.50,146.00,123.88,336.75,186.75,98.88,87.75,35.63,
50,177.50,174.67,90.33,87.67,117.62,26.00,60.67,125.83,125.00,124.00,222.00,134.67,118.50,225.17,147.33,188.58,145.50,112.83,263.00,131.49,113.88,105.38,64.62,128.67,192.12,57.62,30.63,183.12,101.62,56.25,108.06,54.62,134.62,27.00,136.50,217.50,294.00,154.88,130.50,341.38,203.25,111.88,94.00,37.79,
51,189.33,186.67,93.00,95.67,123.62,26.00,62.67,131.33,132.50,133.17,237.83,147.67,127.00,238.67,162.83,200.83,161.33,118.00,274.00,144.37,125.62,118.00,67.38,141.67,205.50,66.12,36.63,198.25,117.38,62.75,121.81,58.75,143.38,28.38,151.88,225.25,311.12,165.62,137.62,349.88,216.38,122.12,99.88,43.29,
52,200.83,197.17,93.67,106.50,129.50,26.00,64.17,138.33,141.00,142.83,250.83,160.83,136.12,251.50,175.17,217.95,175.67,126.17,288.33,154.87,134.38,131.12,68.00,156.83,220.12,82.00,46.38,215.38,132.75,70.38,132.68,68.38,154.62,32.25,169.12,233.75,328.75,178.50,146.62,358.75,228.62,135.75,111.62,47.63,
53,210.50,206.33,101.00,120.00,131.62,27.00,66.17,143.33,153.17,154.83,260.17,171.00,145.75,264.33,190.17,234.20,192.83,141.67,303.83,163.74,141.62,139.38,71.54,173.17,234.50,92.25,54.88,233.50,145.75,82.38,140.18,82.50,169.62,39.12,184.75,246.12,349.75,194.38,158.12,364.00,241.50,149.30,126.38,47.79,
54,219.50,215.33,112.17,135.50,133.75,27.00,66.17,146.67,166.83,164.67,268.33,183.67,155.12,276.50,203.83,251.83,203.00,159.17,320.67,166.99,148.12,146.25,74.29,190.50,248.75,105.88,64.63,251.75,155.75,93.12,147.68,97.25,183.12,46.50,199.75,261.38,373.62,212.38,171.88,370.50,253.00,166.55,137.88,52.18,
55,232.50,229.33,123.50,149.67,136.00,28.50,67.17,151.83,178.17,175.17,279.83,200.33,166.77,289.83,219.33,267.83,215.33,178.83,337.33,170.62,155.25,156.88,79.04,207.67,261.62,122.50,72.01,269.62,160.12,105.00,160.43,111.75,196.88,48.75,215.62,277.38,396.12,229.75,186.88,379.50,262.00,184.42,153.00,58.33,
56,249.83,241.17,131.50,165.00,145.37,28.50,68.83,161.00,192.83,187.83,290.67,216.83,177.89,304.00,237.00,286.95,227.17,197.50,348.83,175.74,162.88,168.12,91.79,228.83,275.25,142.50,77.51,285.62,163.62,123.62,177.81,125.12,211.38,49.25,231.75,293.62,418.12,245.62,199.25,389.88,271.12,202.55,168.88,68.72,
57,265.17,250.50,138.83,179.00,158.00,28.50,72.33,171.67,209.83,199.33,303.17,231.50,187.89,319.17,255.00,300.45,238.50,215.83,361.17,182.87,172.88,177.38,106.29,247.83,287.38,164.50,83.26,299.00,170.25,144.00,193.93,138.25,226.12,50.88,250.12,311.25,438.75,260.50,210.00,401.88,280.88,215.05,184.88,77.47,
58,280.17,262.67,144.50,193.67,174.62,29.00,80.00,183.50,225.83,217.67,314.67,245.33,195.27,335.00,271.83,312.33,247.83,234.33,369.17,192.87,185.88,187.75,121.42,264.33,300.00,185.25,90.76,312.75,177.38,163.75,212.43,152.38,239.88,51.38,267.38,327.50,458.62,276.38,220.62,416.75,290.88,227.05,199.12,87.78,
59,295.67,275.83,150.00,206.83,192.62,30.00,91.50,198.50,239.00,235.50,326.83,261.17,202.39,351.00,288.33,330.45,258.33,252.83,375.50,201.99,200.25,197.25,139.42,278.50,319.12,208.75,95.26,327.38,186.12,187.00,231.43,167.88,252.88,53.12,283.00,344.25,478.00,292.12,235.25,434.62,300.00,238.05,214.50,101.89,
60,309.17,289.00,154.00,220.17,209.50,33.50,103.17,214.33,249.00,253.67,341.17,278.50,208.27,369.00,303.50,351.08,268.00,270.33,385.83,211.62,214.88,207.25,157.17,296.67,343.25,231.50,100.01,343.38,192.00,210.25,244.93,182.88,262.75,56.62,302.25,359.62,495.25,308.12,250.38,456.62,310.50,244.30,229.12,116.64,
61,322.33,302.50,157.00,232.17,220.37,39.00,117.00,233.00,262.17,271.17,355.50,294.67,211.14,384.00,317.50,372.58,280.00,287.50,398.33,216.24,229.38,212.25,166.92,312.50,369.25,253.50,109.13,359.88,199.50,233.88,256.43,197.00,266.00,57.88,323.50,374.62,517.25,326.00,261.25,479.75,324.50,255.05,246.25,131.04,
62,337.17,314.17,158.00,244.33,225.75,47.75,131.50,250.17,278.50,288.17,368.00,310.33,213.14,398.83,334.17,397.95,290.00,305.33,409.50,220.99,242.62,215.12,173.54,331.33,391.00,274.00,122.76,378.12,213.62,258.25,268.93,211.38,267.75,61.88,348.25,390.75,536.25,343.62,271.25,497.50,340.25,271.17,262.25,142.21,
