# Cumulative DD25 averaged for Buckland River at Buckland
# Sites: NOME_AP, NENANA_MUN_AP, KOTZEBUE_AP, MCKINLEY_PARK
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
16,8.17,33.17,4.83,3.67,40.38,3.67,2.00,4.00,18.67,0.00,7.50,0.00,11.88,2.50,2.33,7.75,7.00,0.00,12.17,0.38,9.88,10.00,6.62,11.33,5.62,23.25,0.00,0.00,16.38,0.62,1.50,0.00,0.00,6.62,9.25,8.75,2.00,0.00,4.25,49.00,5.38,0.12,4.38,12.33
17,8.17,41.67,6.67,4.00,40.38,4.17,2.00,4.00,18.67,0.00,7.50,0.00,11.88,2.50,2.33,7.75,7.00,0.00,18.17,0.38,10.12,10.00,8.38,11.33,5.62,24.12,0.00,0.00,16.38,0.62,1.50,0.00,0.00,6.62,9.25,11.50,2.00,0.00,5.75,58.00,7.75,0.12,4.38,12.33
18,8.33,49.83,9.00,4.00,40.38,4.17,2.00,4.00,18.67,0.00,8.00,0.00,14.75,2.50,2.33,7.75,7.00,0.00,26.00,1.50,10.12,10.00,8.88,11.33,5.62,24.88,0.00,0.00,16.38,0.62,1.50,0.75,0.00,6.62,9.25,13.62,2.00,0.00,7.88,62.17,12.75,0.12,4.38,12.33
19,9.33,54.33,11.33,4.00,40.38,4.17,2.00,4.00,18.67,0.00,8.00,0.00,16.62,2.50,2.33,7.75,7.00,0.00,36.17,4.62,10.12,10.00,9.62,11.33,5.62,24.88,0.00,0.00,16.38,0.62,1.50,2.75,0.00,6.62,9.25,17.25,2.00,0.00,7.88,62.67,18.38,0.12,4.38,12.33
20,13.00,57.00,14.00,4.00,40.38,4.50,2.00,4.00,18.67,0.00,8.00,0.00,16.62,3.33,2.33,7.75,7.83,0.00,41.67,6.38,10.50,10.00,10.88,11.33,5.62,24.88,0.00,0.00,16.38,0.62,1.50,4.75,0.00,6.62,9.25,18.00,2.25,0.00,7.88,67.33,21.25,0.12,4.38,12.33
21,14.33,57.00,14.00,4.83,40.38,4.50,2.00,7.17,18.67,0.00,8.17,0.00,16.75,4.67,2.33,7.75,9.17,0.00,44.33,7.88,11.00,10.00,10.88,11.33,5.62,24.88,0.00,0.00,16.38,0.62,1.50,5.75,0.00,6.62,9.25,18.38,2.25,0.00,7.88,79.17,21.38,0.12,4.38,12.33
22,15.33,57.00,14.67,4.83,40.38,4.50,2.00,10.33,18.67,0.00,10.67,0.17,20.62,6.17,2.33,7.75,9.83,0.00,49.17,10.75,12.88,10.00,11.38,11.33,5.62,24.88,0.00,0.00,16.38,0.62,1.50,5.88,0.00,6.62,11.00,18.38,3.75,0.00,7.88,91.00,24.12,0.12,4.38,13.33
23,17.33,57.00,14.67,4.83,40.38,4.50,2.00,14.83,18.67,0.83,11.67,1.17,24.50,6.17,2.83,7.75,12.00,0.00,53.33,18.25,13.25,10.00,12.12,11.33,5.62,24.88,0.00,0.00,16.38,0.62,1.50,6.62,0.00,6.62,12.88,18.38,4.75,0.00,7.88,103.33,28.88,0.12,4.38,13.33
24,20.50,57.00,14.67,4.83,40.38,4.50,2.00,18.83,18.67,0.83,12.17,1.33,28.00,6.17,5.17,7.75,16.17,0.00,56.33,24.75,13.25,10.00,14.25,11.33,5.62,26.12,0.00,0.00,16.38,0.62,1.50,6.62,0.00,6.62,14.50,18.38,7.50,0.00,7.88,114.17,33.50,1.00,6.12,13.33
25,21.33,57.00,14.67,4.83,40.38,4.50,2.00,20.83,18.67,0.83,15.33,2.50,29.50,6.17,5.17,7.75,17.17,0.00,58.00,25.50,13.25,10.00,15.00,11.33,5.62,26.12,0.00,0.00,16.38,2.38,1.50,6.62,0.00,6.62,16.00,20.88,11.88,0.00,7.88,125.67,33.75,1.00,7.62,14.33
26,23.67,58.50,14.67,4.83,41.00,4.50,2.00,22.00,18.67,0.83,22.17,3.33,29.50,7.17,5.17,7.75,17.17,0.00,58.00,25.50,13.25,10.00,15.00,11.33,5.62,26.12,0.00,0.00,16.38,3.00,1.50,6.62,0.00,6.62,16.00,26.88,15.12,0.00,7.88,135.67,33.75,1.00,7.88,14.33
27,26.00,59.00,14.67,4.83,41.62,4.50,2.00,25.17,18.67,0.83,28.67,4.50,29.50,9.33,8.50,9.00,18.67,0.00,58.00,25.50,13.25,10.00,15.00,11.33,5.62,26.12,0.00,0.00,16.38,3.00,1.88,6.62,0.00,6.62,16.00,30.88,18.12,0.00,7.88,142.33,33.75,1.00,8.75,14.50
28,27.83,60.33,14.67,4.83,45.38,4.50,2.00,29.50,18.67,0.83,30.83,4.50,29.50,14.67,11.50,11.12,20.50,0.00,59.00,25.50,13.25,10.00,15.00,11.33,5.62,26.12,0.00,0.00,16.38,3.00,2.25,7.88,1.38,6.62,16.00,32.50,22.25,0.00,7.88,151.17,33.75,2.62,9.75,14.50
29,33.00,61.67,14.67,4.83,47.38,4.50,2.00,34.50,18.67,0.83,31.17,4.50,29.50,18.83,15.17,14.38,20.50,0.00,59.17,25.50,17.75,10.00,15.00,11.33,5.62,26.12,0.00,0.12,16.38,3.00,2.25,8.75,1.38,6.62,16.00,34.62,25.62,0.00,8.25,157.83,33.75,3.75,11.50,15.00
30,36.83,63.17,14.67,4.83,49.88,4.50,2.00,38.50,18.67,0.83,32.17,4.50,29.50,26.67,19.17,17.88,22.00,0.00,59.17,25.50,19.00,10.00,15.00,11.33,5.62,26.12,0.62,1.00,21.00,3.00,2.88,8.75,1.50,6.75,16.00,35.88,30.88,0.00,10.00,166.33,33.75,3.75,12.50,15.00
31,43.83,65.00,14.67,4.83,54.50,4.50,2.00,39.83,18.67,0.83,32.17,4.50,29.50,35.83,23.83,21.88,22.33,0.00,59.17,26.00,20.62,10.00,15.00,11.50,5.62,26.12,1.00,3.00,29.88,3.00,3.62,8.75,1.62,8.25,16.00,37.00,35.38,4.38,11.12,176.17,34.00,3.75,12.50,15.00
32,52.83,66.00,14.67,4.83,57.75,4.50,2.00,43.50,18.67,0.83,33.17,4.50,29.50,39.67,35.00,23.62,22.33,0.00,62.83,26.88,20.62,10.00,15.00,12.17,5.62,26.12,2.00,4.00,35.50,3.00,4.88,8.75,1.62,8.25,16.25,39.50,39.62,9.62,11.12,183.00,35.50,3.75,12.50,15.00
33,62.00,66.00,14.67,4.83,60.25,4.50,2.00,45.17,18.67,0.83,36.50,4.50,29.50,40.83,41.33,25.12,22.33,0.17,69.83,26.88,20.62,14.12,15.00,12.17,5.62,26.12,2.00,4.12,42.75,3.00,5.00,10.38,1.62,8.38,16.25,40.00,45.50,12.00,11.12,185.33,38.12,3.75,12.50,15.00
34,70.00,66.00,15.33,9.17,62.75,4.50,2.00,45.17,18.67,0.83,43.00,4.50,29.62,40.83,44.83,28.88,22.33,1.67,74.17,27.25,21.12,17.25,15.00,12.33,5.62,26.12,2.62,4.88,49.75,3.00,5.06,11.50,1.62,8.50,16.25,40.12,53.75,17.25,11.12,185.83,43.38,3.88,12.50,15.00
35,73.33,66.00,21.33,12.83,67.88,4.50,2.00,45.17,18.67,0.83,44.67,4.50,31.12,41.33,47.50,32.38,22.33,7.17,74.83,28.38,21.12,18.88,15.00,12.33,10.50,26.12,4.12,8.75,52.75,3.00,6.43,13.12,5.00,8.50,16.75,40.88,56.50,22.62,11.12,187.00,45.75,3.88,12.50,15.00
36,73.33,66.00,27.00,13.67,69.75,4.50,2.00,46.00,18.67,2.50,45.50,4.83,34.62,41.50,48.67,33.50,24.83,15.83,77.00,28.38,21.12,21.88,15.25,12.33,19.50,28.12,4.12,15.88,52.75,3.00,9.06,13.12,9.38,8.50,17.88,44.12,61.62,28.50,11.38,190.50,45.75,3.88,12.50,15.00
37,73.33,66.00,32.17,13.67,69.75,4.50,2.00,47.50,18.67,6.50,50.00,5.33,36.12,41.83,49.50,34.70,26.00,23.33,79.67,28.38,21.12,23.38,15.38,12.33,33.75,32.88,4.12,25.50,52.75,3.00,10.68,13.12,10.25,8.50,18.75,52.88,68.38,32.75,11.38,194.83,45.75,3.88,12.50,15.00
38,76.00,67.50,33.83,13.67,69.75,4.50,2.00,47.50,18.67,11.00,55.17,6.00,39.12,43.00,49.50,35.08,26.00,31.33,82.33,28.38,21.12,25.75,15.38,12.33,46.25,34.38,4.88,33.75,52.75,3.00,10.68,16.12,12.25,8.50,18.75,59.25,75.88,33.00,11.38,203.50,45.75,3.88,12.50,15.00
39,78.00,68.83,34.50,13.67,69.75,4.50,2.00,47.50,18.67,11.83,60.83,6.67,41.00,44.17,49.50,37.20,26.00,41.50,86.00,28.38,21.12,27.00,15.38,12.33,59.12,36.75,10.25,44.00,52.75,4.38,10.68,16.12,16.25,8.50,18.75,65.50,83.38,34.50,13.12,213.67,45.75,3.88,12.75,15.00
40,78.33,71.17,34.50,13.67,69.75,4.50,2.00,47.67,18.67,12.67,64.67,7.83,41.50,47.00,49.50,40.83,26.83,52.17,92.50,28.75,21.38,30.12,15.38,13.33,70.50,39.12,14.00,51.25,52.75,6.00,12.43,16.12,18.75,8.50,18.75,69.75,96.38,37.00,17.88,221.67,47.50,3.88,14.00,15.00
41,78.33,72.83,34.67,13.67,69.75,4.50,2.50,48.33,18.67,18.50,67.00,7.83,41.50,50.67,49.50,45.83,27.33,61.50,98.17,30.00,23.25,37.12,15.38,15.33,78.75,41.00,15.25,57.12,52.75,10.50,17.56,16.12,21.25,8.50,18.75,74.12,106.88,41.75,24.75,232.67,49.75,3.88,15.25,15.00
42,78.33,72.83,34.67,13.67,70.62,4.50,4.83,48.33,23.83,27.17,69.67,7.83,41.50,55.17,49.50,51.45,28.17,67.83,103.83,32.38,28.50,41.25,15.62,20.22,90.75,41.50,15.25,61.50,52.79,14.38,22.31,16.12,24.75,8.50,19.00,76.88,116.00,48.12,29.38,243.00,55.50,7.50,21.38,15.00
43,78.33,72.83,34.67,14.33,70.87,4.50,7.00,48.33,31.17,36.00,72.67,7.83,41.50,61.67,49.50,56.33,28.83,68.67,108.83,34.00,37.00,44.25,16.25,30.55,98.00,41.75,15.25,65.12,52.79,17.25,25.43,16.12,29.75,8.50,27.12,79.88,123.00,57.25,35.50,252.00,61.12,13.50,27.62,15.00
44,79.00,72.83,34.67,17.33,71.62,4.50,8.00,48.67,36.83,40.17,75.67,12.83,41.50,69.67,49.50,61.33,33.83,70.33,117.33,38.12,47.12,46.50,17.25,38.88,105.50,42.00,15.25,69.00,53.29,18.38,26.31,16.12,35.88,8.50,35.12,81.75,129.38,66.38,38.12,258.50,68.50,19.00,34.00,15.00
45,79.00,72.83,34.67,26.00,71.62,4.50,10.50,52.17,43.67,45.83,78.17,19.00,45.12,76.83,49.50,68.95,36.67,70.33,126.67,42.88,54.12,49.12,17.88,46.88,115.88,43.12,15.25,74.88,53.29,20.62,28.43,16.12,42.88,8.50,42.00,84.88,133.38,73.50,39.50,265.33,79.75,25.00,39.38,15.00
46,79.00,73.00,34.67,29.83,72.50,6.83,10.50,55.50,52.83,50.22,81.17,26.00,54.62,84.17,49.50,77.95,36.67,70.33,134.17,49.25,58.00,55.88,17.88,49.72,126.25,44.38,15.25,79.00,53.29,22.75,31.31,17.62,52.12,8.50,50.50,89.25,137.50,79.75,43.50,272.17,91.00,29.38,42.12,15.00
47,79.50,73.00,34.67,34.17,72.50,7.00,11.33,55.50,62.83,56.89,84.17,29.50,60.75,89.50,49.50,86.58,38.17,70.33,139.50,56.88,60.12,60.75,20.50,52.88,135.00,44.88,15.25,84.50,53.29,25.00,40.56,18.75,60.12,8.50,57.62,95.75,145.00,83.25,49.00,276.50,103.12,35.75,44.88,15.00
48,80.50,74.00,34.67,40.00,72.50,8.50,11.83,55.50,69.17,62.22,88.67,33.67,62.88,96.50,49.50,96.58,42.83,70.33,144.83,67.38,60.12,62.50,24.50,55.38,143.75,44.88,15.62,90.67,57.54,27.00,53.56,21.75,68.12,8.62,67.75,103.62,155.38,84.88,56.62,277.67,116.50,46.50,49.50,15.00
49,82.00,77.00,34.67,47.83,72.50,8.50,12.17,55.50,73.17,66.72,94.00,39.67,66.88,105.00,52.17,103.20,46.17,70.33,149.67,76.12,62.00,63.38,26.25,58.55,151.62,44.88,17.88,97.92,63.54,30.00,65.06,25.38,76.12,8.62,79.12,119.12,169.25,88.75,60.50,280.00,129.12,58.25,53.62,15.00
50,84.50,80.50,34.67,55.33,75.62,8.50,12.17,56.83,79.33,71.05,100.17,49.00,72.25,114.33,56.17,110.08,55.17,70.33,154.00,86.24,70.50,68.38,30.50,63.22,159.25,45.25,19.88,106.80,74.29,32.75,75.31,28.00,84.00,9.00,92.25,127.88,184.00,92.75,61.88,283.17,139.25,68.25,56.75,15.00
51,90.17,83.50,34.67,58.17,81.00,8.50,12.17,58.00,84.50,74.55,105.83,59.67,77.62,123.00,62.17,116.08,65.83,70.33,159.33,94.87,78.88,77.12,32.62,71.44,166.50,49.75,23.38,113.55,86.91,36.88,81.93,29.00,90.88,9.62,105.00,133.00,198.25,98.25,61.88,288.67,146.12,74.50,60.75,17.50
52,93.00,86.33,36.17,67.67,87.37,8.50,13.83,60.33,88.00,77.05,110.00,69.83,82.38,134.00,67.50,127.33,77.50,73.35,167.67,99.99,84.88,83.62,32.62,79.29,175.38,59.62,29.38,126.42,99.54,41.75,87.93,33.62,98.75,11.38,120.62,136.62,212.00,107.38,65.62,297.83,152.38,85.50,68.88,20.67
53,95.33,90.50,37.50,80.33,87.37,8.50,15.83,63.17,93.17,84.05,113.67,75.50,87.88,142.17,72.00,140.95,86.67,76.67,176.17,106.12,89.75,89.25,36.04,86.79,185.00,67.38,34.12,139.67,110.91,49.62,92.81,42.75,109.50,14.00,135.88,143.50,223.88,117.12,73.00,303.67,159.12,98.17,79.25,20.67
54,102.00,95.33,38.00,92.83,87.62,9.33,17.33,66.33,102.50,90.39,117.83,82.83,92.62,148.00,76.50,155.70,91.17,84.50,184.83,109.87,93.00,92.25,36.54,99.29,191.50,75.38,40.25,150.92,118.66,57.12,95.68,54.25,119.12,21.00,150.62,154.62,236.62,130.12,84.88,309.67,166.50,112.29,89.62,20.67
55,105.50,99.33,41.50,102.50,88.25,10.17,18.67,67.83,114.33,94.89,120.83,88.50,99.27,153.33,82.33,169.45,92.33,97.33,192.17,111.12,95.75,95.62,38.29,110.12,198.88,86.62,46.00,162.05,122.66,64.88,100.31,62.21,128.75,21.00,164.75,164.50,251.00,143.50,95.12,313.83,171.50,127.29,99.38,20.67
56,114.83,103.17,44.50,113.67,91.25,12.83,18.67,70.33,126.67,99.22,128.00,95.83,103.77,158.00,88.67,181.70,95.50,112.17,195.17,112.74,99.25,101.38,46.79,122.12,208.50,101.00,48.38,170.42,122.79,78.38,107.68,70.58,138.50,22.12,179.12,172.25,265.88,154.25,104.00,320.83,176.12,142.67,108.12,23.17
57,122.67,108.33,46.83,125.50,96.62,13.50,19.83,73.33,143.50,104.89,134.33,102.50,107.27,164.67,98.33,190.95,100.17,125.00,200.00,114.49,103.88,105.50,55.42,134.79,219.50,118.25,51.12,178.42,124.91,92.62,117.56,78.83,146.62,22.75,192.38,182.75,281.50,163.88,113.00,328.17,180.38,153.92,117.75,25.50
58,130.50,117.00,51.17,136.33,104.37,14.67,21.83,82.17,157.17,111.05,139.17,109.33,108.89,171.50,105.17,198.45,103.83,133.83,202.83,118.99,108.88,109.12,63.17,146.46,227.75,135.62,55.38,185.92,128.54,106.38,130.31,88.96,155.75,22.75,203.00,193.25,295.75,175.88,119.12,338.83,184.75,162.04,128.88,29.33
59,136.00,124.00,54.50,147.67,113.50,17.00,24.50,91.33,170.17,119.72,143.33,118.00,109.64,179.33,111.00,209.58,108.50,142.17,205.17,125.99,114.62,112.25,75.42,155.46,241.38,153.50,57.75,193.17,133.04,123.50,143.31,100.71,163.50,23.88,215.62,201.62,309.75,189.25,126.75,353.33,189.75,169.54,142.12,33.83
60,139.67,135.00,58.17,158.17,122.75,19.50,29.67,99.33,179.83,128.05,148.50,126.83,112.77,188.83,117.50,224.70,113.00,150.83,205.17,132.62,120.50,115.50,88.29,163.62,256.38,171.25,59.88,200.30,135.91,142.62,153.06,113.58,171.25,25.62,230.62,209.12,322.75,204.25,135.00,370.50,195.00,173.92,157.75,42.33
61,146.50,141.83,59.83,169.00,131.00,20.83,36.00,109.00,187.00,140.55,153.17,133.83,113.27,194.83,122.00,239.58,116.33,161.00,211.50,136.62,128.62,119.75,95.29,174.46,276.50,190.88,64.88,208.67,138.91,161.50,161.43,123.33,173.75,25.88,246.88,215.25,338.62,219.38,140.75,389.17,203.00,177.29,169.38,52.00
62,154.00,146.67,61.33,183.50,136.25,22.17,45.33,118.17,197.67,154.22,158.33,143.50,113.27,203.33,129.67,256.95,119.83,174.83,215.17,139.12,136.25,120.38,99.67,188.96,296.12,205.75,73.88,219.05,146.54,178.38,170.06,129.08,174.00,25.88,266.00,223.62,350.50,231.50,144.00,406.67,212.62,184.79,178.88,60.50
63,159.83,155.00,65.50,194.67,137.87,25.17,55.17,125.83,208.50,166.55,161.83,156.67,113.27,209.33,139.83,275.20,125.50,187.83,219.67,141.62,143.88,120.38,105.04,201.79,314.25,218.50,82.12,230.55,156.41,193.75,178.68,135.33,176.00,26.50,285.75,234.25,363.62,244.25,148.38,419.00,223.88,195.92,186.00,65.83
64,169.50,169.00,68.83,201.33,141.37,29.50,59.50,129.17,223.83,176.89,167.50,170.33,113.27,218.17,151.50,286.58,135.00,196.00,222.00,143.87,149.62,120.50,108.17,213.82,331.25,232.00,94.75,242.42,168.04,205.88,187.06,142.08,179.75,28.62,301.50,248.12,376.00,255.25,157.00,430.00,239.50,207.42,195.38,69.17
65,185.67,183.33,72.83,210.17,147.93,33.33,68.67,133.00,235.00,182.72,174.00,188.83,113.27,226.50,163.33,299.70,146.83,206.67,227.67,146.24,152.88,123.50,115.04,225.06,349.50,244.61,107.25,251.05,179.41,216.62,193.31,148.71,186.88,29.88,309.75,261.12,389.00,268.00,169.00,440.17,252.50,218.42,205.12,71.83
66,204.67,196.00,79.00,217.50,151.81,37.33,75.33,138.67,246.50,188.39,185.00,206.83,114.89,232.17,173.33,315.45,159.67,220.83,232.50,151.24,159.12,128.25,125.04,233.68,366.88,259.32,120.88,261.30,190.54,222.62,200.31,154.96,195.25,31.12,319.50,272.87,404.75,285.62,178.62,452.83,264.50,232.79,213.75,76.33
67,222.33,212.00,90.00,228.00,159.31,43.33,81.00,147.33,256.50,194.39,197.22,221.67,120.27,238.67,182.33,334.83,171.83,229.00,236.83,156.12,168.75,134.00,134.67,246.35,383.12,279.45,130.12,270.17,207.16,232.00,210.06,160.21,206.00,34.25,328.62,288.62,419.25,305.50,187.38,470.33,282.00,249.04,223.50,80.83
