# Cumulative DD25 averaged for Gulkana River nr Gakona
# Sites: TALKEETNA_AP, NENANA_MUN_AP, NORTHWAY_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16,16.25,37.00,6.25,20.50,91.25,24.00,19.00,2.75,46.50,0.00,12.25,5.00,37.25,13.00,27.50,0.50,17.25,5.25,17.50,6.00,21.50,30.38,3.00,31.33,19.88,38.50,0.75,0.00,26.12,2.38,8.25,2.12,1.38,7.38,15.75,21.62,19.25,0.33,10.88,46.12,2.12,1.50,22.25,3.50,9.00
17,16.25,46.00,11.50,20.50,91.50,28.50,20.00,2.75,47.50,0.00,12.75,5.00,37.25,13.00,27.50,0.50,17.50,6.25,22.17,6.00,24.17,30.38,3.00,33.17,19.88,40.62,0.75,0.00,26.12,2.38,9.38,2.12,1.38,7.38,15.88,26.12,19.25,0.33,14.38,55.50,5.12,1.50,23.62,4.67,12.38
18,16.25,50.00,16.00,20.50,92.25,28.50,20.00,4.75,47.50,2.00,14.75,5.00,43.00,15.00,27.50,0.50,17.50,7.50,27.33,8.83,26.00,30.38,3.50,36.00,19.88,41.38,1.50,0.00,26.12,2.38,12.12,3.12,1.38,7.38,15.88,30.38,19.25,0.33,15.38,62.50,6.50,1.50,25.38,5.50,14.50
19,16.25,54.50,20.75,24.00,94.25,36.50,23.50,7.75,48.25,5.50,17.00,5.00,46.75,15.00,27.50,0.50,19.25,10.00,32.83,12.17,29.83,30.38,3.50,37.83,19.88,42.25,2.75,0.00,26.12,2.38,13.88,3.88,1.38,7.38,16.25,35.75,19.88,0.33,15.38,67.38,11.00,1.50,26.88,6.17,15.38
20,20.75,61.25,25.50,27.00,95.75,41.00,24.75,13.00,48.25,7.50,18.25,5.00,48.50,17.75,27.50,0.50,19.25,12.75,37.50,14.00,32.50,30.38,4.17,37.83,21.75,42.25,5.00,0.00,27.75,2.38,15.00,4.62,1.38,7.38,16.50,36.88,21.88,0.33,15.38,74.12,14.00,1.50,28.00,9.00,17.62
21,23.50,62.75,30.50,27.00,96.75,46.00,28.50,19.75,50.50,10.75,19.25,5.00,52.25,21.25,27.50,0.50,19.25,13.50,40.83,15.33,35.33,30.38,4.67,37.83,24.62,43.50,7.62,0.00,29.12,2.38,15.38,6.00,1.38,7.38,16.50,39.50,25.88,0.33,16.50,83.62,14.12,1.50,29.50,12.50,22.75
22,23.50,62.75,33.50,27.25,97.00,46.00,31.00,25.25,50.75,13.75,20.75,5.00,56.75,23.25,27.50,0.50,21.75,13.50,45.17,20.50,38.17,30.38,4.67,37.83,26.00,44.88,8.88,0.00,30.50,4.12,16.75,8.00,1.38,7.38,18.00,41.25,28.75,0.33,16.50,92.88,15.62,1.50,30.12,13.83,29.38
23,28.25,66.50,37.50,27.25,99.25,46.00,33.50,32.00,50.75,20.25,21.50,6.00,62.25,23.25,30.75,0.50,24.00,13.50,51.33,24.50,40.83,30.38,4.67,37.83,28.38,46.62,9.50,0.00,32.12,5.75,19.25,9.88,1.88,7.38,20.25,43.00,31.75,0.33,16.50,105.75,20.12,1.50,32.75,13.83,37.50
24,31.75,69.50,39.00,30.00,103.75,49.00,36.25,39.25,52.25,26.50,28.00,13.75,67.25,23.25,36.25,0.50,27.25,13.50,57.17,29.00,41.83,32.25,8.33,41.17,28.38,49.75,12.12,0.00,32.62,6.88,20.75,10.00,1.88,7.38,23.12,45.12,38.25,0.33,16.75,118.00,27.38,2.38,37.12,13.83,45.00
25,32.25,76.00,39.00,33.75,108.25,49.00,36.25,46.75,52.25,28.75,36.00,20.50,69.00,23.25,42.00,0.50,35.25,15.50,64.17,30.50,44.50,34.88,10.83,44.50,28.38,51.75,13.25,0.00,32.88,10.75,20.88,11.38,1.88,7.38,25.50,49.25,44.25,0.33,16.75,130.38,28.50,2.38,39.75,13.83,52.00
