# Cumulative DD25 averaged for Susitna River at Sunshine
# Sites: TALKEETNA_AP, BIG_DELTA_AP, CHICKEN, NORTH_POLE
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16,15.50,74.33,5.67,13.33,96.50,20.83,13.33,1.83,78.83,0.00,14.50,5.00,41.00,13.00,23.83,3.00,18.83,3.50,22.75,5.88,25.38,33.75,2.25,30.88,22.38,64.88,0.75,0.00,55.67,2.38,9.00,2.12,1.25,14.75,21.50,23.62,20.62,0.25,14.38,66.25,1.00,1.50,20.62,4.00,8.50
17,15.50,94.00,14.83,13.33,96.67,25.33,14.00,1.83,79.50,0.00,15.00,5.00,41.00,13.00,23.83,3.00,19.00,4.17,32.12,5.88,27.38,33.75,2.25,32.25,22.38,67.00,0.75,0.00,55.67,2.38,10.12,2.12,1.25,14.75,21.62,26.88,20.62,0.25,18.75,79.88,4.12,1.50,22.00,5.38,10.62
18,15.50,106.33,21.83,13.33,97.17,27.83,14.00,3.17,79.50,1.33,17.00,5.00,50.75,16.25,23.83,3.00,19.00,5.00,41.38,9.00,28.75,33.75,2.62,34.38,22.38,67.75,1.50,0.00,55.67,2.38,12.88,3.12,1.25,14.75,21.62,33.38,20.62,0.25,19.38,86.50,6.25,1.50,23.75,7.00,12.75
19,17.17,112.33,34.17,15.67,98.50,30.67,16.33,5.17,80.00,3.67,19.25,5.00,55.00,16.25,23.83,3.00,20.17,6.67,53.50,13.75,34.00,33.75,2.62,35.88,22.38,68.62,2.75,0.00,55.67,2.38,14.62,3.12,1.25,14.75,22.00,39.50,22.88,0.25,19.38,93.38,11.88,1.50,25.25,7.50,15.50
20,27.33,118.33,41.50,17.67,99.50,33.17,17.17,13.83,80.00,5.00,20.50,5.00,56.75,19.00,23.83,3.00,20.17,8.50,63.62,17.00,36.00,33.75,3.12,35.88,24.25,68.62,5.00,0.00,57.83,2.38,15.75,3.88,1.25,14.75,22.25,43.25,27.12,0.25,19.38,106.88,15.00,1.50,26.38,9.62,19.25
21,31.67,119.67,51.00,17.67,100.17,35.33,19.67,23.83,81.50,7.17,21.50,5.00,60.50,24.75,23.83,3.00,20.17,9.00,69.00,20.25,39.00,33.75,3.50,35.88,27.12,69.88,7.62,0.00,59.67,2.38,16.12,5.25,1.25,14.75,22.25,46.88,33.12,0.25,20.50,123.00,15.00,1.50,27.88,12.75,26.00
22,31.67,119.67,54.33,17.83,100.33,35.33,21.33,32.83,81.67,9.33,23.00,5.00,65.25,26.00,23.83,3.00,23.00,9.00,78.75,27.75,42.38,33.75,3.88,35.88,28.50,72.88,8.88,0.00,61.50,4.12,17.50,7.25,1.25,14.75,22.38,50.50,37.38,0.25,20.50,137.50,15.12,1.50,28.50,13.75,34.00
23,37.17,122.17,57.00,17.83,101.83,35.33,23.00,43.00,81.67,13.50,23.75,10.50,77.50,26.00,31.83,3.00,27.50,9.00,88.12,35.75,46.38,33.75,4.50,35.88,30.88,74.62,9.25,0.00,63.67,5.75,20.00,8.88,1.75,14.75,22.75,52.25,42.12,0.25,20.50,152.00,19.25,1.50,31.12,13.75,45.75
24,43.83,125.00,58.00,19.67,104.83,36.33,24.83,52.50,82.67,17.67,29.75,17.00,86.00,26.00,43.17,3.00,29.67,9.00,97.62,44.62,47.12,35.62,11.00,38.38,30.88,81.62,11.88,0.00,64.33,6.88,21.50,9.00,1.75,14.75,25.75,57.50,51.12,0.25,20.75,165.75,25.12,1.50,38.25,13.75,55.88
25,48.17,133.00,58.00,22.17,107.83,36.33,24.83,59.33,82.67,19.17,39.50,20.50,89.50,26.00,45.33,3.00,37.50,10.33,103.50,46.50,49.12,38.25,13.00,40.88,30.88,85.12,13.00,0.00,64.67,11.12,21.62,10.38,1.75,14.75,28.38,65.25,59.62,0.25,20.75,179.25,26.25,1.50,44.12,13.75,65.38
26,57.50,139.67,58.00,24.67,118.00,36.33,24.83,66.33,82.67,19.17,48.50,24.75,89.50,27.00,46.50,4.83,40.00,11.00,106.38,48.75,50.38,40.88,16.38,41.75,30.88,86.75,13.38,0.00,64.67,12.50,24.12,10.38,3.25,14.75,28.38,75.12,67.50,0.25,20.75,190.62,26.25,1.50,45.75,19.12,72.88
27,60.83,145.50,58.00,27.33,124.17,36.33,24.83,71.17,83.00,19.17,59.00,27.50,89.50,33.75,54.17,11.50,42.50,11.50,108.12,49.88,50.38,42.62,16.38,42.12,31.88,87.62,13.38,0.00,64.67,12.50,31.88,10.50,11.25,14.75,28.38,83.00,78.88,1.50,21.88,203.25,26.25,1.50,52.88,20.62,79.25
28,63.33,152.33,58.00,28.83,131.17,36.33,24.83,84.00,83.17,19.17,70.75,27.75,89.50,41.75,67.83,20.83,44.83,11.50,113.38,50.50,53.88,43.12,16.38,42.75,31.88,87.88,14.50,0.00,64.67,13.88,38.00,15.88,14.38,17.38,28.38,89.38,88.50,2.50,23.38,215.12,26.25,3.00,59.88,21.25,84.50
29,76.83,159.17,58.00,30.33,140.50,36.33,24.83,96.17,86.67,19.17,80.00,27.75,89.50,50.00,81.67,26.67,47.33,12.67,113.38,50.62,60.88,44.88,16.38,42.75,31.88,88.38,14.50,0.00,67.17,16.00,41.62,20.62,17.25,20.75,28.38,98.88,101.25,3.38,24.38,224.25,26.50,6.00,62.88,23.38,90.62
30,87.83,163.83,58.00,33.00,148.33,36.33,24.83,104.67,89.67,20.33,86.00,27.75,92.50,64.50,94.83,37.83,49.33,12.67,113.38,52.00,64.75,45.00,16.38,42.75,31.88,92.25,17.88,0.00,73.50,16.00,47.62,22.75,21.62,25.50,28.50,103.00,117.38,9.38,25.50,235.62,26.50,6.00,65.50,24.25,96.88
31,104.33,166.83,58.00,35.00,158.83,36.33,24.83,107.33,93.00,22.00,90.75,27.75,97.00,76.00,110.17,49.17,49.33,14.83,120.62,59.62,70.25,45.00,16.38,42.75,31.88,93.12,22.12,0.00,83.17,16.00,54.12,23.12,24.62,28.62,29.62,109.38,131.75,21.50,26.62,247.25,26.50,6.00,68.38,24.88,101.62
32,120.50,170.33,58.00,37.67,165.17,36.33,25.33,109.50,94.67,23.83,94.75,31.00,99.75,87.25,126.00,59.33,49.33,16.83,125.75,60.75,75.25,45.00,16.38,42.75,32.50,93.12,23.38,0.17,94.83,16.00,60.38,25.12,26.00,29.12,29.62,114.50,143.50,32.38,28.12,255.88,28.50,6.00,70.25,25.62,101.62
33,134.17,172.00,58.00,40.83,173.17,36.33,25.33,113.50,95.83,24.83,102.75,33.50,100.25,96.25,136.33,66.33,49.33,17.50,135.00,60.75,79.88,54.50,16.75,43.12,37.25,94.00,24.00,0.17,104.83,16.38,66.88,32.00,26.62,31.12,29.88,118.62,154.50,38.12,28.12,258.38,33.50,6.00,72.12,25.62,101.88
34,148.00,172.33,58.00,51.00,182.67,36.33,25.33,117.00,97.33,26.33,117.25,39.50,100.25,102.25,145.83,80.83,53.67,23.50,145.00,60.75,82.25,61.88,18.75,43.88,41.88,95.88,31.25,3.50,114.17,17.38,72.62,37.12,27.38,31.88,33.25,122.00,165.25,48.12,28.12,260.50,37.50,8.50,72.88,29.12,105.50
35,156.83,172.33,61.83,59.00,192.50,36.33,25.33,122.17,98.83,27.33,124.25,42.75,100.25,109.25,154.33,92.67,63.83,36.50,154.12,65.25,84.38,66.12,22.12,43.88,52.62,99.50,34.38,8.17,117.67,17.38,80.88,43.38,36.38,32.12,39.12,124.62,177.50,58.75,31.50,266.00,40.88,8.50,74.38,31.25,109.22
36,163.17,172.33,70.17,66.33,197.33,36.33,25.33,126.67,98.83,29.50,133.50,47.75,103.00,116.75,162.67,100.83,74.83,54.17,165.25,66.38,85.38,68.38,24.25,44.12,66.12,108.75,37.38,18.00,119.83,17.38,88.00,44.75,43.50,32.12,46.00,131.38,190.88,69.88,35.12,273.38,40.88,8.50,79.00,31.50,
