# Cumulative DD25 averaged for Kobuk River at Ambler
# Sites: NOME_AP, NENANA_MUN_AP, KOTZEBUE_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16,8.25,19.25,7.25,5.50,35.25,2.50,3.00,5.75,1.50,0.00,3.50,0.00,0.25,0.00,0.00,10.25,6.25,0.00,4.50,0.00,8.83,1.38,6.33,3.83,3.38,8.88,0.00,0.00,4.75,0.62,0.00,0.00,0.12,4.75,3.12,3.88,1.75,0.00,2.88,32.50,5.38,0.12,4.25,7.83,1.00
17,8.25,24.50,7.25,6.00,35.25,2.50,3.00,5.75,1.50,0.00,3.50,0.00,0.25,0.00,0.00,10.25,6.25,0.00,7.50,0.00,8.83,1.38,7.67,3.83,3.38,9.75,0.00,0.00,4.75,0.62,0.00,0.00,0.12,4.75,3.12,6.62,1.75,0.00,3.75,37.17,7.75,0.12,4.25,7.83,1.00
18,8.50,28.75,7.25,6.00,35.25,2.50,3.00,5.75,1.50,0.00,4.25,0.00,0.25,0.00,0.00,10.25,6.25,0.00,11.50,0.00,8.83,1.38,8.33,3.83,3.38,10.12,0.00,0.00,4.75,0.62,0.00,0.75,0.12,4.75,3.12,8.00,1.75,0.00,4.12,39.17,11.88,0.12,4.25,7.83,1.00
19,10.00,33.50,7.25,6.00,35.25,2.50,3.00,5.75,1.50,0.00,4.25,0.00,0.25,0.00,0.00,10.25,6.25,0.00,18.50,0.00,8.83,1.38,9.33,3.83,3.38,10.12,0.00,0.00,4.75,0.62,0.00,2.75,0.12,4.75,3.12,10.88,1.75,0.00,4.12,40.00,16.00,0.12,4.25,7.83,2.62
20,15.50,37.50,7.25,6.00,35.25,2.50,3.00,5.75,1.50,0.00,4.25,0.00,0.25,1.25,0.00,10.25,7.50,0.00,19.67,0.00,8.83,1.38,11.00,3.83,3.38,10.12,0.00,0.00,4.75,0.62,0.00,4.75,0.12,4.75,3.12,10.88,1.75,0.00,4.12,42.17,17.62,0.12,4.25,7.83,6.38
21,17.50,37.50,7.25,7.25,35.25,2.50,3.00,8.00,1.50,0.00,4.50,0.00,0.25,1.25,0.00,10.25,9.50,0.00,19.67,2.00,8.83,1.38,11.00,3.83,3.38,10.12,1.12,0.00,4.75,0.62,0.00,5.75,0.12,4.75,3.12,10.88,1.75,0.00,4.12,49.17,17.75,0.12,4.25,7.83,8.38
22,19.00,37.50,7.25,7.25,35.25,2.50,3.00,9.75,1.50,0.00,8.25,0.25,0.25,1.25,0.00,10.25,10.50,0.00,21.17,3.33,8.83,1.38,11.00,3.83,3.38,10.12,1.12,0.00,4.75,0.62,0.00,5.88,0.12,4.75,4.88,10.88,1.75,0.00,4.12,57.50,20.50,0.12,4.25,7.83,9.75
23,22.00,37.50,7.25,7.25,35.25,2.50,3.00,12.00,1.50,0.00,9.75,1.75,0.25,1.25,0.00,10.25,12.00,0.00,21.50,6.17,8.83,1.38,12.00,3.83,3.38,10.12,1.12,0.00,4.75,0.62,0.00,6.62,0.12,4.75,6.75,10.88,1.75,0.00,4.12,67.33,25.25,0.12,4.25,7.83,13.38
24,24.00,37.50,7.25,7.25,35.25,2.50,3.00,14.00,1.50,0.00,9.75,1.75,0.25,1.25,0.00,10.25,17.75,0.00,22.33,9.50,9.17,1.38,13.17,3.83,3.38,10.50,1.75,0.00,4.75,0.62,0.00,6.62,0.12,4.75,8.38,10.88,3.75,0.00,4.12,78.33,30.88,1.00,4.88,7.83,16.62
25,24.00,37.50,7.25,7.25,35.25,2.50,3.00,16.00,1.50,0.00,11.25,1.75,0.25,1.25,0.00,10.25,17.75,0.00,24.00,9.50,11.33,1.38,13.17,3.83,3.38,10.50,2.25,0.00,4.75,1.50,0.00,6.62,0.12,4.75,9.88,12.00,5.62,0.00,4.12,88.83,31.25,1.00,4.88,8.83,19.12
