# Cumulative DD25 averaged for Kuskokwim River at Aniak
# Sites: MCGRATH_AP, CHICKEN, BETHEL_AP, MCKINLEY_PARK
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16,15.33,61.17,14.83,2.00,73.33,14.00,9.50,8.50,34.00,3.50,5.83,7.67,16.33,5.83,7.17,8.67,32.33,0.00,33.25,0.00,19.12,16.62,12.38,21.50,13.12,40.50,0.00,0.00,23.25,7.38,1.50,0.00,0.00,14.25,11.12,16.88,4.12,0.00,12.38,46.88,4.62,2.00,14.00,14.00,0.50
17,15.33,75.67,23.50,2.83,73.33,14.50,10.50,8.50,34.00,3.50,5.83,7.67,18.17,9.67,7.17,8.67,32.33,0.00,41.62,0.00,19.62,16.62,14.50,21.50,13.12,41.38,0.00,0.00,23.25,7.38,1.50,0.00,0.00,14.25,11.12,17.88,4.12,0.00,17.38,50.62,5.62,2.00,14.00,14.00,0.50
18,16.33,87.83,33.17,4.00,73.33,17.00,10.50,8.50,34.00,3.50,5.83,7.67,23.83,16.50,7.17,8.67,32.33,0.00,51.88,0.62,20.38,16.62,17.38,21.50,13.12,42.50,0.00,0.00,23.25,7.38,2.62,2.25,0.00,14.25,11.12,19.75,4.12,0.00,20.50,54.25,9.75,2.00,14.00,14.00,2.62
19,18.67,94.33,41.67,6.17,73.33,17.00,10.50,8.50,34.00,3.50,5.83,7.67,25.67,21.50,7.17,8.67,32.83,0.00,61.25,2.88,22.50,16.62,19.50,21.50,13.12,42.50,0.00,0.00,23.25,7.38,2.62,4.62,0.00,14.25,11.12,23.00,4.12,0.00,20.88,55.25,15.25,2.00,14.00,14.88,6.38
20,22.17,98.00,51.50,9.00,73.33,17.33,10.50,10.33,34.00,3.50,5.83,7.67,25.67,23.17,7.17,8.67,35.83,0.00,68.62,4.50,24.12,16.62,22.00,21.50,13.12,42.50,0.00,0.00,23.25,7.38,2.62,8.50,0.00,14.25,11.12,24.12,4.38,0.00,21.38,61.00,17.62,2.00,14.00,15.62,13.62
21,24.00,99.00,51.50,12.00,73.33,17.33,10.50,19.50,34.00,3.50,7.17,9.50,25.83,24.50,7.17,8.67,37.83,0.00,73.38,6.12,27.62,16.62,22.75,21.50,13.12,42.50,1.12,0.00,23.25,7.38,2.62,10.88,0.00,14.25,11.12,24.50,6.50,0.00,21.38,72.62,17.62,2.00,14.00,15.62,19.00
22,25.83,99.00,52.17,13.50,73.33,17.33,10.50,26.00,34.00,3.50,8.33,15.17,33.00,26.00,7.17,8.67,40.00,0.00,78.88,9.00,30.75,16.62,23.88,21.50,13.12,42.50,1.12,0.00,23.25,7.38,2.62,12.12,0.00,14.25,11.12,25.50,9.88,0.00,21.38,84.00,19.62,2.00,14.00,16.38,23.88
23,30.50,100.33,52.17,14.33,73.33,17.33,10.50,35.00,34.00,6.00,8.33,22.00,41.00,26.00,9.67,8.67,42.50,0.00,87.12,13.75,31.12,16.62,26.50,21.50,13.12,43.12,1.12,0.00,23.25,7.38,2.62,13.38,0.00,14.25,11.12,27.50,12.88,0.00,21.38,96.00,23.88,3.38,14.00,16.38,33.62
24,36.17,101.50,52.17,14.33,73.33,17.33,10.50,43.00,34.00,7.00,11.83,27.33,44.33,26.00,12.00,8.67,49.33,0.00,91.88,21.62,31.38,16.62,28.75,21.50,13.12,44.75,1.75,0.00,23.25,7.38,3.12,13.38,0.00,14.25,11.12,30.62,18.12,0.00,21.62,109.62,31.25,3.75,15.12,16.38,39.88
25,37.83,104.00,52.17,14.33,73.33,17.33,10.50,46.00,34.00,7.67,20.67,32.17,45.83,27.00,12.00,8.67,54.67,0.00,94.50,23.50,33.00,16.62,30.62,21.50,13.12,44.75,2.25,0.00,23.25,8.25,3.12,13.38,0.00,14.25,11.12,35.62,22.62,0.00,23.88,119.50,32.75,3.75,16.62,20.00,45.88
26,41.17,111.50,52.17,14.33,74.33,17.33,10.50,52.50,34.00,7.67,30.00,35.67,45.83,32.50,13.33,8.67,56.67,0.00,95.38,23.50,34.25,16.62,30.88,21.50,13.12,44.75,2.25,0.00,23.25,8.88,3.12,13.38,1.12,14.25,11.12,45.38,24.75,0.00,25.88,128.25,34.00,3.75,17.75,21.38,49.38
27,42.83,118.17,53.67,14.33,80.67,17.33,10.50,55.50,34.00,7.67,39.33,37.83,45.83,39.33,20.00,8.67,60.00,0.00,95.50,23.50,34.25,16.62,30.88,21.50,13.12,44.75,2.25,0.00,23.25,8.88,3.50,13.38,2.25,14.75,11.12,51.25,29.12,0.00,26.12,137.62,34.00,3.75,20.00,21.50,53.50
28,43.17,125.00,53.67,14.33,87.00,17.33,10.50,61.00,34.00,7.67,48.17,37.83,45.83,48.50,26.83,13.67,63.00,0.00,96.25,23.50,34.25,16.62,30.88,21.50,13.12,44.75,2.25,0.00,23.25,9.38,3.88,14.00,2.75,15.88,11.12,55.38,35.25,0.00,26.12,148.50,34.00,8.00,23.88,22.88,57.38
29,52.67,129.17,53.67,14.33,92.17,17.33,10.50,68.67,34.00,7.67,52.33,37.83,45.83,56.17,34.83,19.33,65.83,0.00,96.38,23.50,36.62,16.88,30.88,21.50,13.12,44.75,4.00,0.12,26.62,9.38,3.88,15.38,2.75,18.00,11.12,58.62,41.62,0.00,26.38,156.75,34.00,8.88,28.88,24.12,62.38
30,60.33,135.00,53.67,14.33,97.33,17.33,10.50,75.83,34.67,7.67,55.83,37.83,45.83,67.67,43.50,24.17,67.33,0.00,97.62,23.50,37.25,16.88,30.88,21.50,13.12,44.75,6.50,1.12,33.25,9.38,4.25,16.38,3.62,20.25,11.12,62.50,51.25,0.75,26.62,165.88,34.00,8.88,31.50,24.12,65.25
31,69.50,140.50,53.67,14.33,105.00,17.33,10.50,79.33,34.67,9.83,57.17,39.17,45.83,81.33,56.83,32.33,67.50,0.00,99.00,24.50,38.38,16.88,30.88,23.38,13.12,44.75,7.38,3.62,39.88,9.38,4.25,16.38,4.12,22.12,11.12,65.88,65.12,6.12,30.50,176.25,34.00,8.88,31.62,24.12,65.88
32,80.33,145.00,53.67,15.33,113.00,17.33,10.50,85.67,34.67,9.83,60.17,40.00,45.83,90.50,70.83,34.33,67.50,0.00,104.62,25.50,39.38,18.50,30.88,24.38,13.12,44.75,8.38,7.88,47.75,9.38,4.62,16.38,4.12,22.12,12.12,68.62,77.12,12.00,31.50,186.88,35.50,8.88,32.38,24.12,65.88
33,90.17,147.33,53.67,17.33,121.17,17.33,10.50,91.17,34.67,9.83,68.50,40.00,45.83,97.50,80.17,39.00,67.50,2.33,112.25,26.25,39.38,22.88,30.88,25.25,13.12,44.75,8.38,10.38,56.75,9.38,5.38,21.62,4.12,24.25,15.12,69.38,87.50,14.88,31.50,190.50,38.25,11.75,33.00,24.50,66.75
34,103.00,147.83,55.00,27.00,125.33,17.33,10.50,92.50,34.67,10.50,74.17,40.00,46.83,102.00,88.50,44.83,67.50,7.83,117.75,26.38,41.88,24.75,30.88,26.62,14.12,44.75,8.38,14.12,62.00,9.38,5.50,24.00,4.12,24.25,18.75,71.38,95.12,20.25,31.50,191.12,42.88,11.75,33.00,24.88,70.12
35,109.17,150.17,63.67,36.50,133.00,17.33,10.50,93.83,34.67,12.50,76.50,40.00,50.00,106.17,96.33,53.50,67.50,16.67,120.75,28.25,42.75,26.12,31.00,28.38,18.12,44.75,10.88,19.62,65.12,9.38,5.75,24.62,5.38,24.25,20.25,75.38,103.75,25.62,31.50,192.00,44.12,11.75,33.00,24.88,70.12
36,110.50,154.00,74.83,39.50,137.83,17.33,10.50,97.67,34.67,14.00,85.00,40.33,54.17,109.50,103.33,60.50,70.00,29.67,127.00,28.25,42.75,29.12,32.25,28.38,30.00,46.12,12.00,28.38,66.38,11.12,6.75,25.25,8.38,24.25,20.88,80.25,114.62,33.50,31.88,194.50,44.12,12.25,33.00,25.12,
37,115.33,156.50,83.50,40.00,137.83,17.33,10.50,101.67,34.67,19.50,95.00,42.17,57.83,113.00,104.17,65.17,71.17,45.00,132.25,28.25,42.75,33.12,33.25,28.38,42.00,50.25,12.88,40.88,66.38,13.50,7.88,28.25,10.50,24.25,23.00,88.50,125.00,39.50,31.88,200.38,44.12,12.25,33.00,25.12,
38,123.50,160.00,90.33,40.00,137.83,17.33,10.50,103.33,34.67,27.00,103.17,44.83,62.83,116.33,104.17,67.50,71.17,57.67,137.50,28.50,42.75,38.25,34.00,28.38,55.50,51.50,15.75,54.00,66.38,14.75,7.88,33.88,14.88,24.25,23.00,97.25,134.25,42.00,33.50,210.50,44.12,12.25,33.00,25.12,
39,131.00,165.33,95.33,40.00,137.83,17.33,10.50,103.33,34.67,31.83,111.17,45.83,67.17,119.50,104.17,74.00,73.50,69.17,146.62,29.50,43.75,40.25,34.00,28.75,67.62,53.75,22.50,68.25,66.38,16.00,7.88,34.62,16.88,24.25,23.00,105.25,145.50,45.88,37.25,219.88,45.25,12.25,33.00,25.12,
40,132.83,170.67,95.33,41.33,137.83,17.33,12.33,103.50,34.67,36.17,121.00,47.00,67.83,125.50,104.17,79.83,76.83,83.83,154.62,33.25,44.62,44.00,34.00,31.88,78.50,57.38,25.75,80.25,66.38,19.62,10.00,35.00,20.00,24.25,23.00,109.50,158.62,50.88,44.38,231.25,49.00,12.25,34.88,25.12,
41,132.83,175.17,95.50,41.33,137.83,17.33,16.50,104.17,41.50,43.83,130.00,47.00,67.83,135.50,104.17,85.83,80.17,96.33,163.12,34.25,49.75,49.62,34.00,37.25,87.50,59.00,26.62,90.50,66.38,22.50,14.25,35.00,22.75,24.25,23.38,114.50,171.50,58.88,52.75,242.88,50.38,14.38,37.12,25.12,
42,133.17,177.17,95.50,41.33,137.83,17.33,22.83,104.17,52.17,51.67,138.17,47.00,67.83,145.33,104.67,91.33,84.67,109.00,172.25,36.12,57.88,54.38,34.00,45.54,95.38,59.50,26.88,99.00,66.41,25.38,18.75,35.00,28.50,24.25,27.88,115.62,183.25,67.88,66.62,256.00,55.62,18.62,42.38,25.39,
43,135.83,177.83,95.50,42.67,137.83,17.33,27.33,104.17,62.17,62.00,148.67,48.67,67.83,157.17,105.50,100.17,90.50,116.67,180.38,38.00,67.50,57.62,36.88,57.54,102.88,59.75,27.50,104.38,68.66,27.38,23.50,35.00,36.62,24.25,37.75,118.00,191.50,76.38,78.50,266.25,63.50,23.38,48.50,25.84,
44,140.17,177.83,95.50,47.50,137.83,17.33,33.17,106.50,73.33,68.83,160.50,56.17,68.33,169.67,105.50,110.00,100.83,118.33,190.50,41.50,78.62,60.62,40.00,68.29,111.25,60.62,27.50,109.50,68.66,28.50,25.38,35.00,45.12,24.25,46.75,120.25,201.62,84.50,87.50,275.38,71.75,27.88,54.88,25.84,
45,141.17,177.83,95.50,56.50,137.83,18.50,39.67,110.00,86.67,75.50,169.67,67.83,74.33,180.00,105.50,122.83,108.50,118.33,203.62,45.50,88.38,65.75,40.25,76.16,122.00,61.75,28.16,116.62,69.04,29.12,28.25,35.00,56.00,24.25,56.62,121.88,210.88,94.38,92.38,282.75,82.88,36.00,61.88,25.84,
46,143.00,178.50,95.50,60.83,137.83,22.50,45.00,113.33,102.17,81.22,180.67,77.50,86.67,191.00,105.50,134.00,108.83,118.33,218.12,52.75,92.62,73.12,41.00,81.54,131.62,62.12,29.01,122.38,69.04,32.38,32.88,36.88,68.75,24.25,68.38,125.50,220.88,101.62,96.88,287.12,98.12,42.50,67.62,26.09,
47,145.33,181.00,95.50,64.50,137.83,22.67,49.50,113.33,114.67,89.72,192.17,85.83,97.33,202.50,105.83,145.00,112.17,119.33,231.50,63.38,97.12,79.00,44.12,88.54,139.50,64.00,30.13,128.50,71.29,36.00,40.50,38.25,79.38,24.25,78.75,132.88,233.62,107.62,103.25,291.12,112.12,50.50,71.25,28.22,
48,148.83,189.17,95.50,72.33,137.83,24.17,55.83,113.33,122.50,96.55,205.50,95.67,105.33,216.50,112.00,157.17,116.83,123.50,245.50,79.88,98.12,83.88,46.75,95.91,149.62,64.12,30.76,136.17,75.16,37.00,53.38,40.50,92.12,24.25,92.00,146.00,246.25,111.25,112.25,294.62,127.75,63.12,75.38,28.97,
49,153.00,197.33,95.50,78.67,137.83,24.17,59.50,115.17,132.50,103.39,219.83,106.67,113.33,228.17,122.67,169.17,128.50,126.83,255.25,99.00,100.62,87.25,50.75,104.16,159.50,64.88,32.63,146.05,80.54,39.50,68.12,43.50,104.00,25.12,104.25,157.25,259.75,114.75,119.00,297.50,142.38,78.75,79.00,29.22,
50,159.33,206.33,95.50,85.33,137.83,24.17,60.83,118.50,140.33,110.39,233.17,119.67,120.00,242.00,134.50,177.50,143.50,129.17,268.00,115.62,110.00,94.12,57.62,115.54,170.88,66.25,33.13,159.42,90.79,42.75,84.25,46.38,115.00,25.25,117.38,166.62,274.38,119.88,124.25,298.12,157.38,95.00,83.50,29.97,
