# Cumulative DD25 averaged for Gakona River at Gakona
# Sites: TALKEETNA_AP, NENANA_MUN_AP, GULKANA_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.00,4.25,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,2.50,0.00,3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.75,0.00,5.83,2.12,0.00,0.00,0.00,0.00,0.00,1.88,0.00,0.00,0.00,1.12,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00
1,0.75,5.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,0.00,7.25,2.50,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.75,0.00,11.00,4.88,0.00,0.00,0.00,0.38,0.00,3.75,0.00,0.00,0.00,1.88,0.12,2.38,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
2,2.75,5.75,0.00,0.00,3.75,0.00,0.00,0.00,13.25,0.00,19.25,2.50,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,3.17,0.75,0.00,17.50,7.62,0.88,0.00,0.00,1.00,0.00,6.38,0.00,0.00,0.00,1.88,2.88,2.38,0.00,0.00,0.00,0.00,0.00,4.12,0.00,0.00
3,6.00,5.75,0.00,0.00,14.75,0.00,0.00,0.00,14.50,0.00,21.00,2.50,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,5.17,1.00,0.00,20.33,7.62,3.38,0.00,0.00,5.25,0.00,6.38,0.00,0.00,0.00,1.88,8.38,3.38,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00
4,8.75,6.00,0.00,0.00,26.00,0.00,0.00,0.00,14.50,0.00,21.00,2.50,0.00,7.25,0.00,0.00,3.00,0.00,0.00,0.00,7.00,3.12,0.00,23.17,7.62,5.88,0.75,0.00,11.38,0.00,7.25,0.00,0.00,0.25,1.88,14.62,4.00,0.00,0.00,0.00,0.00,0.00,12.25,0.00,0.25
5,10.00,6.50,1.50,0.00,37.75,0.50,0.00,0.00,17.25,0.00,21.00,4.50,0.00,7.25,0.00,0.00,3.00,0.75,0.00,0.00,7.00,5.50,0.00,25.33,7.62,7.75,0.75,0.00,17.88,0.00,8.00,0.00,0.12,0.25,1.88,19.25,5.12,0.00,0.00,0.62,0.00,0.00,13.62,0.00,0.50
6,12.00,7.25,3.25,0.00,48.75,0.50,0.00,0.00,20.75,0.00,21.00,7.00,0.00,11.00,1.75,0.00,3.00,2.50,0.00,0.00,7.00,6.88,0.17,27.00,7.62,9.75,0.75,0.00,26.50,0.00,8.00,0.00,0.12,2.38,1.88,24.62,6.50,0.00,0.00,3.00,0.00,0.00,14.50,0.00,2.25
7,17.75,7.25,3.25,0.00,60.50,1.75,0.00,1.00,22.75,0.00,21.00,8.00,4.50,11.00,8.50,0.00,3.00,2.50,0.00,0.00,7.00,8.88,0.17,28.00,7.62,14.88,0.75,0.00,32.62,0.00,8.00,1.38,0.12,5.12,1.88,24.62,8.75,0.00,0.00,7.38,0.00,0.00,14.88,0.50,2.25
8,19.00,10.00,3.25,0.00,69.75,4.25,0.00,1.00,25.75,0.00,21.00,8.00,15.50,11.00,16.25,0.00,3.00,2.50,0.00,0.00,7.00,13.12,0.17,28.00,7.62,19.25,0.75,0.00,37.50,0.00,8.00,1.38,0.12,8.75,1.88,24.62,10.12,0.00,1.12,14.75,0.00,0.38,16.00,1.50,2.25
9,19.00,12.00,3.25,0.00,83.75,11.25,2.75,2.00,38.50,0.00,21.00,8.00,26.25,11.00,22.00,0.00,6.00,2.50,0.00,0.00,7.00,17.50,0.17,28.00,11.25,25.50,0.75,0.00,39.62,0.88,8.00,1.75,0.12,9.25,2.25,24.62,12.38,0.00,1.12,22.00,0.00,1.50,18.38,2.33,2.25
10,19.00,20.50,3.25,2.00,95.00,16.25,3.00,2.00,46.75,0.00,21.00,8.00,36.75,14.00,27.00,0.00,7.75,2.50,0.00,2.33,7.00,22.75,0.17,28.00,13.75,32.00,0.75,0.00,39.62,2.25,8.00,1.75,0.12,9.25,7.75,24.62,14.62,0.33,1.12,27.00,0.00,1.50,21.25,2.33,2.25
11,19.00,28.75,3.25,6.50,101.50,20.00,4.75,2.00,52.00,0.00,23.75,8.00,43.50,17.50,30.25,0.00,9.00,5.25,2.33,4.17,9.50,28.00,0.17,28.00,16.50,37.00,0.75,0.00,40.75,2.38,8.00,1.75,0.12,9.50,10.50,24.62,17.00,0.33,1.62,31.25,0.00,1.50,22.88,2.33,4.50
12,19.00,33.00,3.25,9.00,104.50,20.00,9.00,2.00,56.75,0.00,23.75,8.00,43.50,17.50,31.00,0.00,10.50,5.25,3.50,4.17,12.17,31.62,0.17,28.00,19.12,44.00,0.75,0.00,40.75,2.38,8.00,1.75,0.12,9.50,16.62,24.62,17.75,0.33,4.38,33.62,0.00,1.50,23.00,2.33,5.25
13,19.00,37.75,3.25,12.25,110.75,20.00,11.00,2.00,61.00,0.00,25.50,8.50,43.50,17.50,38.75,0.00,13.75,5.25,6.17,6.67,14.17,35.75,0.17,28.00,20.75,50.12,0.75,0.00,40.75,2.38,8.38,1.75,0.88,9.50,23.50,24.62,17.88,0.33,6.25,36.25,0.00,1.50,23.00,2.33,5.25
14,19.00,40.00,3.50,15.75,117.00,20.00,11.00,2.00,62.50,0.00,25.50,8.75,47.00,17.50,41.00,0.00,17.25,5.25,9.33,7.50,17.17,40.62,0.17,29.83,21.75,52.50,0.75,0.00,40.75,2.38,8.62,1.75,1.38,9.50,23.50,24.62,19.25,0.33,9.00,38.50,0.00,1.50,23.00,2.33,6.00
15,19.00,40.00,3.50,19.25,122.75,20.00,15.50,2.75,63.50,0.00,25.50,8.75,50.00,17.50,41.00,0.00,19.00,5.25,13.17,7.50,20.50,43.38,2.17,33.67,21.75,53.75,0.75,0.00,41.75,2.38,8.88,2.12,1.38,9.50,23.50,25.50,21.00,0.33,13.75,48.88,0.75,1.50,25.00,2.33,6.50
16,19.00,49.75,11.25,20.00,126.00,21.75,18.75,2.75,65.75,0.00,26.25,10.75,50.75,17.50,41.00,0.00,19.00,5.25,20.50,7.50,23.17,44.50,3.00,36.50,21.75,54.25,0.75,0.00,41.75,2.38,9.75,2.12,1.38,9.50,24.50,28.38,21.00,0.33,18.25,60.12,2.12,1.50,25.75,4.50,9.88
17,19.00,61.25,21.75,20.00,126.25,25.75,19.75,2.75,66.75,0.00,26.75,10.75,50.75,17.50,41.00,0.00,19.25,6.25,27.83,7.50,25.83,44.50,3.00,38.33,21.75,56.38,0.75,0.00,41.75,2.38,10.88,2.12,1.38,9.50,24.62,32.88,21.00,0.33,23.50,71.38,5.38,1.50,27.12,5.67,13.50
18,19.00,66.75,30.75,20.00,127.00,27.50,19.75,4.75,66.75,2.00,28.75,10.75,57.25,19.50,41.00,0.00,19.25,7.50,36.33,10.33,29.33,44.50,3.50,41.17,21.75,57.12,1.50,0.00,41.75,2.38,13.62,3.12,1.38,9.50,24.62,37.12,21.38,0.33,25.50,78.25,6.75,1.50,29.62,6.50,15.62
19,19.00,71.25,42.25,23.50,129.00,31.50,23.25,7.75,67.50,5.50,31.00,10.75,62.75,19.50,41.00,0.00,21.00,10.00,43.50,14.67,35.17,44.50,3.50,43.00,21.75,58.00,2.75,0.00,41.75,2.38,15.38,3.88,1.38,9.50,25.00,42.50,23.75,0.33,25.50,84.88,10.88,1.50,31.12,7.17,16.50
20,27.25,78.50,53.50,26.50,130.50,33.75,24.50,18.25,67.50,7.50,32.25,10.75,66.75,22.25,41.00,0.00,21.00,12.75,51.00,16.50,37.83,44.50,4.17,43.00,23.62,58.00,5.00,0.00,43.38,2.38,16.50,4.62,1.38,9.50,25.25,43.62,26.50,0.33,25.50,93.75,13.88,1.50,32.25,10.50,18.75
21,30.00,80.00,63.75,26.50,131.50,36.25,28.25,30.00,69.75,11.50,33.25,10.75,70.50,25.75,41.00,0.00,21.00,13.50,55.83,17.83,40.67,44.50,4.67,43.00,26.50,59.25,8.12,0.00,44.75,2.38,16.88,6.00,1.38,9.50,25.25,46.88,32.62,0.33,26.62,104.50,14.00,1.50,33.75,14.00,22.12
22,30.00,80.25,70.00,26.75,131.75,36.25,30.75,39.25,70.00,19.25,34.75,10.75,78.50,27.50,41.00,0.00,23.50,13.50,63.17,24.83,45.17,44.50,4.67,43.00,27.88,61.62,9.38,0.00,46.12,4.12,18.25,8.00,1.38,9.75,26.75,48.62,35.50,0.33,26.62,114.88,15.50,1.50,34.38,15.33,27.38
23,34.75,84.00,76.25,26.75,134.00,36.25,33.25,50.00,70.00,29.00,35.50,12.00,89.00,27.50,49.00,0.00,25.75,13.50,71.17,30.67,49.17,44.50,4.67,43.00,30.25,63.88,11.12,0.00,47.75,5.75,20.75,9.88,1.88,9.75,29.00,50.38,38.75,0.33,26.62,128.25,20.62,1.50,37.00,15.33,37.12
24,40.25,87.00,80.50,29.50,138.50,37.75,36.75,59.00,71.50,37.00,42.00,17.50,97.75,27.50,59.25,0.00,29.00,13.50,77.83,35.83,52.33,46.38,8.83,46.33,30.25,67.25,14.12,0.00,48.25,7.50,22.25,10.00,1.88,9.88,31.88,52.50,47.00,0.33,26.88,141.75,26.75,2.50,41.50,15.33,45.75
25,42.50,94.75,80.50,33.25,147.25,37.75,38.25,65.50,71.50,39.25,50.75,26.25,101.00,27.50,67.00,0.00,33.50,15.50,83.67,37.33,57.17,49.00,12.67,49.67,30.25,69.25,15.25,0.00,48.50,12.50,22.38,11.38,1.88,9.88,34.25,57.50,54.25,0.33,26.88,154.88,27.88,2.50,44.12,15.33,54.38
26,51.00,104.50,80.50,37.00,157.25,37.75,39.50,74.25,71.50,39.25,60.25,35.00,101.00,28.50,71.75,5.50,37.75,16.50,87.83,42.17,59.67,51.62,17.17,50.83,30.25,71.62,15.62,0.00,48.50,14.75,24.62,12.50,3.38,9.88,34.25,66.62,61.00,0.33,26.88,167.38,27.88,2.50,45.62,16.83,59.62
27,54.25,109.00,80.50,41.00,163.00,37.75,39.50,78.25,72.00,39.25,72.25,40.25,101.00,32.75,76.75,16.00,41.50,17.25,91.67,43.67,59.67,53.38,17.17,51.33,31.25,73.62,15.62,0.00,48.50,15.62,28.38,13.00,7.25,9.88,34.25,73.62,71.62,2.00,28.00,179.75,27.88,2.50,52.12,18.83,65.75
28,58.25,114.00,80.50,43.25,173.00,37.75,39.50,88.00,72.25,39.25,84.00,43.75,101.00,43.25,86.00,28.50,45.00,17.25,97.67,44.50,64.67,55.50,17.17,52.17,31.25,74.12,16.75,0.00,48.50,17.88,32.88,17.75,10.62,12.25,34.25,79.62,83.38,5.50,28.88,192.00,27.88,4.00,57.75,19.67,69.12
