# Cumulative DD25 averaged for Koyukuk River at Bettles
# Sites: NENANA_MUN_AP, BETTLES_AP, KENAI_AP, TANANA_AP
#
d_since_march1,1984,1992,1995,1999,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,1980,1981,1982,1983,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1997,1998,2003
14,33.25,18.75,3.83,4.25,14.38,23.25,0.12,15.88,33.12,1.88,0.00,26.50,8.25,12.00,0.62,0.00,9.75,16.88,16.75,21.62,0.00,4.50,34.50,0.38,0.75,17.38,17.67,57.50,7.17,27.67,10.50,12.83,3.33,48.33,0.00,9.67,5.83,14.83,20.50,19.83,1.50,11.17,26.67
15,36.12,20.25,3.83,4.25,16.88,25.00,1.62,15.88,34.75,1.88,0.00,27.25,8.25,13.12,1.00,0.00,9.75,16.88,17.88,23.25,0.00,6.75,42.75,1.88,0.75,18.25,17.67,61.83,7.83,31.83,10.50,16.00,5.00,49.50,0.00,9.67,5.83,14.83,20.50,21.67,1.50,15.83,30.67
16,38.38,21.62,3.83,4.25,18.62,25.50,2.88,15.88,35.62,1.88,0.00,27.25,8.25,13.12,3.00,0.00,9.75,17.38,20.25,24.00,0.00,9.50,53.75,3.25,0.75,18.62,17.67,67.83,11.33,35.33,10.50,17.67,6.50,51.17,0.00,10.00,5.83,14.83,20.50,21.67,1.50,22.17,33.83
17,40.12,21.62,3.83,4.75,18.88,25.50,4.00,15.88,37.25,1.88,0.00,27.25,8.25,14.38,3.88,0.00,9.75,17.38,26.62,24.00,0.00,12.50,61.25,6.12,0.75,19.62,17.67,73.83,16.00,38.33,11.17,19.17,6.50,52.33,0.67,10.00,5.83,15.67,20.50,22.83,1.67,32.17,34.67
18,41.00,28.62,3.83,7.88,19.50,25.50,4.25,15.88,38.00,2.62,0.00,27.88,8.25,17.12,3.88,0.00,9.75,17.38,30.88,24.00,0.00,15.88,63.88,7.75,0.75,21.38,17.67,79.17,22.50,41.33,11.50,20.17,8.00,52.33,2.33,10.00,5.83,20.83,20.50,22.83,2.67,44.00,35.17
19,42.00,34.00,3.83,11.50,22.12,25.50,4.25,15.88,38.00,3.38,0.00,28.12,8.25,18.12,4.62,0.00,9.75,17.38,36.50,25.12,0.00,16.88,67.50,15.50,0.75,22.75,18.83,83.00,29.50,44.50,13.17,22.50,11.33,53.83,5.17,10.00,5.83,22.83,20.50,22.83,3.00,56.33,35.17
20,43.50,36.25,3.83,13.38,24.00,25.50,4.25,15.88,38.00,5.62,0.00,30.38,8.25,20.12,6.50,0.00,9.75,18.00,38.38,28.38,0.00,16.88,73.38,18.75,0.75,22.75,23.00,87.00,40.33,48.67,14.00,23.83,15.67,53.83,6.83,10.00,5.83,24.17,20.50,22.83,3.00,66.33,35.17
21,45.00,37.75,3.83,13.62,26.00,25.50,4.25,16.38,38.88,6.25,0.00,32.50,8.25,20.75,9.38,0.00,9.75,18.00,41.00,33.12,0.00,16.88,81.62,18.88,0.75,23.38,25.33,89.50,48.67,52.50,16.33,25.67,20.17,53.83,6.83,10.17,5.83,26.67,20.50,23.83,4.50,76.83,35.17
22,45.75,45.88,3.83,18.88,30.12,25.50,4.75,16.88,40.25,6.75,0.00,33.62,9.75,23.00,11.88,0.00,10.62,19.50,42.88,37.50,0.00,16.88,87.62,20.75,0.75,25.25,27.33,91.00,49.33,55.83,18.83,26.50,28.67,54.67,9.50,10.17,5.83,26.67,21.67,24.33,4.50,85.83,35.17
23,47.00,56.12,3.83,25.25,31.75,25.62,4.75,18.50,41.62,6.75,0.00,35.88,11.50,25.12,15.38,0.00,10.62,21.75,45.12,41.88,0.00,16.88,97.62,27.25,1.50,26.62,31.00,94.67,51.50,60.33,19.67,29.00,36.33,54.83,12.33,10.67,7.33,26.67,25.33,27.33,4.50,96.67,35.17
24,49.38,63.00,3.83,32.38,32.12,27.25,7.88,18.50,44.75,9.25,0.00,37.00,14.38,27.38,17.62,0.00,10.62,23.88,48.12,50.25,0.00,16.88,108.88,33.38,2.62,30.75,33.67,97.67,52.50,64.50,19.67,31.00,45.00,54.83,16.67,14.00,13.17,26.67,30.50,33.00,4.50,107.00,37.83
25,52.00,64.38,3.83,34.38,32.12,30.50,9.50,18.50,46.75,11.75,0.00,37.88,18.25,29.25,19.88,0.00,10.62,26.00,53.38,57.38,0.00,17.62,121.00,34.75,2.62,32.62,36.67,101.83,52.50,69.67,19.83,31.00,49.83,54.83,20.67,18.83,16.83,28.00,31.50,41.17,4.50,114.67,40.33
26,55.12,64.38,4.50,37.25,32.12,31.75,10.50,18.50,47.38,13.62,0.00,37.88,19.12,31.75,21.50,1.00,10.62,26.75,60.88,61.38,0.00,17.75,129.38,35.00,2.62,34.38,39.50,106.83,52.50,74.00,19.83,31.00,55.67,55.33,20.67,27.50,19.33,30.50,32.33,45.00,5.50,118.17,42.17
27,58.00,64.38,8.83,38.50,32.12,33.25,10.50,18.50,47.62,14.12,0.00,37.88,19.12,34.62,22.62,3.62,10.62,26.88,69.38,66.50,0.00,19.25,135.75,35.00,2.62,37.25,41.67,112.50,52.83,78.67,19.83,31.00,62.17,57.67,20.67,37.00,21.00,34.17,37.17,47.17,7.33,120.33,42.50
28,62.12,64.38,13.17,39.12,34.25,34.12,10.50,18.50,47.62,14.50,0.00,38.62,21.12,38.38,27.12,6.25,12.00,26.88,73.88,72.00,0.00,20.12,141.62,35.00,5.00,40.62,43.67,118.00,52.83,83.50,19.83,31.00,69.33,58.67,20.67,47.00,22.00,37.67,45.50,49.00,7.67,123.83,42.83
29,64.12,64.38,18.00,39.12,39.12,34.50,10.50,18.50,47.62,14.50,0.00,40.88,21.25,41.12,31.12,7.50,14.25,27.50,80.62,77.00,0.00,20.38,148.12,35.00,6.75,42.62,48.00,122.67,52.83,87.67,19.83,31.00,74.33,61.50,20.67,56.50,22.00,43.00,58.50,51.33,7.67,125.50,43.00
30,68.88,65.75,25.67,40.00,40.12,34.50,10.50,18.50,50.62,18.25,0.00,47.88,21.25,44.75,33.00,9.50,16.12,28.12,84.12,83.50,2.00,20.38,157.12,35.00,6.75,45.00,53.67,127.67,52.83,92.17,19.83,31.00,79.50,64.33,23.17,63.50,22.00,53.67,70.33,53.17,8.00,127.83,43.17
31,73.88,68.00,31.83,42.38,40.62,34.50,10.50,18.50,52.00,21.12,0.50,60.75,21.25,49.75,34.50,11.00,18.12,28.75,87.75,88.25,8.75,22.75,166.75,35.75,6.75,48.25,61.83,130.17,52.83,97.00,19.83,31.00,82.50,66.83,26.33,69.17,22.00,64.33,82.50,54.33,10.17,130.67,43.17
32,79.88,69.75,37.67,43.25,43.38,36.12,10.50,18.88,52.62,21.75,1.00,70.38,22.12,54.62,36.88,12.50,18.88,29.75,92.00,92.12,14.62,24.25,171.25,38.75,6.75,51.12,70.33,134.83,52.83,101.00,19.83,31.17,85.67,69.83,28.00,73.33,25.17,73.00,95.33,54.33,13.00,136.00,43.50
33,86.25,69.75,42.50,43.25,44.88,41.88,10.50,20.50,53.00,23.00,2.00,79.88,22.88,57.12,41.38,12.50,20.12,30.75,95.00,99.62,19.62,24.25,173.88,44.62,7.38,52.88,77.17,138.00,52.83,105.83,19.83,31.17,90.17,70.67,29.50,82.17,28.67,79.50,104.83,54.33,13.50,147.00,43.50
34,90.12,69.75,51.83,43.50,46.12,45.12,11.38,22.62,53.00,26.38,4.75,94.25,22.88,60.43,46.00,12.50,21.25,33.50,96.75,107.00,29.50,24.25,176.38,51.50,9.62,54.38,82.17,140.00,52.83,111.33,19.83,31.17,94.17,72.67,31.17,90.67,32.00,84.33,112.17,57.33,15.67,157.50,43.67
35,96.38,69.75,57.83,48.38,47.38,45.75,11.38,30.75,56.25,28.62,13.50,96.88,22.88,66.06,49.38,19.50,21.25,37.00,99.00,112.88,38.62,25.50,180.25,56.00,9.62,55.88,86.83,141.67,56.00,118.67,19.83,31.17,96.50,74.83,33.17,97.00,35.17,90.17,118.00,62.17,24.00,169.00,43.67
