# Cumulative DD25 averaged for Kuskokwim River at Bethel
# Sites: MCGRATH_AP, CHICKEN, BETHEL_AP, NENANA_MUN_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16,19.00,61.25,22.25,3.00,43.67,18.00,14.25,12.50,24.50,5.25,1.00,11.50,14.33,5.00,7.25,12.17,44.25,0.00,36.67,0.38,16.88,7.62,11.25,21.17,10.88,26.50,0.00,0.00,12.75,7.38,0.00,0.00,0.00,12.38,8.12,15.88,3.88,0.00,11.25,52.88,6.75,2.00,16.25,14.17,0.50
17,19.00,75.50,32.50,4.25,43.67,18.00,15.75,12.50,24.50,5.25,1.00,11.50,16.17,10.75,7.25,12.17,44.25,0.00,44.83,0.38,17.12,7.62,14.12,21.17,10.88,28.00,0.00,0.00,12.75,7.38,0.00,0.00,0.00,12.38,8.12,19.62,3.88,0.00,15.50,56.38,9.50,2.00,16.25,14.17,0.50
18,20.50,85.75,43.50,6.00,43.67,21.75,15.75,12.50,24.50,5.25,1.00,11.50,25.33,21.00,7.25,12.17,44.25,0.00,54.67,2.12,17.88,7.62,17.00,21.17,10.88,28.75,0.00,0.00,12.75,7.38,1.12,2.25,0.00,12.38,8.12,22.12,3.88,0.00,17.25,57.88,13.88,2.00,16.25,14.17,2.62
19,24.00,93.50,52.75,9.25,43.67,21.75,15.75,12.50,24.50,5.25,1.00,11.50,29.00,28.50,7.25,12.17,45.00,0.00,64.00,4.50,20.00,7.62,19.12,21.17,10.88,28.75,0.00,0.00,12.75,7.38,1.12,5.38,0.00,12.38,8.12,27.50,3.88,0.00,17.62,58.50,20.12,2.00,16.25,15.33,5.88
20,29.25,99.00,63.50,13.50,43.67,21.75,15.75,15.25,24.50,5.25,1.00,11.50,29.00,31.00,7.25,12.17,49.50,0.00,69.50,4.62,21.25,7.62,21.62,21.17,10.88,28.75,0.00,0.00,12.75,7.38,1.12,9.25,0.00,12.38,8.12,27.88,3.88,0.00,18.12,63.75,22.88,2.00,16.25,16.33,12.62
21,32.00,100.50,63.50,18.00,43.67,21.75,15.75,26.50,24.50,5.25,3.00,14.25,29.00,31.00,7.25,12.17,52.50,0.00,73.17,6.25,24.25,7.62,22.38,21.17,10.88,28.75,1.12,0.00,12.75,7.38,1.12,11.62,0.00,12.38,8.12,27.88,6.00,0.00,18.12,73.50,23.00,2.00,16.25,16.33,18.38
22,34.75,100.50,63.50,20.25,43.67,21.75,15.75,33.25,24.50,5.25,4.75,22.75,37.67,31.00,7.25,12.17,55.75,0.00,77.17,10.50,28.00,7.62,24.00,21.17,10.88,28.75,1.12,0.00,12.75,7.38,1.12,12.88,0.00,12.38,9.50,28.88,7.88,0.00,18.12,82.50,26.50,2.00,16.25,16.33,23.12
23,41.75,102.50,63.50,21.50,43.67,21.75,15.75,42.25,24.50,7.75,4.75,33.00,47.83,31.00,10.25,12.17,57.75,0.00,84.33,16.38,28.00,7.62,26.62,21.17,10.88,29.38,1.12,0.00,12.75,7.38,1.12,14.88,0.00,12.38,11.38,30.88,9.88,0.00,18.12,94.12,33.88,3.38,16.25,16.33,33.62
24,47.50,104.25,63.50,21.50,43.67,21.75,15.75,50.25,24.50,9.25,9.25,40.75,52.83,31.00,10.25,12.17,67.50,0.00,87.83,24.75,28.25,7.62,30.12,21.17,10.88,30.50,1.75,0.00,12.75,7.38,1.62,14.88,0.00,12.38,13.00,34.00,16.38,0.00,18.38,108.38,43.12,4.62,16.88,16.33,39.50
25,48.75,108.00,63.50,21.50,43.67,21.75,15.75,53.75,24.50,10.25,19.25,46.25,53.33,32.50,10.25,12.17,74.00,0.00,89.67,25.88,29.88,7.62,31.25,21.17,10.88,30.50,2.25,0.00,12.75,8.25,1.62,14.88,0.00,12.38,14.50,38.75,20.25,0.00,20.62,119.50,44.38,4.62,16.88,21.17,45.25
