# Cumulative DD25 averaged for Yukon River nr Emmonak
# Sites: NOME_AP, NENANA_MUN_AP, BETHEL_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16,22.25,48.00,25.25,8.50,78.50,12.75,17.25,18.25,2.75,4.00,4.25,7.50,4.75,5.00,7.25,18.75,35.00,0.00,32.50,0.00,29.50,8.75,15.83,13.50,12.12,22.00,0.00,0.00,9.62,7.25,0.00,0.00,0.12,12.75,4.75,9.88,5.38,0.00,10.12,48.50,9.62,2.00,14.00,17.67,1.50
17,22.25,56.25,30.00,10.25,78.50,12.75,18.75,18.25,2.75,4.00,4.25,7.50,7.50,8.75,7.25,18.75,35.00,0.00,39.00,0.00,29.83,8.75,20.00,13.50,12.12,23.75,0.00,0.00,9.62,7.25,0.00,0.00,0.12,12.75,4.75,13.62,5.38,0.00,12.12,52.00,12.12,2.00,14.00,17.67,1.50
18,24.00,64.50,34.75,12.00,78.50,14.00,18.75,18.25,2.75,4.00,5.00,7.50,10.75,13.75,7.25,18.75,35.00,0.00,47.17,0.83,30.83,8.75,22.83,13.50,12.12,24.88,0.00,0.00,9.62,7.25,1.12,3.00,0.12,12.75,4.75,16.12,5.38,0.00,12.50,53.50,16.75,2.00,14.00,17.67,3.62
19,29.00,74.75,38.00,15.25,78.50,14.00,18.75,18.25,2.75,4.00,5.00,7.50,10.75,19.25,7.25,18.75,35.75,0.00,54.83,1.83,33.67,8.75,26.67,13.50,12.12,24.88,0.00,0.00,9.62,7.25,1.12,7.38,0.12,12.75,4.75,21.00,5.38,0.00,12.50,54.12,22.00,2.00,14.00,18.83,7.12
20,35.00,82.00,42.75,19.50,78.50,14.00,18.75,18.25,2.75,4.00,5.00,7.50,10.75,22.00,7.25,18.75,41.50,0.00,56.67,1.83,35.00,8.75,31.17,13.50,12.12,24.88,0.00,0.00,9.62,7.25,1.12,10.25,0.12,12.75,4.75,21.38,5.38,0.00,13.00,57.88,23.62,2.00,14.00,19.83,12.50
21,38.50,83.50,42.75,25.25,78.50,14.00,18.75,24.00,2.75,4.00,7.25,10.25,10.75,22.00,7.25,18.75,46.50,0.00,57.50,6.00,35.83,8.75,32.17,13.50,12.12,24.88,1.12,0.00,9.62,7.25,1.12,11.88,0.12,12.75,4.75,21.38,7.50,0.00,13.00,66.88,23.75,2.00,14.00,19.83,15.62
22,42.00,83.50,42.75,27.50,78.50,14.00,18.75,27.50,2.75,4.00,12.75,14.75,14.25,22.00,7.25,18.75,50.25,0.00,60.00,8.33,35.83,8.75,33.67,13.50,12.12,24.88,1.12,0.00,9.62,7.25,1.12,12.38,0.12,12.75,6.50,22.25,9.38,0.00,13.00,76.75,26.88,2.00,14.00,19.83,18.12
23,50.00,85.50,42.75,28.75,78.50,14.00,18.75,34.25,2.75,6.50,14.25,21.00,18.00,22.00,7.25,18.75,53.75,0.00,64.17,14.33,35.83,8.75,37.50,13.50,12.12,24.88,1.12,0.00,9.62,7.25,1.12,13.12,0.12,12.75,8.38,24.25,11.38,0.00,13.00,86.75,33.38,3.38,14.00,19.83,24.88
24,54.50,87.25,42.75,28.75,78.50,14.00,18.75,39.25,2.75,8.00,17.75,25.00,18.00,22.00,7.25,18.75,60.75,0.00,65.83,20.83,36.17,8.75,41.33,13.50,12.12,25.25,1.75,0.00,9.62,7.25,1.62,13.12,0.12,12.75,10.00,26.88,15.38,0.00,13.25,98.62,41.00,4.25,14.62,19.83,28.12
25,55.75,91.00,42.75,28.75,78.50,14.00,18.75,42.75,2.75,9.00,24.75,29.50,18.00,23.50,7.25,18.75,63.25,0.00,67.50,21.67,38.33,8.75,42.83,13.50,12.12,25.25,2.25,0.00,9.62,8.12,1.62,13.12,0.12,12.75,11.50,30.00,17.25,0.00,15.50,109.00,42.25,4.25,14.62,23.83,30.62
