# Cumulative DD25 averaged for Yukon River at Marshall
# Sites: NOME_AP, BETHEL_AP, CHICKEN, MCGRATH_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
16,18.17,50.33,19.67,5.67,66.00,13.67,11.50,12.17,17.33,3.50,3.00,7.67,7.67,3.33,4.83,14.50,33.00,0.00,30.88,0.00,22.50,8.62,14.50,18.75,14.25,27.12,0.00,0.00,11.50,8.00,0.00,0.00,0.00,16.62,5.00,12.00,5.62,0.00,12.12,40.50,7.50,2.00,15.50,14.88
17,18.17,62.00,26.50,6.83,66.00,13.67,12.50,12.17,17.33,3.50,3.00,7.67,9.50,7.17,4.83,14.50,33.00,0.00,39.25,0.00,22.75,8.62,17.62,18.75,14.25,28.25,0.00,0.00,11.50,8.00,0.00,0.00,0.00,16.62,5.00,13.00,5.62,0.00,16.00,40.75,9.12,2.00,15.50,14.88
18,19.33,70.50,33.83,8.00,66.00,16.17,12.50,12.17,17.33,3.50,3.50,7.67,15.00,14.00,4.83,14.50,33.00,0.00,48.88,0.62,23.50,8.62,21.00,18.75,14.25,29.38,0.00,0.00,11.50,8.00,1.12,3.00,0.00,16.62,5.00,14.12,5.62,0.00,17.38,41.75,14.12,2.00,15.50,14.88
19,22.67,78.83,40.00,10.17,66.00,16.17,12.50,12.17,17.33,3.50,3.50,7.67,16.50,19.00,4.83,14.50,33.50,0.00,58.75,1.38,25.62,8.62,23.88,18.75,14.25,29.38,0.00,0.00,11.50,8.00,1.12,6.62,0.00,16.62,5.00,16.62,5.62,0.00,17.75,42.38,19.38,2.00,15.50,15.75
20,29.00,85.17,47.17,13.00,66.00,16.17,12.50,14.00,17.33,3.50,3.50,7.67,16.50,21.50,4.83,14.50,37.33,0.00,63.38,1.38,26.88,8.62,27.62,18.75,14.25,29.38,0.00,0.00,11.50,8.00,1.12,11.75,0.00,16.62,5.00,17.00,5.62,0.00,18.25,46.12,20.50,2.00,15.50,16.50
21,31.83,86.17,47.17,16.83,66.00,16.17,12.50,23.00,17.33,3.50,5.00,9.50,16.50,21.50,4.83,14.50,40.67,0.00,66.12,4.50,29.88,8.62,28.38,18.75,14.25,29.38,1.12,0.00,11.50,8.00,1.12,14.88,0.00,16.62,5.00,17.00,7.75,0.00,18.25,55.75,20.50,2.00,15.50,16.50
22,34.67,86.17,47.17,18.33,66.00,16.17,12.50,28.67,17.33,3.50,8.67,15.33,21.83,21.50,4.83,14.50,43.50,0.00,69.75,6.62,32.38,8.62,29.50,18.75,14.25,29.38,1.12,0.00,11.50,8.00,1.12,16.25,0.00,16.62,5.38,18.00,9.62,0.00,18.25,65.62,23.75,2.00,15.50,16.50
23,41.33,87.50,47.17,19.17,66.00,16.17,12.50,36.17,17.33,5.17,9.67,23.17,28.33,21.50,6.83,14.50,45.83,0.00,75.38,11.38,32.38,8.62,32.88,18.75,14.25,30.00,1.12,0.00,11.50,8.00,1.12,17.50,0.00,16.62,5.38,20.00,11.62,0.00,18.25,75.25,29.62,3.38,15.50,16.50
24,46.50,88.67,47.17,19.17,66.00,16.17,12.50,42.83,17.33,6.17,12.67,28.33,30.17,21.50,6.83,14.50,54.00,0.00,78.12,19.62,32.62,8.62,36.00,18.75,14.25,30.75,1.75,0.00,11.50,8.00,1.62,17.50,0.00,16.62,5.38,23.12,16.12,0.00,18.50,87.38,37.50,3.75,15.50,16.50
25,47.33,91.17,47.17,19.17,66.00,16.17,12.50,46.50,17.33,6.83,20.33,32.00,30.17,22.50,6.83,14.50,58.33,0.00,79.50,20.75,34.25,8.62,37.12,18.75,14.25,30.75,2.25,0.00,11.50,8.00,1.62,17.50,0.00,16.62,5.38,26.75,18.12,0.00,20.75,95.62,38.75,3.75,15.50,20.88
