# Cumulative DD25 averaged for Koyukuk River at Allakaket
# Sites: BETTLES_AP, CHICKEN, NENANA_MUN_AP, KENAI_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16,26.50,89.00,17.00,53.00,51.17,15.75,26.50,9.75,62.00,0.00,14.50,8.75,26.17,22.25,30.75,3.83,23.75,2.25,19.17,4.25,18.62,25.50,2.88,31.17,15.88,36.38,1.88,0.00,28.50,8.25,13.12,3.00,0.00,9.75,16.25,19.88,24.00,0.00,10.00,49.50,2.88,0.75,18.62,1.50,3.62
17,26.50,98.00,24.00,57.50,53.50,16.75,28.75,9.75,63.75,1.00,14.50,8.75,26.17,22.25,30.75,3.83,25.50,2.50,26.17,4.75,18.88,25.50,4.00,32.00,15.88,38.00,1.88,0.00,28.50,8.25,14.38,3.88,0.00,9.75,16.25,26.25,24.00,0.00,13.50,57.25,4.88,0.75,19.62,2.00,3.75
18,26.50,104.50,32.25,62.00,54.67,17.25,30.25,12.00,63.75,3.50,14.50,8.75,34.83,26.25,30.75,3.83,25.50,4.00,34.17,7.88,19.50,25.50,4.25,32.50,15.88,38.75,2.62,0.00,29.12,8.25,17.12,3.88,0.00,9.75,16.25,30.50,24.00,0.00,16.62,60.88,6.00,0.75,21.38,3.00,4.50
19,28.25,110.25,39.00,66.75,56.00,19.75,33.75,17.00,66.00,7.75,14.50,8.75,40.50,28.00,30.75,3.83,25.50,4.50,42.67,11.50,22.12,25.50,4.25,32.50,15.88,38.75,3.38,0.00,29.38,8.25,18.12,4.62,0.00,9.75,16.25,36.12,25.12,0.00,17.62,65.12,11.38,0.75,22.75,3.67,5.12
20,34.50,116.25,49.50,73.00,58.00,21.00,35.75,23.50,66.00,10.25,14.50,8.75,43.00,30.00,30.75,3.83,25.50,4.50,49.17,13.38,24.00,25.50,4.25,32.50,15.88,38.75,5.62,0.00,31.62,8.25,20.12,6.50,0.00,9.75,16.88,38.00,28.38,0.00,17.62,70.62,13.62,0.75,22.75,6.50,8.75
21,38.00,120.00,58.75,78.75,60.00,24.50,38.50,29.50,66.00,10.25,14.75,8.75,45.00,33.75,30.75,3.83,27.00,6.75,55.83,13.62,26.00,25.50,4.25,32.50,16.38,39.62,7.38,0.00,33.75,8.25,20.75,9.38,0.00,9.75,16.88,40.62,33.12,0.00,17.62,78.12,13.75,0.75,23.38,8.83,13.38
22,41.00,122.25,59.75,83.75,61.00,28.25,39.75,38.50,67.25,14.25,14.75,8.75,54.00,33.75,32.50,3.83,27.00,6.75,61.00,19.50,30.12,25.50,4.75,32.50,16.88,41.00,7.88,0.00,34.88,9.75,23.00,11.88,0.00,10.62,18.38,42.50,37.50,0.00,17.62,84.88,15.25,0.75,25.25,9.67,19.88
23,46.50,127.75,63.00,90.50,62.67,29.50,43.50,46.75,67.50,18.50,15.50,11.00,63.67,33.75,38.00,3.83,31.50,6.75,68.83,25.25,31.75,25.62,4.75,32.50,18.50,42.38,7.88,0.00,37.12,11.50,25.12,15.38,0.00,10.62,20.25,44.75,41.88,0.00,17.62,94.75,19.62,1.50,26.62,10.83,29.12
24,50.50,132.25,64.50,96.75,65.83,29.50,46.50,54.75,67.50,25.00,20.50,15.50,70.17,33.75,45.00,3.83,36.25,6.75,76.00,30.75,32.38,27.25,7.88,35.17,18.50,45.50,11.00,0.00,38.25,14.38,27.38,17.62,0.00,10.62,22.00,47.75,47.75,0.00,17.62,106.25,26.25,2.62,30.75,10.83,35.38
25,55.00,138.50,64.50,104.50,69.33,29.75,46.50,62.00,67.50,31.00,27.25,21.00,71.67,35.75,46.50,3.83,42.75,6.75,81.17,32.75,34.00,30.50,9.50,37.67,18.50,47.50,14.00,0.00,39.12,18.25,29.25,19.88,0.00,10.62,24.12,53.00,52.88,0.00,18.38,117.62,28.00,2.62,32.62,10.83,41.00
26,59.25,146.00,64.50,111.00,73.50,29.75,46.50,69.00,68.25,31.00,37.50,24.75,71.67,39.50,47.75,4.50,47.00,8.25,84.83,35.62,35.25,31.75,10.50,39.50,18.50,48.12,15.88,0.00,39.12,19.12,31.75,21.50,1.00,10.62,24.88,60.12,57.50,0.00,18.50,127.00,28.25,2.62,34.38,12.17,44.88
27,62.50,151.75,65.00,118.00,77.00,29.75,46.50,75.25,71.75,31.00,47.50,27.25,71.67,45.00,52.75,8.83,50.25,11.00,87.00,36.88,35.25,33.25,10.50,39.83,18.50,48.38,16.38,0.00,39.12,19.12,34.62,22.62,3.62,10.62,25.00,66.50,65.12,0.00,19.38,134.62,28.25,2.62,37.25,13.67,48.75
28,65.50,157.75,65.00,125.25,82.33,29.75,46.50,83.25,73.25,31.00,57.00,28.75,71.67,50.00,61.00,13.17,53.00,11.50,90.00,37.50,37.38,34.12,10.50,40.17,18.50,48.38,16.75,0.00,39.88,21.12,38.38,27.12,6.25,12.00,25.00,70.88,72.88,0.00,19.88,142.88,28.25,5.00,40.62,14.00,52.25
29,72.00,164.75,65.00,131.50,85.00,29.75,46.50,90.25,77.50,31.00,66.00,28.75,71.67,54.25,73.00,18.00,56.50,11.50,91.67,37.50,41.75,34.75,10.50,40.33,18.50,48.38,16.75,0.00,42.12,21.25,41.12,31.62,7.50,14.25,25.62,76.25,81.25,0.00,20.12,149.50,28.25,6.12,44.00,16.00,56.62
30,79.00,170.00,65.00,138.25,90.67,29.75,46.50,95.25,81.75,34.75,74.25,28.75,73.50,65.00,84.00,25.67,59.25,12.00,94.00,38.38,42.75,34.75,10.50,40.50,18.50,51.38,20.50,0.00,47.50,21.25,45.12,34.50,10.25,16.00,26.25,79.25,90.00,2.00,20.12,157.75,28.25,6.12,46.38,17.17,61.00
31,88.25,173.75,65.00,145.50,96.17,29.75,46.50,99.50,85.50,39.50,79.00,28.75,76.50,75.00,97.75,31.83,61.00,15.25,96.83,40.75,43.25,34.75,10.50,40.50,18.50,52.75,23.38,0.00,57.12,21.25,50.12,36.00,11.75,17.88,26.88,82.88,98.38,7.88,22.00,166.50,29.00,6.12,49.62,19.33,62.38
32,95.75,179.00,65.00,151.50,103.83,29.75,46.75,104.25,90.00,42.00,83.75,33.50,78.83,84.50,110.75,37.67,61.00,19.50,100.33,41.75,46.25,36.38,10.50,40.83,18.88,53.38,24.00,0.50,66.38,22.12,54.88,38.38,13.25,18.62,27.88,87.38,106.00,13.62,23.50,172.38,31.62,6.12,52.50,19.83,62.38
33,103.50,182.00,65.00,158.75,110.67,29.75,46.75,111.00,91.25,44.25,93.50,38.75,78.83,91.00,120.00,42.50,61.00,20.25,107.17,41.75,47.75,42.12,10.50,40.83,20.50,53.75,25.25,1.50,74.88,22.88,58.00,42.88,13.25,19.88,28.88,90.75,113.88,16.50,23.50,175.00,35.75,6.75,54.25,19.83,62.62
34,111.00,184.50,65.00,166.75,115.17,29.75,46.75,117.00,94.25,46.75,100.75,43.75,78.83,95.75,126.50,51.83,65.50,23.50,114.00,42.00,49.00,45.38,11.38,41.00,23.12,53.75,28.62,4.25,85.62,22.88,61.43,47.50,13.25,21.00,31.62,92.62,121.75,24.12,23.50,177.50,40.62,9.00,55.75,22.17,63.56
35,118.00,187.00,67.25,174.00,123.50,29.75,46.75,120.50,97.50,49.75,105.50,48.50,78.83,104.25,133.00,57.83,72.75,33.25,122.33,45.50,50.25,46.00,11.38,41.00,29.38,57.00,31.88,11.50,88.50,22.88,65.81,50.88,19.88,21.00,35.12,95.25,129.50,32.25,24.75,181.38,44.50,9.00,57.25,23.00,65.95
