location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
Buckland,Buckland River,2024-04-12,36,2024-05-16,05-15,0.35,0.00,0.00,0.03
Fairbanks,Chena River,2024-04-12,13,2024-04-23,04-24,0.45,0.03,0.16,0.31
Northway,Chisana River,2024-04-12,14,2024-04-24,04-23,0.61,0.00,0.05,0.43
Gakona,Gakona River,2024-04-12,21,2024-05-01,04-29,0.28,0.01,0.06,0.27
Gakona,Gulkana River,2024-04-12,19,2024-04-29,04-28,0.31,0.01,0.06,0.30
Kobuk,Kobuk River,2024-04-12,34,2024-05-14,05-13,0.41,0.00,0.00,0.03
Shungnak,Kobuk River,2024-04-12,35,2024-05-15,05-15,0.41,0.00,0.00,0.02
Ambler,Kobuk River,2024-04-12,36,2024-05-16,05-16,0.42,0.00,0.00,0.01
Bettles,Koyukuk River,2024-04-12,29,2024-05-09,05-07,0.42,0.00,0.00,0.10
Allakaket,Koyukuk River,2024-04-12,30,2024-05-10,05-08,0.43,0.00,0.00,0.07
Hughes,Koyukuk River,2024-04-12,29,2024-05-09,05-08,0.41,0.00,0.00,0.11
Nikolai,Kuskokwim River,2024-04-12,9,2024-04-19,04-20,0.55,0.06,0.32,0.12
Sleetmute,Kuskokwim River,2024-04-12,21,2024-05-01,05-02,0.44,0.00,0.01,0.39
Stony River,Kuskokwim River,2024-04-12,23,2024-05-03,05-02,0.45,0.00,0.00,0.32
Red Devil,Kuskokwim River,2024-04-12,22,2024-05-02,05-03,0.43,0.00,0.01,0.34
McGrath,Kuskokwim River,2024-04-12,23,2024-05-03,05-04,0.44,0.00,0.00,0.32
Crooked Creek,Kuskokwim River,2024-04-12,25,2024-05-05,05-04,0.42,0.00,0.00,0.24
Aniak,Kuskokwim River,2024-04-12,26,2024-05-06,05-05,0.40,0.00,0.00,0.20
Kalskag,Kuskokwim River,2024-04-12,25,2024-05-05,05-05,0.46,0.00,0.00,0.26
Tuluksak,Kuskokwim River,2024-04-12,27,2024-05-07,05-06,0.43,0.00,0.00,0.18
Akiak,Kuskokwim River,2024-04-12,28,2024-05-08,05-07,0.43,0.00,0.00,0.13
Bethel,Kuskokwim River,2024-04-12,29,2024-05-09,05-07,0.38,0.00,0.00,0.13
Sunshine,Susitna River,2024-04-12,21,2024-05-01,04-29,0.54,0.00,0.00,0.47
Nenana,Tanana River,2024-04-12,18,2024-04-28,04-29,0.50,0.00,0.02,0.50
Manley Hot Springs,Tanana River,2024-04-12,21,2024-05-01,05-01,0.45,0.00,0.01,0.40
Lake Creek,Yentna River,2024-04-12,20,2024-04-30,04-29,0.66,0.00,0.00,0.61
Dawson,Yukon River,2024-04-12,24,2024-05-04,05-03,0.59,0.00,0.00,0.25
Eagle,Yukon River,2024-04-12,24,2024-05-04,05-03,0.51,0.00,0.00,0.30
Circle,Yukon River,2024-04-12,28,2024-05-08,05-07,0.48,0.00,0.00,0.10
Tanana,Yukon River,2024-04-12,28,2024-05-08,05-07,0.48,0.00,0.00,0.11
Fort Yukon,Yukon River,2024-04-12,29,2024-05-09,05-08,0.48,0.00,0.00,0.07
Ruby,Yukon River,2024-04-12,30,2024-05-10,05-09,0.46,0.00,0.00,0.07
Galena,Yukon River,2024-04-12,31,2024-05-11,05-10,0.48,0.00,0.00,0.04
Kaltag,Yukon River,2024-04-12,31,2024-05-11,05-11,0.44,0.00,0.00,0.05
Holy Cross,Yukon River,2024-04-12,32,2024-05-12,05-12,0.45,0.00,0.00,0.03
Marshall,Yukon River,2024-04-12,34,2024-05-14,05-12,0.42,0.00,0.00,0.02
Russian Mission,Yukon River,2024-04-12,32,2024-05-12,05-12,0.43,0.00,0.00,0.03
Anvik,Yukon River,2024-04-12,32,2024-05-12,05-14,0.44,0.00,0.00,0.04
Mountain Village,Yukon River,2024-04-12,34,2024-05-14,05-14,0.40,0.00,0.00,0.03
Emmonak,Yukon River,2024-04-12,41,2024-05-21,05-18,0.37,0.00,0.00,0.00
Alakanuk,Yukon River,2024-04-12,41,2024-05-21,05-19,0.39,0.00,0.00,0.00
