location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
Buckland,Buckland River,2024-04-09,39,2024-05-16,05-15,0.35,0.00,0.00,0.01
Fairbanks,Chena River,2024-04-09,14,2024-04-21,04-24,0.43,0.02,0.11,0.37
Northway,Chisana River,2024-04-09,17,2024-04-24,04-23,0.59,0.00,0.01,0.57
Gakona,Gakona River,2024-04-09,24,2024-05-01,04-29,0.27,0.01,0.03,0.23
Gakona,Gulkana River,2024-04-09,22,2024-04-29,04-28,0.30,0.01,0.04,0.27
Kobuk,Kobuk River,2024-04-09,36,2024-05-13,05-13,0.41,0.00,0.00,0.01
Shungnak,Kobuk River,2024-04-09,37,2024-05-14,05-15,0.40,0.00,0.00,0.01
Ambler,Kobuk River,2024-04-09,38,2024-05-15,05-16,0.42,0.00,0.00,0.00
Bettles,Koyukuk River,2024-04-09,32,2024-05-09,05-07,0.42,0.00,0.00,0.04
Allakaket,Koyukuk River,2024-04-09,33,2024-05-10,05-08,0.43,0.00,0.00,0.03
Hughes,Koyukuk River,2024-04-09,32,2024-05-09,05-08,0.41,0.00,0.00,0.05
Nikolai,Kuskokwim River,2024-04-09,11,2024-04-18,04-20,0.49,0.03,0.21,0.24
Sleetmute,Kuskokwim River,2024-04-09,24,2024-05-01,05-02,0.42,0.00,0.00,0.29
Stony River,Kuskokwim River,2024-04-09,26,2024-05-03,05-02,0.43,0.00,0.00,0.21
Red Devil,Kuskokwim River,2024-04-09,25,2024-05-02,05-03,0.41,0.00,0.00,0.25
McGrath,Kuskokwim River,2024-04-09,26,2024-05-03,05-04,0.42,0.00,0.00,0.21
Crooked Creek,Kuskokwim River,2024-04-09,28,2024-05-05,05-04,0.41,0.00,0.00,0.15
Aniak,Kuskokwim River,2024-04-09,29,2024-05-06,05-05,0.38,0.00,0.00,0.13
Kalskag,Kuskokwim River,2024-04-09,27,2024-05-04,05-05,0.43,0.00,0.00,0.17
Tuluksak,Kuskokwim River,2024-04-09,29,2024-05-06,05-06,0.41,0.00,0.00,0.11
Akiak,Kuskokwim River,2024-04-09,30,2024-05-07,05-07,0.40,0.00,0.00,0.09
Bethel,Kuskokwim River,2024-04-09,31,2024-05-08,05-07,0.35,0.00,0.00,0.09
Sunshine,Susitna River,2024-04-09,23,2024-04-30,04-29,0.51,0.00,0.00,0.31
Nenana,Tanana River,2024-04-09,21,2024-04-28,04-29,0.47,0.00,0.01,0.42
Manley Hot Springs,Tanana River,2024-04-09,23,2024-04-30,05-01,0.43,0.00,0.01,0.31
Lake Creek,Yentna River,2024-04-09,22,2024-04-29,04-29,0.62,0.00,0.00,0.42
Dawson,Yukon River,2024-04-09,27,2024-05-04,05-03,0.57,0.00,0.00,0.11
Eagle,Yukon River,2024-04-09,26,2024-05-03,05-03,0.49,0.00,0.00,0.17
Circle,Yukon River,2024-04-09,31,2024-05-08,05-07,0.47,0.00,0.00,0.04
Tanana,Yukon River,2024-04-09,31,2024-05-08,05-07,0.47,0.00,0.00,0.05
Fort Yukon,Yukon River,2024-04-09,32,2024-05-09,05-08,0.48,0.00,0.00,0.03
Ruby,Yukon River,2024-04-09,32,2024-05-09,05-09,0.45,0.00,0.00,0.03
Galena,Yukon River,2024-04-09,34,2024-05-11,05-10,0.47,0.00,0.00,0.01
Kaltag,Yukon River,2024-04-09,34,2024-05-11,05-11,0.43,0.00,0.00,0.02
Holy Cross,Yukon River,2024-04-09,35,2024-05-12,05-12,0.44,0.00,0.00,0.01
Marshall,Yukon River,2024-04-09,37,2024-05-14,05-12,0.41,0.00,0.00,0.01
Russian Mission,Yukon River,2024-04-09,35,2024-05-12,05-12,0.42,0.00,0.00,0.02
Anvik,Yukon River,2024-04-09,34,2024-05-11,05-14,0.43,0.00,0.00,0.02
Mountain Village,Yukon River,2024-04-09,37,2024-05-14,05-14,0.39,0.00,0.00,0.01
Emmonak,Yukon River,2024-04-09,43,2024-05-20,05-18,0.36,0.00,0.00,0.00
Alakanuk,Yukon River,2024-04-09,43,2024-05-20,05-19,0.37,0.00,0.00,0.00
