location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
Buckland,Buckland River,2024-04-08,39,2024-05-15,05-15,0.35,0.00,0.00,0.01
Fairbanks,Chena River,2024-04-08,15,2024-04-21,04-24,0.43,0.01,0.09,0.39
Northway,Chisana River,2024-04-08,18,2024-04-24,04-23,0.58,0.00,0.01,0.58
Gakona,Gakona River,2024-04-08,25,2024-05-01,04-29,0.27,0.01,0.03,0.22
Gakona,Gulkana River,2024-04-08,23,2024-04-29,04-28,0.30,0.00,0.03,0.25
Kobuk,Kobuk River,2024-04-08,37,2024-05-13,05-13,0.41,0.00,0.00,0.01
Shungnak,Kobuk River,2024-04-08,38,2024-05-14,05-15,0.40,0.00,0.00,0.01
Ambler,Kobuk River,2024-04-08,39,2024-05-15,05-16,0.42,0.00,0.00,0.00
Bettles,Koyukuk River,2024-04-08,33,2024-05-09,05-07,0.42,0.00,0.00,0.03
Allakaket,Koyukuk River,2024-04-08,34,2024-05-10,05-08,0.42,0.00,0.00,0.02
Hughes,Koyukuk River,2024-04-08,33,2024-05-09,05-08,0.40,0.00,0.00,0.04
Nikolai,Kuskokwim River,2024-04-08,12,2024-04-18,04-20,0.47,0.03,0.17,0.29
Sleetmute,Kuskokwim River,2024-04-08,25,2024-05-01,05-02,0.41,0.00,0.00,0.26
Stony River,Kuskokwim River,2024-04-08,27,2024-05-03,05-02,0.43,0.00,0.00,0.17
Red Devil,Kuskokwim River,2024-04-08,26,2024-05-02,05-03,0.41,0.00,0.00,0.21
McGrath,Kuskokwim River,2024-04-08,27,2024-05-03,05-04,0.42,0.00,0.00,0.18
Crooked Creek,Kuskokwim River,2024-04-08,29,2024-05-05,05-04,0.40,0.00,0.00,0.12
Aniak,Kuskokwim River,2024-04-08,29,2024-05-05,05-05,0.38,0.00,0.00,0.11
Kalskag,Kuskokwim River,2024-04-08,27,2024-05-03,05-05,0.43,0.00,0.00,0.15
Tuluksak,Kuskokwim River,2024-04-08,30,2024-05-06,05-06,0.41,0.00,0.00,0.09
Akiak,Kuskokwim River,2024-04-08,31,2024-05-07,05-07,0.40,0.00,0.00,0.08
Bethel,Kuskokwim River,2024-04-08,32,2024-05-08,05-07,0.35,0.00,0.00,0.07
Sunshine,Susitna River,2024-04-08,24,2024-04-30,04-29,0.51,0.00,0.00,0.26
Nenana,Tanana River,2024-04-08,22,2024-04-28,04-29,0.46,0.00,0.01,0.38
Manley Hot Springs,Tanana River,2024-04-08,24,2024-04-30,05-01,0.42,0.00,0.00,0.27
Lake Creek,Yentna River,2024-04-08,23,2024-04-29,04-29,0.60,0.00,0.00,0.34
Dawson,Yukon River,2024-04-08,28,2024-05-04,05-03,0.57,0.00,0.00,0.08
Eagle,Yukon River,2024-04-08,27,2024-05-03,05-03,0.48,0.00,0.00,0.13
Circle,Yukon River,2024-04-08,32,2024-05-08,05-07,0.47,0.00,0.00,0.03
Tanana,Yukon River,2024-04-08,32,2024-05-08,05-07,0.47,0.00,0.00,0.03
Fort Yukon,Yukon River,2024-04-08,33,2024-05-09,05-08,0.47,0.00,0.00,0.02
Ruby,Yukon River,2024-04-08,33,2024-05-09,05-09,0.44,0.00,0.00,0.02
Galena,Yukon River,2024-04-08,35,2024-05-11,05-10,0.46,0.00,0.00,0.01
Kaltag,Yukon River,2024-04-08,35,2024-05-11,05-11,0.42,0.00,0.00,0.02
Holy Cross,Yukon River,2024-04-08,36,2024-05-12,05-12,0.43,0.00,0.00,0.01
Marshall,Yukon River,2024-04-08,38,2024-05-14,05-12,0.41,0.00,0.00,0.01
Russian Mission,Yukon River,2024-04-08,36,2024-05-12,05-12,0.41,0.00,0.00,0.01
Anvik,Yukon River,2024-04-08,35,2024-05-11,05-14,0.42,0.00,0.00,0.01
Mountain Village,Yukon River,2024-04-08,37,2024-05-13,05-14,0.38,0.00,0.00,0.01
Emmonak,Yukon River,2024-04-08,44,2024-05-20,05-18,0.36,0.00,0.00,0.00
Alakanuk,Yukon River,2024-04-08,44,2024-05-20,05-19,0.37,0.00,0.00,0.00
