location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-04-25,21,2025-05-15,2025-05-17,0.37,0.00,0.02,0.12,0.32
Umiat,Colville River,2025-04-25,27,2025-05-21,2025-05-24,0.44,0.00,0.00,0.01,0.12
Colville Village,Colville River,2025-04-25,38,2025-06-01,2025-06-01,0.37,0.00,0.00,0.00,0.01
Kobuk,Kobuk River,2025-04-25,19,2025-05-13,2025-05-16,0.44,0.00,0.01,0.15,0.42
Shungnak,Kobuk River,2025-04-25,19,2025-05-13,2025-05-17,0.46,0.00,0.01,0.15,0.44
Ambler,Kobuk River,2025-04-25,22,2025-05-16,2025-05-18,0.43,0.00,0.01,0.08,0.33
Allakaket,Koyukuk River,2025-04-25,14,2025-05-08,2025-05-10,0.45,0.01,0.08,0.37,0.41
Bettles,Koyukuk River,2025-04-25,14,2025-05-08,2025-05-10,0.45,0.01,0.09,0.38,0.40
Hughes,Koyukuk River,2025-04-25,15,2025-05-09,2025-05-11,0.44,0.01,0.06,0.32,0.43
Nikolai,Kuskokwim River,2025-04-25,-4,2025-04-20,2025-04-23,1.36,0.57,0.41,0.02,0.00
Sleetmute,Kuskokwim River,2025-04-25,8,2025-05-02,2025-05-04,0.57,0.06,0.33,0.51,0.10
Red Devil,Kuskokwim River,2025-04-25,8,2025-05-02,2025-05-05,0.57,0.04,0.29,0.55,0.11
Stony River,Kuskokwim River,2025-04-25,8,2025-05-02,2025-05-05,0.56,0.05,0.31,0.51,0.12
Crooked Creek,Kuskokwim River,2025-04-25,11,2025-05-05,2025-05-06,0.55,0.02,0.16,0.55,0.25
McGrath,Kuskokwim River,2025-04-25,9,2025-05-03,2025-05-06,0.56,0.03,0.24,0.56,0.16
Aniak,Kuskokwim River,2025-04-25,12,2025-05-06,2025-05-07,0.52,0.01,0.13,0.50,0.33
Kalskag,Kuskokwim River,2025-04-25,12,2025-05-06,2025-05-07,0.60,0.00,0.07,0.55,0.36
Akiak,Kuskokwim River,2025-04-25,14,2025-05-08,2025-05-09,0.53,0.00,0.06,0.41,0.45
Tuluksak,Kuskokwim River,2025-04-25,15,2025-05-09,2025-05-09,0.61,0.00,0.02,0.38,0.53
Bethel,Kuskokwim River,2025-04-25,15,2025-05-09,2025-05-10,0.47,0.01,0.06,0.34,0.44
Napakiak,Kuskokwim River,2025-04-25,16,2025-05-10,2025-05-10,0.45,0.00,0.05,0.30,0.44
Sunshine,Susitna River,2025-04-25,5,2025-04-29,2025-05-02,0.65,0.09,0.49,0.40,0.02
Fairbanks D-S of Chena R,Tanana River,2025-04-25,3,2025-04-27,2025-04-30,0.81,0.20,0.65,0.15,0.00
Nenana,Tanana River,2025-04-25,4,2025-04-28,2025-05-01,0.75,0.17,0.58,0.25,0.00
Manley Hot Springs,Tanana River,2025-04-25,9,2025-05-03,2025-05-04,0.55,0.04,0.27,0.54,0.15
Dawson,Yukon River,2025-04-25,7,2025-05-01,2025-05-05,0.68,0.03,0.38,0.56,0.03
Eagle,Yukon River,2025-04-25,9,2025-05-03,2025-05-05,0.61,0.02,0.24,0.61,0.12
Circle,Yukon River,2025-04-25,14,2025-05-08,2025-05-09,0.51,0.00,0.05,0.38,0.47
Tanana,Yukon River,2025-04-25,13,2025-05-07,2025-05-10,0.55,0.00,0.07,0.46,0.42
Beaver,Yukon River,2025-04-25,13,2025-05-07,2025-05-11,0.61,0.00,0.04,0.49,0.44
Fort Yukon,Yukon River,2025-04-25,15,2025-05-09,2025-05-11,0.52,0.00,0.04,0.34,0.49
Ruby,Yukon River,2025-04-25,16,2025-05-10,2025-05-11,0.53,0.00,0.03,0.30,0.52
Galena,Yukon River,2025-04-25,16,2025-05-10,2025-05-12,0.57,0.00,0.02,0.29,0.55
Rampart,Yukon River,2025-04-25,16,2025-05-10,2025-05-12,0.61,0.00,0.01,0.28,0.59
Stevens Village,Yukon River,2025-04-25,14,2025-05-08,2025-05-12,0.64,0.00,0.02,0.42,0.52
Nulato,Yukon River,2025-04-25,16,2025-05-10,2025-05-13,0.49,0.00,0.03,0.29,0.48
Holy Cross,Yukon River,2025-04-25,17,2025-05-11,2025-05-14,0.55,0.00,0.01,0.18,0.57
Kaltag,Yukon River,2025-04-25,19,2025-05-13,2025-05-14,0.50,0.00,0.01,0.15,0.48
Marshall,Yukon River,2025-04-25,21,2025-05-15,2025-05-15,0.59,0.00,0.00,0.03,0.42
Pilot Station,Yukon River,2025-04-25,19,2025-05-13,2025-05-15,0.50,0.00,0.01,0.13,0.47
Russian Mission,Yukon River,2025-04-25,17,2025-05-11,2025-05-15,0.52,0.00,0.01,0.21,0.53
Anvik,Yukon River,2025-04-25,17,2025-05-11,2025-05-16,0.52,0.00,0.02,0.23,0.53
Mountain Village,Yukon River,2025-04-25,20,2025-05-14,2025-05-17,0.48,0.00,0.00,0.10,0.42
Emmonak,Yukon River,2025-04-25,26,2025-05-20,2025-05-21,0.45,0.00,0.00,0.01,0.14
Alakanuk,Yukon River,2025-04-25,28,2025-05-22,2025-05-22,0.46,0.00,0.00,0.01,0.10
