location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-05-07,7,2025-05-13,2025-05-17,0.51,0.08,0.33,0.45,0.12
Umiat,Colville River,2025-05-07,15,2025-05-21,2025-05-24,0.45,0.01,0.06,0.32,0.44
Colville Village,Colville River,2025-05-07,25,2025-05-31,2025-06-01,0.38,0.00,0.00,0.04,0.20
Kobuk,Kobuk River,2025-05-07,6,2025-05-12,2025-05-16,0.58,0.09,0.41,0.44,0.06
Shungnak,Kobuk River,2025-05-07,6,2025-05-12,2025-05-17,0.61,0.08,0.42,0.45,0.04
Ambler,Kobuk River,2025-05-07,8,2025-05-14,2025-05-18,0.50,0.06,0.29,0.48,0.16
Allakaket,Koyukuk River,2025-05-07,1,2025-05-07,2025-05-10,0.85,0.27,0.55,0.18,0.01
Bettles,Koyukuk River,2025-05-07,1,2025-05-07,2025-05-10,0.87,0.28,0.55,0.17,0.00
Hughes,Koyukuk River,2025-05-07,3,2025-05-09,2025-05-11,0.78,0.22,0.56,0.22,0.01
Aniak,Kuskokwim River,2025-05-07,-2,2025-05-04,2025-05-07,1.30,0.54,0.44,0.02,0.00
Tuluksak,Kuskokwim River,2025-05-07,0,2025-05-06,2025-05-09,1.21,0.51,0.48,0.01,0.00
Bethel,Kuskokwim River,2025-05-07,1,2025-05-07,2025-05-10,0.90,0.29,0.56,0.15,0.00
Napakiak,Kuskokwim River,2025-05-07,2,2025-05-08,2025-05-10,0.74,0.21,0.52,0.25,0.01
Sunshine,Susitna River,2025-05-07,-6,2025-04-30,2025-05-02,1.66,0.70,0.29,0.00,0.00
Fairbanks D-S of Chena R,Tanana River,2025-05-07,-9,2025-04-27,2025-04-30,3.53,0.95,0.05,0.00,0.00
Manley Hot Springs,Tanana River,2025-05-07,-4,2025-05-02,2025-05-04,1.42,0.61,0.38,0.01,0.00
Tanana,Yukon River,2025-05-07,1,2025-05-07,2025-05-10,1.00,0.34,0.58,0.08,0.00
Beaver,Yukon River,2025-05-07,1,2025-05-07,2025-05-11,1.10,0.41,0.55,0.04,0.00
Ruby,Yukon River,2025-05-07,2,2025-05-08,2025-05-11,0.88,0.25,0.63,0.12,0.00
Galena,Yukon River,2025-05-07,3,2025-05-09,2025-05-12,0.88,0.24,0.66,0.10,0.00
Rampart,Yukon River,2025-05-07,3,2025-05-09,2025-05-12,0.78,0.20,0.61,0.18,0.00
Stevens Village,Yukon River,2025-05-07,2,2025-05-08,2025-05-12,0.97,0.30,0.63,0.07,0.00
Nulato,Yukon River,2025-05-07,3,2025-05-09,2025-05-13,0.73,0.18,0.58,0.23,0.00
Holy Cross,Yukon River,2025-05-07,4,2025-05-10,2025-05-14,0.79,0.13,0.66,0.21,0.00
Kaltag,Yukon River,2025-05-07,5,2025-05-11,2025-05-14,0.71,0.10,0.54,0.35,0.01
Marshall,Yukon River,2025-05-07,6,2025-05-12,2025-05-15,0.82,0.04,0.57,0.39,0.00
Pilot Station,Yukon River,2025-05-07,5,2025-05-11,2025-05-15,0.75,0.12,0.58,0.30,0.00
Russian Mission,Yukon River,2025-05-07,4,2025-05-10,2025-05-15,0.71,0.14,0.56,0.29,0.01
Anvik,Yukon River,2025-05-07,4,2025-05-10,2025-05-16,0.73,0.14,0.59,0.27,0.00
Mountain Village,Yukon River,2025-05-07,6,2025-05-12,2025-05-17,0.61,0.07,0.42,0.47,0.04
Emmonak,Yukon River,2025-05-07,12,2025-05-18,2025-05-21,0.63,0.00,0.09,0.60,0.30
Alakanuk,Yukon River,2025-05-07,13,2025-05-19,2025-05-22,0.61,0.00,0.06,0.52,0.40
