location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-04-29,16,2025-05-14,2025-05-17,0.41,0.01,0.06,0.28,0.41
Umiat,Colville River,2025-04-29,23,2025-05-21,2025-05-24,0.44,0.00,0.00,0.05,0.27
Colville Village,Colville River,2025-04-29,34,2025-06-01,2025-06-01,0.38,0.00,0.00,0.00,0.03
Kobuk,Kobuk River,2025-04-29,15,2025-05-13,2025-05-16,0.47,0.01,0.06,0.34,0.45
Shungnak,Kobuk River,2025-04-29,15,2025-05-13,2025-05-17,0.51,0.00,0.05,0.35,0.47
Ambler,Kobuk River,2025-04-29,17,2025-05-15,2025-05-18,0.45,0.00,0.03,0.24,0.45
Allakaket,Koyukuk River,2025-04-29,10,2025-05-08,2025-05-10,0.49,0.03,0.21,0.50,0.23
Bettles,Koyukuk River,2025-04-29,9,2025-05-07,2025-05-10,0.48,0.04,0.23,0.50,0.21
Hughes,Koyukuk River,2025-04-29,11,2025-05-09,2025-05-11,0.49,0.02,0.16,0.49,0.29
Napakiak,Kuskokwim River,2025-04-29,11,2025-05-09,2025-05-10,0.48,0.02,0.15,0.48,0.31
Sunshine,Susitna River,2025-04-29,2,2025-04-30,2025-05-02,0.93,0.29,0.59,0.12,0.00
Fairbanks D-S of Chena R,Tanana River,2025-04-29,-1,2025-04-27,2025-04-30,1.27,0.54,0.45,0.01,0.00
Manley Hot Springs,Tanana River,2025-04-29,5,2025-05-03,2025-05-04,0.65,0.13,0.49,0.36,0.02
Tanana,Yukon River,2025-04-29,9,2025-05-07,2025-05-10,0.59,0.02,0.22,0.60,0.15
Beaver,Yukon River,2025-04-29,9,2025-05-07,2025-05-11,0.67,0.01,0.23,0.66,0.10
Ruby,Yukon River,2025-04-29,11,2025-05-09,2025-05-11,0.58,0.01,0.13,0.58,0.27
Galena,Yukon River,2025-04-29,11,2025-05-09,2025-05-12,0.60,0.00,0.09,0.60,0.29
Rampart,Yukon River,2025-04-29,12,2025-05-10,2025-05-12,0.64,0.00,0.09,0.61,0.29
Stevens Village,Yukon River,2025-04-29,10,2025-05-08,2025-05-12,0.68,0.00,0.14,0.70,0.15
Nulato,Yukon River,2025-04-29,12,2025-05-10,2025-05-13,0.54,0.01,0.11,0.51,0.33
Holy Cross,Yukon River,2025-04-29,13,2025-05-11,2025-05-14,0.63,0.00,0.04,0.51,0.43
Kaltag,Yukon River,2025-04-29,14,2025-05-12,2025-05-14,0.54,0.00,0.05,0.40,0.47
Marshall,Yukon River,2025-04-29,16,2025-05-14,2025-05-15,0.67,0.00,0.00,0.25,0.65
Pilot Station,Yukon River,2025-04-29,14,2025-05-12,2025-05-15,0.56,0.00,0.03,0.39,0.50
Russian Mission,Yukon River,2025-04-29,13,2025-05-11,2025-05-15,0.57,0.00,0.07,0.49,0.40
Anvik,Yukon River,2025-04-29,13,2025-05-11,2025-05-16,0.57,0.00,0.07,0.49,0.39
Mountain Village,Yukon River,2025-04-29,15,2025-05-13,2025-05-17,0.52,0.00,0.03,0.32,0.51
Emmonak,Yukon River,2025-04-29,21,2025-05-19,2025-05-21,0.51,0.00,0.00,0.05,0.37
Alakanuk,Yukon River,2025-04-29,23,2025-05-21,2025-05-22,0.52,0.00,0.00,0.03,0.30
