location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-05-08,6,2025-05-13,2025-05-17,0.53,0.10,0.37,0.43,0.10
Umiat,Colville River,2025-05-08,14,2025-05-21,2025-05-24,0.45,0.01,0.07,0.36,0.42
Colville Village,Colville River,2025-05-08,24,2025-05-31,2025-06-01,0.38,0.00,0.01,0.06,0.24
Kobuk,Kobuk River,2025-05-08,5,2025-05-12,2025-05-16,0.61,0.12,0.45,0.39,0.04
Shungnak,Kobuk River,2025-05-08,5,2025-05-12,2025-05-17,0.62,0.10,0.47,0.40,0.03
Ambler,Kobuk River,2025-05-08,7,2025-05-14,2025-05-18,0.51,0.07,0.32,0.47,0.13
Allakaket,Koyukuk River,2025-05-08,0,2025-05-07,2025-05-10,0.92,0.30,0.55,0.15,0.00
Bettles,Koyukuk River,2025-05-08,0,2025-05-07,2025-05-10,0.95,0.32,0.55,0.13,0.00
Hughes,Koyukuk River,2025-05-08,2,2025-05-09,2025-05-11,0.87,0.27,0.57,0.16,0.00
Nikolai,Kuskokwim River,2025-05-08,-17,2025-04-20,2025-04-23,2.86,0.90,0.10,0.00,0.00
Sleetmute,Kuskokwim River,2025-05-08,-6,2025-05-01,2025-05-04,1.77,0.75,0.25,0.00,0.00
Red Devil,Kuskokwim River,2025-05-08,-6,2025-05-01,2025-05-05,2.09,0.83,0.17,0.00,0.00
Stony River,Kuskokwim River,2025-05-08,-6,2025-05-01,2025-05-05,1.91,0.79,0.21,0.00,0.00
Crooked Creek,Kuskokwim River,2025-05-08,-4,2025-05-03,2025-05-06,1.54,0.67,0.32,0.00,0.00
McGrath,Kuskokwim River,2025-05-08,-5,2025-05-02,2025-05-06,2.04,0.83,0.17,0.00,0.00
Aniak,Kuskokwim River,2025-05-08,-3,2025-05-04,2025-05-07,1.39,0.59,0.40,0.01,0.00
Kalskag,Kuskokwim River,2025-05-08,-2,2025-05-05,2025-05-07,1.49,0.67,0.32,0.00,0.00
Akiak,Kuskokwim River,2025-05-08,-1,2025-05-06,2025-05-09,1.27,0.53,0.45,0.01,0.00
Tuluksak,Kuskokwim River,2025-05-08,-1,2025-05-06,2025-05-09,1.31,0.57,0.42,0.01,0.00
Bethel,Kuskokwim River,2025-05-08,0,2025-05-07,2025-05-10,0.97,0.32,0.55,0.12,0.00
Napakiak,Kuskokwim River,2025-05-08,2,2025-05-09,2025-05-10,0.79,0.23,0.53,0.22,0.01
Sunshine,Susitna River,2025-05-08,-7,2025-04-30,2025-05-02,1.74,0.73,0.27,0.00,0.00
Fairbanks D-S of Chena R,Tanana River,2025-05-08,-9,2025-04-28,2025-04-30,3.77,0.95,0.05,0.00,0.00
Nenana,Tanana River,2025-05-08,-10,2025-04-27,2025-05-01,3.54,0.95,0.05,0.00,0.00
Manley Hot Springs,Tanana River,2025-05-08,-4,2025-05-03,2025-05-04,1.53,0.66,0.34,0.01,0.00
Dawson,Yukon River,2025-05-08,-6,2025-05-01,2025-05-05,2.26,0.87,0.13,0.00,0.00
Eagle,Yukon River,2025-05-08,-4,2025-05-03,2025-05-05,1.77,0.77,0.23,0.00,0.00
Circle,Yukon River,2025-05-08,1,2025-05-08,2025-05-09,0.96,0.31,0.57,0.11,0.00
Tanana,Yukon River,2025-05-08,0,2025-05-07,2025-05-10,1.08,0.39,0.55,0.06,0.00
Beaver,Yukon River,2025-05-08,0,2025-05-07,2025-05-11,1.19,0.48,0.50,0.02,0.00
Fort Yukon,Yukon River,2025-05-08,2,2025-05-09,2025-05-11,0.91,0.28,0.59,0.13,0.00
Ruby,Yukon River,2025-05-08,1,2025-05-08,2025-05-11,1.00,0.33,0.60,0.07,0.00
Galena,Yukon River,2025-05-08,2,2025-05-09,2025-05-12,1.00,0.32,0.63,0.05,0.00
Rampart,Yukon River,2025-05-08,2,2025-05-09,2025-05-12,0.88,0.25,0.61,0.13,0.00
Stevens Village,Yukon River,2025-05-08,1,2025-05-08,2025-05-12,1.06,0.37,0.59,0.04,0.00
Nulato,Yukon River,2025-05-08,3,2025-05-10,2025-05-13,0.82,0.23,0.60,0.17,0.00
Holy Cross,Yukon River,2025-05-08,3,2025-05-10,2025-05-14,0.81,0.18,0.68,0.14,0.00
Kaltag,Yukon River,2025-05-08,4,2025-05-11,2025-05-14,0.75,0.15,0.60,0.25,0.00
Marshall,Yukon River,2025-05-08,5,2025-05-12,2025-05-15,0.82,0.07,0.66,0.27,0.00
Pilot Station,Yukon River,2025-05-08,4,2025-05-11,2025-05-15,0.76,0.15,0.61,0.24,0.00
Russian Mission,Yukon River,2025-05-08,3,2025-05-10,2025-05-15,0.74,0.19,0.59,0.22,0.00
Anvik,Yukon River,2025-05-08,3,2025-05-10,2025-05-16,0.78,0.20,0.61,0.19,0.00
Mountain Village,Yukon River,2025-05-08,5,2025-05-12,2025-05-17,0.63,0.10,0.48,0.40,0.02
Emmonak,Yukon River,2025-05-08,11,2025-05-18,2025-05-21,0.64,0.00,0.11,0.64,0.24
Alakanuk,Yukon River,2025-05-08,12,2025-05-19,2025-05-22,0.63,0.00,0.08,0.59,0.32
