location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-05-04,10,2025-05-13,2025-05-17,0.45,0.03,0.19,0.46,0.27
Umiat,Colville River,2025-05-04,18,2025-05-21,2025-05-24,0.45,0.00,0.02,0.19,0.45
Colville Village,Colville River,2025-05-04,28,2025-05-31,2025-06-01,0.37,0.00,0.00,0.02,0.11
Kobuk,Kobuk River,2025-05-04,9,2025-05-12,2025-05-16,0.51,0.03,0.23,0.52,0.20
Shungnak,Kobuk River,2025-05-04,9,2025-05-12,2025-05-17,0.56,0.03,0.23,0.57,0.17
Ambler,Kobuk River,2025-05-04,11,2025-05-14,2025-05-18,0.46,0.02,0.15,0.46,0.31
Allakaket,Koyukuk River,2025-05-04,4,2025-05-07,2025-05-10,0.60,0.14,0.47,0.36,0.04
Bettles,Koyukuk River,2025-05-04,4,2025-05-07,2025-05-10,0.62,0.14,0.47,0.35,0.03
Hughes,Koyukuk River,2025-05-04,6,2025-05-09,2025-05-11,0.60,0.10,0.42,0.43,0.05
Nikolai,Kuskokwim River,2025-05-04,-13,2025-04-20,2025-04-23,2.43,0.86,0.14,0.00,0.00
Sleetmute,Kuskokwim River,2025-05-04,-2,2025-05-01,2025-05-04,1.25,0.51,0.46,0.03,0.00
Red Devil,Kuskokwim River,2025-05-04,-2,2025-05-01,2025-05-05,1.32,0.56,0.42,0.01,0.00
Stony River,Kuskokwim River,2025-05-04,-2,2025-05-01,2025-05-05,1.28,0.52,0.45,0.02,0.00
Crooked Creek,Kuskokwim River,2025-05-04,1,2025-05-04,2025-05-06,1.04,0.37,0.57,0.07,0.00
McGrath,Kuskokwim River,2025-05-04,-1,2025-05-02,2025-05-06,1.23,0.50,0.48,0.02,0.00
Aniak,Kuskokwim River,2025-05-04,1,2025-05-04,2025-05-07,0.94,0.30,0.58,0.11,0.00
Kalskag,Kuskokwim River,2025-05-04,2,2025-05-05,2025-05-07,0.98,0.30,0.64,0.06,0.00
Akiak,Kuskokwim River,2025-05-04,3,2025-05-06,2025-05-09,0.75,0.18,0.62,0.20,0.00
Tuluksak,Kuskokwim River,2025-05-04,4,2025-05-07,2025-05-09,0.86,0.17,0.69,0.14,0.00
Bethel,Kuskokwim River,2025-05-04,4,2025-05-07,2025-05-10,0.64,0.14,0.50,0.34,0.02
Napakiak,Kuskokwim River,2025-05-04,6,2025-05-09,2025-05-10,0.57,0.10,0.41,0.43,0.06
Sunshine,Susitna River,2025-05-04,-4,2025-04-29,2025-05-02,1.39,0.58,0.40,0.02,0.00
Fairbanks D-S of Chena R,Tanana River,2025-05-04,-6,2025-04-27,2025-04-30,2.49,0.90,0.10,0.00,0.00
Nenana,Tanana River,2025-05-04,-6,2025-04-27,2025-05-01,2.10,0.84,0.16,0.00,0.00
Manley Hot Springs,Tanana River,2025-05-04,0,2025-05-03,2025-05-04,1.08,0.39,0.54,0.07,0.00
Dawson,Yukon River,2025-05-04,-2,2025-05-01,2025-05-05,1.49,0.68,0.32,0.00,0.00
Eagle,Yukon River,2025-05-04,0,2025-05-03,2025-05-05,1.20,0.49,0.50,0.02,0.00
Circle,Yukon River,2025-05-04,5,2025-05-08,2025-05-09,0.66,0.11,0.49,0.37,0.02
Tanana,Yukon River,2025-05-04,4,2025-05-07,2025-05-10,0.72,0.16,0.57,0.27,0.01
Beaver,Yukon River,2025-05-04,4,2025-05-07,2025-05-11,0.80,0.17,0.63,0.20,0.00
Fort Yukon,Yukon River,2025-05-04,6,2025-05-09,2025-05-11,0.66,0.09,0.47,0.41,0.02
Ruby,Yukon River,2025-05-04,6,2025-05-09,2025-05-11,0.69,0.07,0.48,0.43,0.01
Galena,Yukon River,2025-05-04,6,2025-05-09,2025-05-12,0.72,0.06,0.49,0.44,0.01
Rampart,Yukon River,2025-05-04,6,2025-05-09,2025-05-12,0.68,0.06,0.46,0.46,0.02
Stevens Village,Yukon River,2025-05-04,5,2025-05-08,2025-05-12,0.76,0.09,0.59,0.31,0.00
Nulato,Yukon River,2025-05-04,7,2025-05-10,2025-05-13,0.64,0.07,0.41,0.49,0.04
Holy Cross,Yukon River,2025-05-04,7,2025-05-10,2025-05-14,0.69,0.02,0.35,0.60,0.03
Kaltag,Yukon River,2025-05-04,9,2025-05-12,2025-05-14,0.64,0.02,0.27,0.61,0.10
Marshall,Yukon River,2025-05-04,9,2025-05-12,2025-05-15,0.73,0.00,0.15,0.77,0.07
Pilot Station,Yukon River,2025-05-04,8,2025-05-11,2025-05-15,0.66,0.02,0.30,0.61,0.06
Russian Mission,Yukon River,2025-05-04,7,2025-05-10,2025-05-15,0.61,0.04,0.35,0.55,0.06
Anvik,Yukon River,2025-05-04,7,2025-05-10,2025-05-16,0.64,0.04,0.36,0.55,0.05
Mountain Village,Yukon River,2025-05-04,10,2025-05-13,2025-05-17,0.59,0.02,0.20,0.59,0.19
Emmonak,Yukon River,2025-05-04,15,2025-05-18,2025-05-21,0.58,0.00,0.02,0.32,0.56
Alakanuk,Yukon River,2025-05-04,16,2025-05-19,2025-05-22,0.56,0.00,0.01,0.24,0.58
