location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-04-28,17,2025-05-14,2025-05-17,0.40,0.00,0.04,0.23,0.40
Umiat,Colville River,2025-04-28,24,2025-05-21,2025-05-24,0.44,0.00,0.00,0.03,0.23
Colville Village,Colville River,2025-04-28,35,2025-06-01,2025-06-01,0.37,0.00,0.00,0.00,0.02
Kobuk,Kobuk River,2025-04-28,16,2025-05-13,2025-05-16,0.47,0.00,0.04,0.29,0.46
Shungnak,Kobuk River,2025-04-28,16,2025-05-13,2025-05-17,0.49,0.00,0.03,0.29,0.49
Ambler,Kobuk River,2025-04-28,18,2025-05-15,2025-05-18,0.44,0.00,0.02,0.19,0.44
Allakaket,Koyukuk River,2025-04-28,11,2025-05-08,2025-05-10,0.48,0.02,0.17,0.48,0.29
Bettles,Koyukuk River,2025-04-28,11,2025-05-08,2025-05-10,0.48,0.03,0.19,0.48,0.27
Hughes,Koyukuk River,2025-04-28,12,2025-05-09,2025-05-11,0.47,0.01,0.12,0.45,0.35
Nikolai,Kuskokwim River,2025-04-28,-7,2025-04-20,2025-04-23,1.71,0.72,0.28,0.00,0.00
Sleetmute,Kuskokwim River,2025-04-28,4,2025-05-01,2025-05-04,0.68,0.15,0.53,0.31,0.01
Red Devil,Kuskokwim River,2025-04-28,5,2025-05-02,2025-05-05,0.69,0.12,0.52,0.34,0.01
Stony River,Kuskokwim River,2025-04-28,5,2025-05-02,2025-05-05,0.67,0.14,0.51,0.34,0.02
Crooked Creek,Kuskokwim River,2025-04-28,7,2025-05-04,2025-05-06,0.60,0.05,0.35,0.53,0.07
McGrath,Kuskokwim River,2025-04-28,6,2025-05-03,2025-05-06,0.65,0.10,0.47,0.41,0.03
Aniak,Kuskokwim River,2025-04-28,8,2025-05-05,2025-05-07,0.57,0.04,0.28,0.55,0.12
Kalskag,Kuskokwim River,2025-04-28,9,2025-05-06,2025-05-07,0.71,0.01,0.25,0.67,0.07
Akiak,Kuskokwim River,2025-04-28,10,2025-05-07,2025-05-09,0.57,0.01,0.16,0.60,0.22
Tuluksak,Kuskokwim River,2025-04-28,11,2025-05-08,2025-05-09,0.69,0.00,0.11,0.69,0.20
Bethel,Kuskokwim River,2025-04-28,11,2025-05-08,2025-05-10,0.49,0.02,0.14,0.49,0.31
Napakiak,Kuskokwim River,2025-04-28,13,2025-05-10,2025-05-10,0.49,0.01,0.11,0.44,0.36
Sunshine,Susitna River,2025-04-28,3,2025-04-30,2025-05-02,0.83,0.23,0.59,0.17,0.00
Fairbanks D-S of Chena R,Tanana River,2025-04-28,0,2025-04-27,2025-04-30,1.15,0.45,0.53,0.02,0.00
Nenana,Tanana River,2025-04-28,1,2025-04-28,2025-05-01,1.07,0.38,0.56,0.06,0.00
Manley Hot Springs,Tanana River,2025-04-28,6,2025-05-03,2025-05-04,0.62,0.10,0.44,0.42,0.04
Dawson,Yukon River,2025-04-28,4,2025-05-01,2025-05-05,0.76,0.13,0.63,0.24,0.00
Eagle,Yukon River,2025-04-28,6,2025-05-03,2025-05-05,0.67,0.06,0.46,0.46,0.02
Circle,Yukon River,2025-04-28,11,2025-05-08,2025-05-09,0.54,0.01,0.13,0.54,0.30
Tanana,Yukon River,2025-04-28,10,2025-05-07,2025-05-10,0.57,0.01,0.16,0.60,0.22
Beaver,Yukon River,2025-04-28,10,2025-05-07,2025-05-11,0.65,0.01,0.16,0.67,0.17
Fort Yukon,Yukon River,2025-04-28,12,2025-05-09,2025-05-11,0.55,0.01,0.10,0.52,0.34
Ruby,Yukon River,2025-04-28,12,2025-05-09,2025-05-11,0.56,0.01,0.09,0.52,0.35
Galena,Yukon River,2025-04-28,13,2025-05-10,2025-05-12,0.62,0.00,0.06,0.53,0.38
Rampart,Yukon River,2025-04-28,13,2025-05-10,2025-05-12,0.63,0.00,0.06,0.54,0.38
Stevens Village,Yukon River,2025-04-28,11,2025-05-08,2025-05-12,0.66,0.00,0.09,0.66,0.24
Nulato,Yukon River,2025-04-28,13,2025-05-10,2025-05-13,0.52,0.01,0.08,0.45,0.40
Holy Cross,Yukon River,2025-04-28,14,2025-05-11,2025-05-14,0.61,0.00,0.03,0.41,0.51
Kaltag,Yukon River,2025-04-28,15,2025-05-12,2025-05-14,0.53,0.00,0.03,0.33,0.51
Marshall,Yukon River,2025-04-28,17,2025-05-14,2025-05-15,0.64,0.00,0.00,0.16,0.66
Pilot Station,Yukon River,2025-04-28,16,2025-05-13,2025-05-15,0.56,0.00,0.02,0.29,0.55
Russian Mission,Yukon River,2025-04-28,14,2025-05-11,2025-05-15,0.56,0.00,0.04,0.42,0.47
Anvik,Yukon River,2025-04-28,14,2025-05-11,2025-05-16,0.56,0.00,0.05,0.43,0.46
Mountain Village,Yukon River,2025-04-28,16,2025-05-13,2025-05-17,0.51,0.00,0.02,0.25,0.53
Emmonak,Yukon River,2025-04-28,23,2025-05-20,2025-05-21,0.51,0.00,0.00,0.03,0.30
Alakanuk,Yukon River,2025-04-28,24,2025-05-21,2025-05-22,0.50,0.00,0.00,0.02,0.24
