location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-04-14,34,2025-05-17,2025-05-17,0.35,0.00,0.00,0.00,0.04
Umiat,Colville River,2025-04-14,39,2025-05-22,2025-05-24,0.44,0.00,0.00,0.00,0.00
Colville Village,Colville River,2025-04-14,49,2025-06-01,2025-06-01,0.38,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2025-04-14,31,2025-05-14,2025-05-16,0.41,0.00,0.00,0.00,0.04
Shungnak,Kobuk River,2025-04-14,32,2025-05-15,2025-05-17,0.42,0.00,0.00,0.00,0.04
Ambler,Kobuk River,2025-04-14,34,2025-05-17,2025-05-18,0.42,0.00,0.00,0.00,0.02
Allakaket,Koyukuk River,2025-04-14,26,2025-05-09,2025-05-10,0.43,0.00,0.00,0.02,0.17
Bettles,Koyukuk River,2025-04-14,25,2025-05-08,2025-05-10,0.41,0.00,0.00,0.03,0.18
Hughes,Koyukuk River,2025-04-14,27,2025-05-10,2025-05-11,0.41,0.00,0.00,0.02,0.14
Nikolai,Kuskokwim River,2025-04-14,9,2025-04-22,2025-04-23,0.56,0.04,0.26,0.55,0.15
Sleetmute,Kuskokwim River,2025-04-14,20,2025-05-03,2025-05-04,0.46,0.00,0.01,0.11,0.40
Red Devil,Kuskokwim River,2025-04-14,21,2025-05-04,2025-05-05,0.45,0.00,0.01,0.09,0.37
Stony River,Kuskokwim River,2025-04-14,21,2025-05-04,2025-05-05,0.46,0.00,0.01,0.10,0.39
Crooked Creek,Kuskokwim River,2025-04-14,23,2025-05-06,2025-05-06,0.43,0.00,0.00,0.05,0.27
McGrath,Kuskokwim River,2025-04-14,22,2025-05-05,2025-05-06,0.45,0.00,0.00,0.07,0.33
Aniak,Kuskokwim River,2025-04-14,24,2025-05-07,2025-05-07,0.42,0.00,0.00,0.05,0.24
Kalskag,Kuskokwim River,2025-04-14,24,2025-05-07,2025-05-07,0.48,0.00,0.00,0.02,0.22
Akiak,Kuskokwim River,2025-04-14,26,2025-05-09,2025-05-09,0.45,0.00,0.00,0.01,0.15
Tuluksak,Kuskokwim River,2025-04-14,27,2025-05-10,2025-05-09,0.46,0.00,0.00,0.01,0.12
Bethel,Kuskokwim River,2025-04-14,28,2025-05-11,2025-05-10,0.40,0.00,0.00,0.01,0.12
Napakiak,Kuskokwim River,2025-04-14,29,2025-05-12,2025-05-10,0.43,0.00,0.00,0.01,0.08
Sunshine,Susitna River,2025-04-14,18,2025-05-01,2025-05-02,0.57,0.00,0.01,0.17,0.57
Fairbanks D-S of Chena R,Tanana River,2025-04-14,16,2025-04-29,2025-04-30,0.56,0.00,0.02,0.29,0.55
Nenana,Tanana River,2025-04-14,17,2025-04-30,2025-05-01,0.52,0.00,0.02,0.24,0.52
Manley Hot Springs,Tanana River,2025-04-14,21,2025-05-04,2025-05-04,0.47,0.00,0.01,0.10,0.39
Dawson,Yukon River,2025-04-14,19,2025-05-02,2025-05-05,0.58,0.00,0.00,0.07,0.53
Eagle,Yukon River,2025-04-14,21,2025-05-04,2025-05-05,0.52,0.00,0.00,0.06,0.39
Circle,Yukon River,2025-04-14,26,2025-05-09,2025-05-09,0.48,0.00,0.00,0.01,0.14
Tanana,Yukon River,2025-04-14,25,2025-05-08,2025-05-10,0.48,0.00,0.00,0.01,0.17
Beaver,Yukon River,2025-04-14,25,2025-05-08,2025-05-11,0.58,0.00,0.00,0.00,0.14
Fort Yukon,Yukon River,2025-04-14,27,2025-05-10,2025-05-11,0.48,0.00,0.00,0.01,0.12
Ruby,Yukon River,2025-04-14,28,2025-05-11,2025-05-11,0.47,0.00,0.00,0.01,0.10
Galena,Yukon River,2025-04-14,28,2025-05-11,2025-05-12,0.48,0.00,0.00,0.00,0.07
Rampart,Yukon River,2025-04-14,27,2025-05-10,2025-05-12,0.56,0.00,0.00,0.00,0.06
Stevens Village,Yukon River,2025-04-14,26,2025-05-09,2025-05-12,0.58,0.00,0.00,0.00,0.09
Nulato,Yukon River,2025-04-14,28,2025-05-11,2025-05-13,0.47,0.00,0.00,0.01,0.09
Holy Cross,Yukon River,2025-04-14,30,2025-05-13,2025-05-14,0.46,0.00,0.00,0.00,0.04
Kaltag,Yukon River,2025-04-14,31,2025-05-14,2025-05-14,0.45,0.00,0.00,0.00,0.04
Marshall,Yukon River,2025-04-14,33,2025-05-16,2025-05-15,0.44,0.00,0.00,0.00,0.02
Pilot Station,Yukon River,2025-04-14,32,2025-05-15,2025-05-15,0.39,0.00,0.00,0.00,0.05
Russian Mission,Yukon River,2025-04-14,30,2025-05-13,2025-05-15,0.45,0.00,0.00,0.00,0.05
Anvik,Yukon River,2025-04-14,29,2025-05-12,2025-05-16,0.45,0.00,0.00,0.00,0.06
Mountain Village,Yukon River,2025-04-14,31,2025-05-14,2025-05-17,0.40,0.00,0.00,0.00,0.04
Emmonak,Yukon River,2025-04-14,39,2025-05-22,2025-05-21,0.38,0.00,0.00,0.00,0.00
Alakanuk,Yukon River,2025-04-14,40,2025-05-23,2025-05-22,0.41,0.00,0.00,0.00,0.00
