location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-04-10,37,2025-05-16,2025-05-17,0.35,0.00,0.00,0.00,0.01
Umiat,Colville River,2025-04-10,43,2025-05-22,2025-05-24,0.43,0.00,0.00,0.00,0.00
Colville Village,Colville River,2025-04-10,53,2025-06-01,2025-06-01,0.38,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2025-04-10,36,2025-05-15,2025-05-16,0.41,0.00,0.00,0.00,0.01
Shungnak,Kobuk River,2025-04-10,36,2025-05-15,2025-05-17,0.41,0.00,0.00,0.00,0.01
Ambler,Kobuk River,2025-04-10,37,2025-05-16,2025-05-18,0.41,0.00,0.00,0.00,0.00
Allakaket,Koyukuk River,2025-04-10,30,2025-05-09,2025-05-10,0.42,0.00,0.00,0.00,0.06
Bettles,Koyukuk River,2025-04-10,30,2025-05-09,2025-05-10,0.42,0.00,0.00,0.01,0.07
Hughes,Koyukuk River,2025-04-10,31,2025-05-10,2025-05-11,0.40,0.00,0.00,0.00,0.05
Nikolai,Kuskokwim River,2025-04-10,12,2025-04-21,2025-04-23,0.48,0.01,0.12,0.45,0.35
Sleetmute,Kuskokwim River,2025-04-10,24,2025-05-03,2025-05-04,0.42,0.00,0.00,0.05,0.25
Red Devil,Kuskokwim River,2025-04-10,25,2025-05-04,2025-05-05,0.42,0.00,0.00,0.03,0.20
Stony River,Kuskokwim River,2025-04-10,24,2025-05-03,2025-05-05,0.43,0.00,0.00,0.03,0.22
Crooked Creek,Kuskokwim River,2025-04-10,27,2025-05-06,2025-05-06,0.41,0.00,0.00,0.02,0.14
McGrath,Kuskokwim River,2025-04-10,26,2025-05-05,2025-05-06,0.43,0.00,0.00,0.02,0.18
Aniak,Kuskokwim River,2025-04-10,27,2025-05-06,2025-05-07,0.38,0.00,0.00,0.02,0.13
Kalskag,Kuskokwim River,2025-04-10,27,2025-05-06,2025-05-07,0.44,0.00,0.00,0.01,0.11
Akiak,Kuskokwim River,2025-04-10,29,2025-05-08,2025-05-09,0.41,0.00,0.00,0.01,0.08
Tuluksak,Kuskokwim River,2025-04-10,30,2025-05-09,2025-05-09,0.41,0.00,0.00,0.00,0.06
Bethel,Kuskokwim River,2025-04-10,31,2025-05-10,2025-05-10,0.36,0.00,0.00,0.01,0.07
Napakiak,Kuskokwim River,2025-04-10,32,2025-05-11,2025-05-10,0.39,0.00,0.00,0.00,0.05
Sunshine,Susitna River,2025-04-10,22,2025-05-01,2025-05-02,0.53,0.00,0.00,0.05,0.36
Fairbanks D-S of Chena R,Tanana River,2025-04-10,19,2025-04-28,2025-04-30,0.51,0.00,0.01,0.13,0.49
Nenana,Tanana River,2025-04-10,20,2025-04-29,2025-05-01,0.47,0.00,0.01,0.11,0.41
Manley Hot Springs,Tanana River,2025-04-10,24,2025-05-03,2025-05-04,0.43,0.00,0.00,0.04,0.24
Dawson,Yukon River,2025-04-10,24,2025-05-03,2025-05-05,0.57,0.00,0.00,0.01,0.22
Eagle,Yukon River,2025-04-10,25,2025-05-04,2025-05-05,0.49,0.00,0.00,0.01,0.18
Circle,Yukon River,2025-04-10,30,2025-05-09,2025-05-09,0.47,0.00,0.00,0.00,0.04
Tanana,Yukon River,2025-04-10,30,2025-05-09,2025-05-10,0.47,0.00,0.00,0.00,0.04
Beaver,Yukon River,2025-04-10,29,2025-05-08,2025-05-11,0.57,0.00,0.00,0.00,0.02
Fort Yukon,Yukon River,2025-04-10,31,2025-05-10,2025-05-11,0.47,0.00,0.00,0.00,0.03
Ruby,Yukon River,2025-04-10,32,2025-05-11,2025-05-11,0.45,0.00,0.00,0.00,0.03
Galena,Yukon River,2025-04-10,32,2025-05-11,2025-05-12,0.46,0.00,0.00,0.00,0.02
Rampart,Yukon River,2025-04-10,31,2025-05-10,2025-05-12,0.55,0.00,0.00,0.00,0.01
Stevens Village,Yukon River,2025-04-10,30,2025-05-09,2025-05-12,0.56,0.00,0.00,0.00,0.01
Nulato,Yukon River,2025-04-10,32,2025-05-11,2025-05-13,0.45,0.00,0.00,0.00,0.03
Holy Cross,Yukon River,2025-04-10,34,2025-05-13,2025-05-14,0.44,0.00,0.00,0.00,0.01
Kaltag,Yukon River,2025-04-10,34,2025-05-13,2025-05-14,0.43,0.00,0.00,0.00,0.01
Marshall,Yukon River,2025-04-10,37,2025-05-16,2025-05-15,0.41,0.00,0.00,0.00,0.01
Pilot Station,Yukon River,2025-04-10,36,2025-05-15,2025-05-15,0.37,0.00,0.00,0.00,0.02
Russian Mission,Yukon River,2025-04-10,34,2025-05-13,2025-05-15,0.42,0.00,0.00,0.00,0.02
Anvik,Yukon River,2025-04-10,34,2025-05-13,2025-05-16,0.43,0.00,0.00,0.00,0.02
Mountain Village,Yukon River,2025-04-10,35,2025-05-14,2025-05-17,0.38,0.00,0.00,0.00,0.01
Emmonak,Yukon River,2025-04-10,42,2025-05-21,2025-05-21,0.36,0.00,0.00,0.00,0.00
Alakanuk,Yukon River,2025-04-10,43,2025-05-22,2025-05-22,0.37,0.00,0.00,0.00,0.00
