location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-05-03,11,2025-05-13,2025-05-17,0.44,0.03,0.16,0.44,0.31
Umiat,Colville River,2025-05-03,19,2025-05-21,2025-05-24,0.45,0.00,0.01,0.15,0.43
Colville Village,Colville River,2025-05-03,29,2025-05-31,2025-06-01,0.37,0.00,0.00,0.01,0.09
Kobuk,Kobuk River,2025-05-03,10,2025-05-12,2025-05-16,0.49,0.02,0.18,0.51,0.26
Shungnak,Kobuk River,2025-05-03,10,2025-05-12,2025-05-17,0.54,0.02,0.18,0.56,0.23
Ambler,Kobuk River,2025-05-03,13,2025-05-15,2025-05-18,0.47,0.01,0.12,0.43,0.36
Allakaket,Koyukuk River,2025-05-03,6,2025-05-08,2025-05-10,0.58,0.11,0.41,0.42,0.06
Bettles,Koyukuk River,2025-05-03,5,2025-05-07,2025-05-10,0.57,0.11,0.42,0.41,0.06
Hughes,Koyukuk River,2025-05-03,7,2025-05-09,2025-05-11,0.56,0.07,0.36,0.48,0.09
Nikolai,Kuskokwim River,2025-05-03,-12,2025-04-20,2025-04-23,2.36,0.85,0.15,0.00,0.00
Sleetmute,Kuskokwim River,2025-05-03,-1,2025-05-01,2025-05-04,1.16,0.44,0.51,0.05,0.00
Red Devil,Kuskokwim River,2025-05-03,-1,2025-05-01,2025-05-05,1.19,0.47,0.50,0.03,0.00
Stony River,Kuskokwim River,2025-05-03,-1,2025-05-01,2025-05-05,1.16,0.45,0.51,0.04,0.00
Crooked Creek,Kuskokwim River,2025-05-03,2,2025-05-04,2025-05-06,0.91,0.28,0.60,0.12,0.00
McGrath,Kuskokwim River,2025-05-03,0,2025-05-02,2025-05-06,1.11,0.41,0.54,0.05,0.00
Aniak,Kuskokwim River,2025-05-03,3,2025-05-05,2025-05-07,0.81,0.23,0.58,0.18,0.00
Kalskag,Kuskokwim River,2025-05-03,3,2025-05-05,2025-05-07,0.85,0.22,0.67,0.12,0.00
Akiak,Kuskokwim River,2025-05-03,5,2025-05-07,2025-05-09,0.74,0.12,0.57,0.31,0.01
Tuluksak,Kuskokwim River,2025-05-03,5,2025-05-07,2025-05-09,0.81,0.10,0.65,0.25,0.00
Bethel,Kuskokwim River,2025-05-03,6,2025-05-08,2025-05-10,0.62,0.10,0.44,0.42,0.04
Napakiak,Kuskokwim River,2025-05-03,7,2025-05-09,2025-05-10,0.54,0.07,0.35,0.47,0.10
Sunshine,Susitna River,2025-05-03,-2,2025-04-30,2025-05-02,1.30,0.53,0.44,0.02,0.00
Fairbanks D-S of Chena R,Tanana River,2025-05-03,-5,2025-04-27,2025-04-30,2.19,0.86,0.14,0.00,0.00
Nenana,Tanana River,2025-05-03,-5,2025-04-27,2025-05-01,1.87,0.79,0.21,0.00,0.00
Manley Hot Springs,Tanana River,2025-05-03,1,2025-05-03,2025-05-04,0.98,0.33,0.57,0.11,0.00
Dawson,Yukon River,2025-05-03,-1,2025-05-01,2025-05-05,1.33,0.59,0.40,0.01,0.00
Eagle,Yukon River,2025-05-03,1,2025-05-03,2025-05-05,1.07,0.38,0.57,0.05,0.00
Circle,Yukon River,2025-05-03,6,2025-05-08,2025-05-09,0.62,0.08,0.43,0.45,0.04
Tanana,Yukon River,2025-05-03,5,2025-05-07,2025-05-10,0.68,0.11,0.51,0.36,0.01
Beaver,Yukon River,2025-05-03,5,2025-05-07,2025-05-11,0.75,0.12,0.58,0.30,0.00
Fort Yukon,Yukon River,2025-05-03,7,2025-05-09,2025-05-11,0.63,0.07,0.40,0.49,0.05
Ruby,Yukon River,2025-05-03,7,2025-05-09,2025-05-11,0.67,0.05,0.40,0.51,0.03
Galena,Yukon River,2025-05-03,7,2025-05-09,2025-05-12,0.69,0.04,0.38,0.55,0.03
Rampart,Yukon River,2025-05-03,7,2025-05-09,2025-05-12,0.66,0.04,0.37,0.55,0.04
Stevens Village,Yukon River,2025-05-03,6,2025-05-08,2025-05-12,0.73,0.06,0.50,0.43,0.01
Nulato,Yukon River,2025-05-03,8,2025-05-10,2025-05-13,0.62,0.05,0.34,0.54,0.08
Holy Cross,Yukon River,2025-05-03,9,2025-05-11,2025-05-14,0.71,0.01,0.25,0.67,0.06
Kaltag,Yukon River,2025-05-03,10,2025-05-12,2025-05-14,0.62,0.02,0.20,0.62,0.16
Marshall,Yukon River,2025-05-03,11,2025-05-13,2025-05-15,0.75,0.00,0.08,0.75,0.17
Pilot Station,Yukon River,2025-05-03,9,2025-05-11,2025-05-15,0.64,0.01,0.21,0.65,0.12
Russian Mission,Yukon River,2025-05-03,9,2025-05-11,2025-05-15,0.62,0.03,0.27,0.59,0.11
Anvik,Yukon River,2025-05-03,8,2025-05-10,2025-05-16,0.62,0.03,0.28,0.60,0.09
Mountain Village,Yukon River,2025-05-03,11,2025-05-13,2025-05-17,0.57,0.01,0.15,0.57,0.25
Emmonak,Yukon River,2025-05-03,16,2025-05-18,2025-05-21,0.56,0.00,0.01,0.24,0.58
Alakanuk,Yukon River,2025-05-03,18,2025-05-20,2025-05-22,0.56,0.00,0.01,0.18,0.56
