location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-05-06,8,2025-05-13,2025-05-17,0.49,0.07,0.29,0.46,0.16
Umiat,Colville River,2025-05-06,16,2025-05-21,2025-05-24,0.45,0.00,0.04,0.28,0.46
Colville Village,Colville River,2025-05-06,26,2025-05-31,2025-06-01,0.38,0.00,0.00,0.03,0.17
Kobuk,Kobuk River,2025-05-06,7,2025-05-12,2025-05-16,0.56,0.07,0.35,0.48,0.09
Shungnak,Kobuk River,2025-05-06,7,2025-05-12,2025-05-17,0.59,0.06,0.36,0.51,0.07
Ambler,Kobuk River,2025-05-06,9,2025-05-14,2025-05-18,0.48,0.04,0.24,0.49,0.21
Allakaket,Koyukuk River,2025-05-06,2,2025-05-07,2025-05-10,0.76,0.22,0.53,0.24,0.01
Bettles,Koyukuk River,2025-05-06,2,2025-05-07,2025-05-10,0.78,0.23,0.54,0.22,0.01
Hughes,Koyukuk River,2025-05-06,3,2025-05-08,2025-05-11,0.68,0.18,0.53,0.28,0.01
Nikolai,Kuskokwim River,2025-05-06,-15,2025-04-20,2025-04-23,2.69,0.89,0.11,0.00,0.00
Sleetmute,Kuskokwim River,2025-05-06,-4,2025-05-01,2025-05-04,1.51,0.65,0.34,0.01,0.00
Red Devil,Kuskokwim River,2025-05-06,-4,2025-05-01,2025-05-05,1.70,0.74,0.26,0.00,0.00
Stony River,Kuskokwim River,2025-05-06,-4,2025-05-01,2025-05-05,1.58,0.69,0.31,0.00,0.00
Crooked Creek,Kuskokwim River,2025-05-06,-2,2025-05-03,2025-05-06,1.32,0.56,0.43,0.01,0.00
McGrath,Kuskokwim River,2025-05-06,-3,2025-05-02,2025-05-06,1.59,0.71,0.29,0.00,0.00
Aniak,Kuskokwim River,2025-05-06,-1,2025-05-04,2025-05-07,1.21,0.48,0.49,0.03,0.00
Kalskag,Kuskokwim River,2025-05-06,0,2025-05-05,2025-05-07,1.26,0.54,0.45,0.01,0.00
Akiak,Kuskokwim River,2025-05-06,1,2025-05-06,2025-05-09,1.06,0.38,0.58,0.05,0.00
Tuluksak,Kuskokwim River,2025-05-06,1,2025-05-06,2025-05-09,1.11,0.42,0.56,0.02,0.00
Bethel,Kuskokwim River,2025-05-06,2,2025-05-07,2025-05-10,0.83,0.25,0.56,0.19,0.00
Napakiak,Kuskokwim River,2025-05-06,3,2025-05-08,2025-05-10,0.66,0.18,0.50,0.30,0.02
Sunshine,Susitna River,2025-05-06,-6,2025-04-29,2025-05-02,1.57,0.67,0.32,0.01,0.00
Fairbanks D-S of Chena R,Tanana River,2025-05-06,-8,2025-04-27,2025-04-30,3.10,0.93,0.07,0.00,0.00
Nenana,Tanana River,2025-05-06,-8,2025-04-27,2025-05-01,2.83,0.91,0.09,0.00,0.00
Manley Hot Springs,Tanana River,2025-05-06,-3,2025-05-02,2025-05-04,1.31,0.54,0.44,0.02,0.00
Dawson,Yukon River,2025-05-06,-4,2025-05-01,2025-05-05,1.88,0.80,0.20,0.00,0.00
Eagle,Yukon River,2025-05-06,-2,2025-05-03,2025-05-05,1.49,0.67,0.33,0.00,0.00
Circle,Yukon River,2025-05-06,3,2025-05-08,2025-05-09,0.77,0.21,0.58,0.21,0.00
Tanana,Yukon River,2025-05-06,2,2025-05-07,2025-05-10,0.91,0.28,0.59,0.12,0.00
Beaver,Yukon River,2025-05-06,2,2025-05-07,2025-05-11,0.99,0.32,0.61,0.07,0.00
Fort Yukon,Yukon River,2025-05-06,3,2025-05-08,2025-05-11,0.73,0.19,0.57,0.23,0.00
Ruby,Yukon River,2025-05-06,3,2025-05-08,2025-05-11,0.76,0.18,0.62,0.19,0.00
Galena,Yukon River,2025-05-06,4,2025-05-09,2025-05-12,0.82,0.16,0.66,0.18,0.00
Rampart,Yukon River,2025-05-06,4,2025-05-09,2025-05-12,0.74,0.15,0.59,0.26,0.00
Stevens Village,Yukon River,2025-05-06,3,2025-05-08,2025-05-12,0.86,0.22,0.66,0.12,0.00
Nulato,Yukon River,2025-05-06,4,2025-05-09,2025-05-13,0.69,0.14,0.55,0.30,0.01
Holy Cross,Yukon River,2025-05-06,5,2025-05-10,2025-05-14,0.76,0.08,0.59,0.32,0.00
Kaltag,Yukon River,2025-05-06,6,2025-05-11,2025-05-14,0.68,0.07,0.47,0.45,0.02
Marshall,Yukon River,2025-05-06,7,2025-05-12,2025-05-15,0.80,0.02,0.45,0.52,0.01
Pilot Station,Yukon River,2025-05-06,5,2025-05-10,2025-05-15,0.68,0.08,0.52,0.39,0.01
Russian Mission,Yukon River,2025-05-06,5,2025-05-10,2025-05-15,0.68,0.10,0.51,0.37,0.01
Anvik,Yukon River,2025-05-06,5,2025-05-10,2025-05-16,0.70,0.10,0.53,0.35,0.01
Mountain Village,Yukon River,2025-05-06,7,2025-05-12,2025-05-17,0.60,0.05,0.35,0.52,0.07
Emmonak,Yukon River,2025-05-06,13,2025-05-18,2025-05-21,0.62,0.00,0.06,0.53,0.39
Alakanuk,Yukon River,2025-05-06,14,2025-05-19,2025-05-22,0.60,0.00,0.04,0.44,0.47
