location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-04-18,29,2025-05-16,2025-05-17,0.36,0.00,0.00,0.02,0.11
Umiat,Colville River,2025-04-18,34,2025-05-21,2025-05-24,0.44,0.00,0.00,0.00,0.01
Colville Village,Colville River,2025-04-18,45,2025-06-01,2025-06-01,0.37,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2025-04-18,26,2025-05-13,2025-05-16,0.42,0.00,0.00,0.02,0.15
Shungnak,Kobuk River,2025-04-18,26,2025-05-13,2025-05-17,0.44,0.00,0.00,0.02,0.18
Ambler,Kobuk River,2025-04-18,29,2025-05-16,2025-05-18,0.42,0.00,0.00,0.01,0.08
Allakaket,Koyukuk River,2025-04-18,21,2025-05-08,2025-05-10,0.43,0.00,0.01,0.09,0.35
Bettles,Koyukuk River,2025-04-18,21,2025-05-08,2025-05-10,0.43,0.00,0.01,0.11,0.36
Hughes,Koyukuk River,2025-04-18,22,2025-05-09,2025-05-11,0.42,0.00,0.01,0.08,0.31
Nikolai,Kuskokwim River,2025-04-18,3,2025-04-20,2025-04-23,0.76,0.21,0.55,0.23,0.01
Sleetmute,Kuskokwim River,2025-04-18,15,2025-05-02,2025-05-04,0.50,0.00,0.06,0.36,0.45
Red Devil,Kuskokwim River,2025-04-18,15,2025-05-02,2025-05-05,0.47,0.00,0.04,0.31,0.47
Stony River,Kuskokwim River,2025-04-18,15,2025-05-02,2025-05-05,0.48,0.00,0.04,0.32,0.47
Crooked Creek,Kuskokwim River,2025-04-18,18,2025-05-05,2025-05-06,0.47,0.00,0.02,0.18,0.47
McGrath,Kuskokwim River,2025-04-18,16,2025-05-03,2025-05-06,0.48,0.00,0.03,0.27,0.49
Aniak,Kuskokwim River,2025-04-18,19,2025-05-06,2025-05-07,0.45,0.00,0.01,0.16,0.43
Kalskag,Kuskokwim River,2025-04-18,19,2025-05-06,2025-05-07,0.52,0.00,0.00,0.12,0.49
Akiak,Kuskokwim River,2025-04-18,21,2025-05-08,2025-05-09,0.48,0.00,0.00,0.08,0.38
Tuluksak,Kuskokwim River,2025-04-18,22,2025-05-09,2025-05-09,0.50,0.00,0.00,0.05,0.35
Bethel,Kuskokwim River,2025-04-18,22,2025-05-09,2025-05-10,0.42,0.00,0.00,0.07,0.31
Napakiak,Kuskokwim River,2025-04-18,23,2025-05-10,2025-05-10,0.44,0.00,0.00,0.06,0.29
Sunshine,Susitna River,2025-04-18,13,2025-04-30,2025-05-02,0.62,0.00,0.06,0.53,0.38
Fairbanks D-S of Chena R,Tanana River,2025-04-18,10,2025-04-27,2025-04-30,0.63,0.01,0.14,0.66,0.19
Nenana,Tanana River,2025-04-18,11,2025-04-28,2025-05-01,0.58,0.01,0.15,0.58,0.25
Manley Hot Springs,Tanana River,2025-04-18,15,2025-05-02,2025-05-04,0.50,0.00,0.04,0.34,0.48
Dawson,Yukon River,2025-04-18,14,2025-05-01,2025-05-05,0.61,0.00,0.02,0.39,0.54
Eagle,Yukon River,2025-04-18,16,2025-05-03,2025-05-05,0.56,0.00,0.02,0.29,0.55
Circle,Yukon River,2025-04-18,21,2025-05-08,2025-05-09,0.49,0.00,0.00,0.06,0.37
Tanana,Yukon River,2025-04-18,20,2025-05-07,2025-05-10,0.51,0.00,0.00,0.09,0.45
Beaver,Yukon River,2025-04-18,21,2025-05-08,2025-05-11,0.60,0.00,0.00,0.04,0.45
Fort Yukon,Yukon River,2025-04-18,22,2025-05-09,2025-05-11,0.49,0.00,0.00,0.05,0.34
Ruby,Yukon River,2025-04-18,23,2025-05-10,2025-05-11,0.48,0.00,0.00,0.04,0.30
Galena,Yukon River,2025-04-18,23,2025-05-10,2025-05-12,0.50,0.00,0.00,0.03,0.27
Rampart,Yukon River,2025-04-18,23,2025-05-10,2025-05-12,0.59,0.00,0.00,0.01,0.28
Stevens Village,Yukon River,2025-04-18,21,2025-05-08,2025-05-12,0.59,0.00,0.00,0.03,0.40
Nulato,Yukon River,2025-04-18,22,2025-05-09,2025-05-13,0.46,0.00,0.00,0.05,0.32
Holy Cross,Yukon River,2025-04-18,25,2025-05-12,2025-05-14,0.50,0.00,0.00,0.02,0.20
Kaltag,Yukon River,2025-04-18,26,2025-05-13,2025-05-14,0.47,0.00,0.00,0.01,0.16
Marshall,Yukon River,2025-04-18,29,2025-05-16,2025-05-15,0.49,0.00,0.00,0.00,0.06
Pilot Station,Yukon River,2025-04-18,27,2025-05-14,2025-05-15,0.43,0.00,0.00,0.01,0.14
Russian Mission,Yukon River,2025-04-18,24,2025-05-11,2025-05-15,0.47,0.00,0.00,0.02,0.21
Anvik,Yukon River,2025-04-18,23,2025-05-10,2025-05-16,0.47,0.00,0.00,0.03,0.26
Mountain Village,Yukon River,2025-04-18,27,2025-05-14,2025-05-17,0.43,0.00,0.00,0.01,0.13
Emmonak,Yukon River,2025-04-18,34,2025-05-21,2025-05-21,0.40,0.00,0.00,0.00,0.02
Alakanuk,Yukon River,2025-04-18,35,2025-05-22,2025-05-22,0.42,0.00,0.00,0.00,0.01
