location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-04-13,35,2025-05-17,2025-05-17,0.35,0.00,0.00,0.00,0.03
Umiat,Colville River,2025-04-13,40,2025-05-22,2025-05-24,0.43,0.00,0.00,0.00,0.00
Colville Village,Colville River,2025-04-13,51,2025-06-02,2025-06-01,0.38,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2025-04-13,33,2025-05-15,2025-05-16,0.41,0.00,0.00,0.00,0.03
Shungnak,Kobuk River,2025-04-13,33,2025-05-15,2025-05-17,0.41,0.00,0.00,0.00,0.03
Ambler,Kobuk River,2025-04-13,35,2025-05-17,2025-05-18,0.42,0.00,0.00,0.00,0.01
Allakaket,Koyukuk River,2025-04-13,27,2025-05-09,2025-05-10,0.43,0.00,0.00,0.01,0.13
Bettles,Koyukuk River,2025-04-13,27,2025-05-09,2025-05-10,0.42,0.00,0.00,0.02,0.15
Hughes,Koyukuk River,2025-04-13,28,2025-05-10,2025-05-11,0.41,0.00,0.00,0.01,0.11
Nikolai,Kuskokwim River,2025-04-13,10,2025-04-22,2025-04-23,0.52,0.02,0.18,0.54,0.24
Sleetmute,Kuskokwim River,2025-04-13,22,2025-05-04,2025-05-04,0.45,0.00,0.00,0.08,0.34
Red Devil,Kuskokwim River,2025-04-13,22,2025-05-04,2025-05-05,0.43,0.00,0.00,0.06,0.30
Stony River,Kuskokwim River,2025-04-13,22,2025-05-04,2025-05-05,0.45,0.00,0.00,0.07,0.34
Crooked Creek,Kuskokwim River,2025-04-13,24,2025-05-06,2025-05-06,0.42,0.00,0.00,0.04,0.22
McGrath,Kuskokwim River,2025-04-13,23,2025-05-05,2025-05-06,0.44,0.00,0.00,0.04,0.27
Aniak,Kuskokwim River,2025-04-13,25,2025-05-07,2025-05-07,0.41,0.00,0.00,0.03,0.20
Kalskag,Kuskokwim River,2025-04-13,26,2025-05-08,2025-05-07,0.48,0.00,0.00,0.01,0.17
Akiak,Kuskokwim River,2025-04-13,27,2025-05-09,2025-05-09,0.44,0.00,0.00,0.01,0.12
Tuluksak,Kuskokwim River,2025-04-13,28,2025-05-10,2025-05-09,0.44,0.00,0.00,0.01,0.09
Bethel,Kuskokwim River,2025-04-13,29,2025-05-11,2025-05-10,0.38,0.00,0.00,0.01,0.09
Napakiak,Kuskokwim River,2025-04-13,30,2025-05-12,2025-05-10,0.42,0.00,0.00,0.00,0.06
Sunshine,Susitna River,2025-04-13,19,2025-05-01,2025-05-02,0.55,0.00,0.00,0.12,0.52
Fairbanks D-S of Chena R,Tanana River,2025-04-13,17,2025-04-29,2025-04-30,0.55,0.00,0.01,0.23,0.55
Nenana,Tanana River,2025-04-13,18,2025-04-30,2025-05-01,0.49,0.00,0.01,0.18,0.49
Manley Hot Springs,Tanana River,2025-04-13,22,2025-05-04,2025-05-04,0.46,0.00,0.00,0.07,0.34
Dawson,Yukon River,2025-04-13,21,2025-05-03,2025-05-05,0.59,0.00,0.00,0.04,0.44
Eagle,Yukon River,2025-04-13,22,2025-05-04,2025-05-05,0.51,0.00,0.00,0.04,0.33
Circle,Yukon River,2025-04-13,27,2025-05-09,2025-05-09,0.47,0.00,0.00,0.01,0.10
Tanana,Yukon River,2025-04-13,26,2025-05-08,2025-05-10,0.47,0.00,0.00,0.01,0.12
Beaver,Yukon River,2025-04-13,26,2025-05-08,2025-05-11,0.57,0.00,0.00,0.00,0.09
Fort Yukon,Yukon River,2025-04-13,28,2025-05-10,2025-05-11,0.48,0.00,0.00,0.00,0.08
Ruby,Yukon River,2025-04-13,29,2025-05-11,2025-05-11,0.46,0.00,0.00,0.00,0.07
Galena,Yukon River,2025-04-13,30,2025-05-12,2025-05-12,0.48,0.00,0.00,0.00,0.04
Rampart,Yukon River,2025-04-13,28,2025-05-10,2025-05-12,0.56,0.00,0.00,0.00,0.03
Stevens Village,Yukon River,2025-04-13,27,2025-05-09,2025-05-12,0.57,0.00,0.00,0.00,0.06
Nulato,Yukon River,2025-04-13,29,2025-05-11,2025-05-13,0.46,0.00,0.00,0.00,0.06
Holy Cross,Yukon River,2025-04-13,31,2025-05-13,2025-05-14,0.45,0.00,0.00,0.00,0.03
Kaltag,Yukon River,2025-04-13,32,2025-05-14,2025-05-14,0.44,0.00,0.00,0.00,0.03
Marshall,Yukon River,2025-04-13,34,2025-05-16,2025-05-15,0.43,0.00,0.00,0.00,0.01
Pilot Station,Yukon River,2025-04-13,33,2025-05-15,2025-05-15,0.38,0.00,0.00,0.00,0.04
Russian Mission,Yukon River,2025-04-13,31,2025-05-13,2025-05-15,0.43,0.00,0.00,0.00,0.03
Anvik,Yukon River,2025-04-13,31,2025-05-13,2025-05-16,0.44,0.00,0.00,0.00,0.04
Mountain Village,Yukon River,2025-04-13,33,2025-05-15,2025-05-17,0.40,0.00,0.00,0.00,0.03
Emmonak,Yukon River,2025-04-13,40,2025-05-22,2025-05-21,0.37,0.00,0.00,0.00,0.00
Alakanuk,Yukon River,2025-04-13,41,2025-05-23,2025-05-22,0.40,0.00,0.00,0.00,0.00
