location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-04-27,19,2025-05-15,2025-05-17,0.39,0.00,0.03,0.18,0.38
Umiat,Colville River,2025-04-27,25,2025-05-21,2025-05-24,0.44,0.00,0.00,0.02,0.19
Colville Village,Colville River,2025-04-27,36,2025-06-01,2025-06-01,0.37,0.00,0.00,0.00,0.02
Kobuk,Kobuk River,2025-04-27,17,2025-05-13,2025-05-16,0.46,0.00,0.03,0.24,0.46
Shungnak,Kobuk River,2025-04-27,17,2025-05-13,2025-05-17,0.48,0.00,0.02,0.23,0.49
Ambler,Kobuk River,2025-04-27,20,2025-05-16,2025-05-18,0.44,0.00,0.01,0.14,0.41
Allakaket,Koyukuk River,2025-04-27,12,2025-05-08,2025-05-10,0.47,0.02,0.13,0.45,0.34
Bettles,Koyukuk River,2025-04-27,12,2025-05-08,2025-05-10,0.47,0.02,0.15,0.46,0.32
Hughes,Koyukuk River,2025-04-27,13,2025-05-09,2025-05-11,0.46,0.01,0.09,0.40,0.39
Nikolai,Kuskokwim River,2025-04-27,-6,2025-04-20,2025-04-23,0.99,0.68,0.32,0.01,0.00
Sleetmute,Kuskokwim River,2025-04-27,5,2025-05-01,2025-05-04,0.63,0.11,0.47,0.39,0.03
Red Devil,Kuskokwim River,2025-04-27,6,2025-05-02,2025-05-05,0.64,0.08,0.45,0.44,0.03
Stony River,Kuskokwim River,2025-04-27,6,2025-05-02,2025-05-05,0.62,0.10,0.44,0.42,0.04
Crooked Creek,Kuskokwim River,2025-04-27,9,2025-05-05,2025-05-06,0.60,0.03,0.27,0.57,0.12
McGrath,Kuskokwim River,2025-04-27,7,2025-05-03,2025-05-06,0.61,0.07,0.39,0.49,0.06
Aniak,Kuskokwim River,2025-04-27,10,2025-05-06,2025-05-07,0.56,0.03,0.21,0.56,0.19
Kalskag,Kuskokwim River,2025-04-27,10,2025-05-06,2025-05-07,0.67,0.01,0.17,0.68,0.14
Akiak,Kuskokwim River,2025-04-27,12,2025-05-08,2025-05-09,0.58,0.01,0.11,0.55,0.32
Tuluksak,Kuskokwim River,2025-04-27,12,2025-05-08,2025-05-09,0.65,0.00,0.06,0.60,0.34
Bethel,Kuskokwim River,2025-04-27,13,2025-05-09,2025-05-10,0.49,0.01,0.10,0.44,0.37
Napakiak,Kuskokwim River,2025-04-27,14,2025-05-10,2025-05-10,0.48,0.01,0.08,0.40,0.41
Sunshine,Susitna River,2025-04-27,3,2025-04-29,2025-05-02,0.76,0.18,0.58,0.23,0.00
Fairbanks D-S of Chena R,Tanana River,2025-04-27,1,2025-04-27,2025-04-30,0.95,0.35,0.60,0.05,0.00
Nenana,Tanana River,2025-04-27,2,2025-04-28,2025-05-01,0.90,0.30,0.60,0.10,0.00
Manley Hot Springs,Tanana River,2025-04-27,7,2025-05-03,2025-05-04,0.59,0.07,0.38,0.48,0.07
Dawson,Yukon River,2025-04-27,5,2025-05-01,2025-05-05,0.72,0.08,0.55,0.36,0.00
Eagle,Yukon River,2025-04-27,7,2025-05-03,2025-05-05,0.64,0.04,0.37,0.54,0.04
Circle,Yukon River,2025-04-27,12,2025-05-08,2025-05-09,0.53,0.01,0.09,0.49,0.37
Tanana,Yukon River,2025-04-27,11,2025-05-07,2025-05-10,0.56,0.01,0.11,0.56,0.30
Beaver,Yukon River,2025-04-27,11,2025-05-07,2025-05-11,0.63,0.00,0.10,0.63,0.26
Fort Yukon,Yukon River,2025-04-27,13,2025-05-09,2025-05-11,0.53,0.00,0.07,0.45,0.41
Ruby,Yukon River,2025-04-27,13,2025-05-09,2025-05-11,0.54,0.00,0.06,0.44,0.44
Galena,Yukon River,2025-04-27,14,2025-05-10,2025-05-12,0.60,0.00,0.04,0.44,0.47
Rampart,Yukon River,2025-04-27,14,2025-05-10,2025-05-12,0.62,0.00,0.03,0.45,0.47
Stevens Village,Yukon River,2025-04-27,12,2025-05-08,2025-05-12,0.65,0.00,0.06,0.59,0.34
Nulato,Yukon River,2025-04-27,14,2025-05-10,2025-05-13,0.51,0.00,0.06,0.39,0.45
Holy Cross,Yukon River,2025-04-27,15,2025-05-11,2025-05-14,0.59,0.00,0.02,0.32,0.57
Kaltag,Yukon River,2025-04-27,16,2025-05-12,2025-05-14,0.51,0.00,0.02,0.25,0.53
Marshall,Yukon River,2025-04-27,19,2025-05-15,2025-05-15,0.64,0.00,0.00,0.09,0.60
Pilot Station,Yukon River,2025-04-27,17,2025-05-13,2025-05-15,0.54,0.00,0.01,0.21,0.55
Russian Mission,Yukon River,2025-04-27,15,2025-05-11,2025-05-15,0.55,0.00,0.03,0.34,0.52
Anvik,Yukon River,2025-04-27,15,2025-05-11,2025-05-16,0.54,0.00,0.03,0.35,0.51
Mountain Village,Yukon River,2025-04-27,18,2025-05-14,2025-05-17,0.51,0.00,0.01,0.18,0.51
Emmonak,Yukon River,2025-04-27,24,2025-05-20,2025-05-21,0.48,0.00,0.00,0.02,0.23
Alakanuk,Yukon River,2025-04-27,25,2025-05-21,2025-05-22,0.48,0.00,0.00,0.01,0.17
