location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-05-27,-12,2025-05-14,2025-05-17,1.61,0.66,0.33,0.01,0.00
Umiat,Colville River,2025-05-27,-4,2025-05-22,2025-05-24,1.11,0.41,0.49,0.09,0.00
Colville Village,Colville River,2025-05-27,5,2025-05-31,2025-06-01,0.48,0.11,0.35,0.39,0.13
Kobuk,Kobuk River,2025-05-27,-13,2025-05-13,2025-05-16,2.43,0.86,0.14,0.00,0.00
Shungnak,Kobuk River,2025-05-27,-12,2025-05-14,2025-05-17,2.12,0.81,0.19,0.00,0.00
Ambler,Kobuk River,2025-05-27,-11,2025-05-15,2025-05-18,1.59,0.66,0.33,0.01,0.00
Allakaket,Koyukuk River,2025-05-27,-17,2025-05-09,2025-05-10,2.95,0.90,0.10,0.00,0.00
Bettles,Koyukuk River,2025-05-27,-18,2025-05-08,2025-05-10,2.98,0.91,0.09,0.00,0.00
Hughes,Koyukuk River,2025-05-27,-16,2025-05-10,2025-05-11,3.76,0.94,0.06,0.00,0.00
Aniak,Kuskokwim River,2025-05-27,-21,2025-05-05,2025-05-07,4.08,0.95,0.05,0.00,0.00
Tuluksak,Kuskokwim River,2025-05-27,-20,2025-05-06,2025-05-09,3.78,0.94,0.06,0.00,0.00
Napakiak,Kuskokwim River,2025-05-27,-16,2025-05-10,2025-05-10,2.18,0.82,0.18,0.00,0.00
Sunshine,Susitna River,2025-05-27,-25,2025-05-01,2025-05-02,4.37,0.96,0.04,0.00,0.00
Fairbanks D-S of Chena R,Tanana River,2025-05-27,-27,2025-04-29,2025-04-30,18.02,1.00,0.00,0.00,0.00
Manley Hot Springs,Tanana River,2025-05-27,-22,2025-05-04,2025-05-04,5.89,0.98,0.02,0.00,0.00
Tanana,Yukon River,2025-05-27,-17,2025-05-09,2025-05-10,4.21,0.96,0.04,0.00,0.00
Beaver,Yukon River,2025-05-27,-18,2025-05-08,2025-05-11,11.17,0.99,0.01,0.00,0.00
Ruby,Yukon River,2025-05-27,-16,2025-05-10,2025-05-11,6.51,0.98,0.02,0.00,0.00
Galena,Yukon River,2025-05-27,-16,2025-05-10,2025-05-12,8.94,0.99,0.01,0.00,0.00
Rampart,Yukon River,2025-05-27,-16,2025-05-10,2025-05-12,4.51,0.96,0.04,0.00,0.00
Stevens Village,Yukon River,2025-05-27,-16,2025-05-10,2025-05-12,8.64,0.99,0.01,0.00,0.00
Nulato,Yukon River,2025-05-27,-15,2025-05-11,2025-05-13,3.29,0.93,0.07,0.00,0.00
Holy Cross,Yukon River,2025-05-27,-15,2025-05-11,2025-05-14,8.70,0.99,0.01,0.00,0.00
Kaltag,Yukon River,2025-05-27,-15,2025-05-11,2025-05-14,6.64,0.98,0.02,0.00,0.00
Marshall,Yukon River,2025-05-27,-14,2025-05-12,2025-05-15,3.39,0.93,0.07,0.00,0.00
Pilot Station,Yukon River,2025-05-27,-14,2025-05-12,2025-05-15,3.21,0.92,0.08,0.00,0.00
Russian Mission,Yukon River,2025-05-27,-14,2025-05-12,2025-05-15,2.79,0.90,0.10,0.00,0.00
Anvik,Yukon River,2025-05-27,-15,2025-05-11,2025-05-16,5.23,0.97,0.03,0.00,0.00
Mountain Village,Yukon River,2025-05-27,-14,2025-05-12,2025-05-17,4.26,0.96,0.04,0.00,0.00
Emmonak,Yukon River,2025-05-27,-9,2025-05-17,2025-05-21,2.56,0.89,0.11,0.00,0.00
Alakanuk,Yukon River,2025-05-27,-7,2025-05-19,2025-05-22,2.98,0.93,0.07,0.00,0.00
