location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-05-01,14,2025-05-14,2025-05-17,0.43,0.01,0.10,0.37,0.38
Umiat,Colville River,2025-05-01,21,2025-05-21,2025-05-24,0.44,0.00,0.01,0.09,0.36
Colville Village,Colville River,2025-05-01,31,2025-05-31,2025-06-01,0.37,0.00,0.00,0.01,0.05
Kobuk,Kobuk River,2025-05-01,13,2025-05-13,2025-05-16,0.49,0.01,0.10,0.44,0.37
Shungnak,Kobuk River,2025-05-01,12,2025-05-12,2025-05-17,0.52,0.01,0.09,0.49,0.37
Ambler,Kobuk River,2025-05-01,15,2025-05-15,2025-05-18,0.46,0.01,0.07,0.35,0.43
Allakaket,Koyukuk River,2025-05-01,8,2025-05-08,2025-05-10,0.53,0.06,0.31,0.49,0.13
Bettles,Koyukuk River,2025-05-01,7,2025-05-07,2025-05-10,0.52,0.07,0.32,0.48,0.12
Hughes,Koyukuk River,2025-05-01,9,2025-05-09,2025-05-11,0.51,0.04,0.24,0.52,0.19
Nikolai,Kuskokwim River,2025-05-01,-10,2025-04-20,2025-04-23,2.05,0.80,0.19,0.00,0.00
Sleetmute,Kuskokwim River,2025-05-01,1,2025-05-01,2025-05-04,0.96,0.31,0.57,0.11,0.00
Red Devil,Kuskokwim River,2025-05-01,2,2025-05-02,2025-05-05,0.93,0.29,0.59,0.11,0.00
Stony River,Kuskokwim River,2025-05-01,1,2025-05-01,2025-05-05,0.94,0.30,0.58,0.12,0.00
Crooked Creek,Kuskokwim River,2025-05-01,4,2025-05-04,2025-05-06,0.70,0.15,0.55,0.29,0.01
McGrath,Kuskokwim River,2025-05-01,2,2025-05-02,2025-05-06,0.85,0.24,0.60,0.16,0.00
Aniak,Kuskokwim River,2025-05-01,5,2025-05-05,2025-05-07,0.67,0.12,0.50,0.36,0.02
Kalskag,Kuskokwim River,2025-05-01,5,2025-05-05,2025-05-07,0.75,0.08,0.58,0.34,0.00
Akiak,Kuskokwim River,2025-05-01,7,2025-05-07,2025-05-09,0.65,0.05,0.39,0.52,0.04
Tuluksak,Kuskokwim River,2025-05-01,7,2025-05-07,2025-05-09,0.74,0.03,0.41,0.55,0.01
Bethel,Kuskokwim River,2025-05-01,8,2025-05-08,2025-05-10,0.55,0.05,0.30,0.52,0.12
Napakiak,Kuskokwim River,2025-05-01,9,2025-05-09,2025-05-10,0.50,0.04,0.24,0.51,0.20
Sunshine,Susitna River,2025-05-01,0,2025-04-30,2025-05-02,1.10,0.41,0.53,0.06,0.00
Fairbanks D-S of Chena R,Tanana River,2025-05-01,-3,2025-04-27,2025-04-30,1.58,0.71,0.28,0.00,0.00
Nenana,Tanana River,2025-05-01,-3,2025-04-27,2025-05-01,1.46,0.65,0.35,0.00,0.00
Manley Hot Springs,Tanana River,2025-05-01,3,2025-05-03,2025-05-04,0.75,0.20,0.56,0.23,0.01
Dawson,Yukon River,2025-05-01,1,2025-05-01,2025-05-05,1.07,0.38,0.58,0.03,0.00
Eagle,Yukon River,2025-05-01,3,2025-05-03,2025-05-05,0.82,0.21,0.63,0.15,0.00
Circle,Yukon River,2025-05-01,8,2025-05-08,2025-05-09,0.58,0.04,0.29,0.56,0.11
Tanana,Yukon River,2025-05-01,7,2025-05-07,2025-05-10,0.62,0.05,0.36,0.54,0.06
Beaver,Yukon River,2025-05-01,7,2025-05-07,2025-05-11,0.70,0.04,0.41,0.52,0.02
Fort Yukon,Yukon River,2025-05-01,9,2025-05-09,2025-05-11,0.59,0.03,0.25,0.58,0.14
Ruby,Yukon River,2025-05-01,9,2025-05-09,2025-05-11,0.62,0.02,0.23,0.62,0.12
Galena,Yukon River,2025-05-01,9,2025-05-09,2025-05-12,0.64,0.01,0.20,0.66,0.12
Rampart,Yukon River,2025-05-01,9,2025-05-09,2025-05-12,0.63,0.01,0.20,0.66,0.13
Stevens Village,Yukon River,2025-05-01,8,2025-05-08,2025-05-12,0.70,0.02,0.29,0.65,0.05
Nulato,Yukon River,2025-05-01,10,2025-05-10,2025-05-13,0.57,0.02,0.19,0.58,0.20
Holy Cross,Yukon River,2025-05-01,11,2025-05-11,2025-05-14,0.67,0.00,0.11,0.67,0.22
Kaltag,Yukon River,2025-05-01,12,2025-05-12,2025-05-14,0.57,0.01,0.10,0.54,0.34
Marshall,Yukon River,2025-05-01,13,2025-05-13,2025-05-15,0.68,0.00,0.02,0.52,0.45
Pilot Station,Yukon River,2025-05-01,12,2025-05-12,2025-05-15,0.61,0.00,0.09,0.57,0.32
Russian Mission,Yukon River,2025-05-01,11,2025-05-11,2025-05-15,0.59,0.01,0.14,0.59,0.24
Anvik,Yukon River,2025-05-01,11,2025-05-11,2025-05-16,0.60,0.01,0.15,0.60,0.23
Mountain Village,Yukon River,2025-05-01,13,2025-05-13,2025-05-17,0.54,0.00,0.07,0.47,0.40
Emmonak,Yukon River,2025-05-01,19,2025-05-19,2025-05-21,0.54,0.00,0.00,0.12,0.52
Alakanuk,Yukon River,2025-05-01,20,2025-05-20,2025-05-22,0.53,0.00,0.00,0.08,0.46
