location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-04-15,33,2025-05-17,2025-05-17,0.35,0.00,0.00,0.01,0.05
Umiat,Colville River,2025-04-15,38,2025-05-22,2025-05-24,0.44,0.00,0.00,0.00,0.00
Colville Village,Colville River,2025-04-15,48,2025-06-01,2025-06-01,0.38,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2025-04-15,30,2025-05-14,2025-05-16,0.41,0.00,0.00,0.00,0.06
Shungnak,Kobuk River,2025-04-15,30,2025-05-14,2025-05-17,0.42,0.00,0.00,0.00,0.06
Ambler,Kobuk River,2025-04-15,33,2025-05-17,2025-05-18,0.42,0.00,0.00,0.00,0.02
Allakaket,Koyukuk River,2025-04-15,25,2025-05-09,2025-05-10,0.43,0.00,0.00,0.03,0.21
Bettles,Koyukuk River,2025-04-15,24,2025-05-08,2025-05-10,0.42,0.00,0.00,0.04,0.23
Hughes,Koyukuk River,2025-04-15,26,2025-05-10,2025-05-11,0.42,0.00,0.00,0.03,0.18
Nikolai,Kuskokwim River,2025-04-15,7,2025-04-21,2025-04-23,0.57,0.06,0.34,0.51,0.09
Sleetmute,Kuskokwim River,2025-04-15,19,2025-05-03,2025-05-04,0.47,0.00,0.01,0.16,0.45
Red Devil,Kuskokwim River,2025-04-15,20,2025-05-04,2025-05-05,0.46,0.00,0.01,0.12,0.42
Stony River,Kuskokwim River,2025-04-15,19,2025-05-03,2025-05-05,0.46,0.00,0.01,0.14,0.44
Crooked Creek,Kuskokwim River,2025-04-15,22,2025-05-06,2025-05-06,0.44,0.00,0.00,0.07,0.32
McGrath,Kuskokwim River,2025-04-15,21,2025-05-05,2025-05-06,0.47,0.00,0.01,0.10,0.39
Aniak,Kuskokwim River,2025-04-15,23,2025-05-07,2025-05-07,0.43,0.00,0.00,0.06,0.29
Kalskag,Kuskokwim River,2025-04-15,23,2025-05-07,2025-05-07,0.50,0.00,0.00,0.03,0.28
Akiak,Kuskokwim River,2025-04-15,25,2025-05-09,2025-05-09,0.46,0.00,0.00,0.02,0.20
Tuluksak,Kuskokwim River,2025-04-15,26,2025-05-10,2025-05-09,0.47,0.00,0.00,0.01,0.15
Bethel,Kuskokwim River,2025-04-15,27,2025-05-11,2025-05-10,0.41,0.00,0.00,0.02,0.15
Napakiak,Kuskokwim River,2025-04-15,28,2025-05-12,2025-05-10,0.44,0.00,0.00,0.01,0.11
Sunshine,Susitna River,2025-04-15,16,2025-04-30,2025-05-02,0.56,0.00,0.01,0.24,0.58
Fairbanks D-S of Chena R,Tanana River,2025-04-15,14,2025-04-28,2025-04-30,0.56,0.00,0.03,0.39,0.51
Nenana,Tanana River,2025-04-15,15,2025-04-29,2025-05-01,0.52,0.00,0.03,0.32,0.51
Manley Hot Springs,Tanana River,2025-04-15,19,2025-05-03,2025-05-04,0.47,0.00,0.01,0.14,0.45
Dawson,Yukon River,2025-04-15,18,2025-05-02,2025-05-05,0.59,0.00,0.00,0.11,0.59
Eagle,Yukon River,2025-04-15,20,2025-05-04,2025-05-05,0.53,0.00,0.00,0.10,0.47
Circle,Yukon River,2025-04-15,25,2025-05-09,2025-05-09,0.48,0.00,0.00,0.02,0.19
Tanana,Yukon River,2025-04-15,24,2025-05-08,2025-05-10,0.49,0.00,0.00,0.02,0.23
Beaver,Yukon River,2025-04-15,24,2025-05-08,2025-05-11,0.58,0.00,0.00,0.01,0.20
Fort Yukon,Yukon River,2025-04-15,26,2025-05-10,2025-05-11,0.49,0.00,0.00,0.01,0.16
Ruby,Yukon River,2025-04-15,26,2025-05-10,2025-05-11,0.46,0.00,0.00,0.01,0.13
Galena,Yukon River,2025-04-15,27,2025-05-11,2025-05-12,0.49,0.00,0.00,0.00,0.10
Rampart,Yukon River,2025-04-15,26,2025-05-10,2025-05-12,0.57,0.00,0.00,0.00,0.09
Stevens Village,Yukon River,2025-04-15,25,2025-05-09,2025-05-12,0.59,0.00,0.00,0.00,0.15
Nulato,Yukon River,2025-04-15,26,2025-05-10,2025-05-13,0.46,0.00,0.00,0.01,0.14
Holy Cross,Yukon River,2025-04-15,29,2025-05-13,2025-05-14,0.48,0.00,0.00,0.00,0.06
Kaltag,Yukon River,2025-04-15,29,2025-05-13,2025-05-14,0.45,0.00,0.00,0.00,0.06
Marshall,Yukon River,2025-04-15,32,2025-05-16,2025-05-15,0.45,0.00,0.00,0.00,0.02
Pilot Station,Yukon River,2025-04-15,31,2025-05-15,2025-05-15,0.40,0.00,0.00,0.00,0.06
Russian Mission,Yukon River,2025-04-15,29,2025-05-13,2025-05-15,0.46,0.00,0.00,0.00,0.07
Anvik,Yukon River,2025-04-15,28,2025-05-12,2025-05-16,0.46,0.00,0.00,0.01,0.09
Mountain Village,Yukon River,2025-04-15,31,2025-05-15,2025-05-17,0.42,0.00,0.00,0.00,0.05
Emmonak,Yukon River,2025-04-15,38,2025-05-22,2025-05-21,0.39,0.00,0.00,0.00,0.01
Alakanuk,Yukon River,2025-04-15,39,2025-05-23,2025-05-22,0.41,0.00,0.00,0.00,0.00
