location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-04-23,23,2025-05-15,2025-05-17,0.36,0.00,0.01,0.08,0.26
Umiat,Colville River,2025-04-23,29,2025-05-21,2025-05-24,0.44,0.00,0.00,0.00,0.07
Colville Village,Colville River,2025-04-23,40,2025-06-01,2025-06-01,0.37,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2025-04-23,21,2025-05-13,2025-05-16,0.43,0.00,0.01,0.09,0.36
Shungnak,Kobuk River,2025-04-23,21,2025-05-13,2025-05-17,0.45,0.00,0.01,0.10,0.37
Ambler,Kobuk River,2025-04-23,24,2025-05-16,2025-05-18,0.43,0.00,0.00,0.05,0.25
Allakaket,Koyukuk River,2025-04-23,16,2025-05-08,2025-05-10,0.44,0.00,0.05,0.28,0.44
Bettles,Koyukuk River,2025-04-23,16,2025-05-08,2025-05-10,0.44,0.01,0.05,0.30,0.43
Hughes,Koyukuk River,2025-04-23,17,2025-05-09,2025-05-11,0.44,0.00,0.04,0.24,0.44
Nikolai,Kuskokwim River,2025-04-23,-2,2025-04-20,2025-04-23,1.19,0.46,0.49,0.05,0.00
Sleetmute,Kuskokwim River,2025-04-23,10,2025-05-02,2025-05-04,0.53,0.03,0.22,0.53,0.20
Red Devil,Kuskokwim River,2025-04-23,10,2025-05-02,2025-05-05,0.52,0.02,0.18,0.54,0.24
Stony River,Kuskokwim River,2025-04-23,10,2025-05-02,2025-05-05,0.52,0.03,0.20,0.52,0.23
Crooked Creek,Kuskokwim River,2025-04-23,13,2025-05-05,2025-05-06,0.51,0.01,0.09,0.45,0.39
McGrath,Kuskokwim River,2025-04-23,11,2025-05-03,2025-05-06,0.53,0.02,0.15,0.53,0.28
Aniak,Kuskokwim River,2025-04-23,14,2025-05-06,2025-05-07,0.49,0.01,0.07,0.39,0.43
Kalskag,Kuskokwim River,2025-04-23,14,2025-05-06,2025-05-07,0.56,0.00,0.04,0.39,0.49
Akiak,Kuskokwim River,2025-04-23,16,2025-05-08,2025-05-09,0.50,0.00,0.03,0.28,0.50
Tuluksak,Kuskokwim River,2025-04-23,17,2025-05-09,2025-05-09,0.57,0.00,0.01,0.23,0.57
Bethel,Kuskokwim River,2025-04-23,17,2025-05-09,2025-05-10,0.45,0.00,0.03,0.24,0.45
Napakiak,Kuskokwim River,2025-04-23,18,2025-05-10,2025-05-10,0.44,0.00,0.03,0.22,0.44
Sunshine,Susitna River,2025-04-23,7,2025-04-29,2025-05-02,0.62,0.04,0.35,0.56,0.05
Fairbanks D-S of Chena R,Tanana River,2025-04-23,5,2025-04-27,2025-04-30,0.74,0.09,0.58,0.33,0.00
Nenana,Tanana River,2025-04-23,6,2025-04-28,2025-05-01,0.68,0.09,0.49,0.40,0.02
Manley Hot Springs,Tanana River,2025-04-23,10,2025-05-02,2025-05-04,0.53,0.02,0.20,0.54,0.23
Dawson,Yukon River,2025-04-23,9,2025-05-01,2025-05-05,0.65,0.01,0.20,0.67,0.11
Eagle,Yukon River,2025-04-23,11,2025-05-03,2025-05-05,0.59,0.01,0.15,0.59,0.24
Circle,Yukon River,2025-04-23,16,2025-05-08,2025-05-09,0.50,0.00,0.02,0.27,0.51
Tanana,Yukon River,2025-04-23,15,2025-05-07,2025-05-10,0.54,0.00,0.03,0.35,0.50
Beaver,Yukon River,2025-04-23,15,2025-05-07,2025-05-11,0.60,0.00,0.01,0.31,0.58
Fort Yukon,Yukon River,2025-04-23,17,2025-05-09,2025-05-11,0.51,0.00,0.02,0.23,0.51
Ruby,Yukon River,2025-04-23,18,2025-05-10,2025-05-11,0.51,0.00,0.01,0.20,0.51
Galena,Yukon River,2025-04-23,18,2025-05-10,2025-05-12,0.54,0.00,0.01,0.17,0.54
Rampart,Yukon River,2025-04-23,18,2025-05-10,2025-05-12,0.60,0.00,0.00,0.15,0.60
Stevens Village,Yukon River,2025-04-23,16,2025-05-08,2025-05-12,0.63,0.00,0.01,0.26,0.62
Nulato,Yukon River,2025-04-23,18,2025-05-10,2025-05-13,0.48,0.00,0.02,0.20,0.48
Holy Cross,Yukon River,2025-04-23,19,2025-05-11,2025-05-14,0.53,0.00,0.00,0.10,0.49
Kaltag,Yukon River,2025-04-23,21,2025-05-13,2025-05-14,0.48,0.00,0.00,0.09,0.40
Marshall,Yukon River,2025-04-23,24,2025-05-16,2025-05-15,0.57,0.00,0.00,0.01,0.23
Pilot Station,Yukon River,2025-04-23,22,2025-05-14,2025-05-15,0.47,0.00,0.00,0.07,0.35
Russian Mission,Yukon River,2025-04-23,19,2025-05-11,2025-05-15,0.50,0.00,0.01,0.12,0.47
Anvik,Yukon River,2025-04-23,19,2025-05-11,2025-05-16,0.50,0.00,0.01,0.14,0.48
Mountain Village,Yukon River,2025-04-23,23,2025-05-15,2025-05-17,0.47,0.00,0.00,0.05,0.31
Emmonak,Yukon River,2025-04-23,29,2025-05-21,2025-05-21,0.44,0.00,0.00,0.01,0.09
Alakanuk,Yukon River,2025-04-23,30,2025-05-22,2025-05-22,0.44,0.00,0.00,0.00,0.05
