# HAINES_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1987, 1991, 1993, 1994, 1995, 1997, 1998
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1988,1989,1990,1992,1996,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16,98.50,188.00,75.50,150.50,226.00,144.50,123.50,215.00,93.50,192.28,162.09,168.33,102.50,130.00,201.50,34.00,70.50,149.00,257.50,48.50,41.50,131.50,25.00,171.50,21.50,111.50,84.50,113.74,158.50,199.00,0.00,114.00,133.00,99.50,110.00,158.00,32.00,135.00
17,111.00,198.00,88.00,166.00,236.50,156.00,133.00,227.50,108.00,204.78,177.59,182.33,103.50,140.50,203.00,34.00,83.00,156.50,265.50,48.50,41.50,142.00,27.00,182.00,29.50,117.50,84.50,123.24,172.50,211.50,0.00,124.00,160.50,108.50,120.00,171.50,45.50,153.00
18,123.50,210.50,101.50,180.50,248.00,168.50,146.00,240.50,122.00,214.78,193.59,195.33,107.00,151.50,203.00,35.00,96.50,160.00,272.00,48.50,41.50,152.50,29.00,190.00,36.00,125.00,84.50,134.74,188.00,228.50,0.00,138.00,180.00,123.00,122.00,185.50,59.50,172.50
19,139.00,227.50,113.50,190.00,261.50,179.50,156.00,254.00,136.50,217.28,211.09,200.33,118.00,164.50,203.00,37.50,109.00,160.00,275.00,54.00,41.50,162.50,34.50,201.50,41.00,128.50,84.50,143.74,201.50,246.50,10.50,147.00,200.50,134.50,122.00,199.50,72.50,191.50
20,156.00,246.00,127.50,203.00,275.00,187.50,167.50,270.00,149.00,224.28,226.59,208.42,129.00,178.00,203.00,43.50,124.00,167.50,278.00,69.00,50.50,172.00,37.00,211.00,44.50,128.50,84.50,149.24,214.50,263.00,21.50,153.00,220.50,145.50,125.50,211.00,86.00,210.50
21,172.50,258.00,140.50,210.50,289.50,197.50,179.00,285.50,165.00,234.28,240.09,214.42,142.50,188.00,203.00,50.50,135.50,177.00,285.00,85.00,61.00,181.50,39.50,218.00,48.00,129.00,84.50,153.24,231.50,281.50,32.50,161.00,240.50,160.50,131.00,223.00,100.00,228.00
22,186.50,268.50,153.00,218.50,300.50,207.00,191.50,298.00,182.00,246.78,254.09,223.42,155.50,200.50,203.00,62.00,147.00,188.50,300.00,98.50,71.50,192.00,47.00,223.00,57.50,132.50,85.00,160.24,247.00,299.00,42.50,173.50,260.00,170.00,135.00,238.00,115.00,245.50
23,196.50,282.00,163.00,222.50,315.50,219.50,200.50,313.50,196.50,255.78,267.09,232.42,166.50,212.50,203.00,73.00,159.00,199.00,313.50,112.50,80.00,200.50,57.00,231.50,69.00,134.50,91.00,167.24,260.50,317.00,52.50,180.50,278.50,176.50,143.50,255.00,127.00,261.00
24,208.00,299.50,174.50,226.00,329.00,231.00,213.50,328.00,213.50,267.28,282.59,243.92,179.50,227.50,211.00,82.50,171.50,216.00,324.00,127.00,86.00,211.50,66.50,242.50,83.00,143.50,103.00,175.74,273.50,332.00,63.00,182.50,293.00,182.00,146.00,269.50,137.00,281.50
25,222.50,317.00,183.50,234.00,345.00,241.00,225.00,341.00,229.00,278.28,298.09,257.42,190.00,241.00,224.00,94.00,184.00,228.50,339.50,140.00,90.50,219.50,77.00,251.00,97.50,150.50,112.00,182.24,290.50,348.00,73.50,182.50,316.50,194.00,158.50,283.50,146.00,300.50
26,236.50,336.00,192.00,244.00,362.50,251.50,240.50,355.00,234.00,291.28,311.09,270.42,197.50,253.00,236.00,106.00,198.00,244.00,354.00,151.00,93.50,227.50,88.00,264.50,113.50,159.00,118.00,184.74,308.50,366.00,83.50,185.50,335.00,200.00,169.50,297.00,155.50,320.50
27,250.50,350.50,202.00,256.50,379.50,263.50,252.00,367.00,234.00,306.28,322.59,285.42,206.00,263.50,247.50,115.00,212.50,256.50,367.00,161.00,98.50,234.50,94.00,278.50,129.50,172.50,124.50,189.74,325.50,384.00,99.00,196.50,353.50,200.00,173.00,309.50,164.00,342.50
28,267.00,364.50,210.50,270.00,398.50,274.50,266.00,378.50,240.00,321.28,336.09,296.42,216.00,275.00,258.00,125.50,228.00,269.00,379.00,173.00,106.50,241.50,99.00,294.00,144.50,187.50,133.00,196.24,342.50,406.00,114.00,210.50,369.50,200.00,175.50,322.50,177.50,358.00
29,282.50,381.50,219.50,283.50,412.50,282.50,278.50,393.00,250.50,337.28,348.09,307.42,227.00,290.00,267.00,133.50,245.00,278.50,392.00,182.00,114.50,245.50,108.50,306.50,158.00,201.50,146.50,206.24,362.00,428.00,129.50,220.50,390.00,200.00,185.50,336.50,191.00,376.50
30,298.00,399.50,228.00,297.00,428.00,294.50,283.00,407.50,266.50,355.78,362.09,313.92,236.50,301.50,280.00,135.50,252.00,287.00,403.00,191.00,124.50,251.50,115.00,320.50,174.50,213.00,161.00,217.74,378.50,452.00,144.50,229.50,414.00,200.50,197.50,353.00,202.50,394.00
31,316.00,413.50,237.50,310.50,442.00,307.50,287.00,422.50,286.00,372.28,378.09,313.92,248.00,316.50,288.50,136.00,254.00,298.50,413.50,203.00,131.50,261.00,123.50,335.50,190.00,224.00,171.00,228.74,397.00,468.50,162.00,240.00,439.50,203.00,208.50,364.57,216.00,408.00
32,332.50,427.50,246.00,328.00,459.50,317.50,290.50,435.50,307.50,386.28,392.59,313.92,259.50,329.00,293.50,139.00,255.50,312.00,425.50,215.50,133.50,275.50,129.50,352.00,204.50,233.50,183.00,240.74,414.00,488.50,175.00,247.50,460.00,209.50,218.50,378.07,229.00,423.00
33,350.00,441.50,254.50,343.00,478.50,326.50,292.00,450.00,330.00,400.28,407.09,318.42,269.50,344.50,302.00,143.50,258.50,327.50,438.00,227.00,133.50,291.00,131.50,367.50,218.50,247.50,195.50,252.74,432.50,506.00,189.00,255.00,476.50,213.50,225.50,389.57,239.00,440.50
34,371.00,456.00,260.00,361.50,496.50,337.50,304.50,465.00,347.00,414.28,421.59,327.42,281.50,355.00,317.00,145.50,263.00,344.00,452.50,241.50,135.00,306.50,137.00,380.00,232.00,260.50,203.00,261.24,449.00,524.50,206.50,261.00,488.50,223.00,236.00,406.07,246.50,454.00
35,392.00,474.00,271.00,378.50,511.00,353.00,319.00,481.00,363.50,428.78,432.09,342.42,287.00,367.50,330.50,150.00,268.00,359.50,471.00,257.00,137.00,321.00,147.00,392.50,243.50,272.50,206.00,272.74,460.30,543.00,224.00,271.00,501.00,231.50,250.50,420.07,257.00,465.30
36,412.00,490.50,287.00,390.50,527.00,366.50,332.50,495.00,380.50,443.78,440.59,358.92,298.50,382.50,345.00,158.00,275.50,374.50,488.50,271.50,150.50,333.50,160.50,406.00,253.50,284.00,212.00,288.74,473.80,563.00,239.50,285.00,517.50,242.50,260.00,437.57,268.00,
37,426.00,503.00,302.00,402.00,541.50,381.50,343.00,507.00,397.50,464.78,453.09,372.42,311.00,392.50,357.50,168.50,290.00,393.00,505.50,292.00,165.00,343.00,171.50,417.50,263.00,295.00,227.50,302.24,494.80,580.50,255.00,306.50,534.00,250.50,263.00,452.57,285.00,
38,444.00,516.00,317.50,414.00,560.50,395.50,343.00,520.00,414.00,486.78,465.09,384.42,321.00,404.50,367.50,175.50,308.50,410.50,520.00,314.50,180.00,353.00,184.00,428.00,276.50,309.00,244.00,315.74,510.80,601.00,274.00,327.00,551.50,262.50,264.00,470.07,300.50,
39,465.00,525.00,334.00,425.50,581.00,408.50,343.00,534.00,434.50,508.28,477.09,403.92,330.00,417.50,383.00,180.50,322.00,425.50,536.00,332.00,196.00,361.50,198.00,438.50,290.50,324.00,256.50,328.24,528.30,619.00,291.50,345.00,569.00,276.00,265.00,485.57,315.50,
40,487.50,533.50,348.00,437.00,606.00,416.50,343.00,548.50,452.00,526.78,486.59,422.92,340.00,430.00,396.50,190.00,340.00,444.50,552.50,349.00,212.00,374.00,212.00,451.50,303.50,342.50,266.00,338.74,542.80,634.50,312.00,365.50,584.00,289.00,265.00,497.57,328.00,
41,506.00,541.00,362.00,449.50,630.00,425.00,345.00,564.00,468.50,547.28,499.59,438.35,353.00,445.00,412.50,201.00,360.50,464.00,569.00,366.50,223.50,387.50,226.00,466.00,315.50,363.50,275.50,350.74,555.30,656.00,332.50,387.00,599.00,303.00,265.00,506.07,340.50,
42,524.50,549.00,374.00,464.50,653.00,437.50,351.50,583.50,486.00,567.78,515.59,452.85,365.50,463.50,430.50,211.00,381.00,481.00,586.00,379.00,233.50,400.00,240.00,478.50,326.50,387.50,288.00,361.24,568.30,675.00,356.50,406.00,618.50,317.50,277.50,514.57,352.50,
43,542.50,557.00,389.50,480.50,674.50,450.50,353.00,596.50,509.00,584.28,531.09,465.35,379.00,477.50,447.50,223.50,401.50,500.00,602.00,394.00,246.50,415.50,255.00,494.50,343.00,406.50,301.00,374.24,582.30,694.00,382.50,426.50,637.50,334.50,292.00,525.07,366.50,
44,557.50,566.50,405.00,501.00,690.00,459.50,360.50,617.50,529.00,601.78,547.09,479.85,392.00,492.00,465.50,237.50,418.00,518.50,617.50,407.50,259.00,429.50,266.00,511.00,360.50,422.50,314.50,393.24,595.80,711.50,402.50,443.00,653.00,357.50,308.00,538.57,385.50,
45,573.00,575.00,420.50,520.50,703.00,471.00,371.00,638.00,549.50,625.28,564.59,500.35,403.50,513.50,483.50,250.00,432.50,536.00,635.00,419.50,271.00,445.50,278.50,528.00,377.00,442.00,327.50,411.24,609.30,732.50,419.50,459.00,669.50,372.00,329.50,549.07,403.00,
46,587.00,584.00,434.50,537.50,723.00,484.50,385.50,655.00,569.00,648.78,586.09,522.85,420.00,528.50,501.50,263.50,448.00,551.00,655.00,432.00,283.00,455.50,295.50,544.50,392.00,465.50,339.50,432.74,627.80,753.50,436.00,473.50,686.00,392.50,355.00,563.07,422.50,
47,602.50,594.50,445.50,556.00,739.00,492.50,399.00,675.50,587.50,667.28,605.59,544.35,442.00,542.50,521.00,276.00,464.50,566.00,672.50,447.00,299.50,461.50,311.00,565.00,409.00,486.00,352.50,449.74,645.80,770.00,455.00,487.00,704.00,417.50,383.50,575.07,439.00,
48,619.00,607.00,459.50,573.50,758.00,504.50,415.00,696.50,611.50,690.28,626.09,566.35,463.50,559.00,541.00,291.00,481.00,581.50,689.50,459.50,313.00,469.50,325.50,587.00,426.00,507.50,366.00,466.24,662.80,789.00,470.50,498.00,720.50,438.50,409.50,588.57,459.50,
