,hucmask,t2m,year,month,objid,huc6
146,1,263.41956,1991,3,1,190201
147,1,272.45886,1991,4,1,190201
148,1,278.23773,1991,5,1,190201
149,1,284.22546,1991,6,1,190201
150,1,284.61127,1991,7,1,190201
151,1,282.3541,1991,8,1,190201
152,1,279.0737,1991,9,1,190201
153,1,267.16608,1991,10,1,190201
154,1,259.75375,1991,11,1,190201
155,1,257.51108,1991,12,1,190201
156,1,259.3992,1992,1,1,190201
157,1,256.68753,1992,2,1,190201
158,1,263.8742,1992,3,1,190201
159,1,269.37448,1992,4,1,190201
160,1,275.48813,1992,5,1,190201
161,1,283.66666,1992,6,1,190201
162,1,285.59525,1992,7,1,190201
163,1,283.15918,1992,8,1,190201
164,1,271.52533,1992,9,1,190201
165,1,265.90295,1992,10,1,190201
166,1,263.0274,1992,11,1,190201
167,1,253.36745,1992,12,1,190201
168,1,254.4575,1993,1,1,190201
169,1,259.67166,1993,2,1,190201
170,1,264.58862,1993,3,1,190201
171,1,273.9625,1993,4,1,190201
172,1,280.37097,1993,5,1,190201
173,1,284.49686,1993,6,1,190201
174,1,287.24072,1993,7,1,190201
175,1,283.8153,1993,8,1,190201
176,1,277.67618,1993,9,1,190201
177,1,270.7678,1993,10,1,190201
178,1,262.30804,1993,11,1,190201
179,1,259.2143,1993,12,1,190201
180,1,256.75156,1994,1,1,190201
181,1,253.1191,1994,2,1,190201
182,1,264.37036,1994,3,1,190201
183,1,273.37177,1994,4,1,190201
184,1,277.92508,1994,5,1,190201
185,1,283.50214,1994,6,1,190201
186,1,286.04965,1994,7,1,190201
187,1,286.897,1994,8,1,190201
188,1,277.22647,1994,9,1,190201
189,1,268.03107,1994,10,1,190201
190,1,256.26645,1994,11,1,190201
191,1,255.33633,1994,12,1,190201
192,1,255.93309,1995,1,1,190201
193,1,258.44156,1995,2,1,190201
194,1,258.91806,1995,3,1,190201
195,1,273.30353,1995,4,1,190201
196,1,279.10355,1995,5,1,190201
197,1,283.90308,1995,6,1,190201
198,1,285.542,1995,7,1,190201
199,1,283.27258,1995,8,1,190201
200,1,281.3098,1995,9,1,190201
201,1,271.48465,1995,10,1,190201
202,1,257.25497,1995,11,1,190201
203,1,254.07634,1995,12,1,190201
204,1,247.20833,1996,1,1,190201
205,1,258.20563,1996,2,1,190201
206,1,263.2739,1996,3,1,190201
207,1,271.10706,1996,4,1,190201
208,1,278.70105,1996,5,1,190201
209,1,283.30093,1996,6,1,190201
210,1,285.75577,1996,7,1,190201
211,1,282.70306,1996,8,1,190201
212,1,276.4132,1996,9,1,190201
213,1,263.25586,1996,10,1,190201
214,1,257.2853,1996,11,1,190201
215,1,253.74028,1996,12,1,190201
216,1,252.60802,1997,1,1,190201
217,1,263.98596,1997,2,1,190201
218,1,259.5063,1997,3,1,190201
219,1,271.6162,1997,4,1,190201
220,1,278.17264,1997,5,1,190201
221,1,284.49252,1997,6,1,190201
222,1,287.2616,1997,7,1,190201
223,1,284.91074,1997,8,1,190201
224,1,279.6299,1997,9,1,190201
225,1,266.05417,1997,10,1,190201
226,1,263.48663,1997,11,1,190201
227,1,259.16675,1997,12,1,190201
228,1,253.53725,1998,1,1,190201
229,1,260.35587,1998,2,1,190201
230,1,264.8112,1998,3,1,190201
231,1,272.30283,1998,4,1,190201
232,1,277.25052,1998,5,1,190201
233,1,283.07816,1998,6,1,190201
234,1,285.0778,1998,7,1,190201
235,1,281.9635,1998,8,1,190201
236,1,277.76495,1998,9,1,190201
237,1,267.88104,1998,10,1,190201
238,1,259.98517,1998,11,1,190201
239,1,254.86983,1998,12,1,190201
240,1,251.73686,1999,1,1,190201
241,1,250.9515,1999,2,1,190201
242,1,262.55704,1999,3,1,190201
243,1,270.95877,1999,4,1,190201
244,1,276.36893,1999,5,1,190201
245,1,284.31476,1999,6,1,190201
246,1,285.78818,1999,7,1,190201
247,1,284.5214,1999,8,1,190201
248,1,278.1995,1999,9,1,190201
249,1,268.79172,1999,10,1,190201
250,1,258.45932,1999,11,1,190201
251,1,256.4267,1999,12,1,190201
252,1,254.94133,2000,1,1,190201
253,1,263.28574,2000,2,1,190201
254,1,266.06796,2000,3,1,190201
255,1,271.6535,2000,4,1,190201
256,1,275.95114,2000,5,1,190201
257,1,283.4096,2000,6,1,190201
258,1,284.9764,2000,7,1,190201
259,1,281.7068,2000,8,1,190201
260,1,276.42493,2000,9,1,190201
261,1,267.64337,2000,10,1,190201
262,1,263.4347,2000,11,1,190201
263,1,259.02158,2000,12,1,190201
264,1,263.1018,2001,1,1,190201
265,1,260.37277,2001,2,1,190201
266,1,263.78787,2001,3,1,190201
267,1,271.81888,2001,4,1,190201
268,1,275.54074,2001,5,1,190201
269,1,284.6959,2001,6,1,190201
270,1,284.847,2001,7,1,190201
271,1,284.84573,2001,8,1,190201
272,1,278.32938,2001,9,1,190201
273,1,267.44354,2001,10,1,190201
274,1,258.46426,2001,11,1,190201
275,1,252.45262,2001,12,1,190201
276,1,259.8197,2002,1,1,190201
277,1,258.158,2002,2,1,190201
278,1,259.9217,2002,3,1,190201
279,1,267.28906,2002,4,1,190201
280,1,278.1096,2002,5,1,190201
