,hucmask,ssr,year,month,objid,huc6
0,1,2056372500.0,1979,1,1,190201
1,1,8899090000.0,1979,2,1,190201
2,1,15551259000.0,1979,3,1,190201
3,1,38341657000.0,1979,4,1,190201
4,1,62816960000.0,1979,5,1,190201
5,1,71423164000.0,1979,6,1,190201
6,1,64245838000.0,1979,7,1,190201
7,1,61060125000.0,1979,8,1,190201
8,1,34136056000.0,1979,9,1,190201
9,1,11944898000.0,1979,10,1,190201
10,1,2784742000.0,1979,11,1,190201
11,1,1079635500.0,1979,12,1,190201
12,1,2095547000.0,1980,1,1,190201
13,1,6528949000.0,1980,2,1,190201
14,1,17709627000.0,1980,3,1,190201
15,1,30763067000.0,1980,4,1,190201
16,1,55602037000.0,1980,5,1,190201
17,1,69765990000.0,1980,6,1,190201
18,1,67774812000.0,1980,7,1,190201
19,1,55141302000.0,1980,8,1,190201
20,1,30257414000.0,1980,9,1,190201
21,1,9629932000.0,1980,10,1,190201
22,1,2904949000.0,1980,11,1,190201
23,1,1309196300.0,1980,12,1,190201
24,1,1729944400.0,1981,1,1,190201
25,1,5559909400.0,1981,2,1,190201
26,1,18095376000.0,1981,3,1,190201
27,1,37744173000.0,1981,4,1,190201
28,1,63606325000.0,1981,5,1,190201
29,1,77151320000.0,1981,6,1,190201
30,1,55462330000.0,1981,7,1,190201
31,1,46389006000.0,1981,8,1,190201
32,1,30478864000.0,1981,9,1,190201
33,1,9038384000.0,1981,10,1,190201
34,1,2908896800.0,1981,11,1,190201
35,1,1056321300.0,1981,12,1,190201
36,1,2807225900.0,1982,1,1,190201
37,1,7743720400.0,1982,2,1,190201
38,1,17643510000.0,1982,3,1,190201
39,1,30486880000.0,1982,4,1,190201
40,1,53198676000.0,1982,5,1,190201
41,1,68507510000.0,1982,6,1,190201
42,1,72518296000.0,1982,7,1,190201
43,1,59780678000.0,1982,8,1,190201
44,1,29296507000.0,1982,9,1,190201
45,1,9545157000.0,1982,10,1,190201
46,1,2910795800.0,1982,11,1,190201
47,1,950270460.0,1982,12,1,190201
48,1,1961571100.0,1983,1,1,190201
49,1,6565747700.0,1983,2,1,190201
50,1,20907428000.0,1983,3,1,190201
51,1,31578978000.0,1983,4,1,190201
52,1,53075567000.0,1983,5,1,190201
53,1,77362545000.0,1983,6,1,190201
54,1,68042576000.0,1983,7,1,190201
55,1,49264075000.0,1983,8,1,190201
56,1,30755434000.0,1983,9,1,190201
57,1,10394990000.0,1983,10,1,190201
58,1,3078643700.0,1983,11,1,190201
59,1,1184557800.0,1983,12,1,190201
60,1,1797857000.0,1984,1,1,190201
61,1,5613968000.0,1984,2,1,190201
62,1,19950060000.0,1984,3,1,190201
63,1,32795324000.0,1984,4,1,190201
64,1,67736035000.0,1984,5,1,190201
65,1,73822855000.0,1984,6,1,190201
66,1,61900760000.0,1984,7,1,190201
67,1,58217206000.0,1984,8,1,190201
68,1,35715613000.0,1984,9,1,190201
69,1,13405329000.0,1984,10,1,190201
70,1,3402015500.0,1984,11,1,190201
71,1,937822900.0,1984,12,1,190201
72,1,1518575400.0,1985,1,1,190201
73,1,6106611700.0,1985,2,1,190201
74,1,17278413000.0,1985,3,1,190201
75,1,28488778000.0,1985,4,1,190201
76,1,52891906000.0,1985,5,1,190201
77,1,58883465000.0,1985,6,1,190201
78,1,68407165000.0,1985,7,1,190201
79,1,51578626000.0,1985,8,1,190201
