,hucmask,sd,year,month,objid,huc6
60,1,0.09102437,1984,1,1,190201
61,1,0.12945133,1984,2,1,190201
62,1,0.10095199,1984,3,1,190201
63,1,0.07346098,1984,4,1,190201
64,1,0.005720812,1984,5,1,190201
65,1,0.00025133058,1984,6,1,190201
66,1,0.0,1984,7,1,190201
67,1,0.0043623867,1984,8,1,190201
68,1,0.0005924094,1984,9,1,190201
69,1,0.012605536,1984,10,1,190201
70,1,0.045272816,1984,11,1,190201
71,1,0.07659068,1984,12,1,190201
72,1,0.08345145,1985,1,1,190201
73,1,0.11966435,1985,2,1,190201
74,1,0.11225301,1985,3,1,190201
75,1,0.13832873,1985,4,1,190201
76,1,0.016976917,1985,5,1,190201
77,1,0.0008347736,1985,6,1,190201
78,1,0.0,1985,7,1,190201
79,1,1.4959597e-05,1985,8,1,190201
80,1,0.015256461,1985,9,1,190201
81,1,0.026491726,1985,10,1,190201
82,1,0.041870836,1985,11,1,190201
83,1,0.0646165,1985,12,1,190201
84,1,0.0976428,1986,1,1,190201
85,1,0.096436985,1986,2,1,190201
86,1,0.115334794,1986,3,1,190201
87,1,0.10052111,1986,4,1,190201
88,1,0.013057316,1986,5,1,190201
89,1,0.00020345987,1986,6,1,190201
90,1,0.0,1986,7,1,190201
91,1,1.7951517e-05,1986,8,1,190201
92,1,0.002028615,1986,9,1,190201
93,1,0.016318696,1986,10,1,190201
94,1,0.039064303,1986,11,1,190201
95,1,0.04356733,1986,12,1,190201
96,1,0.06725249,1987,1,1,190201
97,1,0.06473313,1987,2,1,190201
98,1,0.055652253,1987,3,1,190201
99,1,0.04536858,1987,4,1,190201
100,1,0.004509,1987,5,1,190201
101,1,0.00052361394,1987,6,1,190201
102,1,0.0,1987,7,1,190201
103,1,2.9919194e-05,1987,8,1,190201
104,1,0.0041559446,1987,9,1,190201
105,1,0.036182966,1987,10,1,190201
106,1,0.06446386,1987,11,1,190201
107,1,0.10246298,1987,12,1,190201
108,1,0.080019586,1988,1,1,190201
109,1,0.11478724,1988,2,1,190201
110,1,0.13428052,1988,3,1,190201
111,1,0.07788919,1988,4,1,190201
112,1,0.010463191,1988,5,1,190201
113,1,0.00031716216,1988,6,1,190201
114,1,2.9919195e-06,1988,7,1,190201
115,1,2.6927275e-05,1988,8,1,190201
116,1,0.004990746,1988,9,1,190201
117,1,0.06946658,1988,10,1,190201
118,1,0.079513915,1988,11,1,190201
119,1,0.09147612,1988,12,1,190201
120,1,0.14163198,1989,1,1,190201
121,1,0.12863745,1989,2,1,190201
122,1,0.120923996,1989,3,1,190201
123,1,0.038711213,1989,4,1,190201
124,1,0.0031805506,1989,5,1,190201
125,1,0.00026329825,1989,6,1,190201
126,1,0.0,1989,7,1,190201
127,1,2.0943437e-05,1989,8,1,190201
128,1,0.0029830558,1989,9,1,190201
129,1,0.042921066,1989,10,1,190201
130,1,0.08773311,1989,11,1,190201
131,1,0.14846286,1989,12,1,190201
132,1,0.17797354,1990,1,1,190201
133,1,0.21722329,1990,2,1,190201
134,1,0.23794334,1990,3,1,190201
135,1,0.11052656,1990,4,1,190201
136,1,0.00049966923,1990,5,1,190201
137,1,0.0,1990,6,1,190201
138,1,2.9919195e-06,1990,7,1,190201
139,1,0.00025132124,1990,8,1,190201
140,1,0.015938656,1990,9,1,190201
141,1,0.04732537,1990,10,1,190201
142,1,0.07779948,1990,11,1,190201
143,1,0.13104016,1990,12,1,190201
144,1,0.15878841,1991,1,1,190201
145,1,0.18439446,1991,2,1,190201
146,1,0.21060483,1991,3,1,190201
147,1,0.13805647,1991,4,1,190201
148,1,0.0061785756,1991,5,1,190201
149,1,0.00011968613,1991,6,1,190201
150,1,1.4959597e-05,1991,7,1,190201
151,1,0.00020644243,1991,8,1,190201
152,1,0.0020854052,1991,9,1,190201
153,1,0.040261127,1991,10,1,190201
154,1,0.06941871,1991,11,1,190201
155,1,0.113587424,1991,12,1,190201
156,1,0.14662874,1992,1,1,190201
157,1,0.17596287,1992,2,1,190201
158,1,0.20413904,1992,3,1,190201
159,1,0.17453568,1992,4,1,190201
160,1,0.026578464,1992,5,1,190201
161,1,0.00011071037,1992,6,1,190201
162,1,2.9919195e-06,1992,7,1,190201
163,1,0.00012865254,1992,8,1,190201
164,1,0.03799316,1992,9,1,190201
165,1,0.05742058,1992,10,1,190201
166,1,0.1036538,1992,11,1,190201
167,1,0.15201746,1992,12,1,190201
168,1,0.18869407,1993,1,1,190201
169,1,0.20450707,1993,2,1,190201
170,1,0.2136568,1993,3,1,190201
171,1,0.08474402,1993,4,1,190201
172,1,0.00048171773,1993,5,1,190201
173,1,0.0,1993,6,1,190201
174,1,0.0,1993,7,1,190201
175,1,2.9919195e-06,1993,8,1,190201
176,1,0.027242688,1993,9,1,190201
177,1,0.04643675,1993,10,1,190201
178,1,0.11129855,1993,11,1,190201
179,1,0.14847483,1993,12,1,190201
180,1,0.16713329,1994,1,1,190201
181,1,0.17460442,1994,2,1,190201
182,1,0.19164722,1994,3,1,190201
183,1,0.08408276,1994,4,1,190201
184,1,0.012931655,1994,5,1,190201
185,1,0.00023337906,1994,6,1,190201
186,1,0.0,1994,7,1,190201
187,1,1.4959597e-05,1994,8,1,190201
188,1,0.009604482,1994,9,1,190201
189,1,0.04485394,1994,10,1,190201
190,1,0.09837884,1994,11,1,190201
191,1,0.1307529,1994,12,1,190201
192,1,0.14839706,1995,1,1,190201
193,1,0.17251,1995,2,1,190201
194,1,0.19212894,1995,3,1,190201
195,1,0.094967864,1995,4,1,190201
196,1,0.0011848562,1995,5,1,190201
197,1,4.487879e-05,1995,6,1,190201
198,1,1.4959597e-05,1995,7,1,190201
199,1,8.676566e-05,1995,8,1,190201
200,1,0.00048469094,1995,9,1,190201
201,1,0.019565068,1995,10,1,190201
202,1,0.02636602,1995,11,1,190201
203,1,0.036356524,1995,12,1,190201
204,1,0.04769342,1996,1,1,190201
205,1,0.10760334,1996,2,1,190201
206,1,0.13605182,1996,3,1,190201
207,1,0.056250665,1996,4,1,190201
208,1,0.0013075249,1996,5,1,190201
209,1,5.6846467e-05,1996,6,1,190201
210,1,8.975759e-06,1996,7,1,190201
211,1,0.00011668486,1996,8,1,190201
212,1,0.019538159,1996,9,1,190201
213,1,0.060619082,1996,10,1,190201
214,1,0.079905905,1996,11,1,190201
215,1,0.10065578,1996,12,1,190201
216,1,0.12820363,1997,1,1,190201
217,1,0.15197256,1997,2,1,190201
218,1,0.15743305,1997,3,1,190201
219,1,0.080516234,1997,4,1,190201
220,1,0.006723161,1997,5,1,190201
221,1,3.5903035e-05,1997,6,1,190201
222,1,0.0,1997,7,1,190201
223,1,0.0,1997,8,1,190201
224,1,0.00097536575,1997,9,1,190201
225,1,0.04082661,1997,10,1,190201
226,1,0.07900527,1997,11,1,190201
227,1,0.11176827,1997,12,1,190201
228,1,0.123093195,1998,1,1,190201
229,1,0.13777824,1998,2,1,190201
230,1,0.14093786,1998,3,1,190201
231,1,0.08364593,1998,4,1,190201
232,1,0.008144379,1998,5,1,190201
233,1,3.8894952e-05,1998,6,1,190201
234,1,5.983839e-06,1998,7,1,190201
235,1,0.0010980625,1998,8,1,190201
236,1,0.008437559,1998,9,1,190201
237,1,0.039629787,1998,10,1,190201
238,1,0.046161447,1998,11,1,190201
239,1,0.06687249,1998,12,1,190201
240,1,0.09686488,1999,1,1,190201
241,1,0.10580513,1999,2,1,190201
242,1,0.11525407,1999,3,1,190201
243,1,0.08541725,1999,4,1,190201
244,1,0.0145084625,1999,5,1,190201
245,1,0.00017054875,1999,6,1,190201
246,1,2.9919195e-06,1999,7,1,190201
247,1,5.983839e-05,1999,8,1,190201
248,1,0.019307781,1999,9,1,190201
249,1,0.06769229,1999,10,1,190201
250,1,0.10055702,1999,11,1,190201
251,1,0.19921713,1999,12,1,190201
252,1,0.2341524,2000,1,1,190201
253,1,0.25659877,2000,2,1,190201
254,1,0.26517996,2000,3,1,190201
255,1,0.24086957,2000,4,1,190201
256,1,0.067384124,2000,5,1,190201
257,1,0.00020046796,2000,6,1,190201
258,1,2.9919195e-06,2000,7,1,190201
259,1,0.0004966586,2000,8,1,190201
260,1,0.02614155,2000,9,1,190201
261,1,0.058686182,2000,10,1,190201
262,1,0.0856925,2000,11,1,190201
263,1,0.10520071,2000,12,1,190201
264,1,0.1550723,2001,1,1,190201
265,1,0.18617776,2001,2,1,190201
266,1,0.20643993,2001,3,1,190201
267,1,0.16738164,2001,4,1,190201
268,1,0.049521558,2001,5,1,190201
269,1,3.8894952e-05,2001,6,1,190201
270,1,0.0,2001,7,1,190201
271,1,1.7951517e-05,2001,8,1,190201
272,1,0.0003769912,2001,9,1,190201
273,1,0.028077453,2001,10,1,190201
274,1,0.04532067,2001,11,1,190201
275,1,0.07155802,2001,12,1,190201
276,1,0.10244505,2002,1,1,190201
277,1,0.114574835,2002,2,1,190201
278,1,0.13459167,2002,3,1,190201
279,1,0.104087695,2002,4,1,190201
280,1,0.0038837078,2002,5,1,190201
281,1,0.00025731442,2002,6,1,190201
282,1,4.1886873e-05,2002,7,1,190201
283,1,3.2911114e-05,2002,8,1,190201
284,1,0.0018161605,2002,9,1,190201
285,1,0.039390422,2002,10,1,190201
286,1,0.08809512,2002,11,1,190201
287,1,0.11363529,2002,12,1,190201
288,1,0.14842695,2003,1,1,190201
289,1,0.18095958,2003,2,1,190201
290,1,0.19356516,2003,3,1,190201
291,1,0.0852736,2003,4,1,190201
292,1,0.0099545745,2003,5,1,190201
293,1,0.0003889682,2003,6,1,190201
294,1,8.975759e-06,2003,7,1,190201
295,1,0.00026029698,2003,8,1,190201
296,1,0.0040991073,2003,9,1,190201
297,1,0.010436301,2003,10,1,190201
298,1,0.06014934,2003,11,1,190201
299,1,0.09996162,2003,12,1,190201
300,1,0.11467056,2004,1,1,190201
301,1,0.1477029,2004,2,1,190201
302,1,0.17899682,2004,3,1,190201
303,1,0.06747388,2004,4,1,190201
304,1,0.0006163634,2004,5,1,190201
305,1,0.0,2004,6,1,190201
306,1,0.0,2004,7,1,190201
307,1,2.9919195e-06,2004,8,1,190201
308,1,0.011444569,2004,9,1,190201
309,1,0.009867827,2004,10,1,190201
310,1,0.035605505,2004,11,1,190201
311,1,0.096808,2004,12,1,190201
312,1,0.122841895,2005,1,1,190201
313,1,0.16125686,2005,2,1,190201
314,1,0.18078601,2005,3,1,190201
315,1,0.021590672,2005,4,1,190201
316,1,0.00062532985,2005,5,1,190201
317,1,0.0,2005,6,1,190201
318,1,0.0005385455,2005,7,1,190201
319,1,4.1886873e-05,2005,8,1,190201
320,1,0.0005355816,2005,9,1,190201
321,1,0.003572436,2005,10,1,190201
322,1,0.052746996,2005,11,1,190201
323,1,0.09658065,2005,12,1,190201
324,1,0.11173835,2006,1,1,190201
325,1,0.13826893,2006,2,1,190201
326,1,0.14786445,2006,3,1,190201
327,1,0.15234958,2006,4,1,190201
328,1,0.0012237418,2006,5,1,190201
329,1,0.00011071037,2006,6,1,190201
330,1,1.7951517e-05,2006,7,1,190201
331,1,0.00014062956,2006,8,1,190201
332,1,0.004559891,2006,9,1,190201
333,1,0.003593417,2006,10,1,190201
334,1,0.0064448,2006,11,1,190201
335,1,0.04097022,2006,12,1,190201
336,1,0.086299896,2007,1,1,190201
337,1,0.08777797,2007,2,1,190201
338,1,0.10582608,2007,3,1,190201
339,1,0.016935002,2007,4,1,190201
340,1,0.0009754125,2007,5,1,190201
341,1,0.0,2007,6,1,190201
342,1,0.0,2007,7,1,190201
343,1,0.0,2007,8,1,190201
344,1,0.00070612103,2007,9,1,190201
345,1,0.0031386076,2007,10,1,190201
346,1,0.01940947,2007,11,1,190201
347,1,0.023209404,2007,12,1,190201
348,1,0.0516519,2008,1,1,190201
349,1,0.07393072,2008,2,1,190201
350,1,0.08879527,2008,3,1,190201
351,1,0.0525435,2008,4,1,190201
352,1,0.0023368013,2008,5,1,190201
353,1,0.0004966773,2008,6,1,190201
354,1,0.00024534675,2008,7,1,190201
355,1,5.385455e-05,2008,8,1,190201
356,1,0.0050984644,2008,9,1,190201
357,1,0.0063611013,2008,10,1,190201
358,1,0.02271568,2008,11,1,190201
359,1,0.049186416,2008,12,1,190201
360,1,0.09971926,2009,1,1,190201
361,1,0.1176476,2009,2,1,190201
362,1,0.13837364,2009,3,1,190201
363,1,0.06342562,2009,4,1,190201
364,1,0.0011698873,2009,5,1,190201
365,1,8.078182e-05,2009,6,1,190201
366,1,0.0,2009,7,1,190201
367,1,1.1967678e-05,2009,8,1,190201
368,1,0.00044879728,2009,9,1,190201
369,1,0.0025432063,2009,10,1,190201
370,1,0.021123933,2009,11,1,190201
371,1,0.060652014,2009,12,1,190201
372,1,0.078424826,2010,1,1,190201
373,1,0.101715006,2010,2,1,190201
374,1,0.1154874,2010,3,1,190201
375,1,0.029800892,2010,4,1,190201
376,1,0.001241712,2010,5,1,190201
377,1,0.00031716216,2010,6,1,190201
378,1,0.0,2010,7,1,190201
379,1,3.8894952e-05,2010,8,1,190201
380,1,0.0014122233,2010,9,1,190201
381,1,0.0062145065,2010,10,1,190201
382,1,0.0390314,2010,11,1,190201
383,1,0.06010739,2010,12,1,190201
384,1,0.08198837,2011,1,1,190201
385,1,0.121357836,2011,2,1,190201
386,1,0.13220105,2011,3,1,190201
387,1,0.07956476,2011,4,1,190201
388,1,0.001119034,2011,5,1,190201
389,1,5.086263e-05,2011,6,1,190201
390,1,0.0,2011,7,1,190201
391,1,1.4959597e-05,2011,8,1,190201
392,1,0.0003620316,2011,9,1,190201
393,1,0.0088475635,2011,10,1,190201
394,1,0.02865796,2011,11,1,190201
395,1,0.06688147,2011,12,1,190201
396,1,0.0906234,2012,1,1,190201
397,1,0.089259036,2012,2,1,190201
398,1,0.09658358,2012,3,1,190201
399,1,0.04052742,2012,4,1,190201
400,1,0.0059272633,2012,5,1,190201
401,1,0.00039196014,2012,6,1,190201
402,1,0.0,2012,7,1,190201
403,1,9.2749506e-05,2012,8,1,190201
404,1,0.0013912893,2012,9,1,190201
405,1,0.006382026,2012,10,1,190201
406,1,0.026249297,2012,11,1,190201
407,1,0.043187328,2012,12,1,190201
408,1,0.067052,2013,1,1,190201
409,1,0.08752664,2013,2,1,190201
410,1,0.100676715,2013,3,1,190201
411,1,0.09337909,2013,4,1,190201
412,1,0.01024781,2013,5,1,190201
413,1,0.0,2013,6,1,190201
414,1,0.0,2013,7,1,190201
415,1,5.983839e-06,2013,8,1,190201
416,1,0.0010292764,2013,9,1,190201
417,1,0.006118728,2013,10,1,190201
418,1,0.076222636,2013,11,1,190201
419,1,0.105852984,2013,12,1,190201
420,1,0.17700407,2014,1,1,190201
421,1,0.1886312,2014,2,1,190201
