Year,AO_DJ,AO_FM,EP-NP_DJ,EP-NP_FM,PNA_DJ,PNA_FM,SOI_DJ,SOI_FM,Nino1+2_DJ,Nino1+2_FM,Nino3_DJ,Nino3_FM,Nino3.4_DJ,Nino3.4_FM,Nino4_DJ,Nino4_FM,ONI_DJ,ONI_FM,ONI_DJ,ONI_FM,NPI_anom_FM,NAO_DJ,NAO_FM,EA_DJ,EA_FM,WP_DJ,WP_FM,EA-WR_DJ,EA-WR_FM,SCA_DJ,SCA_FM,POL_DJ,POL_FM,seaice_ber_anom_JF,seaice_ber_anom_JF
1992,1.082,1.053,-0.170,0.990,0.580,0.275,-3.800,-2.400,0.650,0.925,1.310,1.160,1.765,1.580,0.715,0.765,1.620,1.555,-0.065,0.145,-2.013,-0.155,0.640,-0.295,-0.135,0.215,0.155,1.425,0.110,-0.100,0.190,1.035,0.640,63978.594,11965.135
1993,2.561,0.474,-0.650,1.165,-1.505,0.690,-1.200,-1.000,-0.055,0.450,-0.235,0.395,-0.005,0.400,0.145,0.075,-0.020,0.400,0.025,0.130,-7.574,1.355,0.210,0.530,-0.925,0.335,-0.120,-0.155,1.130,-0.665,-0.020,0.540,1.685,17469.967,12441.944
1994,-0.196,0.510,2.380,-0.295,-0.190,-0.520,0.050,-0.350,-0.035,-0.670,0.145,-0.215,0.130,0.085,0.145,-0.005,0.060,0.120,0.760,0.300,2.196,1.240,0.500,0.485,0.765,0.370,-0.690,0.070,-0.315,0.555,0.265,0.440,-0.150,-44739.256,-29505.571
1995,0.370,0.911,1.030,0.330,0.295,0.355,-1.350,0.500,0.795,-0.195,0.795,0.210,1.135,0.595,0.820,0.710,1.025,0.625,-1.540,0.240,-0.888,-0.535,0.880,0.330,-0.715,-0.950,-1.545,-0.210,-0.020,-0.490,-1.200,0.695,-0.165,144255.827,17019.151
1996,-1.663,-0.660,0.260,1.340,-0.030,-0.725,0.400,1.150,-0.750,-0.385,-0.895,-0.600,-0.905,-0.735,-0.485,-0.460,-0.940,-0.670,0.725,0.930,-0.852,-1.025,-0.590,-1.025,-0.885,-0.160,-0.115,-0.645,-1.260,1.335,0.965,-0.180,1.635,-59485.131,-1961.077
1997,-1.089,1.490,0.220,-0.045,-0.685,-0.555,1.150,1.100,-1.015,0.160,-0.950,-0.515,-0.585,-0.310,-0.090,0.215,-0.495,-0.230,0.205,0.340,-0.905,-1.030,1.305,0.805,0.665,-0.700,-0.200,0.970,0.030,0.340,-1.100,1.840,-0.850,-27906.962,8895.384
1998,-1.076,-0.218,0.620,0.490,0.575,0.790,-3.000,-3.700,3.900,2.690,3.190,2.205,2.335,1.685,0.605,0.445,2.315,1.685,1.020,1.405,-8.740,0.335,-0.030,0.405,0.910,0.330,0.855,-0.060,0.805,-0.180,-0.305,-1.120,0.335,153697.474,15579.586
1999,0.732,-0.505,-0.890,-0.925,-0.415,-0.040,2.650,1.850,-0.480,-0.290,-1.175,-0.700,-1.690,-1.135,-1.580,-1.495,-1.560,-1.185,-0.935,-1.120,-0.408,0.895,-0.135,0.095,-1.825,-0.520,1.350,-0.910,0.410,-0.175,-0.015,-0.030,-0.620,88518.595,17934.860
2000,1.156,0.312,-0.920,-0.475,-0.895,1.075,1.750,2.450,-0.700,-0.545,-1.605,-0.820,-1.755,-1.265,-1.345,-1.450,-1.655,-1.240,-2.060,-0.970,-10.819,-0.220,0.940,-0.170,-0.135,-0.445,-0.200,-0.060,-0.515,-0.040,-1.040,-0.675,-1.535,155637.928,19007.441
2001,-1.657,-1.155,-0.900,-0.450,1.105,-0.060,1.450,2.150,-0.795,-0.155,-0.540,-0.145,-0.825,-0.555,-0.920,-0.765,-0.710,-0.480,0.240,-0.210,0.590,-0.540,-0.830,0.320,0.420,0.035,0.260,-0.195,-0.115,1.065,-0.300,0.025,-0.915,-124979.288,5304.839
