# DUTCH_HARBOR
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1984, 1986, 1987, 1988, 1989, 1990, 2001, 2008, 2009, 2018, 2019, 2021
#
d_since_march1,1985,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2002,2003,2004,2005,2006,2007,2010,2011,2012,2013,2014,2015,2016,2017,2020,2022,2023,2024
21,131.64,255.45,155.50,202.81,101.00,187.50,292.00,197.35,281.50,160.94,231.69,262.68,182.00,216.00,281.00,252.62,97.35,60.55,211.50,75.50,191.50,190.50,275.00,206.50,173.50,249.69,189.00,236.50,183.14
22,131.64,273.95,161.50,209.31,114.00,197.50,301.50,208.35,295.00,169.44,248.19,277.18,189.00,225.00,286.50,261.12,98.35,64.55,225.00,87.00,202.00,201.00,289.00,215.50,180.50,264.69,199.00,250.50,195.14
23,134.14,292.95,174.50,215.81,124.50,208.01,314.50,218.35,308.50,179.44,258.19,290.18,193.00,236.50,294.50,276.12,101.35,75.06,236.50,97.00,209.00,215.00,302.50,228.00,188.50,289.69,207.50,265.00,205.64
24,143.41,311.45,180.50,225.81,124.50,213.51,334.00,222.85,322.50,187.44,262.69,305.18,202.27,250.00,304.00,288.12,109.35,81.56,247.00,107.00,216.00,226.50,314.00,240.50,199.50,310.69,217.00,280.50,211.14
25,143.41,326.45,188.00,236.31,133.36,220.01,352.00,231.85,332.00,194.44,263.19,319.68,209.27,261.00,313.00,296.12,113.85,88.56,255.50,118.50,225.50,238.00,323.00,254.50,210.00,329.19,230.50,299.50,215.64
26,143.41,337.45,198.00,246.81,137.36,228.01,365.50,242.85,344.00,200.94,263.69,332.18,214.27,267.00,327.50,308.62,113.85,93.56,263.50,128.00,239.50,251.50,335.00,268.00,220.00,347.69,241.50,308.75,224.64
27,146.91,346.45,209.00,258.81,148.36,238.51,379.00,250.35,360.50,207.94,267.19,342.68,222.77,267.00,338.00,325.12,124.08,99.06,271.00,136.50,253.00,266.50,349.50,282.50,231.00,359.69,251.50,323.75,241.14
28,153.91,350.95,218.46,270.81,158.36,245.51,394.50,258.85,372.00,214.44,267.69,351.18,235.77,267.00,349.50,339.12,133.54,100.56,278.50,146.00,264.50,277.50,363.00,297.50,236.00,367.19,264.50,333.21,253.64
29,153.91,352.95,229.96,289.81,168.86,248.01,412.50,263.85,386.50,218.94,271.19,357.68,249.27,270.50,354.00,355.12,148.54,104.56,285.50,151.00,276.00,288.50,373.00,309.00,243.00,381.19,278.00,345.21,261.64
30,159.41,360.95,236.96,300.81,176.86,249.51,427.00,264.35,399.50,230.44,280.19,366.63,258.22,274.50,357.50,365.62,163.54,113.51,291.00,154.50,288.00,300.50,384.00,323.00,247.50,394.69,290.00,357.71,266.64
31,172.91,369.45,237.46,310.81,186.36,252.01,440.50,273.46,408.50,237.94,293.69,379.63,279.72,274.50,363.00,378.12,180.04,122.01,297.50,157.00,300.50,316.50,392.50,339.50,252.00,404.69,302.00,370.21,272.64
32,184.91,377.95,240.96,322.81,191.36,253.51,450.50,280.96,424.50,244.94,306.19,391.63,296.72,274.50,372.67,396.12,194.04,128.51,306.50,158.00,314.50,332.50,400.50,356.50,260.00,419.19,313.50,387.21,289.14
33,195.41,389.45,248.46,336.31,199.86,254.51,454.50,289.96,434.00,253.44,321.19,405.13,315.72,274.50,384.67,413.12,205.04,136.01,314.00,163.50,329.00,348.50,415.00,372.00,268.50,442.69,323.00,403.71,310.64
34,198.41,400.45,261.46,349.81,208.36,257.51,457.50,301.46,443.00,265.94,335.69,418.63,332.72,274.50,394.67,428.62,217.04,146.01,325.50,174.50,343.00,363.50,435.50,388.00,275.50,461.69,331.50,419.21,329.14
35,200.41,410.95,271.96,361.81,221.86,264.51,461.50,314.96,449.00,279.94,348.69,431.63,346.72,274.50,396.17,436.12,227.68,152.51,338.50,188.00,355.00,374.00,459.50,404.00,282.50,472.69,334.50,431.71,344.64
36,205.91,421.45,281.96,373.81,235.36,271.51,463.00,325.96,456.50,287.94,360.69,443.63,359.72,277.00,400.17,450.62,237.68,158.51,354.00,200.00,368.00,381.00,476.50,416.50,289.50,483.19,339.00,441.21,
37,211.91,429.95,291.46,385.31,249.36,278.01,472.50,335.96,465.50,299.44,372.19,452.63,371.22,287.61,406.67,469.12,248.29,166.51,371.50,212.50,377.00,387.00,487.50,428.50,296.00,490.69,341.50,449.71,
38,219.41,436.95,301.46,396.31,255.36,281.01,484.50,347.46,475.50,312.94,382.19,464.13,381.72,303.11,414.17,488.62,262.29,178.51,383.00,227.00,377.00,394.50,502.00,442.50,302.50,501.19,346.50,456.71,
39,224.41,441.45,311.46,405.81,265.56,286.51,498.50,361.46,489.50,325.44,390.19,474.33,391.22,315.61,419.17,502.62,275.79,191.51,391.50,239.50,377.50,406.50,514.50,456.00,313.00,514.69,354.50,469.21,
40,224.41,445.45,322.96,414.31,275.56,292.01,517.00,373.96,502.50,340.94,400.19,484.33,401.72,329.61,425.17,515.62,288.79,206.51,402.00,249.00,386.50,418.50,524.50,472.00,328.00,527.19,366.50,489.21,
41,224.41,451.45,332.96,423.81,288.56,295.51,535.00,388.96,513.50,353.44,413.69,492.83,417.22,345.61,429.67,537.12,302.79,225.51,410.50,252.50,391.50,433.50,532.00,488.00,345.50,540.19,384.00,506.21,
42,232.41,459.45,344.14,434.81,296.56,303.01,551.50,402.46,526.50,363.44,426.19,498.83,436.22,358.61,440.67,556.62,315.29,243.01,415.00,259.50,392.00,448.00,539.00,503.00,363.50,554.19,401.50,522.21,
43,241.41,475.95,344.14,447.31,301.06,316.01,562.00,416.46,543.00,370.44,437.19,508.33,453.22,372.61,455.17,568.12,323.79,255.01,418.00,265.00,393.50,464.50,544.00,518.50,379.50,569.69,418.50,532.21,
44,246.41,490.95,353.64,457.31,311.56,332.01,574.50,430.46,558.50,374.94,448.69,523.33,471.22,389.61,469.17,578.12,334.79,265.01,423.50,271.00,399.00,482.50,553.00,531.50,396.50,591.19,434.50,536.71,
45,254.41,503.95,365.64,468.81,323.06,353.01,585.00,443.46,570.00,383.94,462.19,536.83,488.22,404.61,482.67,583.62,343.29,276.51,428.00,279.50,407.50,499.00,561.00,549.00,410.50,611.19,446.48,542.21,
46,259.41,516.45,376.14,481.31,334.56,367.51,600.00,452.46,579.00,398.94,473.69,552.33,502.72,420.61,499.17,597.12,350.29,290.01,436.00,289.00,420.00,517.00,566.00,560.50,424.00,623.30,458.59,550.71,
47,270.91,526.95,387.14,490.81,346.06,379.01,614.00,465.96,590.00,414.44,486.19,568.33,516.72,436.11,514.67,611.12,365.29,300.51,446.00,298.50,433.50,530.00,572.50,574.00,438.00,644.80,471.07,559.71,
